team,opp,pts,opp_pts,plays,opp_plays
Kansas State,Iowa State,42,31,68,61
Iowa State,Kansas State,6,27,71,68
Kansas State,Iowa State,35,7,72,54
Iowa State,Kansas State,24,48,58,71
Kansas State,Iowa State,21,24,66,63
Iowa State,Kansas State,17,21,63,61
Kansas State,Iowa State,17,45,70,65
Iowa State,Kansas State,38,21,70,60
Kansas State,Iowa State,17,17,66,61
Iowa State,Kansas State,31,42,61,68
Kansas State,Iowa State,27,28,62,74
Iowa State,Kansas State,13,20,62,63
Kansas State,Iowa State,28,56,57,75
Iowa State,Kansas State,20,38,57,69
Kansas State,Iowa State,24,24,61,59
Iowa State,Kansas State,14,41,58,71
Kansas State,Iowa State,34,17,65,62
Iowa State,Kansas State,31,27,78,59
Kansas State,Iowa State,28,35,79,45
Iowa State,Kansas State,28,34,61,70
Kansas State,Iowa State,31,10,70,60
Iowa State,Kansas State,31,28,68,58
Kansas State,Iowa State,21,27,58,71
Iowa State,Kansas State,45,10,75,55
Kansas State,Iowa State,31,34,66,63
Iowa State,Kansas State,21,45,62,67
Kansas State,Iowa State,52,35,76,53
Iowa State,Kansas State,38,31,66,67
Kansas State,Iowa State,38,24,62,64
Iowa State,Kansas State,20,38,65,63
Kansas State,Iowa State,34,13,60,74
Iowa State,Kansas State,20,14,67,59
Kansas State,Iowa State,28,16,65,60
Iowa State,Kansas State,28,31,70,60
Kansas State,Iowa State,44,17,68,64
Iowa State,Kansas State,20,21,72,60
Kansas State,Iowa State,31,31,61,69
Iowa State,Kansas State,31,38,73,63
Kansas State,Iowa State,21,20,64,64
Iowa State,Kansas State,35,38,64,66
Kansas State,Iowa State,49,49,56,78
Iowa State,Kansas State,31,45,68,63
Kansas State,Iowa State,28,38,70,61
Iowa State,Kansas State,42,35,62,71
Kansas State,Iowa State,24,45,63,65
Iowa State,Kansas State,28,28,68,62
Kansas State,Iowa State,41,24,61,70
Iowa State,Kansas State,24,23,65,59
Kansas State,Iowa State,38,35,64,71
Iowa State,Kansas State,44,48,75,60
Kansas State,Iowa State,7,24,61,67
Iowa State,Kansas State,21,52,60,65
Kansas State,Iowa State,30,28,62,66
Iowa State,Kansas State,10,24,64,65
Kansas State,Iowa State,35,21,73,60
Iowa State,Kansas State,27,20,58,75
Kansas State,Iowa State,48,21,59,67
Iowa State,Kansas State,31,20,61,65
Kansas State,Iowa State,24,38,63,67
Iowa State,Kansas State,10,48,60,65
Kansas State,Iowa State,40,24,70,57
Iowa State,Kansas State,30,45,68,63
Kansas State,Iowa State,23,38,68,66
Iowa State,Kansas State,28,17,64,66
Kansas State,Iowa State,35,28,61,71
Iowa State,Kansas State,59,7,72,56
Kansas State,Iowa State,28,30,66,61
Iowa State,Kansas State,31,27,70,62
Kansas State,Iowa State,38,34,72,61
Iowa State,Kansas State,28,30,60,65
Kansas State,Iowa State,45,27,68,62
Iowa State,Kansas State,0,45,61,67
Kansas State,Iowa State,0,48,58,74
Iowa State,Kansas State,35,20,62,76
Kansas State,Iowa State,35,28,63,65
Iowa State,Kansas State,13,13,63,63
Kansas State,Iowa State,38,28,60,68
Iowa State,Kansas State,21,35,60,62
Kansas State,Iowa State,45,21,67,59
Iowa State,Kansas State,21,31,61,71
Kansas State,Iowa State,31,35,65,63
Iowa State,Kansas State,28,38,63,65
Kansas State,Iowa State,17,20,59,69
Iowa State,Kansas State,41,28,69,59
Kansas State,Iowa State,31,35,79,53
Iowa State,Kansas State,28,41,57,76
Kansas State,Iowa State,17,28,71,60
Iowa State,Kansas State,31,28,68,64
Kansas State,Iowa State,24,31,65,66
Iowa State,Kansas State,34,35,64,66
Kansas State,Iowa State,42,31,75,58
Iowa State,Kansas State,17,38,73,65
Kansas State,Iowa State,21,49,56,80
Iowa State,Kansas State,21,38,67,63
Kansas State,Iowa State,52,28,73,57
Iowa State,Kansas State,35,49,66,63
Kansas State,Iowa State,20,28,67,60
Iowa State,Kansas State,20,23,61,62
Kansas State,Iowa State,28,27,66,65
Iowa State,Kansas State,45,41,63,70
Kansas State,Iowa State,30,21,68,64
Iowa State,Kansas State,42,21,72,61
Kansas State,Iowa State,38,28,69,61
Iowa State,Kansas State,41,35,69,64
Kansas State,Iowa State,20,21,67,67
Iowa State,Kansas State,27,35,68,60
Kansas State,Iowa State,28,20,64,64
Iowa State,Kansas State,24,21,68,57
Kansas State,Iowa State,17,24,60,61
Iowa State,Kansas State,20,30,61,65
Kansas State,Iowa State,28,21,63,66
Iowa State,Kansas State,20,20,69,58
Kansas State,Iowa State,49,17,74,57
Iowa State,Kansas State,24,31,70,58
Kansas State,Iowa State,41,28,69,59
Iowa State,Kansas State,27,14,75,50
Kansas State,Iowa State,34,34,61,68
Iowa State,Kansas State,28,31,68,64
Kansas State,Iowa State,42,23,71,60
Iowa State,Kansas State,31,31,60,69
Kansas State,Iowa State,14,21,66,61
Iowa State,Kansas State,28,24,72,62
Kansas State,Iowa State,49,24,71,59
Iowa State,Kansas State,31,31,63,63
Kansas State,Iowa State,34,3,65,58
Iowa State,Kansas State,31,34,65,64
Kansas State,Iowa State,41,13,67,61
Iowa State,Kansas State,24,9,65,60
Kansas State,Iowa State,10,42,50,75
Iowa State,Kansas State,31,42,68,59
Kansas State,Iowa State,35,31,65,62
Iowa State,Kansas State,27,23,71,60
Kansas State,Iowa State,27,41,67,62
Iowa State,Kansas State,24,20,72,60
Kansas State,Iowa State,21,10,57,69
Iowa State,Kansas State,20,28,74,54
Kansas State,Iowa State,27,41,70,61
Iowa State,Kansas State,17,28,62,65
Kansas State,Iowa State,24,20,63,67
Iowa State,Kansas State,27,28,73,59
Kansas State,Iowa State,42,14,75,54
Iowa State,Kansas State,28,27,74,53
Kansas State,Iowa State,45,20,76,53
Iowa State,Kansas State,31,35,73,57
Kansas State,Iowa State,30,31,74,54
Iowa State,Kansas State,35,38,75,66
Kansas State,Iowa State,35,20,59,68
Iowa State,Kansas State,35,24,62,76
Kansas State,Iowa State,10,24,65,66
Iowa State,Kansas State,24,24,64,73
Kansas State,Iowa State,20,21,85,43
Iowa State,Kansas State,23,35,65,62
Kansas State,Iowa State,17,37,56,67
Iowa State,Kansas State,21,28,62,63
Kansas State,Iowa State,31,31,59,68
Iowa State,Kansas State,13,27,64,63
Kansas State,Iowa State,28,37,72,61
