sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Akron,Wyoming,Ben Finley,QB,69,37,438.2,1,1,9,0,0.0,0,0,0,0.0,0
32,A,Akron,Wyoming,Cam Macon,Rusher,0,0,0.0,0,0,0,9,3.0,0,0,0,0.0,0
32,A,Akron,Wyoming,Taven Curry,Rusher,0,0,0.0,0,0,0,13,32.3,1,0,0,0.0,0
32,A,Akron,Wyoming,Other RB,Rusher,0,0,0.0,0,0,0,6,28.4,1,0,0,0.0,0
32,A,Akron,Wyoming,Ben Finley,Rusher,0,0,0.0,0,0,0,12,57.2,1,0,0,0.0,0
32,A,Akron,Wyoming,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,21,39,235.1,1
32,A,Akron,Wyoming,Jake Newell,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,9,43.3,0
32,A,Akron,Wyoming,Alex Adams,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,14,114.8,0
32,A,Akron,Wyoming,Conner Cravaack,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,45.0,0
32,A,Wyoming,Akron,Kaden Anderson,QB,49,34,345.4,3,0,3,0,0.0,0,0,0,0.0,0
32,A,Wyoming,Akron,Sam Scott,Rusher,0,0,0.0,0,0,0,36,153.1,1,0,0,0.0,0
32,A,Wyoming,Akron,Terron Kellman,Rusher,0,0,0.0,0,0,0,31,137.5,1,0,0,0.0,0
32,A,Wyoming,Akron,Kaden Anderson,Rusher,0,0,0.0,0,0,0,15,81.3,1,0,0,0.0,0
32,A,Wyoming,Akron,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,21,30,236.0,3
32,A,Wyoming,Akron,Isaac Schoenfeld,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,20.8,0
32,A,Wyoming,Akron,Jaylen Sargent,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,67.6,0
32,A,Wyoming,Akron,Chris Durr Jr,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,20.9,0
33,B,Wyoming,Akron,Kaden Anderson,QB,52,34,432.1,3,0,6,0,0.0,0,0,0,0.0,0
33,B,Wyoming,Akron,Terron Kellman,Rusher,0,0,0.0,0,0,0,32,156.8,1,0,0,0.0,0
33,B,Wyoming,Akron,Sam Scott,Rusher,0,0,0.0,0,0,0,26,75.6,1,0,0,0.0,0
33,B,Wyoming,Akron,Kaden Anderson,Rusher,0,0,0.0,0,0,0,21,50.1,1,0,0,0.0,0
33,B,Wyoming,Akron,Jaylen Sargent,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,7,74.5,0
33,B,Wyoming,Akron,Isaac Schoenfeld,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,3.3,0
33,B,Wyoming,Akron,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,24,36,315.4,3
33,B,Wyoming,Akron,Chris Durr Jr,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,38.8,0
33,B,Akron,Wyoming,Ben Finley,QB,53,30,356.0,2,0,7,0,0.0,0,0,0,0.0,0
33,B,Akron,Wyoming,Taven Curry,Rusher,0,0,0.0,0,0,0,18,72.1,1,0,0,0.0,0
33,B,Akron,Wyoming,Other RB,Rusher,0,0,0.0,0,0,0,9,24.8,0,0,0,0.0,0
33,B,Akron,Wyoming,Cam Macon,Rusher,0,0,0.0,0,0,0,8,33.5,0,0,0,0.0,0
33,B,Akron,Wyoming,Ben Finley,Rusher,0,0,0.0,0,0,0,10,43.1,0,0,0,0.0,0
33,B,Akron,Wyoming,Conner Cravaack,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,17.4,0
33,B,Akron,Wyoming,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,22,35,275.5,1
33,B,Akron,Wyoming,Alex Adams,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,11,44.2,0
33,B,Akron,Wyoming,Jake Newell,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,18.8,1
34,A,Akron,Wyoming,Ben Finley,QB,53,30,315.7,1,0,9,0,0.0,0,0,0,0.0,0
34,A,Akron,Wyoming,Cam Macon,Rusher,0,0,0.0,0,0,0,13,52.4,0,0,0,0.0,0
34,A,Akron,Wyoming,Taven Curry,Rusher,0,0,0.0,0,0,0,22,67.5,0,0,0,0.0,0
34,A,Akron,Wyoming,Ben Finley,Rusher,0,0,0.0,0,0,0,8,20.9,1,0,0,0.0,0
34,A,Akron,Wyoming,Other RB,Rusher,0,0,0.0,0,0,0,13,54.1,0,0,0,0.0,0
34,A,Akron,Wyoming,Jake Newell,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,33.0,0
34,A,Akron,Wyoming,Conner Cravaack,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,41.0,0
34,A,Akron,Wyoming,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,18,36,185.7,0
34,A,Akron,Wyoming,Alex Adams,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,56.0,1
34,A,Wyoming,Akron,Kaden Anderson,QB,41,29,471.3,3,0,7,0,0.0,0,0,0,0.0,0
34,A,Wyoming,Akron,Sam Scott,Rusher,0,0,0.0,0,0,0,29,160.8,3,0,0,0.0,0
34,A,Wyoming,Akron,Terron Kellman,Rusher,0,0,0.0,0,0,0,30,115.7,1,0,0,0.0,0
34,A,Wyoming,Akron,Kaden Anderson,Rusher,0,0,0.0,0,0,0,13,74.9,1,0,0,0.0,0
34,A,Wyoming,Akron,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,20,30,370.0,2
34,A,Wyoming,Akron,Chris Durr Jr,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,27.9,0
34,A,Wyoming,Akron,Isaac Schoenfeld,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,42.8,0
34,A,Wyoming,Akron,Jaylen Sargent,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,30.6,1
35,B,Wyoming,Akron,Kaden Anderson,QB,66,45,589.2,3,0,4,0,0.0,0,0,0,0.0,0
35,B,Wyoming,Akron,Terron Kellman,Rusher,0,0,0.0,0,0,0,31,132.3,2,0,0,0.0,0
35,B,Wyoming,Akron,Sam Scott,Rusher,0,0,0.0,0,0,0,37,140.4,2,0,0,0.0,0
35,B,Wyoming,Akron,Kaden Anderson,Rusher,0,0,0.0,0,0,0,8,21.3,1,0,0,0.0,0
