sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
16,A,Alabama,Florida State,Ty Simpson,QB,23,17,179.1,2,0,7,0,0.0,0,0,0,0.0,0
16,A,Alabama,Florida State,Richard Young,Rusher,0,0,0.0,0,0,0,9,34.6,0,0,0,0.0,0
16,A,Alabama,Florida State,Other RB,Rusher,0,0,0.0,0,0,0,23,108.4,1,0,0,0.0,0
16,A,Alabama,Florida State,Dre Washington,Rusher,0,0,0.0,0,0,0,8,31.3,0,0,0,0.0,0
16,A,Alabama,Florida State,Ty Simpson,Rusher,0,0,0.0,0,0,0,2,8.3,0,0,0,0.0,0
16,A,Alabama,Florida State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,14,19,140.3,1
16,A,Alabama,Florida State,Germie Bernard,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,25.5,1
16,A,Alabama,Florida State,Isaiah Horton,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,13.4,0
16,A,Alabama,Florida State,Ryan Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
16,A,Florida State,Alabama,Tommy Castellanos,QB,27,18,197.2,0,1,11,0,0.0,0,0,0,0.0,0
16,A,Florida State,Alabama,Other RB,Rusher,0,0,0.0,0,0,0,8,7.2,0,0,0,0.0,0
16,A,Florida State,Alabama,Tommy Castellanos,Rusher,0,0,0.0,0,0,0,6,22.9,0,0,0,0.0,0
16,A,Florida State,Alabama,Jaylin Lucas,Rusher,0,0,0.0,0,0,0,14,22.6,0,0,0,0.0,0
16,A,Florida State,Alabama,Kam Davis,Rusher,0,0,0.0,0,0,0,8,52.3,2,0,0,0.0,0
16,A,Florida State,Alabama,Squirrel White,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,7,64.6,0
16,A,Florida State,Alabama,Randy Pittman Jr,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,32.3,0
16,A,Florida State,Alabama,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,10,15,100.3,0
16,A,Florida State,Alabama,Landen Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
17,B,Florida State,Alabama,Tommy Castellanos,QB,27,20,250.0,2,0,7,0,0.0,0,0,0,0.0,0
17,B,Florida State,Alabama,Jaylin Lucas,Rusher,0,0,0.0,0,0,0,19,88.7,0,0,0,0.0,0
17,B,Florida State,Alabama,Other RB,Rusher,0,0,0.0,0,0,0,9,25.8,1,0,0,0.0,0
17,B,Florida State,Alabama,Tommy Castellanos,Rusher,0,0,0.0,0,0,0,11,70.8,1,0,0,0.0,0
17,B,Florida State,Alabama,Kam Davis,Rusher,0,0,0.0,0,0,0,11,24.3,0,0,0,0.0,0
17,B,Florida State,Alabama,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,13,19,151.8,1
17,B,Florida State,Alabama,Squirrel White,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,42.5,1
17,B,Florida State,Alabama,Randy Pittman Jr,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,40.4,0
