sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Arizona,Hawaii,Noah Fifita,QB,23,21,198.6,1,0,4,0,0.0,0,0,0,0.0,0
32,A,Arizona,Hawaii,Kedrick Reescano,Rusher,0,0,0.0,0,0,0,19,119.6,2,0,0,0.0,0
32,A,Arizona,Hawaii,Ismail Mahdi,Rusher,0,0,0.0,0,0,0,13,53.5,0,0,0,0.0,0
32,A,Arizona,Hawaii,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,10,11,71.1,0
32,A,Arizona,Hawaii,Kris Hutson,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,38.7,0
32,A,Arizona,Hawaii,Luke Wysong,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,7,88.7,1
32,A,Hawaii,Arizona,Micah Alejado,QB,31,18,170.2,0,1,14,0,0.0,0,0,0,0.0,0
32,A,Hawaii,Arizona,Cam Barfield,Rusher,0,0,0.0,0,0,0,9,23.2,0,0,0,0.0,0
32,A,Hawaii,Arizona,Micah Alejado,Rusher,0,0,0.0,0,0,0,7,30.5,1,0,0,0.0,0
32,A,Hawaii,Arizona,Other RB,Rusher,0,0,0.0,0,0,0,1,-0.8,0,0,0,0.0,0
32,A,Hawaii,Arizona,Landon Sims,Rusher,0,0,0.0,0,0,0,3,22.1,0,0,0,0.0,0
32,A,Hawaii,Arizona,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,14,94.4,0
32,A,Hawaii,Arizona,Nick Cenacel,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,9.5,0
32,A,Hawaii,Arizona,Pofele Ashlock,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,18.4,0
32,A,Hawaii,Arizona,Jackson Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,48.0,0
33,B,Hawaii,Arizona,Micah Alejado,QB,36,27,286.3,1,0,13,0,0.0,0,0,0,0.0,0
33,B,Hawaii,Arizona,Landon Sims,Rusher,0,0,0.0,0,0,0,6,8.7,0,0,0,0.0,0
33,B,Hawaii,Arizona,Micah Alejado,Rusher,0,0,0.0,0,0,0,7,12.1,0,0,0,0.0,0
33,B,Hawaii,Arizona,Cam Barfield,Rusher,0,0,0.0,0,0,0,8,34.0,0,0,0,0.0,0
33,B,Hawaii,Arizona,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,17,22,214.1,0
33,B,Hawaii,Arizona,Nick Cenacel,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,21.5,0
33,B,Hawaii,Arizona,Pofele Ashlock,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,33.5,0
33,B,Hawaii,Arizona,Jackson Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,17.2,1
33,B,Arizona,Hawaii,Noah Fifita,QB,26,22,368.5,4,0,4,0,0.0,0,0,0,0.0,0
33,B,Arizona,Hawaii,Kedrick Reescano,Rusher,0,0,0.0,0,0,0,14,51.8,0,0,0,0.0,0
33,B,Arizona,Hawaii,Ismail Mahdi,Rusher,0,0,0.0,0,0,0,10,63.3,1,0,0,0.0,0
33,B,Arizona,Hawaii,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,15,18,298.9,4
33,B,Arizona,Hawaii,Luke Wysong,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,25.7,0
33,B,Arizona,Hawaii,Kris Hutson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,43.9,0
34,A,Arizona,Hawaii,Noah Fifita,QB,31,29,206.4,0,0,7,0,0.0,0,0,0,0.0,0
34,A,Arizona,Hawaii,Ismail Mahdi,Rusher,0,0,0.0,0,0,0,14,33.4,1,0,0,0.0,0
34,A,Arizona,Hawaii,Kedrick Reescano,Rusher,0,0,0.0,0,0,0,10,45.5,1,0,0,0.0,0
34,A,Arizona,Hawaii,Kris Hutson,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,55.9,0
34,A,Arizona,Hawaii,Luke Wysong,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,8,49.5,0
34,A,Arizona,Hawaii,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,17,18,101.0,0
34,A,Hawaii,Arizona,Micah Alejado,QB,35,25,258.2,2,0,5,0,0.0,0,0,0,0.0,0
34,A,Hawaii,Arizona,Micah Alejado,Rusher,0,0,0.0,0,0,0,9,16.9,0,0,0,0.0,0
34,A,Hawaii,Arizona,Cam Barfield,Rusher,0,0,0.0,0,0,0,6,2.4,0,0,0,0.0,0
34,A,Hawaii,Arizona,Landon Sims,Rusher,0,0,0.0,0,0,0,5,26.4,0,0,0,0.0,0
34,A,Hawaii,Arizona,Other RB,Rusher,0,0,0.0,0,0,0,1,-0.5,0,0,0,0.0,0
34,A,Hawaii,Arizona,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,14,18,185.8,2
34,A,Hawaii,Arizona,Pofele Ashlock,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,6,1.5,0
34,A,Hawaii,Arizona,Nick Cenacel,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,22.3,0
34,A,Hawaii,Arizona,Jackson Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,48.6,0
35,B,Hawaii,Arizona,Micah Alejado,QB,30,19,314.5,1,0,5,0,0.0,0,0,0,0.0,0
35,B,Hawaii,Arizona,Landon Sims,Rusher,0,0,0.0,0,0,0,5,5.6,0,0,0,0.0,0
35,B,Hawaii,Arizona,Cam Barfield,Rusher,0,0,0.0,0,0,0,16,55.3,2,0,0,0.0,0
35,B,Hawaii,Arizona,Micah Alejado,Rusher,0,0,0.0,0,0,0,12,60.8,0,0,0,0.0,0
35,B,Hawaii,Arizona,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,12,20,198.8,1
35,B,Hawaii,Arizona,Jackson Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,99.4,0
35,B,Hawaii,Arizona,Pofele Ashlock,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,16.3,0
35,B,Arizona,Hawaii,Noah Fifita,QB,25,17,222.7,2,0,4,0,0.0,0,0,0,0.0,0
35,B,Arizona,Hawaii,Kedrick Reescano,Rusher,0,0,0.0,0,0,0,17,56.0,1,0,0,0.0,0
35,B,Arizona,Hawaii,Ismail Mahdi,Rusher,0,0,0.0,0,0,0,12,71.6,1,0,0,0.0,0
35,B,Arizona,Hawaii,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,12,16,180.7,2
35,B,Arizona,Hawaii,Luke Wysong,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,30.6,0
35,B,Arizona,Hawaii,Kris Hutson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,11.4,0
36,A,Arizona,Hawaii,Noah Fifita,QB,19,18,268.4,0,0,5,0,0.0,0,0,0,0.0,0
36,A,Arizona,Hawaii,Ismail Mahdi,Rusher,0,0,0.0,0,0,0,17,64.1,2,0,0,0.0,0
36,A,Arizona,Hawaii,Kedrick Reescano,Rusher,0,0,0.0,0,0,0,10,50.8,0,0,0,0.0,0
36,A,Arizona,Hawaii,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,13,14,213.9,0
36,A,Arizona,Hawaii,Luke Wysong,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,32.3,0
36,A,Arizona,Hawaii,Kris Hutson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,22.2,0
36,A,Hawaii,Arizona,Micah Alejado,QB,21,17,197.1,2,0,2,0,0.0,0,0,0,0.0,0
36,A,Hawaii,Arizona,Other RB,Rusher,0,0,0.0,0,0,0,1,-3.9,0,0,0,0.0,0
36,A,Hawaii,Arizona,Micah Alejado,Rusher,0,0,0.0,0,0,0,16,59.1,0,0,0,0.0,0
36,A,Hawaii,Arizona,Landon Sims,Rusher,0,0,0.0,0,0,0,8,50.9,0,0,0,0.0,0
36,A,Hawaii,Arizona,Cam Barfield,Rusher,0,0,0.0,0,0,0,11,18.6,1,0,0,0.0,0
36,A,Hawaii,Arizona,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,12,89.3,0
36,A,Hawaii,Arizona,Jackson Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,20.4,0
36,A,Hawaii,Arizona,Pofele Ashlock,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,6,76.8,2
36,A,Hawaii,Arizona,Nick Cenacel,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,10.6,0
37,B,Hawaii,Arizona,Micah Alejado,QB,21,14,175.6,1,0,7,0,0.0,0,0,0,0.0,0
37,B,Hawaii,Arizona,Cam Barfield,Rusher,0,0,0.0,0,0,0,11,32.8,0,0,0,0.0,0
37,B,Hawaii,Arizona,Micah Alejado,Rusher,0,0,0.0,0,0,0,10,5.0,0,0,0,0.0,0
37,B,Hawaii,Arizona,Landon Sims,Rusher,0,0,0.0,0,0,0,7,32.1,0,0,0,0.0,0
37,B,Hawaii,Arizona,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,62.0,0
37,B,Hawaii,Arizona,Jackson Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,11.8,0
37,B,Hawaii,Arizona,Pofele Ashlock,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,58.3,1
37,B,Hawaii,Arizona,Nick Cenacel,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,43.5,0
37,B,Arizona,Hawaii,Noah Fifita,QB,19,18,195.8,2,0,3,0,0.0,0,0,0,0.0,0
37,B,Arizona,Hawaii,Kedrick Reescano,Rusher,0,0,0.0,0,0,0,19,106.2,0,0,0,0.0,0
37,B,Arizona,Hawaii,Ismail Mahdi,Rusher,0,0,0.0,0,0,0,15,95.6,4,0,0,0.0,0
37,B,Arizona,Hawaii,Other RB,Rusher,0,0,0.0,0,0,0,1,3.5,0,0,0,0.0,0
37,B,Arizona,Hawaii,Luke Wysong,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,14.1,0
37,B,Arizona,Hawaii,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,15,16,181.7,2
38,A,Arizona,Hawaii,Noah Fifita,QB,28,22,300.9,0,0,1,0,0.0,0,0,0,0.0,0
38,A,Arizona,Hawaii,Ismail Mahdi,Rusher,0,0,0.0,0,0,0,20,143.8,3,0,0,0.0,0
38,A,Arizona,Hawaii,Kedrick Reescano,Rusher,0,0,0.0,0,0,0,15,60.4,2,0,0,0.0,0
38,A,Arizona,Hawaii,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,12,17,145.6,0
38,A,Arizona,Hawaii,Luke Wysong,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,6,103.6,0
38,A,Arizona,Hawaii,Kris Hutson,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,51.6,0
38,A,Hawaii,Arizona,Micah Alejado,QB,29,16,181.9,0,1,8,0,0.0,0,0,0,0.0,0
38,A,Hawaii,Arizona,Cam Barfield,Rusher,0,0,0.0,0,0,0,7,32.2,0,0,0,0.0,0
38,A,Hawaii,Arizona,Micah Alejado,Rusher,0,0,0.0,0,0,0,5,13.6,0,0,0,0.0,0
38,A,Hawaii,Arizona,Other RB,Rusher,0,0,0.0,0,0,0,3,3.6,0,0,0,0.0,0
38,A,Hawaii,Arizona,Landon Sims,Rusher,0,0,0.0,0,0,0,5,6.2,0,0,0,0.0,0
38,A,Hawaii,Arizona,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,15,87.7,0
38,A,Hawaii,Arizona,Nick Cenacel,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,21.3,0
38,A,Hawaii,Arizona,Jackson Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,32.8,0
38,A,Hawaii,Arizona,Pofele Ashlock,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,40.1,0
39,B,Hawaii,Arizona,Micah Alejado,QB,21,11,134.7,0,0,4,0,0.0,0,0,0,0.0,0
39,B,Hawaii,Arizona,Micah Alejado,Rusher,0,0,0.0,0,0,0,8,10.7,0,0,0,0.0,0
39,B,Hawaii,Arizona,Cam Barfield,Rusher,0,0,0.0,0,0,0,7,8.3,0,0,0,0.0,0
39,B,Hawaii,Arizona,Other RB,Rusher,0,0,0.0,0,0,0,2,2.5,0,0,0,0.0,0
39,B,Hawaii,Arizona,Landon Sims,Rusher,0,0,0.0,0,0,0,3,11.4,0,0,0,0.0,0
39,B,Hawaii,Arizona,Jackson Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
39,B,Hawaii,Arizona,Nick Cenacel,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,43.1,0
39,B,Hawaii,Arizona,Pofele Ashlock,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,25.7,0
39,B,Hawaii,Arizona,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,9,65.9,0
39,B,Arizona,Hawaii,Noah Fifita,QB,21,20,242.1,4,0,3,0,0.0,0,0,0,0.0,0
39,B,Arizona,Hawaii,Ismail Mahdi,Rusher,0,0,0.0,0,0,0,22,92.7,0,0,0,0.0,0
39,B,Arizona,Hawaii,Kedrick Reescano,Rusher,0,0,0.0,0,0,0,21,116.2,1,0,0,0.0,0
39,B,Arizona,Hawaii,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,11,12,140.2,3
39,B,Arizona,Hawaii,Luke Wysong,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,36.9,0
39,B,Arizona,Hawaii,Kris Hutson,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,65.0,1
40,A,Arizona,Hawaii,Noah Fifita,QB,22,14,154.3,2,0,1,0,0.0,0,0,0,0.0,0
40,A,Arizona,Hawaii,Kedrick Reescano,Rusher,0,0,0.0,0,0,0,13,48.1,0,0,0,0.0,0
40,A,Arizona,Hawaii,Ismail Mahdi,Rusher,0,0,0.0,0,0,0,17,46.1,0,0,0,0.0,0
40,A,Arizona,Hawaii,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,12,112.4,2
40,A,Arizona,Hawaii,Kris Hutson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,19.1,0
40,A,Arizona,Hawaii,Luke Wysong,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,22.8,0
40,A,Hawaii,Arizona,Micah Alejado,QB,30,18,119.0,1,0,6,0,0.0,0,0,0,0.0,0
40,A,Hawaii,Arizona,Landon Sims,Rusher,0,0,0.0,0,0,0,8,42.9,0,0,0,0.0,0
40,A,Hawaii,Arizona,Micah Alejado,Rusher,0,0,0.0,0,0,0,16,41.4,0,0,0,0.0,0
40,A,Hawaii,Arizona,Cam Barfield,Rusher,0,0,0.0,0,0,0,8,34.5,0,0,0,0.0,0
40,A,Hawaii,Arizona,Other RB,Rusher,0,0,0.0,0,0,0,1,-1.4,0,0,0,0.0,0
40,A,Hawaii,Arizona,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,14,45.0,1
40,A,Hawaii,Arizona,Jackson Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,15.8,0
