sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,Buffalo,Minnesota,TaQuan Roberson,QB,35,22,252.2,1,0,4,0,0.0,0,0,0,0.0,0
0,A,Buffalo,Minnesota,Al-Jay Henderson,Rusher,0,0,0.0,0,0,0,15,73.1,1,0,0,0.0,0
0,A,Buffalo,Minnesota,Other RB,Rusher,0,0,0.0,0,0,0,19,88.3,1,0,0,0.0,0
0,A,Buffalo,Minnesota,Lamar Sperling,Rusher,0,0,0.0,0,0,0,4,-1.1,0,0,0,0.0,0
0,A,Buffalo,Minnesota,Messiah Burch,Rusher,0,0,0.0,0,0,0,2,9.1,0,0,0,0.0,0
0,A,Buffalo,Minnesota,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,10,16,150.5,1
0,A,Buffalo,Minnesota,Nik McMillan,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,9,62.8,0
0,A,Buffalo,Minnesota,Victor Snow,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,27.0,0
0,A,Buffalo,Minnesota,Chance Morrow,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,11.9,0
0,A,Minnesota,Buffalo,Drake Lindsey,QB,31,18,172.0,1,0,7,0,0.0,0,0,0,0.0,0
0,A,Minnesota,Buffalo,Darius Taylor,Rusher,0,0,0.0,0,0,0,13,63.0,0,0,0,0.0,0
0,A,Minnesota,Buffalo,Other RB,Rusher,0,0,0.0,0,0,0,2,18.8,0,0,0,0.0,0
0,A,Minnesota,Buffalo,Cam Davis,Rusher,0,0,0.0,0,0,0,6,21.7,0,0,0,0.0,0
0,A,Minnesota,Buffalo,AJ Turner,Rusher,0,0,0.0,0,0,0,5,-2.5,0,0,0,0.0,0
0,A,Minnesota,Buffalo,Javon Tracy,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,3,0.0,0
0,A,Minnesota,Buffalo,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,12,18,90.4,1
0,A,Minnesota,Buffalo,Malachi Coleman,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,10,81.6,0
1,B,Minnesota,Buffalo,Drake Lindsey,QB,39,26,289.1,1,1,7,0,0.0,0,0,0,0.0,0
1,B,Minnesota,Buffalo,Darius Taylor,Rusher,0,0,0.0,0,0,0,18,61.5,1,0,0,0.0,0
1,B,Minnesota,Buffalo,AJ Turner,Rusher,0,0,0.0,0,0,0,7,23.3,0,0,0,0.0,0
1,B,Minnesota,Buffalo,Other RB,Rusher,0,0,0.0,0,0,0,5,18.3,0,0,0,0.0,0
1,B,Minnesota,Buffalo,Cam Davis,Rusher,0,0,0.0,0,0,0,2,6.3,0,0,0,0.0,0
1,B,Minnesota,Buffalo,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,17,27,198.1,0
1,B,Minnesota,Buffalo,Javon Tracy,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,8,84.4,1
1,B,Minnesota,Buffalo,Malachi Coleman,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,6.6,0
1,B,Minnesota,Buffalo,Logan Loya,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.1,0
1,B,Buffalo,Minnesota,TaQuan Roberson,QB,22,12,222.1,0,0,5,0,0.0,0,0,0,0.0,0
1,B,Buffalo,Minnesota,Messiah Burch,Rusher,0,0,0.0,0,0,0,6,19.0,0,0,0,0.0,0
1,B,Buffalo,Minnesota,Al-Jay Henderson,Rusher,0,0,0.0,0,0,0,13,47.1,1,0,0,0.0,0
1,B,Buffalo,Minnesota,Other RB,Rusher,0,0,0.0,0,0,0,13,58.6,2,0,0,0.0,0
1,B,Buffalo,Minnesota,Lamar Sperling,Rusher,0,0,0.0,0,0,0,4,15.9,0,0,0,0.0,0
1,B,Buffalo,Minnesota,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,13,160.7,0
1,B,Buffalo,Minnesota,Nik McMillan,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,61.3,0
1,B,Buffalo,Minnesota,Chance Morrow,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
1,B,Buffalo,Minnesota,Victor Snow,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
2,A,Buffalo,Minnesota,TaQuan Roberson,QB,38,18,231.5,0,0,7,0,0.0,0,0,0,0.0,0
2,A,Buffalo,Minnesota,Al-Jay Henderson,Rusher,0,0,0.0,0,0,0,16,81.6,1,0,0,0.0,0
2,A,Buffalo,Minnesota,Other RB,Rusher,0,0,0.0,0,0,0,8,33.1,0,0,0,0.0,0
2,A,Buffalo,Minnesota,Messiah Burch,Rusher,0,0,0.0,0,0,0,3,10.5,0,0,0,0.0,0
