sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,Fresno State,Georgia Southern,EJ Warner,QB,38,25,344.7,2,0,8,0,0.0,0,0,0,0.0,0
0,A,Fresno State,Georgia Southern,Bryson Donelson,Rusher,0,0,0.0,0,0,0,7,20.6,0,0,0,0.0,0
0,A,Fresno State,Georgia Southern,Other RB,Rusher,0,0,0.0,0,0,0,14,46.9,2,0,0,0.0,0
0,A,Fresno State,Georgia Southern,Elijah Gilliam,Rusher,0,0,0.0,0,0,0,3,18.8,0,0,0,0.0,0
0,A,Fresno State,Georgia Southern,Josiah Freeman,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,29.1,0
0,A,Fresno State,Georgia Southern,Ezekiel Avit,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,24.5,1
0,A,Fresno State,Georgia Southern,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,19,28,291.1,1
0,A,Fresno State,Georgia Southern,Kamron Beachem,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
0,A,Georgia Southern,Fresno State,JC French IV,QB,42,29,406.3,3,0,1,0,0.0,0,0,0,0.0,0
0,A,Georgia Southern,Fresno State,JC French IV,Rusher,0,0,0.0,0,0,0,9,44.3,2,0,0,0.0,0
0,A,Georgia Southern,Fresno State,David Mbadinga,Rusher,0,0,0.0,0,0,0,11,70.1,0,0,0,0.0,0
0,A,Georgia Southern,Fresno State,OJ Arnold,Rusher,0,0,0.0,0,0,0,13,43.7,0,0,0,0.0,0
0,A,Georgia Southern,Fresno State,Other RB,Rusher,0,0,0.0,0,0,0,8,43.7,1,0,0,0.0,0
0,A,Georgia Southern,Fresno State,River Helms,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,9,72.1,0
0,A,Georgia Southern,Fresno State,Josh Dallas,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,8,76.1,1
0,A,Georgia Southern,Fresno State,Dalen Cobb,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,101.3,0
0,A,Georgia Southern,Fresno State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,12,19,156.8,2
1,B,Georgia Southern,Fresno State,JC French IV,QB,32,22,328.8,1,0,4,0,0.0,0,0,0,0.0,0
1,B,Georgia Southern,Fresno State,JC French IV,Rusher,0,0,0.0,0,0,0,13,102.6,1,0,0,0.0,0
1,B,Georgia Southern,Fresno State,David Mbadinga,Rusher,0,0,0.0,0,0,0,4,43.5,0,0,0,0.0,0
1,B,Georgia Southern,Fresno State,OJ Arnold,Rusher,0,0,0.0,0,0,0,18,66.1,2,0,0,0.0,0
1,B,Georgia Southern,Fresno State,Other RB,Rusher,0,0,0.0,0,0,0,6,6.5,1,0,0,0.0,0
1,B,Georgia Southern,Fresno State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,14,18,240.5,1
1,B,Georgia Southern,Fresno State,River Helms,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,30.5,0
1,B,Georgia Southern,Fresno State,Josh Dallas,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,50.1,0
1,B,Georgia Southern,Fresno State,Dalen Cobb,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,7.7,0
1,B,Fresno State,Georgia Southern,EJ Warner,QB,34,23,250.9,1,0,10,0,0.0,0,0,0,0.0,0
1,B,Fresno State,Georgia Southern,Bryson Donelson,Rusher,0,0,0.0,0,0,0,13,55.7,0,0,0,0.0,0
1,B,Fresno State,Georgia Southern,Other RB,Rusher,0,0,0.0,0,0,0,14,47.3,0,0,0,0.0,0
1,B,Fresno State,Georgia Southern,Elijah Gilliam,Rusher,0,0,0.0,0,0,0,1,7.4,0,0,0,0.0,0
1,B,Fresno State,Georgia Southern,Johnathan Arceneaux,Rusher,0,0,0.0,0,0,0,1,-0.6,0,0,0,0.0,0
1,B,Fresno State,Georgia Southern,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,20,28,222.1,1
1,B,Fresno State,Georgia Southern,Kamron Beachem,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,24.5,0
1,B,Fresno State,Georgia Southern,Ezekiel Avit,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,4.3,0
2,A,Fresno State,Georgia Southern,EJ Warner,QB,27,18,268.9,1,0,3,0,0.0,0,0,0,0.0,0
2,A,Fresno State,Georgia Southern,Other RB,Rusher,0,0,0.0,0,0,0,20,97.3,3,0,0,0.0,0
2,A,Fresno State,Georgia Southern,Elijah Gilliam,Rusher,0,0,0.0,0,0,0,5,16.7,0,0,0,0.0,0
2,A,Fresno State,Georgia Southern,Bryson Donelson,Rusher,0,0,0.0,0,0,0,17,56.5,0,0,0,0.0,0
