sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
16,A,Georgia,Marshall,Gunner Stockton,QB,24,19,230.3,2,0,3,0,0.0,0,0,0,0.0,0
16,A,Georgia,Marshall,Gunner Stockton,Rusher,0,0,0.0,0,0,0,6,24.8,0,0,0,0.0,0
16,A,Georgia,Marshall,Nate Frazier,Rusher,0,0,0.0,0,0,0,13,49.6,1,0,0,0.0,0
16,A,Georgia,Marshall,Roderick Robinson II,Rusher,0,0,0.0,0,0,0,12,59.1,1,0,0,0.0,0
16,A,Georgia,Marshall,Other RB,Rusher,0,0,0.0,0,0,0,2,5.5,0,0,0,0.0,0
16,A,Georgia,Marshall,Colbie Young,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,43.7,0
16,A,Georgia,Marshall,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,11,14,146.5,2
16,A,Georgia,Marshall,Zachariah Branch,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,40.1,0
16,A,Georgia,Marshall,Noah Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
16,A,Marshall,Georgia,Carlos Del Rio-Wilson,QB,29,19,253.9,2,0,4,0,0.0,0,0,0,0.0,0
16,A,Marshall,Georgia,Carlos Del Rio-Wilson,Rusher,0,0,0.0,0,0,0,9,42.4,1,0,0,0.0,0
16,A,Marshall,Georgia,Other RB,Rusher,0,0,0.0,0,0,0,9,14.5,0,0,0,0.0,0
16,A,Marshall,Georgia,Tony Mathis Jr,Rusher,0,0,0.0,0,0,0,5,21.7,0,0,0,0.0,0
16,A,Marshall,Georgia,Michael Allen,Rusher,0,0,0.0,0,0,0,8,46.9,0,0,0,0.0,0
16,A,Marshall,Georgia,Demarcus Lacey,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,40.8,1
16,A,Marshall,Georgia,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,9,16,138.2,0
16,A,Marshall,Georgia,Bryan Robinson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,24.2,1
16,A,Marshall,Georgia,Toby Payne,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,50.7,0
17,B,Marshall,Georgia,Carlos Del Rio-Wilson,QB,27,16,280.5,1,0,5,0,0.0,0,0,0,0.0,0
17,B,Marshall,Georgia,Tony Mathis Jr,Rusher,0,0,0.0,0,0,0,6,3.7,1,0,0,0.0,0
17,B,Marshall,Georgia,Michael Allen,Rusher,0,0,0.0,0,0,0,9,18.0,0,0,0,0.0,0
17,B,Marshall,Georgia,Carlos Del Rio-Wilson,Rusher,0,0,0.0,0,0,0,4,11.0,1,0,0,0.0,0
17,B,Marshall,Georgia,Other RB,Rusher,0,0,0.0,0,0,0,10,29.6,0,0,0,0.0,0
17,B,Marshall,Georgia,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,14,21,268.4,1
17,B,Marshall,Georgia,Demarcus Lacey,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,3,0.0,0
17,B,Marshall,Georgia,Bryan Robinson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,2.1,0
17,B,Marshall,Georgia,Toby Payne,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,9.9,0
17,B,Georgia,Marshall,Gunner Stockton,QB,26,20,312.6,2,0,2,0,0.0,0,0,0,0.0,0
17,B,Georgia,Marshall,Roderick Robinson II,Rusher,0,0,0.0,0,0,0,14,73.0,2,0,0,0.0,0
17,B,Georgia,Marshall,Nate Frazier,Rusher,0,0,0.0,0,0,0,19,67.2,1,0,0,0.0,0
17,B,Georgia,Marshall,Other RB,Rusher,0,0,0.0,0,0,0,3,20.6,0,0,0,0.0,0
17,B,Georgia,Marshall,Gunner Stockton,Rusher,0,0,0.0,0,0,0,1,13.7,0,0,0,0.0,0
17,B,Georgia,Marshall,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,11,14,191.1,1
17,B,Georgia,Marshall,Zachariah Branch,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,91.5,0
17,B,Georgia,Marshall,Colbie Young,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,30.1,1
17,B,Georgia,Marshall,Noah Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,0.0,0
18,A,Georgia,Marshall,Gunner Stockton,QB,27,20,316.8,3,0,5,0,0.0,0,0,0,0.0,0
18,A,Georgia,Marshall,Gunner Stockton,Rusher,0,0,0.0,0,0,0,5,19.1,0,0,0,0.0,0
18,A,Georgia,Marshall,Nate Frazier,Rusher,0,0,0.0,0,0,0,16,22.7,0,0,0,0.0,0
18,A,Georgia,Marshall,Roderick Robinson II,Rusher,0,0,0.0,0,0,0,12,63.4,3,0,0,0.0,0
18,A,Georgia,Marshall,Other RB,Rusher,0,0,0.0,0,0,0,3,1.7,0,0,0,0.0,0
18,A,Georgia,Marshall,Colbie Young,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,49.1,0
18,A,Georgia,Marshall,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,11,15,191.4,2
18,A,Georgia,Marshall,Noah Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,76.3,1
18,A,Marshall,Georgia,Carlos Del Rio-Wilson,QB,21,13,139.7,0,0,4,0,0.0,0,0,0,0.0,0
18,A,Marshall,Georgia,Carlos Del Rio-Wilson,Rusher,0,0,0.0,0,0,0,12,47.2,1,0,0,0.0,0
18,A,Marshall,Georgia,Michael Allen,Rusher,0,0,0.0,0,0,0,7,21.1,0,0,0,0.0,0
18,A,Marshall,Georgia,Other RB,Rusher,0,0,0.0,0,0,0,8,25.6,0,0,0,0.0,0
18,A,Marshall,Georgia,Tony Mathis Jr,Rusher,0,0,0.0,0,0,0,4,5.8,1,0,0,0.0,0
18,A,Marshall,Georgia,Toby Payne,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,36.7,0
18,A,Marshall,Georgia,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,12,63.0,0
18,A,Marshall,Georgia,Demarcus Lacey,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,32.9,0
18,A,Marshall,Georgia,Bryan Robinson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,7.1,0
19,B,Marshall,Georgia,Carlos Del Rio-Wilson,QB,20,11,83.8,0,0,10,0,0.0,0,0,0,0.0,0
19,B,Marshall,Georgia,Michael Allen,Rusher,0,0,0.0,0,0,0,6,41.3,0,0,0,0.0,0
19,B,Marshall,Georgia,Other RB,Rusher,0,0,0.0,0,0,0,7,12.3,0,0,0,0.0,0
19,B,Marshall,Georgia,Tony Mathis Jr,Rusher,0,0,0.0,0,0,0,6,24.0,0,0,0,0.0,0
19,B,Marshall,Georgia,Carlos Del Rio-Wilson,Rusher,0,0,0.0,0,0,0,5,24.3,0,0,0,0.0,0
19,B,Marshall,Georgia,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,15,62.8,0
19,B,Marshall,Georgia,Bryan Robinson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,8.6,0
19,B,Marshall,Georgia,Demarcus Lacey,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
19,B,Marshall,Georgia,Toby Payne,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,12.3,0
19,B,Georgia,Marshall,Gunner Stockton,QB,30,24,355.7,3,0,1,0,0.0,0,0,0,0.0,0
19,B,Georgia,Marshall,Nate Frazier,Rusher,0,0,0.0,0,0,0,6,42.4,0,0,0,0.0,0
19,B,Georgia,Marshall,Roderick Robinson II,Rusher,0,0,0.0,0,0,0,13,70.7,1,0,0,0.0,0
19,B,Georgia,Marshall,Gunner Stockton,Rusher,0,0,0.0,0,0,0,9,40.8,1,0,0,0.0,0
19,B,Georgia,Marshall,Other RB,Rusher,0,0,0.0,0,0,0,11,60.8,1,0,0,0.0,0
19,B,Georgia,Marshall,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,15,17,243.7,2
19,B,Georgia,Marshall,Zachariah Branch,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,7.8,0
19,B,Georgia,Marshall,Colbie Young,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,73.7,1
19,B,Georgia,Marshall,Noah Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,30.5,0
20,A,Georgia,Marshall,Gunner Stockton,QB,25,21,388.8,3,0,5,0,0.0,0,0,0,0.0,0
