sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,Georgia Tech,Colorado,Haynes King,QB,33,16,222.1,1,0,2,0,0.0,0,0,0,0.0,0
0,A,Georgia Tech,Colorado,Jamal Haynes,Rusher,0,0,0.0,0,0,0,16,85.7,1,0,0,0.0,0
0,A,Georgia Tech,Colorado,Haynes King,Rusher,0,0,0.0,0,0,0,11,44.7,1,0,0,0.0,0
0,A,Georgia Tech,Colorado,Malachi Hoseley,Rusher,0,0,0.0,0,0,0,9,29.9,0,0,0,0.0,0
0,A,Georgia Tech,Colorado,Other RB,Rusher,0,0,0.0,0,0,0,3,0.4,0,0,0,0.0,0
0,A,Georgia Tech,Colorado,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,10,23,160.9,0
0,A,Georgia Tech,Colorado,Eric Rivers,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,50.4,1
0,A,Georgia Tech,Colorado,Malik Rutherford,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,10.8,0
0,A,Colorado,Georgia Tech,Kaidon Salter,QB,25,19,181.0,1,0,8,0,0.0,0,0,0,0.0,0
0,A,Colorado,Georgia Tech,Kaidon Salter,Rusher,0,0,0.0,0,0,0,7,4.9,0,0,0,0.0,0
0,A,Colorado,Georgia Tech,Other RB,Rusher,0,0,0.0,0,0,0,5,0.2,0,0,0,0.0,0
0,A,Colorado,Georgia Tech,Dallan Hayden,Rusher,0,0,0.0,0,0,0,12,72.6,1,0,0,0.0,0
0,A,Colorado,Georgia Tech,Micah Welch,Rusher,0,0,0.0,0,0,0,6,32.9,0,0,0,0.0,0
0,A,Colorado,Georgia Tech,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,9,80.3,1
0,A,Colorado,Georgia Tech,Omarion Miller,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,11.1,0
0,A,Colorado,Georgia Tech,Joseph Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,9,76.0,0
0,A,Colorado,Georgia Tech,Drelon Miller,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,13.6,0
1,B,Colorado,Georgia Tech,Kaidon Salter,QB,30,17,243.9,0,0,6,0,0.0,0,0,0,0.0,0
1,B,Colorado,Georgia Tech,Dallan Hayden,Rusher,0,0,0.0,0,0,0,12,38.7,2,0,0,0.0,0
1,B,Colorado,Georgia Tech,Micah Welch,Rusher,0,0,0.0,0,0,0,10,58.1,1,0,0,0.0,0
