sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,Kennesaw State,Wake Forest,Dexter Williams II,QB,35,21,228.9,0,0,6,0,0.0,0,0,0,0.0,0
0,A,Kennesaw State,Wake Forest,Dexter Williams II,Rusher,0,0,0.0,0,0,0,4,6.1,0,0,0,0.0,0
0,A,Kennesaw State,Wake Forest,Chase Belcher,Rusher,0,0,0.0,0,0,0,16,48.3,1,0,0,0.0,0
0,A,Kennesaw State,Wake Forest,Other RB,Rusher,0,0,0.0,0,0,0,7,33.8,0,0,0,0.0,0
0,A,Kennesaw State,Wake Forest,Davis Bryson,Rusher,0,0,0.0,0,0,0,8,36.7,1,0,0,0.0,0
0,A,Kennesaw State,Wake Forest,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,13,22,177.4,0
0,A,Kennesaw State,Wake Forest,Gabriel Benyard,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,0.0,0
0,A,Kennesaw State,Wake Forest,Christian Moss,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,6,49.4,0
0,A,Kennesaw State,Wake Forest,Navelle Bean,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,2.2,0
0,A,Wake Forest,Kennesaw State,Robby Ashford,QB,34,22,270.6,0,0,9,0,0.0,0,0,0,0.0,0
0,A,Wake Forest,Kennesaw State,Tate Carney,Rusher,0,0,0.0,0,0,0,6,49.0,1,0,0,0.0,0
0,A,Wake Forest,Kennesaw State,Demond Claiborne,Rusher,0,0,0.0,0,0,0,21,94.6,0,0,0,0.0,0
0,A,Wake Forest,Kennesaw State,Other RB,Rusher,0,0,0.0,0,0,0,9,21.7,0,0,0,0.0,0
0,A,Wake Forest,Kennesaw State,Robby Ashford,Rusher,0,0,0.0,0,0,0,6,30.6,2,0,0,0.0,0
0,A,Wake Forest,Kennesaw State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,15,24,191.6,0
0,A,Wake Forest,Kennesaw State,Carlos Hernandez,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,44.8,0
0,A,Wake Forest,Kennesaw State,Micah Mays Jr,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,12.6,0
0,A,Wake Forest,Kennesaw State,Sterling Berkhalter,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,21.6,0
1,B,Wake Forest,Kennesaw State,Robby Ashford,QB,42,28,417.3,4,0,0,0,0.0,0,0,0,0.0,0
1,B,Wake Forest,Kennesaw State,Tate Carney,Rusher,0,0,0.0,0,0,0,8,35.2,0,0,0,0.0,0
1,B,Wake Forest,Kennesaw State,Other RB,Rusher,0,0,0.0,0,0,0,7,32.7,1,0,0,0.0,0
1,B,Wake Forest,Kennesaw State,Demond Claiborne,Rusher,0,0,0.0,0,0,0,36,146.1,2,0,0,0.0,0
1,B,Wake Forest,Kennesaw State,Robby Ashford,Rusher,0,0,0.0,0,0,0,7,41.5,0,0,0,0.0,0
1,B,Wake Forest,Kennesaw State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,19,28,292.8,3
1,B,Wake Forest,Kennesaw State,Carlos Hernandez,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,51.9,0
1,B,Wake Forest,Kennesaw State,Sterling Berkhalter,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,36.6,0
1,B,Wake Forest,Kennesaw State,Micah Mays Jr,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,36.0,1
1,B,Kennesaw State,Wake Forest,Dexter Williams II,QB,25,14,250.4,0,0,8,0,0.0,0,0,0,0.0,0
1,B,Kennesaw State,Wake Forest,Davis Bryson,Rusher,0,0,0.0,0,0,0,15,83.4,2,0,0,0.0,0
1,B,Kennesaw State,Wake Forest,Chase Belcher,Rusher,0,0,0.0,0,0,0,10,36.3,0,0,0,0.0,0
1,B,Kennesaw State,Wake Forest,Other RB,Rusher,0,0,0.0,0,0,0,7,32.7,1,0,0,0.0,0
1,B,Kennesaw State,Wake Forest,Dexter Williams II,Rusher,0,0,0.0,0,0,0,2,6.3,0,0,0,0.0,0
1,B,Kennesaw State,Wake Forest,Christian Moss,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,21.6,0
1,B,Kennesaw State,Wake Forest,Gabriel Benyard,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,47.4,0
1,B,Kennesaw State,Wake Forest,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,10,16,181.4,0
2,A,Kennesaw State,Wake Forest,Dexter Williams II,QB,25,12,96.4,0,0,8,0,0.0,0,0,0,0.0,0
2,A,Kennesaw State,Wake Forest,Other RB,Rusher,0,0,0.0,0,0,0,10,46.8,1,0,0,0.0,0
2,A,Kennesaw State,Wake Forest,Davis Bryson,Rusher,0,0,0.0,0,0,0,16,64.1,2,0,0,0.0,0
2,A,Kennesaw State,Wake Forest,Dexter Williams II,Rusher,0,0,0.0,0,0,0,7,54.9,0,0,0,0.0,0
2,A,Kennesaw State,Wake Forest,Chase Belcher,Rusher,0,0,0.0,0,0,0,12,55.1,0,0,0,0.0,0
2,A,Kennesaw State,Wake Forest,Gabriel Benyard,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,5,0.0,0
2,A,Kennesaw State,Wake Forest,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,17,75.0,0
2,A,Kennesaw State,Wake Forest,Navelle Bean,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,7.3,0
2,A,Kennesaw State,Wake Forest,Christian Moss,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,14.1,0
2,A,Wake Forest,Kennesaw State,Robby Ashford,QB,35,22,212.1,1,0,7,0,0.0,0,0,0,0.0,0
2,A,Wake Forest,Kennesaw State,Robby Ashford,Rusher,0,0,0.0,0,0,0,4,11.6,0,0,0,0.0,0
