sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
16,A,Kentucky,Toledo,Zach Calzada,QB,27,24,312.7,1,0,2,0,0.0,0,0,0,0.0,0
16,A,Kentucky,Toledo,Jamarion Wilcox,Rusher,0,0,0.0,0,0,0,14,99.3,3,0,0,0.0,0
16,A,Kentucky,Toledo,Dante Dowdell,Rusher,0,0,0.0,0,0,0,11,34.7,0,0,0,0.0,0
16,A,Kentucky,Toledo,Other RB,Rusher,0,0,0.0,0,0,0,9,68.1,1,0,0,0.0,0
16,A,Kentucky,Toledo,Zach Calzada,Rusher,0,0,0.0,0,0,0,7,19.8,1,0,0,0.0,0
16,A,Kentucky,Toledo,JJ Hester,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,6,69.4,0
16,A,Kentucky,Toledo,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,14,17,184.4,1
16,A,Kentucky,Toledo,JaMori Maclin,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,59.0,0
16,A,Toledo,Kentucky,Tucker Gleason,QB,31,17,187.7,1,0,4,0,0.0,0,0,0,0.0,0
16,A,Toledo,Kentucky,Other RB,Rusher,0,0,0.0,0,0,0,9,51.3,0,0,0,0.0,0
16,A,Toledo,Kentucky,Tucker Gleason,Rusher,0,0,0.0,0,0,0,8,29.1,0,0,0,0.0,0
16,A,Toledo,Kentucky,Connor Walendzak,Rusher,0,0,0.0,0,0,0,7,19.1,0,0,0,0.0,0
16,A,Toledo,Kentucky,Trayvon Rudolph,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,46.2,0
16,A,Toledo,Kentucky,Junior Vandeross III,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,1.9,0
16,A,Toledo,Kentucky,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,9,20,121.1,1
16,A,Toledo,Kentucky,Jaden Dottin,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,18.4,0
