sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,Miami,Notre Dame,Carson Beck,QB,38,28,376.3,3,0,3,0,0.0,0,0,0,0.0,0
0,A,Miami,Notre Dame,Mark Fletcher Jr,Rusher,0,0,0.0,0,0,0,11,41.3,0,0,0,0.0,0
0,A,Miami,Notre Dame,Other RB,Rusher,0,0,0.0,0,0,0,6,4.2,0,0,0,0.0,0
0,A,Miami,Notre Dame,Jordan Lyle,Rusher,0,0,0.0,0,0,0,5,13.1,1,0,0,0.0,0
0,A,Miami,Notre Dame,Carson Beck,Rusher,0,0,0.0,0,0,0,1,1.9,0,0,0,0.0,0
0,A,Miami,Notre Dame,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,22,28,318.3,2
0,A,Miami,Notre Dame,CJ Daniels,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,21.3,0
0,A,Miami,Notre Dame,Joshisa Trader,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,36.7,1
0,A,Miami,Notre Dame,Alex Bauman,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,3,0.0,0
0,A,Notre Dame,Miami,CJ Carr,QB,29,23,278.8,2,0,4,0,0.0,0,0,0,0.0,0
0,A,Notre Dame,Miami,Aneyas Williams,Rusher,0,0,0.0,0,0,0,8,23.7,0,0,0,0.0,0
0,A,Notre Dame,Miami,Jadarian Price,Rusher,0,0,0.0,0,0,0,10,45.5,1,0,0,0.0,0
0,A,Notre Dame,Miami,Other RB,Rusher,0,0,0.0,0,0,0,10,25.4,2,0,0,0.0,0
0,A,Notre Dame,Miami,Jeremiyah Love,Rusher,0,0,0.0,0,0,0,13,95.9,0,0,0,0.0,0
0,A,Notre Dame,Miami,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,15,21,211.5,1
0,A,Notre Dame,Miami,Will Pauling,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,30.1,0
0,A,Notre Dame,Miami,Jaden Greathouse,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,15.9,1
0,A,Notre Dame,Miami,Malachi Fields,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,21.3,0
1,B,Notre Dame,Miami,CJ Carr,QB,20,19,173.7,1,0,9,0,0.0,0,0,0,0.0,0
1,B,Notre Dame,Miami,Aneyas Williams,Rusher,0,0,0.0,0,0,0,10,52.6,0,0,0,0.0,0
1,B,Notre Dame,Miami,Other RB,Rusher,0,0,0.0,0,0,0,6,18.8,0,0,0,0.0,0
1,B,Notre Dame,Miami,Jeremiyah Love,Rusher,0,0,0.0,0,0,0,9,46.7,0,0,0,0.0,0
1,B,Notre Dame,Miami,Jadarian Price,Rusher,0,0,0.0,0,0,0,4,15.0,1,0,0,0.0,0
1,B,Notre Dame,Miami,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,12,13,111.0,0
1,B,Notre Dame,Miami,Jaden Greathouse,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,13.8,0
1,B,Notre Dame,Miami,Malachi Fields,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,17.2,0
