sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,Texas A&M,UTSA,Marcel Reed,QB,30,27,285.0,1,0,3,0,0.0,0,0,0,0.0,0
0,A,Texas A&M,UTSA,Other RB,Rusher,0,0,0.0,0,0,0,8,31.7,0,0,0,0.0,0
0,A,Texas A&M,UTSA,LeVeon Moss,Rusher,0,0,0.0,0,0,0,17,70.3,1,0,0,0.0,0
0,A,Texas A&M,UTSA,Amari Daniels,Rusher,0,0,0.0,0,0,0,10,25.4,1,0,0,0.0,0
0,A,Texas A&M,UTSA,Marcel Reed,Rusher,0,0,0.0,0,0,0,5,28.4,0,0,0,0.0,0
0,A,Texas A&M,UTSA,KC Concepcion,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,3.0,0
0,A,Texas A&M,UTSA,Theo Melin Ohrstrom,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,28.3,0
0,A,Texas A&M,UTSA,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,17,19,213.0,1
0,A,Texas A&M,UTSA,Mario Craver,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,40.8,0
0,A,UTSA,Texas A&M,Owen McCown,QB,21,15,187.1,1,0,8,0,0.0,0,0,0,0.0,0
0,A,UTSA,Texas A&M,Other RB,Rusher,0,0,0.0,0,0,0,7,35.3,0,0,0,0.0,0
0,A,UTSA,Texas A&M,Owen McCown,Rusher,0,0,0.0,0,0,0,6,20.4,0,0,0,0.0,0
0,A,UTSA,Texas A&M,Will Henderson III,Rusher,0,0,0.0,0,0,0,5,10.4,0,0,0,0.0,0
0,A,UTSA,Texas A&M,Robert Henry Jr,Rusher,0,0,0.0,0,0,0,7,41.7,0,0,0,0.0,0
0,A,UTSA,Texas A&M,Devin McCuin,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,20.9,0
0,A,UTSA,Texas A&M,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,10,15,137.0,1
0,A,UTSA,Texas A&M,DeCorian Clark,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.6,0
0,A,UTSA,Texas A&M,David Amador II,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,28.6,0
1,B,UTSA,Texas A&M,Owen McCown,QB,29,20,238.9,1,0,11,0,0.0,0,0,0,0.0,0
1,B,UTSA,Texas A&M,Will Henderson III,Rusher,0,0,0.0,0,0,0,6,7.5,0,0,0,0.0,0
1,B,UTSA,Texas A&M,Robert Henry Jr,Rusher,0,0,0.0,0,0,0,11,64.2,0,0,0,0.0,0
1,B,UTSA,Texas A&M,Other RB,Rusher,0,0,0.0,0,0,0,17,65.2,1,0,0,0.0,0
1,B,UTSA,Texas A&M,Owen McCown,Rusher,0,0,0.0,0,0,0,4,11.0,0,0,0,0.0,0
1,B,UTSA,Texas A&M,DeCorian Clark,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
1,B,UTSA,Texas A&M,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,10,17,125.9,1
