sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Utah State,UTEP,Bryson Barnes,QB,32,22,344.5,5,0,4,0,0.0,0,0,0,0.0,0
32,A,Utah State,UTEP,Javen Jacobs,Rusher,0,0,0.0,0,0,0,16,34.3,0,0,0,0.0,0
32,A,Utah State,UTEP,Derrick Jameson,Rusher,0,0,0.0,0,0,0,9,30.2,0,0,0,0.0,0
32,A,Utah State,UTEP,Bryson Barnes,Rusher,0,0,0.0,0,0,0,7,35.8,0,0,0,0.0,0
32,A,Utah State,UTEP,Josh Sterzer,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,21.4,0
32,A,Utah State,UTEP,Broc Lane,Receiver,0,0,0.0,0,0,0,0,0.0,0,9,9,98.8,1
32,A,Utah State,UTEP,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,9,16,209.1,3
32,A,Utah State,UTEP,Demick Starling,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,15.2,1
32,A,UTEP,Utah State,Sklyer Locklear,QB,41,24,326.8,4,0,6,0,0.0,0,0,0,0.0,0
32,A,UTEP,Utah State,Ashten Emory,Rusher,0,0,0.0,0,0,0,16,63.0,0,0,0,0.0,0
32,A,UTEP,Utah State,Sklyer Locklear,Rusher,0,0,0.0,0,0,0,11,44.9,0,0,0,0.0,0
32,A,UTEP,Utah State,Hahsaun Wilson,Rusher,0,0,0.0,0,0,0,15,66.3,0,0,0,0.0,0
32,A,UTEP,Utah State,Other RB,Rusher,0,0,0.0,0,0,0,2,-4.1,0,0,0,0.0,0
32,A,UTEP,Utah State,Jaden Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,13.9,0
32,A,UTEP,Utah State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,11,22,182.8,3
32,A,UTEP,Utah State,Kenny Odom,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,8,106.6,0
32,A,UTEP,Utah State,Kam Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,23.5,1
33,B,UTEP,Utah State,Sklyer Locklear,QB,39,25,208.0,2,0,6,0,0.0,0,0,0,0.0,0
33,B,UTEP,Utah State,Other RB,Rusher,0,0,0.0,0,0,0,8,21.5,0,0,0,0.0,0
33,B,UTEP,Utah State,Hahsaun Wilson,Rusher,0,0,0.0,0,0,0,13,73.3,0,0,0,0.0,0
33,B,UTEP,Utah State,Sklyer Locklear,Rusher,0,0,0.0,0,0,0,9,33.7,0,0,0,0.0,0
33,B,UTEP,Utah State,Ashten Emory,Rusher,0,0,0.0,0,0,0,9,43.2,0,0,0,0.0,0
33,B,UTEP,Utah State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,12,20,97.2,1
33,B,UTEP,Utah State,Jaden Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,55.0,0
33,B,UTEP,Utah State,Kenny Odom,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
33,B,UTEP,Utah State,Kam Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,10,55.8,1
33,B,Utah State,UTEP,Bryson Barnes,QB,40,28,350.4,2,1,2,0,0.0,0,0,0,0.0,0
33,B,Utah State,UTEP,Javen Jacobs,Rusher,0,0,0.0,0,0,0,12,48.4,2,0,0,0.0,0
33,B,Utah State,UTEP,Derrick Jameson,Rusher,0,0,0.0,0,0,0,11,51.3,0,0,0,0.0,0
33,B,Utah State,UTEP,Bryson Barnes,Rusher,0,0,0.0,0,0,0,16,62.6,1,0,0,0.0,0
33,B,Utah State,UTEP,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,15,25,223.4,0
33,B,Utah State,UTEP,Demick Starling,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,48.4,1
33,B,Utah State,UTEP,Broc Lane,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,8,50.5,1
