sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,Wisconsin,Miami (OH),Billy Edwards Jr,QB,23,21,163.4,2,0,6,0,0.0,0,0,0,0.0,0
0,A,Wisconsin,Miami (OH),Cade Yacamelli,Rusher,0,0,0.0,0,0,0,8,31.0,0,0,0,0.0,0
0,A,Wisconsin,Miami (OH),Dilin Jones,Rusher,0,0,0.0,0,0,0,9,12.8,0,0,0,0.0,0
0,A,Wisconsin,Miami (OH),Darrion Dupree,Rusher,0,0,0.0,0,0,0,14,66.1,0,0,0,0.0,0
0,A,Wisconsin,Miami (OH),Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,10,11,84.2,0
0,A,Wisconsin,Miami (OH),Vinny Anthony II,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,8,30.4,0
0,A,Wisconsin,Miami (OH),Trech Kekahuna,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,24.1,1
0,A,Wisconsin,Miami (OH),Joseph Griffin Jr,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,24.7,1
0,A,Miami (OH),Wisconsin,Dequan Finn,QB,27,16,169.1,1,0,7,0,0.0,0,0,0,0.0,0
0,A,Miami (OH),Wisconsin,Jordan Brunson,Rusher,0,0,0.0,0,0,0,10,27.8,0,0,0,0.0,0
0,A,Miami (OH),Wisconsin,Other RB,Rusher,0,0,0.0,0,0,0,4,1.4,0,0,0,0.0,0
0,A,Miami (OH),Wisconsin,Kenny Tracy,Rusher,0,0,0.0,0,0,0,8,34.4,0,0,0,0.0,0
0,A,Miami (OH),Wisconsin,Dequan Finn,Rusher,0,0,0.0,0,0,0,4,4.3,0,0,0,0.0,0
0,A,Miami (OH),Wisconsin,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,14,110.3,1
0,A,Miami (OH),Wisconsin,Kam Perry,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,47.3,0
0,A,Miami (OH),Wisconsin,Darion Williamson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,6.3,0
0,A,Miami (OH),Wisconsin,Deion Colzie,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,5.2,0
1,B,Miami (OH),Wisconsin,Dequan Finn,QB,27,9,152.3,0,0,4,0,0.0,0,0,0,0.0,0
1,B,Miami (OH),Wisconsin,Jordan Brunson,Rusher,0,0,0.0,0,0,0,18,59.2,0,0,0,0.0,0
1,B,Miami (OH),Wisconsin,Kenny Tracy,Rusher,0,0,0.0,0,0,0,7,18.4,0,0,0,0.0,0
1,B,Miami (OH),Wisconsin,Other RB,Rusher,0,0,0.0,0,0,0,8,57.4,1,0,0,0.0,0
1,B,Miami (OH),Wisconsin,Dequan Finn,Rusher,0,0,0.0,0,0,0,4,29.9,0,0,0,0.0,0
1,B,Miami (OH),Wisconsin,Deion Colzie,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,5,0.0,0
1,B,Miami (OH),Wisconsin,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,18,121.3,0
1,B,Miami (OH),Wisconsin,Kam Perry,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,18.9,0
1,B,Miami (OH),Wisconsin,Darion Williamson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,12.1,0
1,B,Wisconsin,Miami (OH),Billy Edwards Jr,QB,25,14,178.3,0,1,2,0,0.0,0,0,0,0.0,0
1,B,Wisconsin,Miami (OH),Darrion Dupree,Rusher,0,0,0.0,0,0,0,18,117.5,2,0,0,0.0,0
1,B,Wisconsin,Miami (OH),Cade Yacamelli,Rusher,0,0,0.0,0,0,0,11,73.5,1,0,0,0.0,0
1,B,Wisconsin,Miami (OH),Dilin Jones,Rusher,0,0,0.0,0,0,0,7,28.1,0,0,0,0.0,0
1,B,Wisconsin,Miami (OH),Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,10,14,124.1,0
1,B,Wisconsin,Miami (OH),Vinny Anthony II,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,0.0,0
1,B,Wisconsin,Miami (OH),Trech Kekahuna,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,6,1.8,0
1,B,Wisconsin,Miami (OH),Joseph Griffin Jr,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,52.5,0
2,A,Wisconsin,Miami (OH),Billy Edwards Jr,QB,25,19,235.0,1,0,6,0,0.0,0,0,0,0.0,0
2,A,Wisconsin,Miami (OH),Dilin Jones,Rusher,0,0,0.0,0,0,0,8,36.3,0,0,0,0.0,0
2,A,Wisconsin,Miami (OH),Cade Yacamelli,Rusher,0,0,0.0,0,0,0,16,116.3,3,0,0,0.0,0
2,A,Wisconsin,Miami (OH),Darrion Dupree,Rusher,0,0,0.0,0,0,0,13,42.5,0,0,0,0.0,0
2,A,Wisconsin,Miami (OH),Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,12,17,143.1,1
2,A,Wisconsin,Miami (OH),Trech Kekahuna,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,35.2,0
2,A,Wisconsin,Miami (OH),Joseph Griffin Jr,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,49.9,0
2,A,Wisconsin,Miami (OH),Vinny Anthony II,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,6.8,0
2,A,Miami (OH),Wisconsin,Dequan Finn,QB,19,8,131.6,1,0,5,0,0.0,0,0,0,0.0,0
2,A,Miami (OH),Wisconsin,Jordan Brunson,Rusher,0,0,0.0,0,0,0,17,66.4,1,0,0,0.0,0
2,A,Miami (OH),Wisconsin,Other RB,Rusher,0,0,0.0,0,0,0,6,14.2,0,0,0,0.0,0
2,A,Miami (OH),Wisconsin,Kenny Tracy,Rusher,0,0,0.0,0,0,0,5,18.7,0,0,0,0.0,0
2,A,Miami (OH),Wisconsin,Dequan Finn,Rusher,0,0,0.0,0,0,0,4,-2.6,0,0,0,0.0,0
2,A,Miami (OH),Wisconsin,Kam Perry,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,23.3,0
2,A,Miami (OH),Wisconsin,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,10,87.7,1
2,A,Miami (OH),Wisconsin,Darion Williamson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
2,A,Miami (OH),Wisconsin,Deion Colzie,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,20.5,0
3,B,Miami (OH),Wisconsin,Dequan Finn,QB,37,22,174.8,1,0,4,0,0.0,0,0,0,0.0,0
3,B,Miami (OH),Wisconsin,Jordan Brunson,Rusher,0,0,0.0,0,0,0,9,18.2,0,0,0,0.0,0
3,B,Miami (OH),Wisconsin,Other RB,Rusher,0,0,0.0,0,0,0,5,-4.2,0,0,0,0.0,0
