team,opp,pts,opp_pts,plays,opp_plays
Baylor,Auburn,17,17,69,68
Auburn,Baylor,42,17,77,56
Baylor,Auburn,14,63,53,76
Auburn,Baylor,38,17,68,72
Baylor,Auburn,24,38,63,72
Auburn,Baylor,45,20,70,72
Baylor,Auburn,27,14,77,63
Auburn,Baylor,59,14,79,58
Baylor,Auburn,21,28,61,73
Auburn,Baylor,31,28,78,64
Baylor,Auburn,41,13,70,69
Auburn,Baylor,36,17,75,57
Baylor,Auburn,41,24,62,76
Auburn,Baylor,66,0,80,54
Baylor,Auburn,10,34,53,73
Auburn,Baylor,48,14,77,54
Baylor,Auburn,6,20,78,66
Auburn,Baylor,27,20,75,66
Baylor,Auburn,24,21,67,70
Auburn,Baylor,35,10,69,55
Baylor,Auburn,28,13,73,62
Auburn,Baylor,27,21,62,68
Baylor,Auburn,31,38,60,71
Auburn,Baylor,28,27,77,64
Baylor,Auburn,10,34,57,78
Auburn,Baylor,38,26,74,69
Baylor,Auburn,0,42,62,63
Auburn,Baylor,35,17,70,70
Baylor,Auburn,27,13,62,77
Auburn,Baylor,34,13,71,69
Baylor,Auburn,31,35,77,71
Auburn,Baylor,41,28,72,65
Baylor,Auburn,23,20,81,59
Auburn,Baylor,20,24,70,69
Baylor,Auburn,27,38,70,65
Auburn,Baylor,7,47,71,70
Baylor,Auburn,14,28,77,62
Auburn,Baylor,31,24,71,68
Baylor,Auburn,28,38,76,67
Auburn,Baylor,31,28,68,71
Baylor,Auburn,20,33,79,67
Auburn,Baylor,33,28,75,62
Baylor,Auburn,27,24,73,64
Auburn,Baylor,10,17,70,61
Baylor,Auburn,31,24,72,63
Auburn,Baylor,35,27,69,73
Baylor,Auburn,20,38,75,63
Auburn,Baylor,28,27,73,67
Baylor,Auburn,20,24,66,69
Auburn,Baylor,14,27,70,64
Baylor,Auburn,37,20,68,71
Auburn,Baylor,24,27,73,64
Baylor,Auburn,40,13,76,70
Auburn,Baylor,23,14,72,60
Baylor,Auburn,10,21,68,65
Auburn,Baylor,17,24,69,65
Baylor,Auburn,10,40,56,79
Auburn,Baylor,34,0,77,56
Baylor,Auburn,17,14,78,63
Auburn,Baylor,37,21,66,68
Baylor,Auburn,37,7,85,58
Auburn,Baylor,28,31,64,75
Baylor,Auburn,34,24,78,69
Auburn,Baylor,42,31,69,75
Baylor,Auburn,7,35,77,63
Auburn,Baylor,27,24,68,68
Baylor,Auburn,10,35,68,60
Auburn,Baylor,30,13,67,69
Baylor,Auburn,0,34,70,70
Auburn,Baylor,20,38,69,70
Baylor,Auburn,24,21,80,58
Auburn,Baylor,16,27,76,57
Baylor,Auburn,34,31,62,71
Auburn,Baylor,38,14,63,70
Baylor,Auburn,30,24,76,67
Auburn,Baylor,23,38,74,60
Baylor,Auburn,45,21,76,61
Auburn,Baylor,24,13,64,79
Baylor,Auburn,17,38,63,69
Auburn,Baylor,27,28,69,66
Baylor,Auburn,16,19,59,70
Auburn,Baylor,24,17,74,57
Baylor,Auburn,10,21,79,63
Auburn,Baylor,42,13,61,70
Baylor,Auburn,24,37,70,69
Auburn,Baylor,45,17,71,65
Baylor,Auburn,21,42,66,68
