team,opp,pts,opp_pts,plays,opp_plays
Clemson,LSU,24,23,63,89
LSU,Clemson,21,7,83,68
Clemson,LSU,38,23,78,77
LSU,Clemson,48,35,89,69
Clemson,LSU,20,21,88,73
LSU,Clemson,34,45,73,90
Clemson,LSU,35,48,84,87
LSU,Clemson,34,27,75,94
Clemson,LSU,63,13,81,85
LSU,Clemson,34,20,82,71
Clemson,LSU,41,21,87,77
LSU,Clemson,45,28,90,74
Clemson,LSU,13,42,79,74
LSU,Clemson,35,35,76,79
Clemson,LSU,17,40,64,103
LSU,Clemson,38,42,77,79
Clemson,LSU,34,24,80,74
LSU,Clemson,21,23,70,80
Clemson,LSU,30,40,73,90
LSU,Clemson,20,31,85,73
Clemson,LSU,13,27,78,71
LSU,Clemson,34,20,80,81
Clemson,LSU,30,38,91,77
LSU,Clemson,34,42,84,81
Clemson,LSU,37,48,95,76
LSU,Clemson,23,49,73,89
Clemson,LSU,35,24,89,76
LSU,Clemson,31,45,69,90
Clemson,LSU,23,30,77,77
LSU,Clemson,20,21,83,72
Clemson,LSU,47,17,91,74
LSU,Clemson,17,49,76,81
Clemson,LSU,42,66,85,80
LSU,Clemson,27,20,82,87
Clemson,LSU,52,27,91,68
LSU,Clemson,13,41,76,75
Clemson,LSU,27,10,92,57
LSU,Clemson,13,23,72,89
Clemson,LSU,37,20,96,66
LSU,Clemson,44,27,87,77
Clemson,LSU,35,27,67,83
LSU,Clemson,44,24,85,62
Clemson,LSU,10,42,71,87
LSU,Clemson,42,24,88,69
Clemson,LSU,52,20,84,81
LSU,Clemson,37,31,79,75
Clemson,LSU,24,24,81,84
LSU,Clemson,31,28,75,79
Clemson,LSU,24,31,69,86
LSU,Clemson,49,37,80,85
Clemson,LSU,44,34,83,86
LSU,Clemson,16,13,72,81
Clemson,LSU,34,40,84,76
LSU,Clemson,24,27,89,79
Clemson,LSU,31,38,80,79
LSU,Clemson,31,34,73,86
Clemson,LSU,49,24,78,82
LSU,Clemson,33,34,83,85
Clemson,LSU,17,49,80,90
LSU,Clemson,44,16,98,65
Clemson,LSU,38,52,89,83
LSU,Clemson,24,24,80,73
Clemson,LSU,34,35,91,63
LSU,Clemson,20,66,69,92
Clemson,LSU,35,13,80,72
LSU,Clemson,35,17,78,82
Clemson,LSU,30,28,88,67
LSU,Clemson,31,34,72,75
Clemson,LSU,42,31,80,79
LSU,Clemson,31,37,79,80
Clemson,LSU,17,45,75,87
LSU,Clemson,38,14,90,65
Clemson,LSU,42,38,78,77
LSU,Clemson,34,23,77,82
Clemson,LSU,24,51,75,81
LSU,Clemson,13,14,76,77
Clemson,LSU,44,41,75,84
LSU,Clemson,28,24,67,80
Clemson,LSU,34,23,71,96
LSU,Clemson,31,30,71,80
Clemson,LSU,33,24,83,80
LSU,Clemson,21,28,74,74
Clemson,LSU,24,42,79,77
LSU,Clemson,59,10,93,80
Clemson,LSU,31,33,80,91
LSU,Clemson,13,24,71,85
Clemson,LSU,26,34,88,70
LSU,Clemson,14,38,79,78
Clemson,LSU,49,31,83,72
LSU,Clemson,33,35,98,69
Clemson,LSU,28,28,75,72
LSU,Clemson,21,41,74,80
Clemson,LSU,38,30,85,65
LSU,Clemson,37,31,88,74
Clemson,LSU,27,21,85,71
LSU,Clemson,24,49,77,85
Clemson,LSU,31,20,81,74
LSU,Clemson,38,38,84,75
Clemson,LSU,45,30,87,78
LSU,Clemson,20,27,80,81
Clemson,LSU,24,31,83,80
LSU,Clemson,44,38,80,81
Clemson,LSU,49,27,91,69
LSU,Clemson,28,48,83,75
Clemson,LSU,38,31,78,74
LSU,Clemson,28,24,80,74
Clemson,LSU,27,10,80,76
LSU,Clemson,20,42,83,80
Clemson,LSU,20,48,80,75
LSU,Clemson,49,48,82,88
Clemson,LSU,34,54,86,76
LSU,Clemson,52,35,84,85
Clemson,LSU,35,17,80,76
LSU,Clemson,14,35,77,80
Clemson,LSU,40,0,87,58
LSU,Clemson,52,38,83,85
Clemson,LSU,34,17,96,65
LSU,Clemson,28,52,84,80
Clemson,LSU,41,27,84,76
LSU,Clemson,40,34,81,79
Clemson,LSU,30,24,79,77
LSU,Clemson,31,21,77,80
Clemson,LSU,45,14,88,75
LSU,Clemson,27,27,72,81
Clemson,LSU,28,27,82,80
LSU,Clemson,44,38,92,87
Clemson,LSU,59,20,85,76
LSU,Clemson,48,21,94,59
Clemson,LSU,31,24,89,69
LSU,Clemson,38,17,74,77
Clemson,LSU,27,28,90,64
LSU,Clemson,35,27,71,87
Clemson,LSU,24,24,78,83
LSU,Clemson,35,27,88,80
Clemson,LSU,27,37,73,82
LSU,Clemson,31,35,99,71
Clemson,LSU,41,31,86,71
LSU,Clemson,16,24,72,78
Clemson,LSU,30,34,85,74
LSU,Clemson,34,17,87,73
Clemson,LSU,28,24,78,80
LSU,Clemson,45,34,70,88
Clemson,LSU,13,55,67,85
LSU,Clemson,34,45,76,77
Clemson,LSU,35,44,68,90
LSU,Clemson,24,45,89,71
Clemson,LSU,38,34,82,83
LSU,Clemson,41,14,84,83
Clemson,LSU,37,28,80,69
LSU,Clemson,49,34,67,88
Clemson,LSU,26,24,82,70
LSU,Clemson,28,48,59,88
Clemson,LSU,62,27,89,80
LSU,Clemson,24,37,76,82
Clemson,LSU,31,34,83,81
LSU,Clemson,10,35,62,93
Clemson,LSU,34,42,84,86
LSU,Clemson,56,28,83,81
Clemson,LSU,14,51,65,84
LSU,Clemson,28,34,77,84
Clemson,LSU,44,38,82,80
LSU,Clemson,37,34,82,81
Clemson,LSU,32,31,95,77
LSU,Clemson,30,38,86,79
Clemson,LSU,19,34,75,86
LSU,Clemson,16,45,72,81
Clemson,LSU,35,13,87,75
LSU,Clemson,21,48,73,95
Clemson,LSU,35,34,88,74
LSU,Clemson,34,16,82,68
Clemson,LSU,42,38,83,74
LSU,Clemson,48,24,85,83
Clemson,LSU,45,27,87,80
LSU,Clemson,44,31,92,81
Clemson,LSU,24,28,80,81
LSU,Clemson,35,31,77,89
