team,opp,pts,opp_pts,plays,opp_plays
Kennesaw State,Wake Forest,20,27,76,85
Wake Forest,Kennesaw State,55,24,100,67
Kennesaw State,Wake Forest,24,20,78,65
Wake Forest,Kennesaw State,30,24,83,77
Kennesaw State,Wake Forest,3,45,72,87
Wake Forest,Kennesaw State,21,17,68,78
Kennesaw State,Wake Forest,17,41,68,80
Wake Forest,Kennesaw State,31,37,71,78
Kennesaw State,Wake Forest,28,14,71,61
Wake Forest,Kennesaw State,30,16,70,93
Kennesaw State,Wake Forest,6,20,72,79
Wake Forest,Kennesaw State,27,3,86,76
Kennesaw State,Wake Forest,0,23,71,74
Wake Forest,Kennesaw State,40,21,80,73
Kennesaw State,Wake Forest,10,44,84,85
Wake Forest,Kennesaw State,48,13,78,73
Kennesaw State,Wake Forest,22,13,71,69
Wake Forest,Kennesaw State,45,14,98,65
Kennesaw State,Wake Forest,13,35,71,85
Wake Forest,Kennesaw State,24,27,66,73
Kennesaw State,Wake Forest,10,51,72,88
Wake Forest,Kennesaw State,34,3,77,78
Kennesaw State,Wake Forest,34,35,78,64
Wake Forest,Kennesaw State,33,49,76,73
Kennesaw State,Wake Forest,24,43,79,63
Wake Forest,Kennesaw State,51,3,90,76
Kennesaw State,Wake Forest,7,34,69,89
Wake Forest,Kennesaw State,33,7,84,74
Kennesaw State,Wake Forest,10,29,80,74
Wake Forest,Kennesaw State,31,10,72,83
Kennesaw State,Wake Forest,7,30,75,77
Wake Forest,Kennesaw State,38,17,80,79
Kennesaw State,Wake Forest,17,41,67,81
Wake Forest,Kennesaw State,24,10,86,72
Kennesaw State,Wake Forest,20,38,82,69
Wake Forest,Kennesaw State,24,28,74,76
Kennesaw State,Wake Forest,17,24,71,72
Wake Forest,Kennesaw State,24,21,75,72
Kennesaw State,Wake Forest,48,28,77,67
Wake Forest,Kennesaw State,27,17,74,79
Kennesaw State,Wake Forest,0,34,74,79
Wake Forest,Kennesaw State,28,27,74,80
Kennesaw State,Wake Forest,16,34,78,79
Wake Forest,Kennesaw State,23,17,75,82
Kennesaw State,Wake Forest,21,23,81,62
Wake Forest,Kennesaw State,36,0,89,70
Kennesaw State,Wake Forest,24,27,72,90
Wake Forest,Kennesaw State,38,0,77,74
Kennesaw State,Wake Forest,10,37,75,80
Wake Forest,Kennesaw State,21,21,77,73
Kennesaw State,Wake Forest,10,37,77,74
Wake Forest,Kennesaw State,33,3,93,65
Kennesaw State,Wake Forest,14,24,86,61
Wake Forest,Kennesaw State,58,21,96,67
Kennesaw State,Wake Forest,17,28,76,58
Wake Forest,Kennesaw State,13,20,81,75
Kennesaw State,Wake Forest,7,55,69,77
Wake Forest,Kennesaw State,33,17,93,79
Kennesaw State,Wake Forest,10,24,80,73
Wake Forest,Kennesaw State,24,34,60,83
Kennesaw State,Wake Forest,21,41,73,84
Wake Forest,Kennesaw State,24,14,81,73
Kennesaw State,Wake Forest,6,35,68,83
Wake Forest,Kennesaw State,30,24,81,82
Kennesaw State,Wake Forest,17,21,71,83
Wake Forest,Kennesaw State,30,13,82,75
Kennesaw State,Wake Forest,7,48,70,88
Wake Forest,Kennesaw State,34,3,73,71
Kennesaw State,Wake Forest,7,45,81,72
Wake Forest,Kennesaw State,10,14,63,79
Kennesaw State,Wake Forest,28,31,77,72
Wake Forest,Kennesaw State,44,17,88,65
Kennesaw State,Wake Forest,3,23,73,87
Wake Forest,Kennesaw State,45,14,86,71
Kennesaw State,Wake Forest,24,21,72,78
Wake Forest,Kennesaw State,20,34,85,75
Kennesaw State,Wake Forest,20,34,74,90
Wake Forest,Kennesaw State,26,14,88,66
Kennesaw State,Wake Forest,10,34,73,81
Wake Forest,Kennesaw State,31,7,76,92
Kennesaw State,Wake Forest,10,27,78,71
Wake Forest,Kennesaw State,13,14,89,62
Kennesaw State,Wake Forest,34,20,76,66
Wake Forest,Kennesaw State,28,14,71,73
Kennesaw State,Wake Forest,9,38,78,84
Wake Forest,Kennesaw State,14,24,68,73
