team,opp,pts,opp_pts,plays,opp_plays
Miami,Notre Dame,28,38,64,74
Notre Dame,Miami,17,38,58,63
Miami,Notre Dame,31,34,70,66
Notre Dame,Miami,41,17,76,54
Miami,Notre Dame,28,45,59,66
Notre Dame,Miami,10,38,65,70
Miami,Notre Dame,28,16,72,57
Notre Dame,Miami,31,28,80,60
Miami,Notre Dame,3,20,60,63
Notre Dame,Miami,31,38,63,66
Miami,Notre Dame,52,17,79,53
Notre Dame,Miami,31,31,64,65
Miami,Notre Dame,35,45,61,67
Notre Dame,Miami,34,42,85,51
Miami,Notre Dame,20,17,65,63
Notre Dame,Miami,13,49,59,65
Miami,Notre Dame,40,17,70,63
Notre Dame,Miami,28,21,63,65
Miami,Notre Dame,34,24,70,63
Notre Dame,Miami,17,7,68,56
Miami,Notre Dame,34,20,76,61
Notre Dame,Miami,44,21,73,57
Miami,Notre Dame,41,28,84,54
Notre Dame,Miami,34,31,75,56
Miami,Notre Dame,28,28,66,72
Notre Dame,Miami,14,20,52,72
Miami,Notre Dame,31,19,71,66
Notre Dame,Miami,45,31,69,67
Miami,Notre Dame,21,7,70,55
Notre Dame,Miami,27,31,68,65
Miami,Notre Dame,41,21,67,66
Notre Dame,Miami,31,35,78,66
Miami,Notre Dame,56,27,70,63
Notre Dame,Miami,38,35,69,60
Miami,Notre Dame,24,41,57,73
Notre Dame,Miami,24,66,66,77
Miami,Notre Dame,48,21,76,55
Notre Dame,Miami,31,20,60,66
Miami,Notre Dame,38,28,79,54
Notre Dame,Miami,48,31,77,61
Miami,Notre Dame,55,16,70,70
Notre Dame,Miami,24,31,73,59
Miami,Notre Dame,16,31,65,70
Notre Dame,Miami,24,41,59,68
Miami,Notre Dame,38,41,61,75
Notre Dame,Miami,27,38,72,59
Miami,Notre Dame,41,17,67,67
Notre Dame,Miami,45,21,73,54
Miami,Notre Dame,31,21,67,68
Notre Dame,Miami,13,14,73,58
Miami,Notre Dame,27,20,73,64
Notre Dame,Miami,27,10,64,67
Miami,Notre Dame,38,10,62,65
Notre Dame,Miami,24,37,63,67
Miami,Notre Dame,45,20,68,69
Notre Dame,Miami,14,26,62,77
Miami,Notre Dame,35,35,69,61
Notre Dame,Miami,14,28,67,62
Miami,Notre Dame,51,28,82,57
Notre Dame,Miami,31,24,68,65
Miami,Notre Dame,17,23,57,80
Notre Dame,Miami,34,28,65,68
Miami,Notre Dame,20,14,68,61
Notre Dame,Miami,24,35,71,62
Miami,Notre Dame,42,28,64,70
Notre Dame,Miami,23,34,69,58
Miami,Notre Dame,35,34,67,76
Notre Dame,Miami,27,17,72,53
Miami,Notre Dame,41,35,65,64
Notre Dame,Miami,35,17,66,58
Miami,Notre Dame,45,31,68,58
Notre Dame,Miami,21,24,68,57
Miami,Notre Dame,38,31,61,70
Notre Dame,Miami,21,23,58,68
Miami,Notre Dame,44,24,76,67
Notre Dame,Miami,20,24,72,62
Miami,Notre Dame,24,28,62,69
Notre Dame,Miami,17,31,69,59
Miami,Notre Dame,35,38,63,67
Notre Dame,Miami,42,41,64,73
Miami,Notre Dame,27,14,65,62
Notre Dame,Miami,28,31,62,62
Miami,Notre Dame,31,31,74,64
Notre Dame,Miami,38,14,69,60
