team,opp,pts,opp_pts,plays,opp_plays
Rutgers,Ohio,14,21,65,67
Ohio,Rutgers,27,13,62,65
Rutgers,Ohio,16,14,69,65
Ohio,Rutgers,31,31,72,57
Rutgers,Ohio,31,24,81,48
Ohio,Rutgers,24,34,66,65
Rutgers,Ohio,13,27,72,57
Ohio,Rutgers,38,14,67,62
Rutgers,Ohio,17,20,57,72
Ohio,Rutgers,28,38,71,59
Rutgers,Ohio,24,21,63,58
Ohio,Rutgers,24,17,69,63
Rutgers,Ohio,13,24,60,66
Ohio,Rutgers,24,17,58,66
Rutgers,Ohio,38,17,62,73
Ohio,Rutgers,7,35,62,65
Rutgers,Ohio,10,20,62,63
Ohio,Rutgers,40,17,74,56
Rutgers,Ohio,27,21,67,63
Ohio,Rutgers,10,31,59,69
Rutgers,Ohio,34,17,73,57
Ohio,Rutgers,21,20,56,67
Rutgers,Ohio,9,13,68,59
Ohio,Rutgers,28,13,55,76
Rutgers,Ohio,27,35,71,61
Ohio,Rutgers,16,35,60,68
Rutgers,Ohio,24,21,64,57
Ohio,Rutgers,28,24,64,63
Rutgers,Ohio,16,3,67,59
Ohio,Rutgers,14,20,62,65
Rutgers,Ohio,38,13,74,55
Ohio,Rutgers,17,21,70,56
Rutgers,Ohio,48,3,72,49
Ohio,Rutgers,38,12,72,61
Rutgers,Ohio,6,13,59,62
Ohio,Rutgers,14,13,55,71
Rutgers,Ohio,24,27,68,56
Ohio,Rutgers,13,6,63,59
Rutgers,Ohio,31,41,72,57
Ohio,Rutgers,21,27,65,64
Rutgers,Ohio,12,13,66,55
Ohio,Rutgers,30,14,63,66
Rutgers,Ohio,24,17,70,53
Ohio,Rutgers,42,20,66,66
Rutgers,Ohio,17,21,62,62
Ohio,Rutgers,24,21,69,57
Rutgers,Ohio,20,27,58,70
Ohio,Rutgers,21,38,64,69
Rutgers,Ohio,27,24,79,55
Ohio,Rutgers,27,17,60,69
Rutgers,Ohio,17,14,55,74
Ohio,Rutgers,28,45,70,66
Rutgers,Ohio,23,16,75,53
Ohio,Rutgers,28,28,73,55
Rutgers,Ohio,28,14,59,69
Ohio,Rutgers,31,31,66,66
Rutgers,Ohio,24,17,74,49
Ohio,Rutgers,17,27,74,62
Rutgers,Ohio,24,20,65,64
Ohio,Rutgers,21,28,67,61
Rutgers,Ohio,34,31,69,64
Ohio,Rutgers,24,41,57,77
Rutgers,Ohio,27,17,68,61
Ohio,Rutgers,28,28,62,71
Rutgers,Ohio,35,28,65,59
Ohio,Rutgers,28,30,58,72
Rutgers,Ohio,41,27,65,69
Ohio,Rutgers,9,30,66,62
Rutgers,Ohio,24,13,62,59
Ohio,Rutgers,34,14,67,61
Rutgers,Ohio,31,21,67,64
Ohio,Rutgers,13,14,70,50
Rutgers,Ohio,13,31,61,70
Ohio,Rutgers,28,35,59,68
Rutgers,Ohio,30,13,65,60
Ohio,Rutgers,28,37,69,61
Rutgers,Ohio,35,17,70,54
Ohio,Rutgers,21,31,62,65
Rutgers,Ohio,24,21,63,65
Ohio,Rutgers,20,10,62,66
Rutgers,Ohio,3,10,54,70
Ohio,Rutgers,10,42,65,62
Rutgers,Ohio,35,20,68,67
Ohio,Rutgers,7,34,58,69
Rutgers,Ohio,23,10,72,55
Ohio,Rutgers,28,34,63,68
Rutgers,Ohio,24,17,56,69
Ohio,Rutgers,21,24,61,64
Rutgers,Ohio,35,14,70,56
Ohio,Rutgers,10,49,50,78
Rutgers,Ohio,38,20,60,65
Ohio,Rutgers,24,31,64,66
Rutgers,Ohio,27,28,66,62
Ohio,Rutgers,17,27,60,65
Rutgers,Ohio,12,13,68,63
Ohio,Rutgers,24,31,67,62
Rutgers,Ohio,20,28,64,60
Ohio,Rutgers,14,17,64,61
Rutgers,Ohio,27,35,62,67
Ohio,Rutgers,27,27,64,65
Rutgers,Ohio,7,28,66,62
Ohio,Rutgers,45,0,72,54
Rutgers,Ohio,41,16,71,56
Ohio,Rutgers,3,34,60,65
Rutgers,Ohio,17,45,55,72
Ohio,Rutgers,14,23,65,62
Rutgers,Ohio,52,21,66,67
Ohio,Rutgers,10,52,62,70
Rutgers,Ohio,42,38,67,66
Ohio,Rutgers,21,13,51,79
Rutgers,Ohio,31,20,66,67
Ohio,Rutgers,31,10,72,53
Rutgers,Ohio,31,27,59,70
Ohio,Rutgers,28,37,74,57
Rutgers,Ohio,24,17,65,62
Ohio,Rutgers,14,35,71,60
Rutgers,Ohio,28,3,71,54
Ohio,Rutgers,17,35,69,58
Rutgers,Ohio,7,34,59,65
Ohio,Rutgers,13,38,69,60
Rutgers,Ohio,23,35,66,61
Ohio,Rutgers,20,24,69,62
Rutgers,Ohio,27,24,68,63
Ohio,Rutgers,3,38,58,68
Rutgers,Ohio,17,23,69,58
Ohio,Rutgers,17,24,63,61
Rutgers,Ohio,34,21,66,60
Ohio,Rutgers,21,24,67,64
Rutgers,Ohio,35,30,61,71
Ohio,Rutgers,27,17,61,61
Rutgers,Ohio,40,35,68,57
Ohio,Rutgers,28,27,63,65
Rutgers,Ohio,20,30,61,64
Ohio,Rutgers,10,27,59,64
Rutgers,Ohio,10,38,64,66
Ohio,Rutgers,14,34,53,76
Rutgers,Ohio,17,41,66,59
Ohio,Rutgers,14,34,55,70
Rutgers,Ohio,45,10,62,65
Ohio,Rutgers,6,27,68,61
Rutgers,Ohio,14,24,61,68
Ohio,Rutgers,35,20,66,63
Rutgers,Ohio,17,14,69,60
Ohio,Rutgers,10,31,62,67
Rutgers,Ohio,45,24,71,57
Ohio,Rutgers,24,35,73,59
Rutgers,Ohio,13,7,65,58
Ohio,Rutgers,17,16,61,66
Rutgers,Ohio,27,17,57,68
Ohio,Rutgers,31,35,69,61
Rutgers,Ohio,34,21,71,57
Ohio,Rutgers,28,38,58,73
Rutgers,Ohio,24,27,69,65
Ohio,Rutgers,24,20,65,59
Rutgers,Ohio,23,14,70,56
Ohio,Rutgers,38,17,62,65
Rutgers,Ohio,24,34,72,64
Ohio,Rutgers,17,28,67,59
Rutgers,Ohio,15,10,62,65
Ohio,Rutgers,21,14,71,56
Rutgers,Ohio,27,9,65,60
Ohio,Rutgers,17,37,77,54
Rutgers,Ohio,9,27,65,56
Ohio,Rutgers,31,17,64,62
Rutgers,Ohio,28,17,70,63
Ohio,Rutgers,48,14,74,51
Rutgers,Ohio,20,10,65,62
Ohio,Rutgers,21,16,61,64
Rutgers,Ohio,24,27,53,74
Ohio,Rutgers,16,27,65,60
Rutgers,Ohio,23,21,73,52
Ohio,Rutgers,20,21,74,50
Rutgers,Ohio,17,13,72,48
Ohio,Rutgers,7,21,62,62
Rutgers,Ohio,27,14,69,58
Ohio,Rutgers,31,24,67,62
Rutgers,Ohio,20,10,60,65
Ohio,Rutgers,21,35,69,64
Rutgers,Ohio,28,21,66,68
Ohio,Rutgers,27,21,62,71
Rutgers,Ohio,24,13,63,61
Ohio,Rutgers,23,14,68,62
Rutgers,Ohio,27,21,78,50
Ohio,Rutgers,13,14,69,60
Rutgers,Ohio,35,24,62,68
Ohio,Rutgers,24,14,72,53
Rutgers,Ohio,45,13,70,58
Ohio,Rutgers,16,13,62,71
Rutgers,Ohio,16,10,62,70
Ohio,Rutgers,24,16,62,63
Rutgers,Ohio,24,24,64,62
Ohio,Rutgers,20,24,61,62
Rutgers,Ohio,10,21,53,67
Ohio,Rutgers,27,27,66,65
Rutgers,Ohio,14,34,58,62
Ohio,Rutgers,24,33,70,60
Rutgers,Ohio,34,24,66,60
Ohio,Rutgers,27,24,59,65
Rutgers,Ohio,24,10,66,57
