team,opp,pts,opp_pts,plays,opp_plays
San José State,Central Michigan,48,20,79,64
Central Michigan,San José State,6,33,75,75
San José State,Central Michigan,55,17,84,58
Central Michigan,San José State,24,31,71,71
San José State,Central Michigan,34,24,71,62
Central Michigan,San José State,28,27,65,82
San José State,Central Michigan,38,7,78,67
Central Michigan,San José State,17,51,71,64
San José State,Central Michigan,34,31,76,69
Central Michigan,San José State,24,40,67,77
San José State,Central Michigan,20,35,83,56
Central Michigan,San José State,14,48,76,81
San José State,Central Michigan,33,17,77,79
Central Michigan,San José State,16,20,79,69
San José State,Central Michigan,49,27,72,77
Central Michigan,San José State,7,41,73,66
San José State,Central Michigan,55,0,86,62
Central Michigan,San José State,35,17,90,72
San José State,Central Michigan,35,41,61,91
Central Michigan,San José State,7,41,71,76
San José State,Central Michigan,55,27,76,76
Central Michigan,San José State,7,27,58,71
San José State,Central Michigan,34,24,79,69
Central Michigan,San José State,13,38,78,69
San José State,Central Michigan,37,14,81,63
Central Michigan,San José State,23,42,78,71
San José State,Central Michigan,45,17,83,64
Central Michigan,San José State,10,34,56,83
San José State,Central Michigan,31,10,80,60
Central Michigan,San José State,21,41,74,68
San José State,Central Michigan,31,21,76,65
Central Michigan,San José State,24,17,70,73
San José State,Central Michigan,24,10,63,76
Central Michigan,San José State,31,28,72,77
San José State,Central Michigan,31,54,71,90
Central Michigan,San José State,13,31,78,73
San José State,Central Michigan,24,20,65,72
Central Michigan,San José State,14,45,56,90
San José State,Central Michigan,16,30,67,83
Central Michigan,San José State,20,20,84,62
San José State,Central Michigan,34,27,72,71
Central Michigan,San José State,31,31,74,77
San José State,Central Michigan,47,7,97,53
Central Michigan,San José State,34,31,78,70
San José State,Central Michigan,27,6,80,69
Central Michigan,San José State,20,30,74,70
San José State,Central Michigan,43,17,86,59
Central Michigan,San José State,37,13,77,65
San José State,Central Michigan,34,17,70,74
Central Michigan,San José State,17,27,80,76
San José State,Central Michigan,31,24,68,81
Central Michigan,San José State,24,16,74,74
San José State,Central Michigan,40,10,87,66
Central Michigan,San José State,10,45,66,74
San José State,Central Michigan,21,19,61,73
Central Michigan,San José State,38,21,80,68
San José State,Central Michigan,13,24,49,87
Central Michigan,San José State,17,27,77,84
San José State,Central Michigan,41,27,67,79
Central Michigan,San José State,31,28,85,65
San José State,Central Michigan,24,16,65,83
Central Michigan,San José State,24,30,72,74
San José State,Central Michigan,20,6,69,74
Central Michigan,San José State,26,34,85,67
San José State,Central Michigan,59,7,92,63
Central Michigan,San José State,34,27,83,71
San José State,Central Michigan,30,28,76,71
Central Michigan,San José State,24,41,79,71
San José State,Central Michigan,34,10,73,69
Central Michigan,San José State,30,31,82,73
San José State,Central Michigan,16,17,67,77
Central Michigan,San José State,13,27,63,79
San José State,Central Michigan,27,14,82,61
Central Michigan,San José State,23,31,73,66
San José State,Central Michigan,31,26,70,79
Central Michigan,San José State,10,33,74,80
San José State,Central Michigan,31,30,69,84
Central Michigan,San José State,30,16,84,56
San José State,Central Michigan,31,7,74,72
Central Michigan,San José State,16,7,76,67
San José State,Central Michigan,35,21,76,75
Central Michigan,San José State,38,31,73,66
San José State,Central Michigan,21,27,75,78
Central Michigan,San José State,10,20,70,65
San José State,Central Michigan,27,13,65,84
Central Michigan,San José State,10,27,66,72
San José State,Central Michigan,52,10,84,69
Central Michigan,San José State,14,28,81,69
San José State,Central Michigan,59,13,88,58
Central Michigan,San José State,17,28,78,68
San José State,Central Michigan,31,27,79,67
Central Michigan,San José State,24,20,68,83
San José State,Central Michigan,31,0,79,61
Central Michigan,San José State,34,34,64,77
San José State,Central Michigan,33,24,72,71
Central Michigan,San José State,13,52,65,83
San José State,Central Michigan,23,30,83,72
Central Michigan,San José State,34,30,78,78
San José State,Central Michigan,52,0,80,64
Central Michigan,San José State,24,41,82,71
San José State,Central Michigan,24,21,78,70
Central Michigan,San José State,20,28,71,75
San José State,Central Michigan,21,41,73,94
Central Michigan,San José State,17,27,75,75
San José State,Central Michigan,41,10,78,72
Central Michigan,San José State,17,27,81,67
San José State,Central Michigan,34,20,82,66
Central Michigan,San José State,27,20,74,79
San José State,Central Michigan,34,17,76,61
Central Michigan,San José State,20,27,69,83
San José State,Central Michigan,24,21,77,78
Central Michigan,San José State,31,27,81,73
San José State,Central Michigan,35,38,77,78
Central Michigan,San José State,17,41,73,69
San José State,Central Michigan,10,30,69,80
Central Michigan,San José State,7,17,62,69
San José State,Central Michigan,38,10,76,70
Central Michigan,San José State,23,14,82,68
San José State,Central Michigan,45,14,79,73
Central Michigan,San José State,30,28,97,57
San José State,Central Michigan,49,6,80,76
Central Michigan,San José State,41,35,95,70
San José State,Central Michigan,45,24,69,84
Central Michigan,San José State,27,21,84,75
San José State,Central Michigan,14,28,65,74
Central Michigan,San José State,22,13,79,70
San José State,Central Michigan,31,41,71,70
Central Michigan,San José State,7,42,66,89
San José State,Central Michigan,34,7,82,63
Central Michigan,San José State,42,27,83,67
San José State,Central Michigan,16,10,75,65
Central Michigan,San José State,24,38,69,72
San José State,Central Michigan,16,20,76,65
Central Michigan,San José State,17,31,90,58
San José State,Central Michigan,21,21,69,69
Central Michigan,San José State,31,34,97,63
San José State,Central Michigan,34,28,79,70
Central Michigan,San José State,21,35,75,69
San José State,Central Michigan,41,10,81,50
Central Michigan,San José State,34,17,77,73
San José State,Central Michigan,17,20,72,78
Central Michigan,San José State,13,42,63,80
San José State,Central Michigan,21,31,75,74
Central Michigan,San José State,13,24,77,72
San José State,Central Michigan,41,13,78,65
Central Michigan,San José State,24,14,75,65
San José State,Central Michigan,23,28,84,76
Central Michigan,San José State,23,48,75,76
San José State,Central Michigan,34,14,76,64
Central Michigan,San José State,17,59,63,84
San José State,Central Michigan,17,23,60,82
Central Michigan,San José State,35,44,79,74
San José State,Central Michigan,35,10,66,74
Central Michigan,San José State,42,45,85,69
San José State,Central Michigan,17,24,76,72
Central Michigan,San José State,24,48,74,83
San José State,Central Michigan,23,17,77,74
Central Michigan,San José State,17,31,85,73
San José State,Central Michigan,31,10,77,60
Central Michigan,San José State,14,31,64,73
San José State,Central Michigan,34,20,72,82
Central Michigan,San José State,24,45,80,73
San José State,Central Michigan,24,12,73,70
Central Michigan,San José State,17,28,76,65
San José State,Central Michigan,10,27,69,72
Central Michigan,San José State,23,24,86,58
San José State,Central Michigan,41,28,74,74
Central Michigan,San José State,14,28,74,71
San José State,Central Michigan,24,28,68,87
Central Michigan,San José State,20,42,77,71
San José State,Central Michigan,51,17,80,65
Central Michigan,San José State,30,24,90,56
San José State,Central Michigan,23,17,82,63
Central Michigan,San José State,13,34,89,69
San José State,Central Michigan,45,24,66,82
Central Michigan,San José State,7,17,52,81
San José State,Central Michigan,52,10,77,68
Central Michigan,San José State,30,42,79,70
San José State,Central Michigan,41,13,74,70
Central Michigan,San José State,14,34,68,77
San José State,Central Michigan,28,24,66,87
Central Michigan,San José State,13,45,72,75
San José State,Central Michigan,24,17,79,74
Central Michigan,San José State,31,20,67,82
San José State,Central Michigan,30,28,72,76
Central Michigan,San José State,17,27,82,70
San José State,Central Michigan,31,42,83,70
Central Michigan,San José State,21,41,70,79
San José State,Central Michigan,13,14,74,71
Central Michigan,San José State,7,31,78,76
San José State,Central Michigan,17,6,76,65
Central Michigan,San José State,30,31,71,74
San José State,Central Michigan,26,13,75,79
Central Michigan,San José State,28,28,63,75
San José State,Central Michigan,20,13,77,69
Central Michigan,San José State,30,20,79,63
San José State,Central Michigan,37,14,71,64
Central Michigan,San José State,10,42,61,87
San José State,Central Michigan,24,41,73,70
Central Michigan,San José State,19,45,79,78
San José State,Central Michigan,38,6,83,66
Central Michigan,San José State,24,17,66,70
San José State,Central Michigan,14,30,68,70
Central Michigan,San José State,20,45,72,72
San José State,Central Michigan,9,31,69,78
Central Michigan,San José State,6,20,81,75
San José State,Central Michigan,35,17,71,78
Central Michigan,San José State,21,35,92,62
San José State,Central Michigan,37,14,88,57
Central Michigan,San José State,13,33,70,76
San José State,Central Michigan,42,23,77,72
Central Michigan,San José State,14,24,73,75
San José State,Central Michigan,35,27,65,67
Central Michigan,San José State,13,37,73,78
San José State,Central Michigan,27,17,66,76
Central Michigan,San José State,21,35,59,80
San José State,Central Michigan,24,24,67,80
