team,opp,pts,opp_pts,plays,opp_plays
Southern Miss,Mississippi State,38,49,94,84
Mississippi State,Southern Miss,38,28,83,90
Southern Miss,Mississippi State,30,37,86,90
Mississippi State,Southern Miss,76,28,111,76
Southern Miss,Mississippi State,17,54,87,89
Mississippi State,Southern Miss,55,24,99,78
Southern Miss,Mississippi State,9,73,78,93
Mississippi State,Southern Miss,72,20,99,98
Southern Miss,Mississippi State,28,42,101,75
Mississippi State,Southern Miss,47,7,99,79
Southern Miss,Mississippi State,20,38,101,83
Mississippi State,Southern Miss,56,28,91,92
Southern Miss,Mississippi State,21,45,91,89
Mississippi State,Southern Miss,34,30,96,87
Southern Miss,Mississippi State,24,48,97,90
Mississippi State,Southern Miss,56,17,99,78
Southern Miss,Mississippi State,34,45,91,94
Mississippi State,Southern Miss,47,37,96,90
Southern Miss,Mississippi State,41,20,99,76
Mississippi State,Southern Miss,59,14,91,84
Southern Miss,Mississippi State,20,62,91,84
Mississippi State,Southern Miss,44,48,92,92
Southern Miss,Mississippi State,24,59,89,90
Mississippi State,Southern Miss,41,24,93,77
Southern Miss,Mississippi State,17,48,84,88
Mississippi State,Southern Miss,52,23,89,103
Southern Miss,Mississippi State,14,55,88,94
Mississippi State,Southern Miss,62,17,101,82
Southern Miss,Mississippi State,23,55,83,104
Mississippi State,Southern Miss,52,45,106,87
Southern Miss,Mississippi State,19,48,86,91
Mississippi State,Southern Miss,70,6,98,84
Southern Miss,Mississippi State,17,27,90,90
Mississippi State,Southern Miss,62,17,107,72
Southern Miss,Mississippi State,23,62,85,96
Mississippi State,Southern Miss,45,14,97,85
Southern Miss,Mississippi State,17,30,74,91
Mississippi State,Southern Miss,34,6,91,84
Southern Miss,Mississippi State,21,49,86,104
Mississippi State,Southern Miss,51,24,92,80
Southern Miss,Mississippi State,10,90,89,94
Mississippi State,Southern Miss,55,30,100,84
Southern Miss,Mississippi State,20,44,97,101
Mississippi State,Southern Miss,52,38,98,89
Southern Miss,Mississippi State,27,70,91,90
Mississippi State,Southern Miss,55,14,99,81
Southern Miss,Mississippi State,38,24,95,90
Mississippi State,Southern Miss,66,17,88,82
Southern Miss,Mississippi State,17,59,79,94
Mississippi State,Southern Miss,41,21,84,86
Southern Miss,Mississippi State,31,48,88,93
Mississippi State,Southern Miss,48,10,112,75
Southern Miss,Mississippi State,20,41,77,93
Mississippi State,Southern Miss,38,31,86,91
Southern Miss,Mississippi State,7,62,81,106
Mississippi State,Southern Miss,47,24,105,81
Southern Miss,Mississippi State,27,35,100,85
Mississippi State,Southern Miss,55,20,88,96
Southern Miss,Mississippi State,21,55,89,94
Mississippi State,Southern Miss,45,10,102,88
Southern Miss,Mississippi State,20,54,86,97
Mississippi State,Southern Miss,34,23,88,105
Southern Miss,Mississippi State,24,27,97,74
Mississippi State,Southern Miss,49,14,96,88
Southern Miss,Mississippi State,27,52,77,96
Mississippi State,Southern Miss,66,14,96,97
Southern Miss,Mississippi State,9,70,90,93
Mississippi State,Southern Miss,59,10,103,74
Southern Miss,Mississippi State,21,30,85,84
Mississippi State,Southern Miss,38,16,86,83
Southern Miss,Mississippi State,17,76,85,98
Mississippi State,Southern Miss,59,24,97,75
Southern Miss,Mississippi State,13,48,83,90
Mississippi State,Southern Miss,38,13,90,87
Southern Miss,Mississippi State,30,34,93,90
Mississippi State,Southern Miss,65,13,90,84
Southern Miss,Mississippi State,17,45,100,92
Mississippi State,Southern Miss,42,30,77,104
Southern Miss,Mississippi State,31,48,90,90
Mississippi State,Southern Miss,52,30,89,95
Southern Miss,Mississippi State,27,66,88,96
Mississippi State,Southern Miss,41,9,89,89
Southern Miss,Mississippi State,13,55,86,92
Mississippi State,Southern Miss,42,23,73,92
Southern Miss,Mississippi State,20,61,94,95
Mississippi State,Southern Miss,30,20,91,99
Southern Miss,Mississippi State,24,48,88,94
Mississippi State,Southern Miss,73,27,104,80
Southern Miss,Mississippi State,21,38,89,95
Mississippi State,Southern Miss,24,51,82,97
Southern Miss,Mississippi State,27,35,109,87
Mississippi State,Southern Miss,80,17,101,85
Southern Miss,Mississippi State,31,55,91,88
Mississippi State,Southern Miss,62,21,93,81
Southern Miss,Mississippi State,28,24,88,97
Mississippi State,Southern Miss,37,17,107,78
Southern Miss,Mississippi State,21,40,80,96
Mississippi State,Southern Miss,61,14,91,77
Southern Miss,Mississippi State,24,58,84,96
Mississippi State,Southern Miss,55,12,95,84
Southern Miss,Mississippi State,33,46,85,97
Mississippi State,Southern Miss,59,23,80,92
Southern Miss,Mississippi State,17,51,86,94
Mississippi State,Southern Miss,55,24,89,80
Southern Miss,Mississippi State,10,44,96,92
Mississippi State,Southern Miss,42,41,86,97
Southern Miss,Mississippi State,20,65,91,103
Mississippi State,Southern Miss,52,20,106,86
Southern Miss,Mississippi State,17,76,92,112
Mississippi State,Southern Miss,62,17,87,87
Southern Miss,Mississippi State,34,65,97,88
Mississippi State,Southern Miss,40,10,97,83
Southern Miss,Mississippi State,30,42,87,79
Mississippi State,Southern Miss,44,21,94,79
Southern Miss,Mississippi State,23,55,98,85
Mississippi State,Southern Miss,37,31,100,78
Southern Miss,Mississippi State,21,20,88,90
Mississippi State,Southern Miss,65,23,99,84
Southern Miss,Mississippi State,21,59,108,82
Mississippi State,Southern Miss,41,21,98,100
Southern Miss,Mississippi State,16,48,102,87
Mississippi State,Southern Miss,54,17,93,90
Southern Miss,Mississippi State,10,35,84,87
Mississippi State,Southern Miss,59,34,94,97
Southern Miss,Mississippi State,9,51,101,95
Mississippi State,Southern Miss,69,20,103,91
Southern Miss,Mississippi State,17,50,86,87
Mississippi State,Southern Miss,52,13,88,85
Southern Miss,Mississippi State,24,45,88,82
Mississippi State,Southern Miss,45,27,89,83
Southern Miss,Mississippi State,37,38,83,88
Mississippi State,Southern Miss,27,24,86,98
Southern Miss,Mississippi State,27,59,100,75
Mississippi State,Southern Miss,24,45,78,98
Southern Miss,Mississippi State,44,34,80,100
Mississippi State,Southern Miss,27,20,71,101
Southern Miss,Mississippi State,23,45,110,79
Mississippi State,Southern Miss,51,24,99,86
Southern Miss,Mississippi State,20,41,84,84
Mississippi State,Southern Miss,66,20,105,72
Southern Miss,Mississippi State,24,82,79,108
Mississippi State,Southern Miss,28,24,91,88
Southern Miss,Mississippi State,10,70,81,100
Mississippi State,Southern Miss,52,38,80,105
Southern Miss,Mississippi State,12,31,76,89
Mississippi State,Southern Miss,33,17,90,87
Southern Miss,Mississippi State,28,26,89,98
Mississippi State,Southern Miss,35,20,81,97
Southern Miss,Mississippi State,17,51,84,90
Mississippi State,Southern Miss,66,16,99,82
Southern Miss,Mississippi State,24,52,90,83
Mississippi State,Southern Miss,55,27,101,96
Southern Miss,Mississippi State,13,38,91,91
Mississippi State,Southern Miss,52,24,100,87
Southern Miss,Mississippi State,26,66,93,88
Mississippi State,Southern Miss,76,24,101,80
Southern Miss,Mississippi State,29,52,96,88
Mississippi State,Southern Miss,54,38,96,88
Southern Miss,Mississippi State,13,59,80,104
Mississippi State,Southern Miss,24,14,87,92
Southern Miss,Mississippi State,20,24,85,94
Mississippi State,Southern Miss,69,31,104,83
Southern Miss,Mississippi State,31,62,96,85
Mississippi State,Southern Miss,38,41,85,93
Southern Miss,Mississippi State,23,58,91,100
Mississippi State,Southern Miss,40,13,83,88
Southern Miss,Mississippi State,17,45,92,86
Mississippi State,Southern Miss,42,24,78,91
Southern Miss,Mississippi State,41,20,86,89
Mississippi State,Southern Miss,42,27,87,87
Southern Miss,Mississippi State,13,63,95,88
Mississippi State,Southern Miss,41,14,94,86
