team,opp,pts,opp_pts,plays,opp_plays
South Florida,Boise State,72,35,116,86
Boise State,South Florida,23,31,87,84
South Florida,Boise State,49,45,95,91
Boise State,South Florida,38,48,89,105
South Florida,Boise State,21,7,89,87
Boise State,South Florida,48,41,88,91
South Florida,Boise State,45,17,75,91
Boise State,South Florida,52,28,98,76
South Florida,Boise State,59,48,100,93
Boise State,South Florida,45,20,88,87
South Florida,Boise State,45,20,91,93
Boise State,South Florida,58,52,96,98
South Florida,Boise State,37,48,101,92
Boise State,South Florida,36,38,90,89
South Florida,Boise State,31,36,92,98
Boise State,South Florida,37,23,83,95
South Florida,Boise State,30,38,99,92
Boise State,South Florida,20,41,81,90
South Florida,Boise State,27,31,97,90
Boise State,South Florida,52,34,111,81
South Florida,Boise State,51,20,106,80
Boise State,South Florida,42,41,88,94
South Florida,Boise State,30,34,88,91
Boise State,South Florida,36,28,100,80
South Florida,Boise State,42,34,89,90
Boise State,South Florida,42,37,87,106
South Florida,Boise State,41,17,85,93
Boise State,South Florida,21,34,89,84
South Florida,Boise State,31,38,88,89
Boise State,South Florida,51,14,98,89
South Florida,Boise State,30,37,98,87
Boise State,South Florida,38,44,88,91
South Florida,Boise State,45,48,92,85
Boise State,South Florida,48,31,106,91
South Florida,Boise State,56,41,80,91
Boise State,South Florida,55,45,99,82
South Florida,Boise State,17,34,80,99
Boise State,South Florida,38,34,89,86
South Florida,Boise State,20,44,85,103
Boise State,South Florida,59,23,96,84
South Florida,Boise State,36,16,85,97
Boise State,South Florida,51,38,102,86
South Florida,Boise State,55,21,110,78
Boise State,South Florida,36,27,100,85
South Florida,Boise State,35,35,84,101
Boise State,South Florida,48,45,95,84
South Florida,Boise State,21,46,87,93
Boise State,South Florida,63,55,96,88
South Florida,Boise State,38,42,99,93
Boise State,South Florida,27,48,93,92
South Florida,Boise State,33,27,99,89
Boise State,South Florida,59,45,115,76
South Florida,Boise State,42,28,93,89
Boise State,South Florida,66,38,93,96
South Florida,Boise State,37,34,109,83
Boise State,South Florida,34,38,90,84
South Florida,Boise State,37,38,96,87
Boise State,South Florida,41,45,96,91
South Florida,Boise State,44,45,93,96
Boise State,South Florida,38,34,100,82
South Florida,Boise State,41,24,107,81
Boise State,South Florida,34,34,89,93
South Florida,Boise State,45,48,97,92
Boise State,South Florida,23,59,92,96
South Florida,Boise State,23,63,98,93
Boise State,South Florida,48,24,104,78
South Florida,Boise State,31,37,84,92
Boise State,South Florida,38,59,92,106
South Florida,Boise State,48,37,89,95
Boise State,South Florida,45,28,97,91
South Florida,Boise State,26,27,77,93
Boise State,South Florida,38,45,91,96
South Florida,Boise State,41,34,93,91
Boise State,South Florida,34,49,101,89
South Florida,Boise State,34,28,88,85
Boise State,South Florida,25,31,108,82
South Florida,Boise State,31,24,98,80
Boise State,South Florida,52,30,93,85
South Florida,Boise State,30,48,101,99
Boise State,South Florida,35,51,93,81
South Florida,Boise State,38,42,97,89
Boise State,South Florida,34,42,104,90
South Florida,Boise State,38,43,89,95
Boise State,South Florida,52,10,112,78
South Florida,Boise State,44,35,94,93
Boise State,South Florida,20,55,79,101
South Florida,Boise State,66,66,100,85
Boise State,South Florida,51,52,101,90
South Florida,Boise State,14,30,74,94
Boise State,South Florida,34,34,85,88
South Florida,Boise State,27,44,91,94
Boise State,South Florida,44,49,91,92
South Florida,Boise State,45,55,98,82
Boise State,South Florida,30,24,95,80
South Florida,Boise State,42,56,93,99
Boise State,South Florida,27,17,87,94
South Florida,Boise State,49,41,95,100
Boise State,South Florida,30,45,106,90
South Florida,Boise State,17,49,99,86
Boise State,South Florida,41,21,94,95
South Florida,Boise State,37,45,95,83
Boise State,South Florida,31,59,84,90
South Florida,Boise State,38,41,98,99
Boise State,South Florida,38,34,90,100
South Florida,Boise State,31,38,93,97
Boise State,South Florida,27,38,93,80
South Florida,Boise State,52,52,99,91
Boise State,South Florida,58,49,101,80
South Florida,Boise State,37,45,94,96
Boise State,South Florida,24,54,95,87
South Florida,Boise State,35,44,88,91
Boise State,South Florida,47,28,104,81
South Florida,Boise State,52,41,97,86
Boise State,South Florida,38,31,93,98
South Florida,Boise State,38,38,91,103
Boise State,South Florida,33,20,98,75
South Florida,Boise State,41,72,79,106
Boise State,South Florida,58,16,114,97
South Florida,Boise State,31,27,96,85
Boise State,South Florida,52,31,89,94
South Florida,Boise State,31,47,91,86
Boise State,South Florida,42,55,89,89
South Florida,Boise State,63,38,102,90
Boise State,South Florida,35,38,105,84
South Florida,Boise State,38,52,91,96
Boise State,South Florida,41,42,96,84
South Florida,Boise State,34,24,93,84
Boise State,South Florida,48,41,85,92
South Florida,Boise State,42,33,77,118
Boise State,South Florida,30,31,97,95
South Florida,Boise State,35,52,89,98
Boise State,South Florida,38,49,98,83
South Florida,Boise State,13,48,86,96
