team,opp,pts,opp_pts,plays,opp_plays
Texas State,Eastern Michigan,24,17,64,73
Eastern Michigan,Texas State,13,34,57,79
Texas State,Eastern Michigan,34,20,86,73
Eastern Michigan,Texas State,20,23,65,78
Texas State,Eastern Michigan,35,16,73,72
Eastern Michigan,Texas State,27,35,75,73
Texas State,Eastern Michigan,52,7,82,72
Eastern Michigan,Texas State,24,38,79,72
Texas State,Eastern Michigan,38,31,72,82
Eastern Michigan,Texas State,20,24,80,68
Texas State,Eastern Michigan,34,21,77,64
Eastern Michigan,Texas State,21,27,77,62
Texas State,Eastern Michigan,35,20,76,69
Eastern Michigan,Texas State,17,38,87,76
Texas State,Eastern Michigan,13,24,60,81
Eastern Michigan,Texas State,10,34,73,82
Texas State,Eastern Michigan,24,10,75,67
Eastern Michigan,Texas State,23,45,74,77
Texas State,Eastern Michigan,42,17,75,69
Eastern Michigan,Texas State,20,37,66,79
Texas State,Eastern Michigan,40,20,83,73
Eastern Michigan,Texas State,45,16,74,59
Texas State,Eastern Michigan,34,24,78,73
Eastern Michigan,Texas State,26,24,83,73
Texas State,Eastern Michigan,16,10,70,67
Eastern Michigan,Texas State,9,23,75,74
Texas State,Eastern Michigan,35,21,85,58
Eastern Michigan,Texas State,7,49,53,88
Texas State,Eastern Michigan,21,37,76,82
Eastern Michigan,Texas State,28,41,82,72
Texas State,Eastern Michigan,10,51,63,95
Eastern Michigan,Texas State,31,56,75,77
Texas State,Eastern Michigan,31,24,86,61
Eastern Michigan,Texas State,34,20,86,59
Texas State,Eastern Michigan,31,23,76,70
Eastern Michigan,Texas State,31,28,71,78
Texas State,Eastern Michigan,13,10,80,66
Eastern Michigan,Texas State,24,41,84,63
Texas State,Eastern Michigan,34,31,83,72
Eastern Michigan,Texas State,21,31,88,69
Texas State,Eastern Michigan,38,27,71,83
Eastern Michigan,Texas State,10,27,67,72
Texas State,Eastern Michigan,17,17,78,68
Eastern Michigan,Texas State,24,28,78,72
Texas State,Eastern Michigan,45,14,78,67
Eastern Michigan,Texas State,26,27,74,76
Texas State,Eastern Michigan,26,24,93,68
Eastern Michigan,Texas State,23,24,81,67
Texas State,Eastern Michigan,59,35,87,72
Eastern Michigan,Texas State,20,31,79,70
Texas State,Eastern Michigan,37,7,87,66
Eastern Michigan,Texas State,27,38,72,76
Texas State,Eastern Michigan,21,17,76,74
Eastern Michigan,Texas State,31,37,72,84
Texas State,Eastern Michigan,27,37,86,75
Eastern Michigan,Texas State,31,38,86,71
Texas State,Eastern Michigan,40,17,77,68
Eastern Michigan,Texas State,23,28,77,71
Texas State,Eastern Michigan,21,37,79,73
Eastern Michigan,Texas State,7,41,69,84
Texas State,Eastern Michigan,38,20,71,79
Eastern Michigan,Texas State,21,37,68,81
Texas State,Eastern Michigan,35,24,71,80
Eastern Michigan,Texas State,48,27,84,73
Texas State,Eastern Michigan,35,41,75,72
Eastern Michigan,Texas State,27,31,66,79
Texas State,Eastern Michigan,44,17,92,66
Eastern Michigan,Texas State,17,34,65,85
Texas State,Eastern Michigan,30,24,79,68
Eastern Michigan,Texas State,24,45,64,81
Texas State,Eastern Michigan,59,17,80,72
Eastern Michigan,Texas State,17,30,81,69
Texas State,Eastern Michigan,20,20,82,69
Eastern Michigan,Texas State,31,34,64,73
Texas State,Eastern Michigan,24,10,70,74
Eastern Michigan,Texas State,21,42,59,73
Texas State,Eastern Michigan,45,28,74,70
Eastern Michigan,Texas State,31,27,82,68
Texas State,Eastern Michigan,31,20,78,70
Eastern Michigan,Texas State,33,20,85,65
Texas State,Eastern Michigan,34,20,72,69
Eastern Michigan,Texas State,20,31,84,74
Texas State,Eastern Michigan,38,24,79,74
Eastern Michigan,Texas State,17,16,84,64
Texas State,Eastern Michigan,33,14,79,65
Eastern Michigan,Texas State,24,24,80,79
Texas State,Eastern Michigan,31,27,71,78
Eastern Michigan,Texas State,17,35,73,71
Texas State,Eastern Michigan,28,17,75,67
Eastern Michigan,Texas State,29,27,89,63
Texas State,Eastern Michigan,45,28,83,72
Eastern Michigan,Texas State,14,30,62,88
Texas State,Eastern Michigan,34,24,80,61
Eastern Michigan,Texas State,41,31,82,68
Texas State,Eastern Michigan,34,20,78,75
Eastern Michigan,Texas State,24,27,74,78
Texas State,Eastern Michigan,21,27,76,70
Eastern Michigan,Texas State,33,52,79,77
Texas State,Eastern Michigan,35,30,67,85
Eastern Michigan,Texas State,52,24,90,63
Texas State,Eastern Michigan,21,24,78,65
Eastern Michigan,Texas State,34,52,75,78
Texas State,Eastern Michigan,21,7,75,71
Eastern Michigan,Texas State,31,41,73,80
Texas State,Eastern Michigan,23,14,75,74
Eastern Michigan,Texas State,42,31,83,74
Texas State,Eastern Michigan,27,34,82,81
Eastern Michigan,Texas State,34,17,77,67
Texas State,Eastern Michigan,27,41,76,68
Eastern Michigan,Texas State,34,41,75,78
Texas State,Eastern Michigan,28,42,72,84
Eastern Michigan,Texas State,27,41,86,75
Texas State,Eastern Michigan,31,35,84,71
Eastern Michigan,Texas State,16,22,72,80
Texas State,Eastern Michigan,23,16,74,80
Eastern Michigan,Texas State,10,27,84,71
Texas State,Eastern Michigan,20,21,74,66
Eastern Michigan,Texas State,24,27,81,73
Texas State,Eastern Michigan,34,10,76,67
Eastern Michigan,Texas State,16,47,66,82
Texas State,Eastern Michigan,35,10,79,68
Eastern Michigan,Texas State,28,13,81,63
Texas State,Eastern Michigan,56,14,90,60
Eastern Michigan,Texas State,38,16,75,94
Texas State,Eastern Michigan,42,28,70,89
Eastern Michigan,Texas State,34,17,75,72
Texas State,Eastern Michigan,42,38,67,84
Eastern Michigan,Texas State,16,24,88,66
Texas State,Eastern Michigan,38,13,80,77
Eastern Michigan,Texas State,27,34,83,73
Texas State,Eastern Michigan,27,6,74,79
Eastern Michigan,Texas State,37,38,79,69
Texas State,Eastern Michigan,38,30,68,74
Eastern Michigan,Texas State,21,35,70,68
Texas State,Eastern Michigan,10,33,76,72
Eastern Michigan,Texas State,17,41,69,79
Texas State,Eastern Michigan,48,13,73,73
Eastern Michigan,Texas State,20,27,75,74
Texas State,Eastern Michigan,42,24,78,68
Eastern Michigan,Texas State,24,24,67,77
Texas State,Eastern Michigan,35,31,73,77
Eastern Michigan,Texas State,17,49,73,81
Texas State,Eastern Michigan,38,38,71,84
Eastern Michigan,Texas State,15,35,74,70
Texas State,Eastern Michigan,38,27,73,75
Eastern Michigan,Texas State,27,45,80,67
Texas State,Eastern Michigan,34,20,74,80
Eastern Michigan,Texas State,31,45,85,79
Texas State,Eastern Michigan,37,31,73,79
Eastern Michigan,Texas State,28,41,81,80
Texas State,Eastern Michigan,41,28,75,85
Eastern Michigan,Texas State,37,23,72,70
Texas State,Eastern Michigan,28,27,71,82
Eastern Michigan,Texas State,14,35,64,83
Texas State,Eastern Michigan,21,28,87,68
Eastern Michigan,Texas State,35,27,84,75
Texas State,Eastern Michigan,38,31,64,81
Eastern Michigan,Texas State,31,24,85,80
Texas State,Eastern Michigan,33,17,82,69
Eastern Michigan,Texas State,20,56,69,81
Texas State,Eastern Michigan,28,27,80,74
Eastern Michigan,Texas State,10,48,68,74
Texas State,Eastern Michigan,54,24,91,59
Eastern Michigan,Texas State,13,40,73,74
Texas State,Eastern Michigan,28,45,64,91
Eastern Michigan,Texas State,27,38,82,74
Texas State,Eastern Michigan,30,24,75,67
Eastern Michigan,Texas State,6,31,79,72
Texas State,Eastern Michigan,49,35,67,78
Eastern Michigan,Texas State,24,20,75,75
Texas State,Eastern Michigan,24,27,84,77
Eastern Michigan,Texas State,24,10,94,65
Texas State,Eastern Michigan,48,28,80,70
Eastern Michigan,Texas State,13,17,79,63
Texas State,Eastern Michigan,34,38,73,84
Eastern Michigan,Texas State,20,38,86,77
Texas State,Eastern Michigan,45,31,77,72
Eastern Michigan,Texas State,34,17,82,68
Texas State,Eastern Michigan,21,27,66,85
Eastern Michigan,Texas State,27,38,67,80
Texas State,Eastern Michigan,40,31,70,87
Eastern Michigan,Texas State,33,34,80,72
Texas State,Eastern Michigan,35,27,68,80
Eastern Michigan,Texas State,23,27,78,71
Texas State,Eastern Michigan,17,27,74,74
Eastern Michigan,Texas State,17,41,59,83
Texas State,Eastern Michigan,28,27,72,83
Eastern Michigan,Texas State,23,28,79,64
Texas State,Eastern Michigan,23,17,73,73
Eastern Michigan,Texas State,14,27,65,77
Texas State,Eastern Michigan,26,17,75,85
Eastern Michigan,Texas State,31,52,84,71
Texas State,Eastern Michigan,20,17,81,65
Eastern Michigan,Texas State,16,49,72,83
Texas State,Eastern Michigan,35,28,74,74
Eastern Michigan,Texas State,31,17,67,66
Texas State,Eastern Michigan,48,27,78,74
Eastern Michigan,Texas State,3,31,66,81
Texas State,Eastern Michigan,45,14,75,75
Eastern Michigan,Texas State,30,34,71,73
Texas State,Eastern Michigan,45,14,80,71
Eastern Michigan,Texas State,17,34,81,66
Texas State,Eastern Michigan,33,10,81,65
Eastern Michigan,Texas State,23,27,78,65
Texas State,Eastern Michigan,34,9,87,72
Eastern Michigan,Texas State,26,31,79,74
Texas State,Eastern Michigan,35,35,83,72
Eastern Michigan,Texas State,10,35,74,71
Texas State,Eastern Michigan,28,38,79,71
Eastern Michigan,Texas State,17,35,85,63
Texas State,Eastern Michigan,33,14,78,69
Eastern Michigan,Texas State,26,21,84,72
Texas State,Eastern Michigan,28,13,75,70
Eastern Michigan,Texas State,28,27,81,72
Texas State,Eastern Michigan,38,13,69,72
Eastern Michigan,Texas State,51,31,92,66
Texas State,Eastern Michigan,21,24,65,80
Eastern Michigan,Texas State,31,35,82,66
Texas State,Eastern Michigan,28,37,79,63
Eastern Michigan,Texas State,16,14,88,59
Texas State,Eastern Michigan,28,27,70,95
Eastern Michigan,Texas State,23,28,76,64
Texas State,Eastern Michigan,31,16,76,68
Eastern Michigan,Texas State,23,42,74,82
Texas State,Eastern Michigan,20,34,59,85
Eastern Michigan,Texas State,20,23,74,87
Texas State,Eastern Michigan,20,28,76,73
Eastern Michigan,Texas State,38,41,79,78
Texas State,Eastern Michigan,34,34,73,72
Eastern Michigan,Texas State,48,37,81,73
Texas State,Eastern Michigan,28,34,78,75
Eastern Michigan,Texas State,20,17,81,67
Texas State,Eastern Michigan,35,27,81,72
Eastern Michigan,Texas State,27,28,75,75
Texas State,Eastern Michigan,17,38,73,81
Eastern Michigan,Texas State,20,27,89,63
Texas State,Eastern Michigan,49,21,83,71
Eastern Michigan,Texas State,31,34,82,70
Texas State,Eastern Michigan,51,10,73,71
Eastern Michigan,Texas State,33,35,81,80
Texas State,Eastern Michigan,38,35,73,74
Eastern Michigan,Texas State,28,21,74,73
Texas State,Eastern Michigan,38,31,80,66
Eastern Michigan,Texas State,41,17,81,65
Texas State,Eastern Michigan,28,27,63,90
Eastern Michigan,Texas State,17,49,76,72
Texas State,Eastern Michigan,28,17,66,79
Eastern Michigan,Texas State,27,14,82,59
Texas State,Eastern Michigan,31,27,77,75
Eastern Michigan,Texas State,33,7,89,76
Texas State,Eastern Michigan,51,10,91,66
Eastern Michigan,Texas State,34,38,73,86
Texas State,Eastern Michigan,31,13,75,76
Eastern Michigan,Texas State,13,24,74,73
Texas State,Eastern Michigan,21,21,71,71
Eastern Michigan,Texas State,13,45,72,85
Texas State,Eastern Michigan,59,27,79,72
Eastern Michigan,Texas State,20,24,64,83
Texas State,Eastern Michigan,41,10,83,70
Eastern Michigan,Texas State,20,41,71,77
Texas State,Eastern Michigan,34,14,82,63
Eastern Michigan,Texas State,10,38,75,76
Texas State,Eastern Michigan,35,10,79,69
Eastern Michigan,Texas State,14,59,67,89
Texas State,Eastern Michigan,30,21,81,58
Eastern Michigan,Texas State,20,21,83,62
Texas State,Eastern Michigan,52,28,65,66
Eastern Michigan,Texas State,23,24,78,73
Texas State,Eastern Michigan,17,20,67,75
Eastern Michigan,Texas State,34,42,87,64
Texas State,Eastern Michigan,28,23,69,82
Eastern Michigan,Texas State,13,34,83,65
Texas State,Eastern Michigan,38,10,70,78
Eastern Michigan,Texas State,14,34,89,68
Texas State,Eastern Michigan,24,55,81,84
Eastern Michigan,Texas State,13,29,72,75
Texas State,Eastern Michigan,17,17,76,68
Eastern Michigan,Texas State,28,20,80,67
Texas State,Eastern Michigan,35,41,65,86
Eastern Michigan,Texas State,48,14,87,68
Texas State,Eastern Michigan,17,27,77,75
Eastern Michigan,Texas State,35,42,75,78
Texas State,Eastern Michigan,30,26,72,86
Eastern Michigan,Texas State,14,24,62,70
Texas State,Eastern Michigan,34,24,78,73
Eastern Michigan,Texas State,35,38,84,70
