team,opp,pts,opp_pts,plays,opp_plays
Wake Forest,Kennesaw State,24,27,81,72
Kennesaw State,Wake Forest,7,37,77,71
Wake Forest,Kennesaw State,40,20,109,62
Kennesaw State,Wake Forest,7,34,72,81
Wake Forest,Kennesaw State,47,3,84,72
Kennesaw State,Wake Forest,21,48,70,86
Wake Forest,Kennesaw State,30,13,86,76
Kennesaw State,Wake Forest,14,14,73,65
Wake Forest,Kennesaw State,38,17,76,78
Kennesaw State,Wake Forest,3,52,70,83
Wake Forest,Kennesaw State,62,17,93,70
Kennesaw State,Wake Forest,28,31,73,64
Wake Forest,Kennesaw State,17,12,63,80
Kennesaw State,Wake Forest,24,14,88,52
Wake Forest,Kennesaw State,13,6,62,76
Kennesaw State,Wake Forest,10,59,72,101
Wake Forest,Kennesaw State,41,10,86,74
Kennesaw State,Wake Forest,10,24,79,70
Wake Forest,Kennesaw State,42,21,92,72
Kennesaw State,Wake Forest,14,41,70,89
Wake Forest,Kennesaw State,35,9,79,68
Kennesaw State,Wake Forest,16,23,81,71
Wake Forest,Kennesaw State,17,3,79,73
Kennesaw State,Wake Forest,10,34,80,69
Wake Forest,Kennesaw State,55,21,91,72
Kennesaw State,Wake Forest,12,23,76,74
Wake Forest,Kennesaw State,23,24,76,73
Kennesaw State,Wake Forest,7,27,82,64
Wake Forest,Kennesaw State,38,3,64,81
Kennesaw State,Wake Forest,17,26,77,74
Wake Forest,Kennesaw State,41,13,81,72
Kennesaw State,Wake Forest,14,30,75,79
Wake Forest,Kennesaw State,38,7,80,67
Kennesaw State,Wake Forest,28,16,73,73
Wake Forest,Kennesaw State,54,7,102,67
Kennesaw State,Wake Forest,22,13,81,55
Wake Forest,Kennesaw State,31,10,78,68
Kennesaw State,Wake Forest,14,69,74,93
Wake Forest,Kennesaw State,45,7,93,73
Kennesaw State,Wake Forest,24,42,76,98
Wake Forest,Kennesaw State,20,10,69,80
Kennesaw State,Wake Forest,24,28,76,85
Wake Forest,Kennesaw State,29,9,80,67
Kennesaw State,Wake Forest,24,24,84,74
Wake Forest,Kennesaw State,17,23,62,81
Kennesaw State,Wake Forest,31,10,72,63
Wake Forest,Kennesaw State,48,10,73,80
Kennesaw State,Wake Forest,17,34,74,84
Wake Forest,Kennesaw State,23,23,74,69
Kennesaw State,Wake Forest,9,38,76,73
Wake Forest,Kennesaw State,65,20,92,75
Kennesaw State,Wake Forest,34,44,80,88
Wake Forest,Kennesaw State,45,9,100,75
Kennesaw State,Wake Forest,10,28,70,89
Wake Forest,Kennesaw State,63,20,89,84
Kennesaw State,Wake Forest,10,41,76,79
Wake Forest,Kennesaw State,27,13,90,71
Kennesaw State,Wake Forest,24,24,67,75
Wake Forest,Kennesaw State,42,10,89,72
Kennesaw State,Wake Forest,13,20,79,69
Wake Forest,Kennesaw State,27,10,89,73
