team,opp,pts,opp_pts,plays,opp_plays
Wisconsin,Miami (OH),42,21,57,62
Miami (OH),Wisconsin,7,10,53,58
Wisconsin,Miami (OH),7,10,46,59
Miami (OH),Wisconsin,17,28,56,61
Wisconsin,Miami (OH),17,13,62,54
Miami (OH),Wisconsin,0,10,48,67
Wisconsin,Miami (OH),16,7,59,59
Miami (OH),Wisconsin,17,10,55,60
Wisconsin,Miami (OH),17,20,55,57
Miami (OH),Wisconsin,21,21,59,56
Wisconsin,Miami (OH),23,7,72,44
Miami (OH),Wisconsin,10,17,52,57
Wisconsin,Miami (OH),7,6,54,61
Miami (OH),Wisconsin,14,24,65,52
Wisconsin,Miami (OH),21,0,54,69
Miami (OH),Wisconsin,10,21,53,55
Wisconsin,Miami (OH),24,13,54,60
Miami (OH),Wisconsin,3,17,52,60
Wisconsin,Miami (OH),7,22,50,60
Miami (OH),Wisconsin,10,24,56,60
Wisconsin,Miami (OH),31,7,59,64
Miami (OH),Wisconsin,7,23,54,62
Wisconsin,Miami (OH),17,6,50,66
Miami (OH),Wisconsin,17,10,52,67
Wisconsin,Miami (OH),21,10,58,61
Miami (OH),Wisconsin,3,19,48,66
Wisconsin,Miami (OH),17,0,56,55
Miami (OH),Wisconsin,10,14,49,70
Wisconsin,Miami (OH),24,17,59,55
Miami (OH),Wisconsin,21,20,56,59
Wisconsin,Miami (OH),10,0,71,45
Miami (OH),Wisconsin,10,17,61,45
Wisconsin,Miami (OH),21,0,57,57
Miami (OH),Wisconsin,20,3,55,62
Wisconsin,Miami (OH),9,6,66,50
Miami (OH),Wisconsin,0,37,49,64
Wisconsin,Miami (OH),35,0,68,44
Miami (OH),Wisconsin,3,38,46,72
Wisconsin,Miami (OH),31,14,65,47
Miami (OH),Wisconsin,3,9,52,60
Wisconsin,Miami (OH),17,10,60,53
Miami (OH),Wisconsin,10,10,66,51
Wisconsin,Miami (OH),16,3,56,54
Miami (OH),Wisconsin,13,28,68,53
Wisconsin,Miami (OH),27,6,62,59
Miami (OH),Wisconsin,7,21,50,56
Wisconsin,Miami (OH),35,14,67,43
Miami (OH),Wisconsin,10,21,51,59
Wisconsin,Miami (OH),28,14,59,56
Miami (OH),Wisconsin,3,30,53,70
Wisconsin,Miami (OH),24,6,65,48
Miami (OH),Wisconsin,6,24,53,61
Wisconsin,Miami (OH),35,17,61,50
