sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,Colorado,Arizona,Kaidon Salter,QB,26,20,174.3,1,0,6,0,0.0,0,0,0,0.0,0
0,A,Colorado,Arizona,Kaidon Salter,Rusher,0,0,0.0,0,0,0,10,23.4,0,0,0,0.0,0
0,A,Colorado,Arizona,Ryan Staub,Rusher,0,0,0.0,0,0,0,5,15.4,0,0,0,0.0,0
0,A,Colorado,Arizona,Simeon Price,Rusher,0,0,0.0,0,0,0,4,9.0,0,0,0,0.0,0
0,A,Colorado,Arizona,Micah Welch,Rusher,0,0,0.0,0,0,0,9,30.1,0,0,0,0.0,0
0,A,Colorado,Arizona,Dallan Hayden,Rusher,0,0,0.0,0,0,0,1,10.3,0,0,0,0.0,0
0,A,Colorado,Arizona,Dekalon Taylor,Rusher,0,0,0.0,0,0,0,1,-3.9,0,0,0,0.0,0
0,A,Colorado,Arizona,Omarion Miller,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,66.6,0
0,A,Colorado,Arizona,Sincere Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,27.0,1
0,A,Colorado,Arizona,Joseph Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,24.3,0
0,A,Colorado,Arizona,Terrell Timmons Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,7.4,0
0,A,Colorado,Arizona,Quentin Gibson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,7.4,0
0,A,Colorado,Arizona,Isaiah Hardge,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,14.6,0
0,A,Colorado,Arizona,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
0,A,Colorado,Arizona,Drelon Miller,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,19.2,0
0,A,Colorado,Arizona,Hykeem Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,7.7,0
0,A,Colorado,Arizona,Zach Atkins,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
