sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Minnesota,Michigan State,Drake Lindsey,QB,25,19,211.9,1,0,3,0,0.0,0,0,0,0.0,0
32,A,Minnesota,Michigan State,Darius Taylor,Rusher,0,0,0.0,0,0,0,16,56.3,1,0,0,0.0,0
32,A,Minnesota,Michigan State,Cameron Davis,Rusher,0,0,0.0,0,0,0,4,9.0,0,0,0,0.0,0
32,A,Minnesota,Michigan State,A.J. Turner,Rusher,0,0,0.0,0,0,0,10,48.1,2,0,0,0.0,0
32,A,Minnesota,Michigan State,Fame Ijeboi,Rusher,0,0,0.0,0,0,0,7,60.7,1,0,0,0.0,0
32,A,Minnesota,Michigan State,Javon Tracy,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,6.6,0
32,A,Minnesota,Michigan State,Jalen Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,38.1,1
32,A,Minnesota,Michigan State,Logan Loya,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,64.0,0
32,A,Minnesota,Michigan State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,39.6,0
32,A,Minnesota,Michigan State,Drew Biber,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
32,A,Minnesota,Michigan State,Lemeke Brockington,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,17.2,0
32,A,Minnesota,Michigan State,Jameson Geers,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,41.8,0
32,A,Minnesota,Michigan State,Frank Bierman,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,4.6,0
32,A,Michigan State,Minnesota,Aidan Chiles,QB,42,21,315.0,2,1,4,0,0.0,0,0,0,0.0,0
32,A,Michigan State,Minnesota,Other RB,Rusher,0,0,0.0,0,0,0,2,9.9,0,0,0,0.0,0
32,A,Michigan State,Minnesota,Aidan Chiles,Rusher,0,0,0.0,0,0,0,7,19.7,0,0,0,0.0,0
32,A,Michigan State,Minnesota,Brandon Tullis,Rusher,0,0,0.0,0,0,0,8,30.5,0,0,0,0.0,0
32,A,Michigan State,Minnesota,Makhi Frazier,Rusher,0,0,0.0,0,0,0,8,25.8,1,0,0,0.0,0
32,A,Michigan State,Minnesota,Elijah Tau-Tolliver,Rusher,0,0,0.0,0,0,0,1,-3.4,0,0,0,0.0,0
32,A,Michigan State,Minnesota,Nick Marsh,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,14,92.5,1
32,A,Michigan State,Minnesota,Omari Kelly,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,13,119.8,0
32,A,Michigan State,Minnesota,Jack Velling,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,6,34.1,1
32,A,Michigan State,Minnesota,Chrishon Mccray,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,18.0,0
32,A,Michigan State,Minnesota,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,6,44.3,0
32,A,Michigan State,Minnesota,Rodney Bullard Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,6.3,0
32,A,Michigan State,Minnesota,Michael Masunas,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
33,B,Michigan State,Minnesota,Aidan Chiles,QB,30,17,162.2,0,0,8,0,0.0,0,0,0,0.0,0
33,B,Michigan State,Minnesota,Makhi Frazier,Rusher,0,0,0.0,0,0,0,8,18.1,0,0,0,0.0,0
33,B,Michigan State,Minnesota,Aidan Chiles,Rusher,0,0,0.0,0,0,0,9,28.8,1,0,0,0.0,0
33,B,Michigan State,Minnesota,Brandon Tullis,Rusher,0,0,0.0,0,0,0,4,4.7,0,0,0,0.0,0
33,B,Michigan State,Minnesota,Elijah Tau-Tolliver,Rusher,0,0,0.0,0,0,0,2,2.5,0,0,0,0.0,0
33,B,Michigan State,Minnesota,Nick Marsh,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
33,B,Michigan State,Minnesota,Jack Velling,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,1.9,0
33,B,Michigan State,Minnesota,Jayden Savoury,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,1.0,0
33,B,Michigan State,Minnesota,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,31.6,0
33,B,Michigan State,Minnesota,Omari Kelly,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,10,86.5,0
33,B,Michigan State,Minnesota,Chrishon Mccray,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,4,0.0,0
33,B,Michigan State,Minnesota,Rodney Bullard Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,24.5,0
33,B,Michigan State,Minnesota,Michael Masunas,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,16.7,0
33,B,Minnesota,Michigan State,Drake Lindsey,QB,23,18,246.9,3,0,4,0,0.0,0,0,0,0.0,0
33,B,Minnesota,Michigan State,Fame Ijeboi,Rusher,0,0,0.0,0,0,0,14,84.0,2,0,0,0.0,0
33,B,Minnesota,Michigan State,Cameron Davis,Rusher,0,0,0.0,0,0,0,5,13.9,0,0,0,0.0,0
33,B,Minnesota,Michigan State,Darius Taylor,Rusher,0,0,0.0,0,0,0,12,60.4,0,0,0,0.0,0
33,B,Minnesota,Michigan State,A.J. Turner,Rusher,0,0,0.0,0,0,0,1,5.6,0,0,0,0.0,0
33,B,Minnesota,Michigan State,Drake Lindsey,Rusher,0,0,0.0,0,0,0,2,5.4,0,0,0,0.0,0
33,B,Minnesota,Michigan State,Jalen Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,63.1,0
33,B,Minnesota,Michigan State,Jameson Geers,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,25.8,1
33,B,Minnesota,Michigan State,Drew Biber,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,18.0,0
33,B,Minnesota,Michigan State,Lemeke Brockington,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,40.4,0
33,B,Minnesota,Michigan State,Frank Bierman,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,31.9,1
33,B,Minnesota,Michigan State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,32.6,0
33,B,Minnesota,Michigan State,Javon Tracy,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,28.9,1
33,B,Minnesota,Michigan State,Logan Loya,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,6.1,0
34,A,Minnesota,Michigan State,Drake Lindsey,QB,30,18,162.8,1,0,8,0,0.0,0,0,0,0.0,0
34,A,Minnesota,Michigan State,Cameron Davis,Rusher,0,0,0.0,0,0,0,5,15.4,0,0,0,0.0,0
34,A,Minnesota,Michigan State,Darius Taylor,Rusher,0,0,0.0,0,0,0,12,34.1,0,0,0,0.0,0
34,A,Minnesota,Michigan State,Fame Ijeboi,Rusher,0,0,0.0,0,0,0,8,10.8,0,0,0,0.0,0
34,A,Minnesota,Michigan State,A.J. Turner,Rusher,0,0,0.0,0,0,0,2,1.7,0,0,0,0.0,0
34,A,Minnesota,Michigan State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,10,53.8,0
34,A,Minnesota,Michigan State,Javon Tracy,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,31.8,0
34,A,Minnesota,Michigan State,Jameson Geers,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,3.0,0
34,A,Minnesota,Michigan State,Logan Loya,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,5.4,0
34,A,Minnesota,Michigan State,Jalen Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,9.2,0
34,A,Minnesota,Michigan State,Lemeke Brockington,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,7,39.8,0
34,A,Minnesota,Michigan State,Frank Bierman,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,19.8,1
34,A,Minnesota,Michigan State,Drew Biber,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
34,A,Michigan State,Minnesota,Aidan Chiles,QB,21,11,140.8,0,0,6,0,0.0,0,0,0,0.0,0
34,A,Michigan State,Minnesota,Aidan Chiles,Rusher,0,0,0.0,0,0,0,5,36.6,1,0,0,0.0,0
34,A,Michigan State,Minnesota,Makhi Frazier,Rusher,0,0,0.0,0,0,0,15,5.8,0,0,0,0.0,0
34,A,Michigan State,Minnesota,Brandon Tullis,Rusher,0,0,0.0,0,0,0,3,1.5,0,0,0,0.0,0
34,A,Michigan State,Minnesota,Other RB,Rusher,0,0,0.0,0,0,0,3,3.4,0,0,0,0.0,0
34,A,Michigan State,Minnesota,Elijah Tau-Tolliver,Rusher,0,0,0.0,0,0,0,2,10.7,0,0,0,0.0,0
34,A,Michigan State,Minnesota,Nick Marsh,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,22.1,0
34,A,Michigan State,Minnesota,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,7,84.8,0
34,A,Michigan State,Minnesota,Omari Kelly,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,4,0.0,0
34,A,Michigan State,Minnesota,Chrishon Mccray,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,8.8,0
34,A,Michigan State,Minnesota,Michael Masunas,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,12.2,0
34,A,Michigan State,Minnesota,Jack Velling,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,13.0,0
35,B,Michigan State,Minnesota,Aidan Chiles,QB,25,17,192.0,0,0,4,0,0.0,0,0,0,0.0,0
35,B,Michigan State,Minnesota,Elijah Tau-Tolliver,Rusher,0,0,0.0,0,0,0,2,9.5,0,0,0,0.0,0
35,B,Michigan State,Minnesota,Brandon Tullis,Rusher,0,0,0.0,0,0,0,6,34.4,1,0,0,0.0,0
35,B,Michigan State,Minnesota,Makhi Frazier,Rusher,0,0,0.0,0,0,0,19,51.5,1,0,0,0.0,0
35,B,Michigan State,Minnesota,Aidan Chiles,Rusher,0,0,0.0,0,0,0,7,7.4,0,0,0,0.0,0
35,B,Michigan State,Minnesota,Other RB,Rusher,0,0,0.0,0,0,0,3,22.9,0,0,0,0.0,0
35,B,Michigan State,Minnesota,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,23.1,0
35,B,Michigan State,Minnesota,Omari Kelly,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,32.4,0
35,B,Michigan State,Minnesota,Nick Marsh,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,77.0,0
35,B,Michigan State,Minnesota,Chrishon Mccray,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,41.2,0
35,B,Michigan State,Minnesota,Jack Velling,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,3.4,0
35,B,Michigan State,Minnesota,Michael Masunas,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,14.8,0
35,B,Minnesota,Michigan State,Drake Lindsey,QB,25,17,222.2,1,0,3,0,0.0,0,0,0,0.0,0
35,B,Minnesota,Michigan State,A.J. Turner,Rusher,0,0,0.0,0,0,0,5,16.2,0,0,0,0.0,0
35,B,Minnesota,Michigan State,Darius Taylor,Rusher,0,0,0.0,0,0,0,8,60.0,0,0,0,0.0,0
35,B,Minnesota,Michigan State,Cameron Davis,Rusher,0,0,0.0,0,0,0,7,42.5,3,0,0,0.0,0
35,B,Minnesota,Michigan State,Drake Lindsey,Rusher,0,0,0.0,0,0,0,1,8.4,0,0,0,0.0,0
35,B,Minnesota,Michigan State,Fame Ijeboi,Rusher,0,0,0.0,0,0,0,10,31.3,0,0,0,0.0,0
35,B,Minnesota,Michigan State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,8,102.9,0
35,B,Minnesota,Michigan State,Lemeke Brockington,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,3,0.0,0
35,B,Minnesota,Michigan State,Jameson Geers,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,30.7,0
35,B,Minnesota,Michigan State,Javon Tracy,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,25.5,0
35,B,Minnesota,Michigan State,Drew Biber,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,28.4,1
35,B,Minnesota,Michigan State,Jalen Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,20.9,0
35,B,Minnesota,Michigan State,Logan Loya,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,13.8,0
36,A,Minnesota,Michigan State,Drake Lindsey,QB,32,22,262.1,0,0,8,0,0.0,0,0,0,0.0,0
36,A,Minnesota,Michigan State,A.J. Turner,Rusher,0,0,0.0,0,0,0,2,13.0,0,0,0,0.0,0
36,A,Minnesota,Michigan State,Darius Taylor,Rusher,0,0,0.0,0,0,0,13,52.6,0,0,0,0.0,0
36,A,Minnesota,Michigan State,Fame Ijeboi,Rusher,0,0,0.0,0,0,0,11,27.9,2,0,0,0.0,0
36,A,Minnesota,Michigan State,Drake Lindsey,Rusher,0,0,0.0,0,0,0,2,17.3,0,0,0,0.0,0
36,A,Minnesota,Michigan State,Cameron Davis,Rusher,0,0,0.0,0,0,0,3,3.2,0,0,0,0.0,0
36,A,Minnesota,Michigan State,Jameson Geers,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,7,89.0,0
36,A,Minnesota,Michigan State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,54.1,0
36,A,Minnesota,Michigan State,Logan Loya,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,6.8,0
36,A,Minnesota,Michigan State,Drew Biber,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,9.8,0
36,A,Minnesota,Michigan State,Lemeke Brockington,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,19.4,0
36,A,Minnesota,Michigan State,Jalen Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,29.6,0
36,A,Minnesota,Michigan State,Javon Tracy,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,53.5,0
36,A,Michigan State,Minnesota,Aidan Chiles,QB,20,16,188.6,2,0,3,0,0.0,0,0,0,0.0,0
36,A,Michigan State,Minnesota,Makhi Frazier,Rusher,0,0,0.0,0,0,0,13,50.9,1,0,0,0.0,0
36,A,Michigan State,Minnesota,Brandon Tullis,Rusher,0,0,0.0,0,0,0,6,32.4,0,0,0,0.0,0
36,A,Michigan State,Minnesota,Aidan Chiles,Rusher,0,0,0.0,0,0,0,8,39.3,0,0,0,0.0,0
36,A,Michigan State,Minnesota,Other RB,Rusher,0,0,0.0,0,0,0,2,9.5,0,0,0,0.0,0
36,A,Michigan State,Minnesota,Elijah Tau-Tolliver,Rusher,0,0,0.0,0,0,0,4,12.4,0,0,0,0.0,0
36,A,Michigan State,Minnesota,Omari Kelly,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,52.4,1
36,A,Michigan State,Minnesota,Michael Masunas,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,22.9,1
36,A,Michigan State,Minnesota,Nick Marsh,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,8,70.7,0
36,A,Michigan State,Minnesota,Rodney Bullard Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
36,A,Michigan State,Minnesota,Chrishon Mccray,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,34.1,0
36,A,Michigan State,Minnesota,Jack Velling,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,8.4,0
36,A,Michigan State,Minnesota,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
37,B,Michigan State,Minnesota,Aidan Chiles,QB,30,20,237.6,1,0,7,0,0.0,0,0,0,0.0,0
37,B,Michigan State,Minnesota,Aidan Chiles,Rusher,0,0,0.0,0,0,0,7,76.9,2,0,0,0.0,0
37,B,Michigan State,Minnesota,Makhi Frazier,Rusher,0,0,0.0,0,0,0,12,92.9,2,0,0,0.0,0
37,B,Michigan State,Minnesota,Other RB,Rusher,0,0,0.0,0,0,0,5,57.4,1,0,0,0.0,0
37,B,Michigan State,Minnesota,Brandon Tullis,Rusher,0,0,0.0,0,0,0,6,29.8,0,0,0,0.0,0
37,B,Michigan State,Minnesota,Elijah Tau-Tolliver,Rusher,0,0,0.0,0,0,0,3,15.2,0,0,0,0.0,0
37,B,Michigan State,Minnesota,Nick Marsh,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,11,118.8,1
37,B,Michigan State,Minnesota,Omari Kelly,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,7,15.5,0
37,B,Michigan State,Minnesota,Jack Velling,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,34.6,0
37,B,Michigan State,Minnesota,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,16.6,0
37,B,Michigan State,Minnesota,Chrishon Mccray,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,31.6,0
37,B,Michigan State,Minnesota,Jayden Savoury,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,20.6,0
37,B,Minnesota,Michigan State,Drake Lindsey,QB,35,21,148.4,0,0,6,0,0.0,0,0,0,0.0,0
37,B,Minnesota,Michigan State,Darius Taylor,Rusher,0,0,0.0,0,0,0,14,25.3,0,0,0,0.0,0
37,B,Minnesota,Michigan State,Cameron Davis,Rusher,0,0,0.0,0,0,0,3,4.4,0,0,0,0.0,0
37,B,Minnesota,Michigan State,Drake Lindsey,Rusher,0,0,0.0,0,0,0,1,1.0,0,0,0,0.0,0
37,B,Minnesota,Michigan State,A.J. Turner,Rusher,0,0,0.0,0,0,0,1,3.0,0,0,0,0.0,0
37,B,Minnesota,Michigan State,Fame Ijeboi,Rusher,0,0,0.0,0,0,0,2,9.3,0,0,0,0.0,0
37,B,Minnesota,Michigan State,Lemeke Brockington,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,19.2,0
37,B,Minnesota,Michigan State,Jameson Geers,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,10.5,0
37,B,Minnesota,Michigan State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,48.6,0
37,B,Minnesota,Michigan State,Drew Biber,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,0.0,0
37,B,Minnesota,Michigan State,Javon Tracy,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,33.5,0
37,B,Minnesota,Michigan State,Logan Loya,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,17.8,0
37,B,Minnesota,Michigan State,Jalen Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,15.7,0
37,B,Minnesota,Michigan State,Frank Bierman,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,3.1,0
38,A,Minnesota,Michigan State,Drake Lindsey,QB,24,19,192.8,1,0,7,0,0.0,0,0,0,0.0,0
38,A,Minnesota,Michigan State,A.J. Turner,Rusher,0,0,0.0,0,0,0,5,16.8,0,0,0,0.0,0
38,A,Minnesota,Michigan State,Fame Ijeboi,Rusher,0,0,0.0,0,0,0,11,32.0,0,0,0,0.0,0
38,A,Minnesota,Michigan State,Cameron Davis,Rusher,0,0,0.0,0,0,0,5,14.8,0,0,0,0.0,0
38,A,Minnesota,Michigan State,Darius Taylor,Rusher,0,0,0.0,0,0,0,13,90.5,2,0,0,0.0,0
38,A,Minnesota,Michigan State,Drake Lindsey,Rusher,0,0,0.0,0,0,0,1,9.0,0,0,0,0.0,0
38,A,Minnesota,Michigan State,Jalen Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,8,61.2,0
38,A,Minnesota,Michigan State,Javon Tracy,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,32.1,0
38,A,Minnesota,Michigan State,Logan Loya,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
