sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,UConn,UAB,Joe Fagnano,QB,38,29,308.8,2,0,4,0,0.0,0,0,0,0.0,0
0,A,UConn,UAB,MJ Flowers,Rusher,0,0,0.0,0,0,0,6,76.5,0,0,0,0.0,0
0,A,UConn,UAB,Jayden Brown,Rusher,0,0,0.0,0,0,0,5,17.8,0,0,0,0.0,0
0,A,UConn,UAB,Camryn Edwards,Rusher,0,0,0.0,0,0,0,21,80.6,2,0,0,0.0,0
0,A,UConn,UAB,Joe Fagnano,Rusher,0,0,0.0,0,0,0,3,8.1,0,0,0,0.0,0
0,A,UConn,UAB,Oliver Lundberg-Coleman,Rusher,0,0,0.0,0,0,0,2,19.3,1,0,0,0.0,0
0,A,UConn,UAB,John Neider,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,36.4,0
0,A,UConn,UAB,Alex Honig,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,12.4,0
0,A,UConn,UAB,Skyler Bell,Receiver,0,0,0.0,0,0,0,0,0.0,0,9,13,113.4,1
0,A,UConn,UAB,Reymello Murphy,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,34.4,0
0,A,UConn,UAB,Javonte Vereen,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,13.7,0
0,A,UConn,UAB,Thai Chiaokhiao-Bowman,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,29.1,0
0,A,UConn,UAB,Shamar Porter,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,27.2,1
0,A,UConn,UAB,Terrence Smith Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,9.7,0
0,A,UConn,UAB,Louis Hansen,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,32.7,0
0,A,UAB,UConn,Jalen Kitna,QB,32,20,241.4,1,0,7,0,0.0,0,0,0,0.0,0
0,A,UAB,UConn,Jevon Jackson,Rusher,0,0,0.0,0,0,0,8,45.1,0,0,0,0.0,0
0,A,UAB,UConn,Solomon Beebe,Rusher,0,0,0.0,0,0,0,11,63.8,2,0,0,0.0,0
0,A,UAB,UConn,Isaiah Jacobs,Rusher,0,0,0.0,0,0,0,3,21.9,0,0,0,0.0,0
0,A,UAB,UConn,Corri Milliner,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,11,71.8,0
0,A,UAB,UConn,Evan McCray,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,50.9,1
0,A,UAB,UConn,Iverson Hooks,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,37.3,0
0,A,UAB,UConn,Kaleb Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,11.7,0
0,A,UAB,UConn,Xavier Daisy,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,1.8,0
0,A,UAB,UConn,Elijah Lagg,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
0,A,UAB,UConn,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
0,A,UAB,UConn,BJ Hawkins Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,22.9,0
0,A,UAB,UConn,AJ Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,15.3,0
0,A,UAB,UConn,J.C. Sivley,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,29.8,0
1,B,UAB,UConn,Jalen Kitna,QB,29,23,221.4,0,0,4,0,0.0,0,0,0,0.0,0
1,B,UAB,UConn,Solomon Beebe,Rusher,0,0,0.0,0,0,0,7,46.8,0,0,0,0.0,0
1,B,UAB,UConn,Isaiah Jacobs,Rusher,0,0,0.0,0,0,0,7,18.4,0,0,0,0.0,0
1,B,UAB,UConn,Jevon Jackson,Rusher,0,0,0.0,0,0,0,15,70.5,1,0,0,0.0,0
1,B,UAB,UConn,Nate Rogers,Rusher,0,0,0.0,0,0,0,3,-0.5,0,0,0,0.0,0
1,B,UAB,UConn,Other RB,Rusher,0,0,0.0,0,0,0,1,-0.8,0,0,0,0.0,0
1,B,UAB,UConn,Corri Milliner,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,53.3,0
1,B,UAB,UConn,BJ Hawkins Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,34.2,0
1,B,UAB,UConn,Elijah Lagg,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,31.1,0
1,B,UAB,UConn,Evan McCray,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,56.6,0
1,B,UAB,UConn,Iverson Hooks,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,21.2,0
1,B,UAB,UConn,Xavier Daisy,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,25.0,0
1,B,UAB,UConn,J.C. Sivley,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
1,B,UAB,UConn,AJ Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
1,B,UAB,UConn,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
1,B,UConn,UAB,Joe Fagnano,QB,33,29,331.0,1,0,4,0,0.0,0,0,0,0.0,0
1,B,UConn,UAB,Joe Fagnano,Rusher,0,0,0.0,0,0,0,2,12.2,0,0,0,0.0,0
1,B,UConn,UAB,Camryn Edwards,Rusher,0,0,0.0,0,0,0,12,20.1,0,0,0,0.0,0
1,B,UConn,UAB,Oliver Lundberg-Coleman,Rusher,0,0,0.0,0,0,0,3,11.1,0,0,0,0.0,0
1,B,UConn,UAB,Jayden Brown,Rusher,0,0,0.0,0,0,0,3,15.7,0,0,0,0.0,0
1,B,UConn,UAB,MJ Flowers,Rusher,0,0,0.0,0,0,0,3,6.2,0,0,0,0.0,0
1,B,UConn,UAB,Victor Rosa,Rusher,0,0,0.0,0,0,0,2,29.8,2,0,0,0.0,0
1,B,UConn,UAB,Skyler Bell,Receiver,0,0,0.0,0,0,0,0,0.0,0,13,15,156.0,1
1,B,UConn,UAB,Terrence Smith Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,15.0,0
1,B,UConn,UAB,Shamar Porter,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,54.3,0
1,B,UConn,UAB,Thai Chiaokhiao-Bowman,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,37.0,0
1,B,UConn,UAB,John Neider,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,31.1,0
1,B,UConn,UAB,Javonte Vereen,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,4.4,0
1,B,UConn,UAB,Reymello Murphy,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,20.5,0
1,B,UConn,UAB,Louis Hansen,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
1,B,UConn,UAB,Alex Honig,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
1,B,UConn,UAB,Nader Chirchi,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,12.7,0
2,A,UConn,UAB,Joe Fagnano,QB,31,20,188.1,0,0,1,0,0.0,0,0,0,0.0,0
2,A,UConn,UAB,Camryn Edwards,Rusher,0,0,0.0,0,0,0,16,51.0,0,0,0,0.0,0
2,A,UConn,UAB,Jayden Brown,Rusher,0,0,0.0,0,0,0,11,41.1,1,0,0,0.0,0
2,A,UConn,UAB,MJ Flowers,Rusher,0,0,0.0,0,0,0,3,18.4,1,0,0,0.0,0
2,A,UConn,UAB,Oliver Lundberg-Coleman,Rusher,0,0,0.0,0,0,0,3,5.5,0,0,0,0.0,0
2,A,UConn,UAB,Joe Fagnano,Rusher,0,0,0.0,0,0,0,2,12.3,0,0,0,0.0,0
2,A,UConn,UAB,Victor Rosa,Rusher,0,0,0.0,0,0,0,1,-4.3,0,0,0,0.0,0
2,A,UConn,UAB,Javonte Vereen,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,8,89.1,0
2,A,UConn,UAB,Shamar Porter,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,29.0,0
2,A,UConn,UAB,Skyler Bell,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,15.5,0
2,A,UConn,UAB,Louis Hansen,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,16.7,0
2,A,UConn,UAB,Thai Chiaokhiao-Bowman,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,3,0.0,0
2,A,UConn,UAB,Reymello Murphy,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,27.2,0
2,A,UConn,UAB,John Neider,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,10.6,0
2,A,UAB,UConn,Jalen Kitna,QB,31,19,205.3,0,0,10,0,0.0,0,0,0,0.0,0
2,A,UAB,UConn,Nate Rogers,Rusher,0,0,0.0,0,0,0,3,8.7,0,0,0,0.0,0
2,A,UAB,UConn,Solomon Beebe,Rusher,0,0,0.0,0,0,0,8,18.1,0,0,0,0.0,0
2,A,UAB,UConn,Jevon Jackson,Rusher,0,0,0.0,0,0,0,9,24.5,0,0,0,0.0,0
2,A,UAB,UConn,Isaiah Jacobs,Rusher,0,0,0.0,0,0,0,4,10.9,0,0,0,0.0,0
2,A,UAB,UConn,Jalen Kitna,Rusher,0,0,0.0,0,0,0,1,4.7,0,0,0,0.0,0
2,A,UAB,UConn,Xavier Daisy,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,8.5,0
2,A,UAB,UConn,Corri Milliner,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,50.6,0
2,A,UAB,UConn,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,32.5,0
2,A,UAB,UConn,Evan McCray,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,7.3,0
2,A,UAB,UConn,BJ Hawkins Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,30.4,0
2,A,UAB,UConn,Iverson Hooks,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,61.6,0
2,A,UAB,UConn,J.C. Sivley,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,2.8,0
2,A,UAB,UConn,Elijah Lagg,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,11.6,0
2,A,UAB,UConn,Kaleb Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
3,B,UAB,UConn,Jalen Kitna,QB,25,16,162.3,0,0,9,0,0.0,0,0,0,0.0,0
3,B,UAB,UConn,Solomon Beebe,Rusher,0,0,0.0,0,0,0,2,22.6,1,0,0,0.0,0
3,B,UAB,UConn,Jevon Jackson,Rusher,0,0,0.0,0,0,0,11,50.3,0,0,0,0.0,0
3,B,UAB,UConn,Other RB,Rusher,0,0,0.0,0,0,0,1,6.4,0,0,0,0.0,0
3,B,UAB,UConn,Isaiah Jacobs,Rusher,0,0,0.0,0,0,0,7,33.3,0,0,0,0.0,0
3,B,UAB,UConn,Jalen Kitna,Rusher,0,0,0.0,0,0,0,3,6.3,0,0,0,0.0,0
