sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,Utah,Cincinnati,Devon Dampier,QB,31,17,153.8,1,0,2,0,0.0,0,0,0,0.0,0
0,A,Utah,Cincinnati,Devon Dampier,Rusher,0,0,0.0,0,0,0,12,48.4,1,0,0,0.0,0
0,A,Utah,Cincinnati,NaQuari Rogers,Rusher,0,0,0.0,0,0,0,14,33.4,0,0,0,0.0,0
0,A,Utah,Cincinnati,Other RB,Rusher,0,0,0.0,0,0,0,10,67.7,0,0,0,0.0,0
0,A,Utah,Cincinnati,Wayshawn Parker,Rusher,0,0,0.0,0,0,0,7,68.4,2,0,0,0.0,0
0,A,Utah,Cincinnati,Byrd Ficklin,Rusher,0,0,0.0,0,0,0,4,20.6,0,0,0,0.0,0
0,A,Utah,Cincinnati,Dallen Bentley,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,19.5,0
0,A,Utah,Cincinnati,Ryan Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,71.3,1
0,A,Utah,Cincinnati,Hunter Andrews,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,15.7,0
0,A,Utah,Cincinnati,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,30.8,0
0,A,Utah,Cincinnati,Larry Simmons,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
0,A,Utah,Cincinnati,Tobias Merriweather,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,16.5,0
0,A,Utah,Cincinnati,JJ Buchanan,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,0.0,0
0,A,Cincinnati,Utah,Brendan Sorsby,QB,25,12,127.7,1,0,7,0,0.0,0,0,0,0.0,0
0,A,Cincinnati,Utah,Evan Pryor,Rusher,0,0,0.0,0,0,0,6,8.8,0,0,0,0.0,0
0,A,Cincinnati,Utah,Tawee Walker,Rusher,0,0,0.0,0,0,0,12,30.9,0,0,0,0.0,0
0,A,Cincinnati,Utah,Brendan Sorsby,Rusher,0,0,0.0,0,0,0,6,26.7,1,0,0,0.0,0
0,A,Cincinnati,Utah,Manny Covey,Rusher,0,0,0.0,0,0,0,1,10.7,0,0,0,0.0,0
0,A,Cincinnati,Utah,Chance Williams,Rusher,0,0,0.0,0,0,0,1,1.7,0,0,0,0.0,0
0,A,Cincinnati,Utah,Gavin Grover,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
0,A,Cincinnati,Utah,Cyrus Allen,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,41.7,0
0,A,Cincinnati,Utah,Jeff Caldwell,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,58.7,1
0,A,Cincinnati,Utah,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,12.8,0
0,A,Cincinnati,Utah,Isaiah Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,4.2,0
0,A,Cincinnati,Utah,Joe Royer,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
0,A,Cincinnati,Utah,Caleb Goodie,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,10.3,0
0,A,Cincinnati,Utah,Patrick Gurd,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
1,B,Cincinnati,Utah,Brendan Sorsby,QB,22,17,199.7,1,0,5,0,0.0,0,0,0,0.0,0
1,B,Cincinnati,Utah,Evan Pryor,Rusher,0,0,0.0,0,0,0,9,34.5,1,0,0,0.0,0
1,B,Cincinnati,Utah,Brendan Sorsby,Rusher,0,0,0.0,0,0,0,8,24.2,0,0,0,0.0,0
1,B,Cincinnati,Utah,Tawee Walker,Rusher,0,0,0.0,0,0,0,8,25.4,0,0,0,0.0,0
1,B,Cincinnati,Utah,Manny Covey,Rusher,0,0,0.0,0,0,0,2,10.1,0,0,0,0.0,0
1,B,Cincinnati,Utah,Chance Williams,Rusher,0,0,0.0,0,0,0,2,4.7,0,0,0,0.0,0
1,B,Cincinnati,Utah,Caleb Goodie,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,26.8,0
1,B,Cincinnati,Utah,Cyrus Allen,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,30.9,1
1,B,Cincinnati,Utah,Joe Royer,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,33.5,0
1,B,Cincinnati,Utah,Gavin Grover,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,17.5,0
1,B,Cincinnati,Utah,Noah Jennings,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,14.5,0
1,B,Cincinnati,Utah,Patrick Gurd,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,47.4,0
1,B,Cincinnati,Utah,Jeff Caldwell,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,29.0,0
1,B,Cincinnati,Utah,Isaiah Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
1,B,Cincinnati,Utah,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
1,B,Utah,Cincinnati,Devon Dampier,QB,35,19,207.4,2,0,7,0,0.0,0,0,0,0.0,0
1,B,Utah,Cincinnati,NaQuari Rogers,Rusher,0,0,0.0,0,0,0,12,45.4,0,0,0,0.0,0
1,B,Utah,Cincinnati,Devon Dampier,Rusher,0,0,0.0,0,0,0,11,99.0,1,0,0,0.0,0
1,B,Utah,Cincinnati,Other RB,Rusher,0,0,0.0,0,0,0,6,41.9,0,0,0,0.0,0
1,B,Utah,Cincinnati,Wayshawn Parker,Rusher,0,0,0.0,0,0,0,4,17.8,0,0,0,0.0,0
1,B,Utah,Cincinnati,Byrd Ficklin,Rusher,0,0,0.0,0,0,0,2,-0.3,0,0,0,0.0,0
1,B,Utah,Cincinnati,Hunter Andrews,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,39.8,0
1,B,Utah,Cincinnati,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,13,97.9,1
1,B,Utah,Cincinnati,Dallen Bentley,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,10,49.2,1
1,B,Utah,Cincinnati,Tobias Merriweather,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,7.5,0
1,B,Utah,Cincinnati,JJ Buchanan,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,13.0,0
1,B,Utah,Cincinnati,Ryan Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,0.0,0
2,A,Utah,Cincinnati,Devon Dampier,QB,29,19,249.8,0,0,2,0,0.0,0,0,0,0.0,0
2,A,Utah,Cincinnati,Devon Dampier,Rusher,0,0,0.0,0,0,0,10,35.3,2,0,0,0.0,0
2,A,Utah,Cincinnati,Wayshawn Parker,Rusher,0,0,0.0,0,0,0,7,52.7,0,0,0,0.0,0
2,A,Utah,Cincinnati,Other RB,Rusher,0,0,0.0,0,0,0,7,30.2,1,0,0,0.0,0
2,A,Utah,Cincinnati,NaQuari Rogers,Rusher,0,0,0.0,0,0,0,5,27.6,1,0,0,0.0,0
2,A,Utah,Cincinnati,Byrd Ficklin,Rusher,0,0,0.0,0,0,0,1,3.3,0,0,0,0.0,0
2,A,Utah,Cincinnati,JJ Buchanan,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
2,A,Utah,Cincinnati,Hunter Andrews,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,17.3,0
2,A,Utah,Cincinnati,Ryan Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,41.9,0
2,A,Utah,Cincinnati,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,8,95.0,0
2,A,Utah,Cincinnati,Tobias Merriweather,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,26.9,0
