team,opp,pts,opp_pts,plays,opp_plays
Auburn,Kentucky,14,35,60,58
Kentucky,Auburn,20,9,56,61
Auburn,Kentucky,31,14,63,57
Kentucky,Auburn,3,38,52,69
Auburn,Kentucky,14,16,56,60
Kentucky,Auburn,7,31,59,61
Auburn,Kentucky,27,10,53,65
Kentucky,Auburn,31,10,69,45
Auburn,Kentucky,28,17,51,70
Kentucky,Auburn,10,0,61,48
Auburn,Kentucky,31,10,67,54
Kentucky,Auburn,17,21,55,63
Auburn,Kentucky,10,17,61,52
Kentucky,Auburn,3,20,61,55
Auburn,Kentucky,10,6,72,53
Kentucky,Auburn,7,10,57,64
Auburn,Kentucky,34,3,58,64
Kentucky,Auburn,10,30,56,63
Auburn,Kentucky,20,10,57,57
Kentucky,Auburn,0,7,73,51
Auburn,Kentucky,17,20,60,60
Kentucky,Auburn,31,21,61,58
Auburn,Kentucky,24,21,69,51
Kentucky,Auburn,24,10,60,55
Auburn,Kentucky,13,7,59,55
Kentucky,Auburn,3,17,54,63
Auburn,Kentucky,10,14,63,52
Kentucky,Auburn,0,19,46,73
Auburn,Kentucky,10,33,49,66
Kentucky,Auburn,23,3,62,51
Auburn,Kentucky,9,7,60,58
Kentucky,Auburn,21,20,65,57
Auburn,Kentucky,20,7,60,58
Kentucky,Auburn,3,24,65,57
Auburn,Kentucky,34,10,67,57
Kentucky,Auburn,14,27,72,55
Auburn,Kentucky,16,9,69,44
Kentucky,Auburn,7,25,61,60
Auburn,Kentucky,24,14,70,53
Kentucky,Auburn,27,7,67,47
Auburn,Kentucky,10,13,56,61
Kentucky,Auburn,10,23,63,60
Auburn,Kentucky,23,3,72,51
Kentucky,Auburn,3,38,56,61
Auburn,Kentucky,17,7,60,58
Kentucky,Auburn,10,10,63,55
Auburn,Kentucky,17,16,57,61
Kentucky,Auburn,17,20,59,62
Auburn,Kentucky,31,21,64,60
Kentucky,Auburn,17,7,68,52
Auburn,Kentucky,14,7,67,50
Kentucky,Auburn,26,10,61,62
Auburn,Kentucky,27,0,62,61
Kentucky,Auburn,14,17,67,58
Auburn,Kentucky,34,17,67,55
