team,opp,pts,opp_pts,plays,opp_plays
Boston College,Notre Dame,24,31,60,64
Notre Dame,Boston College,38,7,66,53
Boston College,Notre Dame,14,21,65,57
Notre Dame,Boston College,10,17,60,61
Boston College,Notre Dame,0,7,52,60
Notre Dame,Boston College,24,7,69,54
Boston College,Notre Dame,13,45,58,63
Notre Dame,Boston College,24,13,66,51
Boston College,Notre Dame,24,38,66,61
Notre Dame,Boston College,24,20,65,61
Boston College,Notre Dame,17,41,54,71
Notre Dame,Boston College,21,13,61,61
Boston College,Notre Dame,6,49,50,70
Notre Dame,Boston College,16,13,58,72
Boston College,Notre Dame,7,41,48,72
Notre Dame,Boston College,27,16,62,66
Boston College,Notre Dame,10,31,61,60
Notre Dame,Boston College,35,16,64,58
Boston College,Notre Dame,10,42,61,62
Notre Dame,Boston College,34,10,59,63
Boston College,Notre Dame,21,52,52,71
Notre Dame,Boston College,34,7,64,65
Boston College,Notre Dame,7,10,58,63
Notre Dame,Boston College,38,7,70,54
Boston College,Notre Dame,3,43,53,65
Notre Dame,Boston College,49,14,69,58
Boston College,Notre Dame,7,28,59,58
Notre Dame,Boston College,38,3,76,47
Boston College,Notre Dame,21,30,60,61
Notre Dame,Boston College,35,14,61,64
Boston College,Notre Dame,6,28,54,63
Notre Dame,Boston College,31,14,61,59
Boston College,Notre Dame,10,35,57,64
Notre Dame,Boston College,31,24,62,62
Boston College,Notre Dame,21,24,69,54
Notre Dame,Boston College,31,10,64,61
Boston College,Notre Dame,10,31,66,62
Notre Dame,Boston College,35,7,59,63
Boston College,Notre Dame,16,42,68,56
Notre Dame,Boston College,34,14,73,54
Boston College,Notre Dame,3,33,55,65
Notre Dame,Boston College,28,6,58,63
Boston College,Notre Dame,23,10,70,56
Notre Dame,Boston College,42,10,61,61
Boston College,Notre Dame,7,42,67,57
Notre Dame,Boston College,42,13,69,59
Boston College,Notre Dame,17,17,65,56
Notre Dame,Boston College,49,0,67,50
Boston College,Notre Dame,7,21,76,53
Notre Dame,Boston College,31,7,60,61
Boston College,Notre Dame,10,23,60,63
Notre Dame,Boston College,35,7,68,49
Boston College,Notre Dame,7,41,60,63
Notre Dame,Boston College,24,34,68,63
Boston College,Notre Dame,3,20,69,58
Notre Dame,Boston College,35,7,58,58
Boston College,Notre Dame,21,27,71,63
Notre Dame,Boston College,24,3,63,57
Boston College,Notre Dame,3,30,56,64
Notre Dame,Boston College,31,17,64,62
Boston College,Notre Dame,7,34,65,60
Notre Dame,Boston College,38,0,73,55
Boston College,Notre Dame,13,27,60,59
Notre Dame,Boston College,42,3,68,58
Boston College,Notre Dame,6,48,44,70
Notre Dame,Boston College,29,14,61,54
Boston College,Notre Dame,10,31,74,50
Notre Dame,Boston College,38,10,66,49
Boston College,Notre Dame,10,34,65,62
Notre Dame,Boston College,24,13,51,71
Boston College,Notre Dame,10,41,58,66
Notre Dame,Boston College,38,10,66,53
Boston College,Notre Dame,23,38,65,59
Notre Dame,Boston College,42,14,67,57
Boston College,Notre Dame,17,42,68,57
Notre Dame,Boston College,31,13,63,54
Boston College,Notre Dame,10,13,55,68
Notre Dame,Boston College,38,7,74,43
Boston College,Notre Dame,7,48,64,62
Notre Dame,Boston College,41,10,66,50
Boston College,Notre Dame,7,35,55,64
Notre Dame,Boston College,28,21,61,61
Boston College,Notre Dame,0,44,47,70
Notre Dame,Boston College,20,0,68,52
Boston College,Notre Dame,17,42,72,57
Notre Dame,Boston College,42,20,62,61
Boston College,Notre Dame,35,42,57,68
Notre Dame,Boston College,21,3,67,50
Boston College,Notre Dame,21,38,58,62
Notre Dame,Boston College,35,7,60,65
Boston College,Notre Dame,14,33,59,65
Notre Dame,Boston College,38,10,68,52
Boston College,Notre Dame,0,49,48,67
Notre Dame,Boston College,17,31,57,71
Boston College,Notre Dame,28,21,70,53
Notre Dame,Boston College,35,7,63,53
Boston College,Notre Dame,7,27,61,61
Notre Dame,Boston College,38,14,66,57
Boston College,Notre Dame,6,14,73,55
Notre Dame,Boston College,34,6,61,65
Boston College,Notre Dame,17,23,60,59
Notre Dame,Boston College,31,10,63,60
Boston College,Notre Dame,7,31,56,63
Notre Dame,Boston College,45,3,61,62
Boston College,Notre Dame,6,23,68,53
Notre Dame,Boston College,38,21,72,48
Boston College,Notre Dame,14,34,55,62
Notre Dame,Boston College,20,10,68,52
