team,opp,pts,opp_pts,plays,opp_plays
California,Virginia,21,30,66,68
Virginia,California,27,28,68,68
California,Virginia,3,14,63,69
Virginia,California,14,27,63,64
California,Virginia,24,31,62,67
Virginia,California,31,10,68,64
California,Virginia,10,31,58,66
Virginia,California,12,10,74,56
California,Virginia,7,21,68,61
Virginia,California,3,23,56,73
California,Virginia,17,13,73,58
Virginia,California,31,7,67,64
California,Virginia,31,3,69,59
Virginia,California,45,10,80,54
California,Virginia,10,10,70,60
Virginia,California,19,14,63,67
California,Virginia,28,26,65,78
Virginia,California,52,7,76,64
California,Virginia,13,27,67,68
Virginia,California,23,14,60,72
California,Virginia,28,24,69,68
Virginia,California,31,17,63,65
California,Virginia,27,14,82,55
Virginia,California,20,7,69,60
California,Virginia,20,20,70,60
Virginia,California,31,7,70,72
California,Virginia,24,31,75,62
Virginia,California,20,0,81,58
California,Virginia,6,24,67,65
Virginia,California,33,6,73,60
California,Virginia,6,17,68,62
Virginia,California,34,13,60,68
California,Virginia,23,21,75,59
Virginia,California,38,14,69,65
California,Virginia,10,41,51,84
Virginia,California,17,31,66,69
California,Virginia,3,24,67,61
Virginia,California,7,20,59,72
California,Virginia,7,20,60,65
Virginia,California,33,7,78,66
California,Virginia,6,14,59,69
Virginia,California,14,23,63,76
California,Virginia,28,16,70,64
Virginia,California,38,21,76,57
California,Virginia,17,23,67,65
Virginia,California,21,6,67,62
California,Virginia,14,27,60,68
Virginia,California,17,16,65,68
California,Virginia,10,21,76,56
Virginia,California,23,13,75,66
California,Virginia,3,41,53,74
Virginia,California,24,10,75,61
California,Virginia,7,49,63,73
Virginia,California,45,13,79,59
California,Virginia,13,17,66,67
Virginia,California,31,7,79,58
California,Virginia,7,38,53,72
Virginia,California,44,17,71,67
California,Virginia,17,42,61,71
Virginia,California,17,10,77,58
California,Virginia,17,27,57,73
Virginia,California,23,7,78,60
California,Virginia,35,38,73,60
Virginia,California,37,13,74,60
California,Virginia,13,42,68,68
Virginia,California,52,7,75,56
California,Virginia,30,17,74,65
Virginia,California,7,16,62,67
California,Virginia,17,17,66,59
Virginia,California,17,34,59,73
California,Virginia,27,38,66,66
Virginia,California,31,21,62,75
California,Virginia,13,38,68,65
Virginia,California,10,3,69,63
California,Virginia,17,28,62,74
Virginia,California,41,28,75,64
California,Virginia,21,17,64,76
Virginia,California,28,13,75,58
California,Virginia,17,17,64,65
Virginia,California,17,24,76,61
California,Virginia,10,34,62,74
Virginia,California,17,13,74,58
California,Virginia,17,27,78,60
Virginia,California,38,7,81,49
California,Virginia,14,20,67,69
Virginia,California,10,20,71,61
California,Virginia,10,34,70,68
Virginia,California,24,7,66,62
California,Virginia,24,17,71,57
Virginia,California,34,20,74,64
California,Virginia,38,28,74,67
Virginia,California,23,7,74,54
California,Virginia,0,28,55,75
Virginia,California,20,17,53,83
California,Virginia,24,10,76,46
Virginia,California,38,17,75,57
California,Virginia,17,24,58,73
Virginia,California,23,10,83,54
California,Virginia,14,31,67,73
Virginia,California,7,27,57,79
California,Virginia,6,41,72,68
Virginia,California,13,7,64,71
California,Virginia,10,17,63,71
Virginia,California,27,6,77,58
California,Virginia,21,10,70,61
Virginia,California,34,7,78,57
California,Virginia,14,17,81,52
Virginia,California,27,17,64,63
California,Virginia,31,13,83,55
Virginia,California,24,6,66,60
California,Virginia,10,24,64,67
Virginia,California,31,6,73,65
California,Virginia,9,20,58,70
Virginia,California,17,23,57,71
California,Virginia,20,28,88,57
Virginia,California,41,14,83,51
California,Virginia,10,31,67,58
Virginia,California,23,14,64,68
California,Virginia,10,34,56,76
Virginia,California,17,21,69,66
California,Virginia,20,31,71,64
Virginia,California,14,10,78,56
California,Virginia,17,20,55,73
Virginia,California,21,35,67,66
California,Virginia,10,34,61,79
Virginia,California,13,7,72,66
California,Virginia,7,36,52,77
Virginia,California,23,24,66,63
California,Virginia,10,14,73,53
Virginia,California,31,14,73,59
California,Virginia,21,21,81,55
Virginia,California,16,7,76,53
California,Virginia,20,28,69,63
Virginia,California,31,10,74,59
California,Virginia,17,17,69,66
Virginia,California,27,13,77,60
California,Virginia,17,42,72,67
Virginia,California,23,27,63,72
California,Virginia,14,27,58,73
Virginia,California,41,7,77,55
California,Virginia,3,13,68,67
Virginia,California,27,13,76,53
California,Virginia,14,14,65,62
Virginia,California,24,24,63,75
California,Virginia,10,34,53,76
Virginia,California,31,20,81,54
California,Virginia,7,34,55,76
Virginia,California,35,26,56,78
California,Virginia,10,16,69,65
Virginia,California,17,14,66,65
California,Virginia,21,16,69,66
Virginia,California,27,30,83,62
California,Virginia,14,42,50,78
Virginia,California,24,10,68,61
California,Virginia,7,37,71,65
Virginia,California,24,14,64,68
California,Virginia,13,42,60,77
Virginia,California,17,24,70,64
California,Virginia,41,17,68,66
Virginia,California,21,27,65,66
California,Virginia,17,21,62,68
Virginia,California,24,21,72,60
California,Virginia,24,41,67,67
Virginia,California,24,7,73,60
California,Virginia,10,38,60,70
Virginia,California,31,17,74,63
California,Virginia,31,31,67,65
Virginia,California,21,13,64,70
California,Virginia,20,27,66,70
Virginia,California,31,27,69,63
California,Virginia,10,17,66,62
Virginia,California,17,20,59,64
California,Virginia,13,38,73,59
Virginia,California,26,6,75,63
California,Virginia,10,17,59,74
Virginia,California,6,10,63,63
California,Virginia,28,30,65,71
Virginia,California,30,14,77,55
California,Virginia,16,24,62,65
Virginia,California,24,13,68,65
California,Virginia,14,17,62,71
Virginia,California,17,20,56,76
California,Virginia,35,34,64,74
Virginia,California,3,13,62,67
California,Virginia,24,21,66,69
Virginia,California,45,6,73,63
California,Virginia,10,30,62,70
Virginia,California,34,7,79,60
California,Virginia,3,38,62,68
Virginia,California,55,0,79,51
California,Virginia,13,31,63,65
Virginia,California,24,21,82,56
California,Virginia,6,51,62,72
Virginia,California,28,10,56,71
California,Virginia,14,14,66,61
Virginia,California,7,21,66,73
California,Virginia,7,38,63,73
Virginia,California,17,24,66,65
California,Virginia,3,48,61,75
Virginia,California,21,27,71,68
California,Virginia,10,6,62,65
Virginia,California,27,10,71,64
California,Virginia,24,6,66,69
Virginia,California,38,7,75,57
California,Virginia,17,9,64,63
Virginia,California,16,10,70,65
California,Virginia,10,17,61,69
Virginia,California,27,14,79,55
California,Virginia,0,13,56,71
Virginia,California,28,7,68,66
California,Virginia,20,24,76,54
Virginia,California,13,16,66,61
California,Virginia,17,9,73,60
Virginia,California,13,23,77,62
California,Virginia,10,38,64,73
Virginia,California,27,21,64,73
California,Virginia,7,34,60,80
Virginia,California,27,34,71,70
