team,opp,pts,opp_pts,plays,opp_plays
Middle Tennessee,Jacksonville State,10,23,65,86
Jacksonville State,Middle Tennessee,27,7,75,75
Middle Tennessee,Jacksonville State,34,16,73,76
Jacksonville State,Middle Tennessee,28,23,87,64
Middle Tennessee,Jacksonville State,38,7,86,63
Jacksonville State,Middle Tennessee,37,9,68,81
Middle Tennessee,Jacksonville State,7,23,62,88
Jacksonville State,Middle Tennessee,34,38,78,71
Middle Tennessee,Jacksonville State,7,49,72,78
Jacksonville State,Middle Tennessee,17,20,79,69
Middle Tennessee,Jacksonville State,10,48,70,74
Jacksonville State,Middle Tennessee,29,7,93,63
Middle Tennessee,Jacksonville State,7,37,67,80
Jacksonville State,Middle Tennessee,35,16,72,77
Middle Tennessee,Jacksonville State,6,31,87,67
Jacksonville State,Middle Tennessee,24,0,80,64
Middle Tennessee,Jacksonville State,10,33,71,77
Jacksonville State,Middle Tennessee,17,0,87,62
Middle Tennessee,Jacksonville State,13,45,70,71
Jacksonville State,Middle Tennessee,22,14,91,57
Middle Tennessee,Jacksonville State,7,35,81,73
Jacksonville State,Middle Tennessee,37,28,81,67
Middle Tennessee,Jacksonville State,21,38,83,73
Jacksonville State,Middle Tennessee,48,17,85,76
Middle Tennessee,Jacksonville State,3,24,75,73
Jacksonville State,Middle Tennessee,41,6,79,67
Middle Tennessee,Jacksonville State,9,6,70,76
Jacksonville State,Middle Tennessee,26,24,80,73
Middle Tennessee,Jacksonville State,3,45,72,83
Jacksonville State,Middle Tennessee,28,6,81,71
Middle Tennessee,Jacksonville State,34,14,88,64
Jacksonville State,Middle Tennessee,34,17,90,68
Middle Tennessee,Jacksonville State,9,30,79,73
Jacksonville State,Middle Tennessee,31,20,76,80
Middle Tennessee,Jacksonville State,16,23,83,62
Jacksonville State,Middle Tennessee,27,6,81,65
Middle Tennessee,Jacksonville State,17,37,74,78
Jacksonville State,Middle Tennessee,48,14,89,60
Middle Tennessee,Jacksonville State,20,20,77,69
Jacksonville State,Middle Tennessee,38,17,89,64
Middle Tennessee,Jacksonville State,13,31,87,60
Jacksonville State,Middle Tennessee,27,17,91,69
Middle Tennessee,Jacksonville State,10,27,80,70
Jacksonville State,Middle Tennessee,35,6,73,73
Middle Tennessee,Jacksonville State,38,37,70,89
Jacksonville State,Middle Tennessee,27,10,74,73
Middle Tennessee,Jacksonville State,7,29,73,78
Jacksonville State,Middle Tennessee,28,20,74,78
Middle Tennessee,Jacksonville State,17,34,90,72
Jacksonville State,Middle Tennessee,17,28,69,77
Middle Tennessee,Jacksonville State,10,42,79,76
Jacksonville State,Middle Tennessee,35,13,68,83
Middle Tennessee,Jacksonville State,14,20,69,82
Jacksonville State,Middle Tennessee,45,24,80,72
Middle Tennessee,Jacksonville State,17,20,79,68
Jacksonville State,Middle Tennessee,40,6,89,66
Middle Tennessee,Jacksonville State,20,31,84,76
Jacksonville State,Middle Tennessee,38,40,63,91
Middle Tennessee,Jacksonville State,21,34,69,88
Jacksonville State,Middle Tennessee,45,24,72,77
Middle Tennessee,Jacksonville State,31,28,85,68
Jacksonville State,Middle Tennessee,38,17,77,74
