team,opp,pts,opp_pts,plays,opp_plays
Minnesota,Michigan State,35,27,65,72
Michigan State,Minnesota,7,41,61,61
Minnesota,Michigan State,10,13,65,55
Michigan State,Minnesota,14,28,66,59
Minnesota,Michigan State,17,21,71,56
Michigan State,Minnesota,45,3,70,62
Minnesota,Michigan State,30,14,66,60
Michigan State,Minnesota,21,26,55,66
Minnesota,Michigan State,31,27,70,56
Michigan State,Minnesota,7,28,64,64
Minnesota,Michigan State,24,28,71,57
Michigan State,Minnesota,7,21,59,77
Minnesota,Michigan State,35,17,63,60
Michigan State,Minnesota,24,37,63,70
Minnesota,Michigan State,17,10,62,59
Michigan State,Minnesota,14,23,57,67
Minnesota,Michigan State,31,7,69,54
Michigan State,Minnesota,7,13,55,68
Minnesota,Michigan State,17,28,63,72
Michigan State,Minnesota,14,21,63,61
Minnesota,Michigan State,27,24,69,64
Michigan State,Minnesota,7,30,54,66
Minnesota,Michigan State,31,10,77,53
Michigan State,Minnesota,10,28,67,63
Minnesota,Michigan State,28,20,63,61
Michigan State,Minnesota,14,31,53,67
Minnesota,Michigan State,17,6,66,58
Michigan State,Minnesota,16,0,66,59
Minnesota,Michigan State,31,13,61,65
Michigan State,Minnesota,14,24,56,68
Minnesota,Michigan State,17,21,72,60
Michigan State,Minnesota,24,7,65,62
Minnesota,Michigan State,14,20,52,71
Michigan State,Minnesota,21,24,70,58
Minnesota,Michigan State,31,21,63,69
Michigan State,Minnesota,24,20,66,61
Minnesota,Michigan State,21,6,62,65
Michigan State,Minnesota,28,14,82,49
Minnesota,Michigan State,14,34,53,66
Michigan State,Minnesota,14,17,54,66
Minnesota,Michigan State,27,9,62,77
Michigan State,Minnesota,31,10,72,59
Minnesota,Michigan State,10,13,68,64
Michigan State,Minnesota,7,21,58,64
Minnesota,Michigan State,42,10,74,57
Michigan State,Minnesota,7,38,54,74
Minnesota,Michigan State,42,20,62,71
Michigan State,Minnesota,7,24,57,68
Minnesota,Michigan State,28,7,65,58
Michigan State,Minnesota,20,24,62,63
Minnesota,Michigan State,17,45,62,63
Michigan State,Minnesota,14,28,73,52
Minnesota,Michigan State,21,14,64,63
Michigan State,Minnesota,17,38,65,75
Minnesota,Michigan State,52,13,72,62
Michigan State,Minnesota,14,17,66,64
Minnesota,Michigan State,28,10,61,57
Michigan State,Minnesota,13,17,66,61
Minnesota,Michigan State,16,13,65,64
Michigan State,Minnesota,21,17,62,62
Minnesota,Michigan State,28,24,57,73
Michigan State,Minnesota,24,17,59,71
Minnesota,Michigan State,6,28,74,55
Michigan State,Minnesota,31,10,60,72
Minnesota,Michigan State,31,17,67,54
Michigan State,Minnesota,7,34,59,67
Minnesota,Michigan State,24,10,56,69
Michigan State,Minnesota,7,20,75,58
Minnesota,Michigan State,20,24,60,60
Michigan State,Minnesota,10,17,61,65
Minnesota,Michigan State,38,0,67,64
Michigan State,Minnesota,17,24,71,63
Minnesota,Michigan State,14,28,56,69
Michigan State,Minnesota,13,14,60,66
Minnesota,Michigan State,28,24,70,64
