team,opp,pts,opp_pts,plays,opp_plays
San Diego State,Wyoming,6,7,65,63
Wyoming,San Diego State,3,24,57,62
San Diego State,Wyoming,24,10,67,59
Wyoming,San Diego State,13,10,69,62
San Diego State,Wyoming,22,10,76,54
Wyoming,San Diego State,14,17,61,71
San Diego State,Wyoming,27,7,73,56
Wyoming,San Diego State,17,27,70,62
San Diego State,Wyoming,21,13,59,73
Wyoming,San Diego State,3,38,52,75
San Diego State,Wyoming,30,14,68,59
Wyoming,San Diego State,14,24,69,67
San Diego State,Wyoming,20,0,73,54
Wyoming,San Diego State,30,14,70,69
San Diego State,Wyoming,34,10,65,67
Wyoming,San Diego State,6,10,76,52
San Diego State,Wyoming,28,7,65,57
Wyoming,San Diego State,20,28,63,62
San Diego State,Wyoming,0,14,65,64
Wyoming,San Diego State,20,14,69,61
San Diego State,Wyoming,30,3,74,47
Wyoming,San Diego State,6,20,88,51
San Diego State,Wyoming,24,0,73,58
Wyoming,San Diego State,27,24,77,56
San Diego State,Wyoming,3,7,67,56
Wyoming,San Diego State,20,14,64,63
San Diego State,Wyoming,20,14,73,58
Wyoming,San Diego State,20,6,68,63
San Diego State,Wyoming,3,17,69,60
Wyoming,San Diego State,31,10,84,54
San Diego State,Wyoming,21,3,71,59
Wyoming,San Diego State,7,20,54,74
San Diego State,Wyoming,14,21,69,66
Wyoming,San Diego State,6,31,63,59
San Diego State,Wyoming,42,10,64,59
Wyoming,San Diego State,6,23,54,66
San Diego State,Wyoming,30,0,81,51
Wyoming,San Diego State,3,31,63,65
San Diego State,Wyoming,20,21,78,57
Wyoming,San Diego State,21,17,61,71
San Diego State,Wyoming,28,3,57,80
Wyoming,San Diego State,13,7,61,66
San Diego State,Wyoming,34,10,69,61
Wyoming,San Diego State,10,21,57,73
San Diego State,Wyoming,23,0,70,62
Wyoming,San Diego State,10,20,69,65
San Diego State,Wyoming,3,7,83,55
Wyoming,San Diego State,6,10,72,57
San Diego State,Wyoming,17,10,63,64
Wyoming,San Diego State,0,23,61,68
San Diego State,Wyoming,3,7,64,61
Wyoming,San Diego State,7,27,58,73
San Diego State,Wyoming,17,6,62,73
Wyoming,San Diego State,21,34,73,65
San Diego State,Wyoming,31,3,72,63
Wyoming,San Diego State,13,34,56,75
San Diego State,Wyoming,20,17,63,74
Wyoming,San Diego State,10,27,66,65
San Diego State,Wyoming,13,17,63,74
Wyoming,San Diego State,0,30,57,68
San Diego State,Wyoming,24,20,79,60
Wyoming,San Diego State,0,31,61,77
San Diego State,Wyoming,23,3,71,66
Wyoming,San Diego State,10,14,63,66
San Diego State,Wyoming,27,10,74,55
