team,opp,pts,opp_pts,plays,opp_plays
Texas,Vanderbilt,14,41,65,55
Vanderbilt,Texas,14,21,65,54
Texas,Vanderbilt,14,16,47,61
Vanderbilt,Texas,13,7,69,40
Texas,Vanderbilt,13,3,66,48
Vanderbilt,Texas,28,10,66,49
Texas,Vanderbilt,0,16,43,64
Vanderbilt,Texas,17,21,58,61
Texas,Vanderbilt,10,14,70,48
Vanderbilt,Texas,0,40,47,70
Texas,Vanderbilt,3,38,60,60
Vanderbilt,Texas,24,13,54,65
Texas,Vanderbilt,0,24,52,69
Vanderbilt,Texas,0,35,55,58
Texas,Vanderbilt,31,17,77,45
Vanderbilt,Texas,13,14,56,60
Texas,Vanderbilt,40,0,69,52
Vanderbilt,Texas,14,23,53,57
Texas,Vanderbilt,24,9,69,48
Vanderbilt,Texas,16,20,59,61
Texas,Vanderbilt,17,28,53,61
Vanderbilt,Texas,7,20,56,63
Texas,Vanderbilt,10,21,67,54
Vanderbilt,Texas,20,21,62,57
Texas,Vanderbilt,37,0,64,53
Vanderbilt,Texas,27,13,63,46
Texas,Vanderbilt,20,10,57,56
Vanderbilt,Texas,10,13,64,50
Texas,Vanderbilt,16,14,61,50
Vanderbilt,Texas,13,7,56,57
Texas,Vanderbilt,19,14,63,57
Vanderbilt,Texas,14,17,63,56
Texas,Vanderbilt,24,0,68,44
Vanderbilt,Texas,28,24,66,47
Texas,Vanderbilt,21,17,57,61
Vanderbilt,Texas,3,24,55,61
Texas,Vanderbilt,17,28,70,50
Vanderbilt,Texas,10,9,52,71
Texas,Vanderbilt,7,7,62,51
Vanderbilt,Texas,10,31,53,65
Texas,Vanderbilt,3,38,49,69
Vanderbilt,Texas,7,7,55,59
Texas,Vanderbilt,20,14,63,54
Vanderbilt,Texas,17,20,60,59
Texas,Vanderbilt,30,10,70,50
Vanderbilt,Texas,13,24,57,59
Texas,Vanderbilt,17,10,51,66
Vanderbilt,Texas,28,31,61,61
Texas,Vanderbilt,21,17,62,58
Vanderbilt,Texas,6,24,53,60
Texas,Vanderbilt,14,24,66,57
Vanderbilt,Texas,12,3,56,64
Texas,Vanderbilt,0,17,43,75
Vanderbilt,Texas,17,35,58,62
Texas,Vanderbilt,28,14,59,56
Vanderbilt,Texas,27,21,58,63
Texas,Vanderbilt,31,13,72,47
Vanderbilt,Texas,21,24,67,56
Texas,Vanderbilt,17,24,53,68
Vanderbilt,Texas,16,0,68,54
Texas,Vanderbilt,27,3,72,55
Vanderbilt,Texas,21,24,60,58
Texas,Vanderbilt,10,3,62,50
Vanderbilt,Texas,23,27,59,66
Texas,Vanderbilt,13,3,67,51
Vanderbilt,Texas,27,10,66,53
Texas,Vanderbilt,17,31,57,61
Vanderbilt,Texas,24,34,62,54
Texas,Vanderbilt,28,31,56,66
Vanderbilt,Texas,7,26,58,66
Texas,Vanderbilt,13,13,61,57
Vanderbilt,Texas,10,24,54,63
Texas,Vanderbilt,6,23,48,72
Vanderbilt,Texas,0,31,51,66
Texas,Vanderbilt,20,10,67,50
Vanderbilt,Texas,38,10,63,46
Texas,Vanderbilt,17,10,61,51
Vanderbilt,Texas,13,34,56,58
Texas,Vanderbilt,35,17,62,50
Vanderbilt,Texas,14,6,57,58
Texas,Vanderbilt,17,30,51,65
Vanderbilt,Texas,24,13,57,56
Texas,Vanderbilt,3,14,66,51
Vanderbilt,Texas,10,24,56,59
Texas,Vanderbilt,10,28,59,62
Vanderbilt,Texas,16,14,67,51
Texas,Vanderbilt,14,34,68,54
Vanderbilt,Texas,10,28,50,66
