team,opp,pts,opp_pts,plays,opp_plays
Utah,Cincinnati,37,14,80,58
Cincinnati,Utah,20,24,56,77
Utah,Cincinnati,28,10,61,67
Cincinnati,Utah,7,14,68,55
Utah,Cincinnati,44,13,67,64
Cincinnati,Utah,27,24,65,62
Utah,Cincinnati,37,7,80,48
Cincinnati,Utah,3,35,57,68
Utah,Cincinnati,24,3,65,64
Cincinnati,Utah,0,20,55,71
Utah,Cincinnati,17,17,63,66
Cincinnati,Utah,3,48,61,76
Utah,Cincinnati,10,34,63,67
Cincinnati,Utah,0,30,52,73
Utah,Cincinnati,27,17,67,59
Cincinnati,Utah,26,17,69,62
Utah,Cincinnati,17,17,65,62
Cincinnati,Utah,7,24,57,65
Utah,Cincinnati,14,28,63,70
Cincinnati,Utah,24,24,67,69
Utah,Cincinnati,24,30,63,71
Cincinnati,Utah,24,30,66,63
Utah,Cincinnati,23,10,68,55
Cincinnati,Utah,21,52,64,65
Utah,Cincinnati,28,9,69,58
Cincinnati,Utah,21,35,60,67
Utah,Cincinnati,27,3,71,55
Cincinnati,Utah,9,21,70,51
Utah,Cincinnati,17,14,69,57
Cincinnati,Utah,24,34,64,65
Utah,Cincinnati,21,21,55,73
Cincinnati,Utah,21,20,71,62
Utah,Cincinnati,30,31,71,65
Cincinnati,Utah,24,30,61,69
Utah,Cincinnati,24,17,63,58
Cincinnati,Utah,7,24,49,69
Utah,Cincinnati,23,17,70,55
Cincinnati,Utah,14,21,65,62
Utah,Cincinnati,16,24,71,58
Cincinnati,Utah,10,10,65,60
Utah,Cincinnati,13,38,66,65
Cincinnati,Utah,14,30,65,64
Utah,Cincinnati,24,17,65,64
Cincinnati,Utah,16,19,66,62
Utah,Cincinnati,38,7,63,65
Cincinnati,Utah,10,28,67,63
Utah,Cincinnati,45,20,62,70
Cincinnati,Utah,7,28,64,67
Utah,Cincinnati,28,17,50,76
Cincinnati,Utah,16,24,73,64
Utah,Cincinnati,47,14,76,63
Cincinnati,Utah,13,30,65,71
Utah,Cincinnati,17,3,70,64
Cincinnati,Utah,20,21,71,62
Utah,Cincinnati,3,26,64,67
Cincinnati,Utah,17,7,74,47
Utah,Cincinnati,24,14,60,66
Cincinnati,Utah,31,7,68,63
Utah,Cincinnati,31,6,62,71
Cincinnati,Utah,10,27,68,63
Utah,Cincinnati,20,20,65,62
Cincinnati,Utah,20,10,63,64
Utah,Cincinnati,26,21,72,63
Cincinnati,Utah,14,24,70,64
Utah,Cincinnati,41,20,68,52
Cincinnati,Utah,27,21,73,56
Utah,Cincinnati,34,10,73,55
Cincinnati,Utah,0,52,50,75
Utah,Cincinnati,38,6,77,52
Cincinnati,Utah,24,34,63,68
Utah,Cincinnati,41,31,65,65
Cincinnati,Utah,21,28,65,62
Utah,Cincinnati,17,34,59,72
Cincinnati,Utah,30,35,64,71
Utah,Cincinnati,24,28,59,75
Cincinnati,Utah,10,14,76,61
Utah,Cincinnati,10,10,56,70
Cincinnati,Utah,24,28,85,52
Utah,Cincinnati,31,14,70,61
Cincinnati,Utah,27,10,75,56
Utah,Cincinnati,10,24,65,70
Cincinnati,Utah,13,13,60,72
Utah,Cincinnati,20,34,56,76
Cincinnati,Utah,24,31,63,64
Utah,Cincinnati,48,10,64,66
Cincinnati,Utah,10,62,52,78
Utah,Cincinnati,34,21,65,60
Cincinnati,Utah,34,17,73,54
Utah,Cincinnati,31,10,55,75
Cincinnati,Utah,14,48,64,75
Utah,Cincinnati,17,21,73,56
Cincinnati,Utah,17,27,56,65
Utah,Cincinnati,28,21,61,75
Cincinnati,Utah,14,34,60,77
Utah,Cincinnati,14,31,63,67
Cincinnati,Utah,3,24,69,64
Utah,Cincinnati,27,41,53,72
Cincinnati,Utah,34,14,69,63
Utah,Cincinnati,24,21,66,64
Cincinnati,Utah,34,13,68,61
Utah,Cincinnati,14,10,71,62
Cincinnati,Utah,3,31,57,66
Utah,Cincinnati,24,28,78,54
Cincinnati,Utah,7,52,60,71
Utah,Cincinnati,24,31,66,60
Cincinnati,Utah,14,31,67,66
Utah,Cincinnati,52,21,79,54
Cincinnati,Utah,31,20,61,67
Utah,Cincinnati,20,10,75,54
Cincinnati,Utah,20,21,59,67
Utah,Cincinnati,42,10,74,53
Cincinnati,Utah,35,24,77,58
Utah,Cincinnati,27,23,63,74
Cincinnati,Utah,34,17,70,65
Utah,Cincinnati,21,21,81,49
Cincinnati,Utah,24,24,74,62
Utah,Cincinnati,41,28,64,61
Cincinnati,Utah,13,31,76,60
Utah,Cincinnati,21,14,68,60
Cincinnati,Utah,17,31,76,64
Utah,Cincinnati,20,38,82,57
Cincinnati,Utah,31,17,73,61
Utah,Cincinnati,17,21,63,61
Cincinnati,Utah,17,24,68,62
Utah,Cincinnati,34,14,65,61
Cincinnati,Utah,27,17,70,65
Utah,Cincinnati,20,13,71,60
Cincinnati,Utah,21,10,65,68
Utah,Cincinnati,21,20,65,70
Cincinnati,Utah,13,27,64,68
Utah,Cincinnati,31,28,71,67
Cincinnati,Utah,23,10,67,61
Utah,Cincinnati,27,10,62,68
Cincinnati,Utah,27,24,66,62
Utah,Cincinnati,21,13,62,63
Cincinnati,Utah,24,7,66,64
Utah,Cincinnati,13,13,67,65
Cincinnati,Utah,0,42,61,64
Utah,Cincinnati,31,16,62,65
Cincinnati,Utah,13,17,56,67
Utah,Cincinnati,41,13,71,68
Cincinnati,Utah,7,38,64,62
Utah,Cincinnati,20,3,67,60
Cincinnati,Utah,17,21,76,57
Utah,Cincinnati,42,24,69,56
Cincinnati,Utah,31,14,73,61
Utah,Cincinnati,27,7,73,54
Cincinnati,Utah,17,14,68,73
Utah,Cincinnati,35,21,64,66
Cincinnati,Utah,21,14,66,58
Utah,Cincinnati,14,21,58,66
Cincinnati,Utah,21,20,60,72
Utah,Cincinnati,20,26,66,71
Cincinnati,Utah,35,7,71,57
Utah,Cincinnati,17,9,65,61
Cincinnati,Utah,14,35,64,61
Utah,Cincinnati,27,21,67,65
Cincinnati,Utah,14,24,58,66
Utah,Cincinnati,20,17,73,54
Cincinnati,Utah,10,17,65,65
Utah,Cincinnati,16,7,79,45
Cincinnati,Utah,3,28,62,68
Utah,Cincinnati,44,21,78,55
Cincinnati,Utah,10,31,69,66
Utah,Cincinnati,28,31,61,75
Cincinnati,Utah,6,31,61,70
Utah,Cincinnati,17,10,64,67
Cincinnati,Utah,3,17,62,65
Utah,Cincinnati,27,13,69,63
Cincinnati,Utah,7,45,61,67
Utah,Cincinnati,14,20,62,67
Cincinnati,Utah,23,24,72,64
Utah,Cincinnati,24,0,62,59
Cincinnati,Utah,31,21,72,59
Utah,Cincinnati,17,13,56,68
Cincinnati,Utah,28,17,60,65
Utah,Cincinnati,14,17,60,69
Cincinnati,Utah,38,20,70,73
Utah,Cincinnati,20,20,64,65
Cincinnati,Utah,41,28,72,66
Utah,Cincinnati,20,10,68,61
Cincinnati,Utah,17,13,63,63
Utah,Cincinnati,17,24,68,60
Cincinnati,Utah,13,28,73,55
Utah,Cincinnati,21,27,72,63
Cincinnati,Utah,27,20,69,63
Utah,Cincinnati,13,24,60,63
Cincinnati,Utah,17,27,75,57
Utah,Cincinnati,31,21,66,54
Cincinnati,Utah,17,6,78,58
Utah,Cincinnati,17,0,69,55
Cincinnati,Utah,10,41,54,79
Utah,Cincinnati,31,16,62,66
Cincinnati,Utah,34,21,78,65
Utah,Cincinnati,17,31,68,67
Cincinnati,Utah,13,31,73,59
Utah,Cincinnati,38,6,68,62
Cincinnati,Utah,27,21,71,65
Utah,Cincinnati,22,10,63,63
Cincinnati,Utah,0,24,66,61
Utah,Cincinnati,35,14,64,62
Cincinnati,Utah,17,24,53,75
Utah,Cincinnati,30,10,72,61
Cincinnati,Utah,31,27,77,57
Utah,Cincinnati,17,24,65,63
Cincinnati,Utah,24,24,71,64
Utah,Cincinnati,20,14,68,65
Cincinnati,Utah,3,30,60,69
Utah,Cincinnati,20,14,74,57
Cincinnati,Utah,21,30,61,70
Utah,Cincinnati,34,31,62,73
Cincinnati,Utah,7,31,60,67
Utah,Cincinnati,38,14,61,69
Cincinnati,Utah,24,21,65,65
Utah,Cincinnati,17,31,58,73
Cincinnati,Utah,35,38,66,65
Utah,Cincinnati,37,24,71,64
Cincinnati,Utah,24,20,63,59
Utah,Cincinnati,34,10,62,71
Cincinnati,Utah,6,27,68,66
Utah,Cincinnati,16,14,72,58
Cincinnati,Utah,30,20,72,62
Utah,Cincinnati,28,7,74,51
Cincinnati,Utah,20,23,74,62
Utah,Cincinnati,24,6,64,61
Cincinnati,Utah,7,28,72,55
Utah,Cincinnati,45,45,66,69
Cincinnati,Utah,10,16,59,69
Utah,Cincinnati,17,0,60,69
Cincinnati,Utah,6,42,57,69
Utah,Cincinnati,14,34,52,78
Cincinnati,Utah,10,20,62,60
Utah,Cincinnati,17,14,62,66
Cincinnati,Utah,28,17,71,58
Utah,Cincinnati,20,17,68,69
Cincinnati,Utah,34,17,75,58
Utah,Cincinnati,28,31,65,76
Cincinnati,Utah,10,14,65,64
Utah,Cincinnati,20,10,78,46
Cincinnati,Utah,14,24,55,71
Utah,Cincinnati,35,28,64,74
Cincinnati,Utah,20,20,69,67
Utah,Cincinnati,38,24,72,55
Cincinnati,Utah,23,28,68,65
Utah,Cincinnati,23,16,72,57
Cincinnati,Utah,21,28,61,68
Utah,Cincinnati,38,10,56,69
Cincinnati,Utah,21,20,65,69
Utah,Cincinnati,13,10,58,67
Cincinnati,Utah,20,20,72,58
Utah,Cincinnati,28,28,61,70
Cincinnati,Utah,24,20,69,62
Utah,Cincinnati,20,9,67,59
Cincinnati,Utah,7,31,61,68
Utah,Cincinnati,35,17,58,74
Cincinnati,Utah,30,3,75,61
Utah,Cincinnati,38,10,64,70
Cincinnati,Utah,38,17,77,51
Utah,Cincinnati,24,24,65,66
Cincinnati,Utah,24,24,79,52
Utah,Cincinnati,28,24,69,62
Cincinnati,Utah,17,24,69,63
Utah,Cincinnati,21,20,53,68
Cincinnati,Utah,13,10,60,61
Utah,Cincinnati,17,7,66,65
Cincinnati,Utah,13,28,65,56
Utah,Cincinnati,31,0,67,58
Cincinnati,Utah,28,31,72,60
Utah,Cincinnati,56,21,77,60
Cincinnati,Utah,13,17,66,67
Utah,Cincinnati,27,27,65,63
Cincinnati,Utah,23,3,73,52
Utah,Cincinnati,13,17,77,54
Cincinnati,Utah,13,37,52,67
Utah,Cincinnati,9,7,66,67
Cincinnati,Utah,10,30,70,58
Utah,Cincinnati,31,24,62,62
Cincinnati,Utah,7,41,68,69
Utah,Cincinnati,13,0,61,60
Cincinnati,Utah,31,17,60,73
Utah,Cincinnati,31,0,75,53
Cincinnati,Utah,28,27,73,62
Utah,Cincinnati,20,17,67,63
Cincinnati,Utah,28,17,68,66
Utah,Cincinnati,21,20,66,62
