team,opp,pts,opp_pts,plays,opp_plays
UTSA,Tulane,17,24,57,66
Tulane,UTSA,17,21,70,58
UTSA,Tulane,17,28,65,64
Tulane,UTSA,45,17,72,58
UTSA,Tulane,17,23,56,67
Tulane,UTSA,21,44,61,73
UTSA,Tulane,38,24,85,48
Tulane,UTSA,34,21,62,72
UTSA,Tulane,34,20,59,62
Tulane,UTSA,21,14,68,58
UTSA,Tulane,35,27,52,80
Tulane,UTSA,31,17,63,65
UTSA,Tulane,17,24,68,67
Tulane,UTSA,38,14,66,63
UTSA,Tulane,17,41,60,69
Tulane,UTSA,27,31,64,66
UTSA,Tulane,13,17,63,65
Tulane,UTSA,24,21,57,71
UTSA,Tulane,17,17,67,58
Tulane,UTSA,17,31,63,65
UTSA,Tulane,44,20,69,60
Tulane,UTSA,45,0,84,39
UTSA,Tulane,35,16,63,67
Tulane,UTSA,35,10,78,50
UTSA,Tulane,31,21,66,61
Tulane,UTSA,17,17,68,62
UTSA,Tulane,31,13,64,66
Tulane,UTSA,14,17,64,60
UTSA,Tulane,17,27,66,60
Tulane,UTSA,37,21,82,44
UTSA,Tulane,17,17,61,68
Tulane,UTSA,21,31,59,72
UTSA,Tulane,35,31,65,73
Tulane,UTSA,24,20,53,77
UTSA,Tulane,38,17,79,49
Tulane,UTSA,17,21,72,57
UTSA,Tulane,56,31,67,66
Tulane,UTSA,21,27,66,61
UTSA,Tulane,28,20,59,61
Tulane,UTSA,33,7,71,56
UTSA,Tulane,38,7,65,56
Tulane,UTSA,27,10,70,60
UTSA,Tulane,38,13,62,62
Tulane,UTSA,52,21,73,54
UTSA,Tulane,17,27,66,68
Tulane,UTSA,24,24,62,66
UTSA,Tulane,16,20,62,65
Tulane,UTSA,24,27,62,69
UTSA,Tulane,13,27,63,66
Tulane,UTSA,13,20,62,60
UTSA,Tulane,31,21,72,61
Tulane,UTSA,34,14,66,60
UTSA,Tulane,35,31,67,59
Tulane,UTSA,34,37,62,66
UTSA,Tulane,21,34,65,63
Tulane,UTSA,27,31,69,67
UTSA,Tulane,35,20,63,70
Tulane,UTSA,30,17,68,63
UTSA,Tulane,34,17,71,62
Tulane,UTSA,24,17,70,54
UTSA,Tulane,6,31,49,74
Tulane,UTSA,34,14,53,72
UTSA,Tulane,23,20,69,60
Tulane,UTSA,13,31,70,60
UTSA,Tulane,27,20,72,58
Tulane,UTSA,14,28,69,66
UTSA,Tulane,31,20,62,65
Tulane,UTSA,41,17,69,56
UTSA,Tulane,14,17,58,68
Tulane,UTSA,20,3,68,63
UTSA,Tulane,17,27,70,63
Tulane,UTSA,17,7,70,54
UTSA,Tulane,37,6,74,56
Tulane,UTSA,24,33,61,70
UTSA,Tulane,13,14,69,55
Tulane,UTSA,35,24,59,77
UTSA,Tulane,24,20,63,66
Tulane,UTSA,17,7,77,44
UTSA,Tulane,24,21,72,56
Tulane,UTSA,17,17,68,58
UTSA,Tulane,20,27,63,61
Tulane,UTSA,24,10,64,59
UTSA,Tulane,20,13,77,50
Tulane,UTSA,6,20,61,70
UTSA,Tulane,23,13,61,67
Tulane,UTSA,20,30,65,59
UTSA,Tulane,35,31,62,69
Tulane,UTSA,34,23,64,65
UTSA,Tulane,14,10,59,61
Tulane,UTSA,31,27,62,58
UTSA,Tulane,23,38,72,59
Tulane,UTSA,21,10,57,66
UTSA,Tulane,21,24,61,69
Tulane,UTSA,24,31,58,70
UTSA,Tulane,10,37,61,67
Tulane,UTSA,35,20,66,61
UTSA,Tulane,3,27,58,68
Tulane,UTSA,10,17,62,63
UTSA,Tulane,10,24,71,54
Tulane,UTSA,28,10,74,55
UTSA,Tulane,24,10,67,67
Tulane,UTSA,31,24,71,61
UTSA,Tulane,24,13,63,64
Tulane,UTSA,34,31,75,59
UTSA,Tulane,24,27,62,67
Tulane,UTSA,30,14,75,52
UTSA,Tulane,14,28,61,66
Tulane,UTSA,38,14,76,54
UTSA,Tulane,28,27,68,61
Tulane,UTSA,10,28,68,58
UTSA,Tulane,3,26,65,70
Tulane,UTSA,28,3,72,53
UTSA,Tulane,35,24,66,58
Tulane,UTSA,41,27,80,51
UTSA,Tulane,34,13,67,62
Tulane,UTSA,27,31,70,62
UTSA,Tulane,48,35,76,55
Tulane,UTSA,31,35,77,52
