sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Alabama,LSU,Ty Simpson,QB,27,23,281.4,1,0,4,0,0.0,0,0,0,0.0,0
32,A,Alabama,LSU,Ty Simpson,Rusher,0,0,0.0,0,0,0,7,12.4,0,0,0,0.0,0
32,A,Alabama,LSU,Jamarion Miller,Rusher,0,0,0.0,0,0,0,11,17.7,2,0,0,0.0,0
32,A,Alabama,LSU,Kevin Riley,Rusher,0,0,0.0,0,0,0,5,18.3,0,0,0,0.0,0
32,A,Alabama,LSU,Daniel Hill,Rusher,0,0,0.0,0,0,0,3,5.4,0,0,0,0.0,0
32,A,Alabama,LSU,Richard Young,Rusher,0,0,0.0,0,0,0,7,27.4,0,0,0,0.0,0
32,A,Alabama,LSU,Dre'Lyn Washington,Rusher,0,0,0.0,0,0,0,2,3.9,0,0,0,0.0,0
32,A,Alabama,LSU,Ryan Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,8,78.8,0
32,A,Alabama,LSU,Lotzeir Brooks,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,6.0,0
32,A,Alabama,LSU,Germie Bernard,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,54.1,1
32,A,Alabama,LSU,Isaiah Horton,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,22.8,0
32,A,Alabama,LSU,Rico Scott,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,27.2,0
32,A,Alabama,LSU,Josh Cuevas,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,68.8,0
32,A,Alabama,LSU,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,23.7,0
32,A,LSU,Alabama,Garrett Nussmeier,QB,35,19,230.1,1,0,6,0,0.0,0,0,0,0.0,0
32,A,LSU,Alabama,Harlem Berry,Rusher,0,0,0.0,0,0,0,6,4.8,0,0,0,0.0,0
32,A,LSU,Alabama,Caden Durham,Rusher,0,0,0.0,0,0,0,7,17.3,0,0,0,0.0,0
32,A,LSU,Alabama,Kaleb Jackson,Rusher,0,0,0.0,0,0,0,2,-2.8,0,0,0,0.0,0
32,A,LSU,Alabama,Garrett Nussmeier,Rusher,0,0,0.0,0,0,0,4,22.4,0,0,0,0.0,0
32,A,LSU,Alabama,Barion Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,21.2,0
32,A,LSU,Alabama,Zavion Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,32.1,0
32,A,LSU,Alabama,Aaron Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,73.2,0
32,A,LSU,Alabama,Chris Hilton Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,20.5,0
32,A,LSU,Alabama,Trey'Dez Green,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,3.2,0
32,A,LSU,Alabama,Nic Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,8,57.4,1
32,A,LSU,Alabama,Kyle Parker,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
32,A,LSU,Alabama,Bauer Sharp,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,22.5,0
32,A,LSU,Alabama,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
33,B,LSU,Alabama,Garrett Nussmeier,QB,29,20,278.9,2,0,2,0,0.0,0,0,0,0.0,0
33,B,LSU,Alabama,Ju'Juan Johnson,Rusher,0,0,0.0,0,0,0,6,7.0,0,0,0,0.0,0
33,B,LSU,Alabama,Harlem Berry,Rusher,0,0,0.0,0,0,0,7,36.3,0,0,0,0.0,0
33,B,LSU,Alabama,Caden Durham,Rusher,0,0,0.0,0,0,0,19,78.2,2,0,0,0.0,0
33,B,LSU,Alabama,Kaleb Jackson,Rusher,0,0,0.0,0,0,0,2,6.3,0,0,0,0.0,0
33,B,LSU,Alabama,Other RB,Rusher,0,0,0.0,0,0,0,4,18.3,0,0,0,0.0,0
33,B,LSU,Alabama,Garrett Nussmeier,Rusher,0,0,0.0,0,0,0,1,7.0,0,0,0,0.0,0
33,B,LSU,Alabama,Bauer Sharp,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,16.6,0
33,B,LSU,Alabama,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,65.3,0
33,B,LSU,Alabama,Barion Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,81.0,0
33,B,LSU,Alabama,Nic Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,21.6,1
33,B,LSU,Alabama,Zavion Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,28.7,1
33,B,LSU,Alabama,Kyle Parker,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,43.3,0
33,B,LSU,Alabama,Aaron Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,22.3,0
33,B,LSU,Alabama,Trey'Dez Green,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
33,B,Alabama,LSU,Ty Simpson,QB,27,21,217.6,2,0,3,0,0.0,0,0,0,0.0,0
33,B,Alabama,LSU,Jamarion Miller,Rusher,0,0,0.0,0,0,0,4,10.1,0,0,0,0.0,0
33,B,Alabama,LSU,Kevin Riley,Rusher,0,0,0.0,0,0,0,3,19.8,1,0,0,0.0,0
33,B,Alabama,LSU,Ty Simpson,Rusher,0,0,0.0,0,0,0,9,32.9,0,0,0,0.0,0
33,B,Alabama,LSU,Daniel Hill,Rusher,0,0,0.0,0,0,0,3,12.4,0,0,0,0.0,0
33,B,Alabama,LSU,Richard Young,Rusher,0,0,0.0,0,0,0,3,7.0,0,0,0,0.0,0
33,B,Alabama,LSU,Dre'Lyn Washington,Rusher,0,0,0.0,0,0,0,1,7.4,0,0,0,0.0,0
33,B,Alabama,LSU,Germie Bernard,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,0.0,0
33,B,Alabama,LSU,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,104.3,0
