sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
48,A,Arkansas State,Southern Miss,Jaylen Raynor,QB,25,15,151.0,0,0,3,0,0.0,0,0,0,0.0,0
48,A,Arkansas State,Southern Miss,Kenyon Clay,Rusher,0,0,0.0,0,0,0,12,45.1,0,0,0,0.0,0
48,A,Arkansas State,Southern Miss,Jaylen Raynor,Rusher,0,0,0.0,0,0,0,9,32.6,1,0,0,0.0,0
48,A,Arkansas State,Southern Miss,Devin Spencer,Rusher,0,0,0.0,0,0,0,5,10.0,0,0,0,0.0,0
48,A,Arkansas State,Southern Miss,Ja'Quez Cross,Rusher,0,0,0.0,0,0,0,6,26.8,2,0,0,0.0,0
48,A,Arkansas State,Southern Miss,Kameron Thomas,Rusher,0,0,0.0,0,0,0,4,8.4,0,0,0,0.0,0
48,A,Arkansas State,Southern Miss,Tyler Little,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,29.8,0
48,A,Arkansas State,Southern Miss,Chauncy Cobb,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,7.6,0
48,A,Arkansas State,Southern Miss,Corey Rucker,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,0.6,0
48,A,Arkansas State,Southern Miss,Jaylen Bonelli,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,13.8,0
48,A,Arkansas State,Southern Miss,Tyler Fortenberry,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,29.0,0
48,A,Arkansas State,Southern Miss,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,23.5,0
48,A,Arkansas State,Southern Miss,Hunter Summers,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,46.9,0
48,A,Arkansas State,Southern Miss,Nazeviah Burris,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
48,A,Arkansas State,Southern Miss,Jabari Bush,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
48,A,Southern Miss,Arkansas State,Braylon Braxton,QB,35,20,163.6,1,1,5,0,0.0,0,0,0,0.0,0
48,A,Southern Miss,Arkansas State,Braylon Braxton,Rusher,0,0,0.0,0,0,0,9,29.5,0,0,0,0.0,0
48,A,Southern Miss,Arkansas State,Robert Briggs,Rusher,0,0,0.0,0,0,0,7,19.4,0,0,0,0.0,0
48,A,Southern Miss,Arkansas State,Matt Jones,Rusher,0,0,0.0,0,0,0,8,22.4,0,0,0,0.0,0
48,A,Southern Miss,Arkansas State,Jeffery Pittman,Rusher,0,0,0.0,0,0,0,10,26.1,0,0,0,0.0,0
48,A,Southern Miss,Arkansas State,Kadinn Morris,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,11.0,0
48,A,Southern Miss,Arkansas State,Bralon Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,21.2,0
48,A,Southern Miss,Arkansas State,Micah Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,20.5,0
48,A,Southern Miss,Arkansas State,Davis Dalton,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,4.6,0
48,A,Southern Miss,Arkansas State,Carl Chester,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,53.4,1
48,A,Southern Miss,Arkansas State,Jaylin Carter,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.1,0
48,A,Southern Miss,Arkansas State,Charles Montgomery,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,9.1,0
48,A,Southern Miss,Arkansas State,Cace Reed,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,26.1,0
48,A,Southern Miss,Arkansas State,Kyirin Heath,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,17.7,0
48,A,Southern Miss,Arkansas State,Tychaun Chapman,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
48,A,Southern Miss,Arkansas State,Jermane Hayes,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
49,B,Southern Miss,Arkansas State,Braylon Braxton,QB,31,19,230.6,0,0,7,0,0.0,0,0,0,0.0,0
49,B,Southern Miss,Arkansas State,Matt Jones,Rusher,0,0,0.0,0,0,0,9,46.4,0,0,0,0.0,0
49,B,Southern Miss,Arkansas State,Braylon Braxton,Rusher,0,0,0.0,0,0,0,6,33.1,0,0,0,0.0,0
49,B,Southern Miss,Arkansas State,Jeffery Pittman,Rusher,0,0,0.0,0,0,0,11,52.2,0,0,0,0.0,0
49,B,Southern Miss,Arkansas State,Robert Briggs,Rusher,0,0,0.0,0,0,0,10,51.1,2,0,0,0.0,0
49,B,Southern Miss,Arkansas State,Kyirin Heath,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
49,B,Southern Miss,Arkansas State,Cace Reed,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,29.7,0
49,B,Southern Miss,Arkansas State,TJ Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,21.9,0
49,B,Southern Miss,Arkansas State,Jaylin Carter,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,23.9,0
49,B,Southern Miss,Arkansas State,Elijah Metcalf,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,8.2,0
