sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
48,A,Florida Atlantic,Tulsa,Caden Veltkamp,QB,42,29,314.6,0,0,6,0,0.0,0,0,0,0.0,0
48,A,Florida Atlantic,Tulsa,Xavier Terrell,Rusher,0,0,0.0,0,0,0,14,24.0,0,0,0,0.0,0
48,A,Florida Atlantic,Tulsa,Caden Veltkamp,Rusher,0,0,0.0,0,0,0,10,32.2,1,0,0,0.0,0
48,A,Florida Atlantic,Tulsa,Gemari Sands,Rusher,0,0,0.0,0,0,0,12,76.2,1,0,0,0.0,0
48,A,Florida Atlantic,Tulsa,Asaad Waseem,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,65.1,0
48,A,Florida Atlantic,Tulsa,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,61.0,0
48,A,Florida Atlantic,Tulsa,Michael Kirch,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,7.6,0
48,A,Florida Atlantic,Tulsa,Jabari Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,21.4,0
48,A,Florida Atlantic,Tulsa,Jayshon Platt,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,9,15.9,0
48,A,Florida Atlantic,Tulsa,Easton Messer,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,10,50.0,0
48,A,Florida Atlantic,Tulsa,Dom Henry,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,80.2,0
48,A,Florida Atlantic,Tulsa,Quincy Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
48,A,Florida Atlantic,Tulsa,Martavious Collins,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,13.3,0
48,A,Florida Atlantic,Tulsa,Sean Wilson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
48,A,Tulsa,Florida Atlantic,Baylor Hayes,QB,46,30,302.0,1,0,4,0,0.0,0,0,0,0.0,0
48,A,Tulsa,Florida Atlantic,Baylor Hayes,Rusher,0,0,0.0,0,0,0,4,16.1,0,0,0,0.0,0
