sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
48,A,Marshall,James Madison,Carlos Del Rio-Wilson,QB,22,18,178.5,0,0,4,0,0.0,0,0,0,0.0,0
48,A,Marshall,James Madison,Joshon Barbie,Rusher,0,0,0.0,0,0,0,7,-10.5,0,0,0,0.0,0
48,A,Marshall,James Madison,Carlos Del Rio-Wilson,Rusher,0,0,0.0,0,0,0,3,12.6,0,0,0,0.0,0
48,A,Marshall,James Madison,Michael Allen,Rusher,0,0,0.0,0,0,0,4,17.8,0,0,0,0.0,0
48,A,Marshall,James Madison,Zion Turner,Rusher,0,0,0.0,0,0,0,2,19.2,0,0,0,0.0,0
48,A,Marshall,James Madison,Antwan Roberts,Rusher,0,0,0.0,0,0,0,1,10.1,0,0,0,0.0,0
48,A,Marshall,James Madison,Justin Williams-Thomas,Rusher,0,0,0.0,0,0,0,3,1.0,0,0,0,0.0,0
48,A,Marshall,James Madison,JacQai Long,Rusher,0,0,0.0,0,0,0,3,25.0,0,0,0,0.0,0
48,A,Marshall,James Madison,Xayvion Turner-Bradshaw,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,26.1,0
48,A,Marshall,James Madison,Ben Turner,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,9.5,0
48,A,Marshall,James Madison,Demarcus Lacey,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,52.1,0
48,A,Marshall,James Madison,De'Andre Tamarez,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,5.7,0
48,A,Marshall,James Madison,Jakolbe Baldwin,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,28.7,0
48,A,Marshall,James Madison,Adrian Norton,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,23.5,0
48,A,Marshall,James Madison,Zavier Short,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,22.1,0
48,A,Marshall,James Madison,Toby Payne,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,10.8,0
48,A,James Madison,Marshall,Alonza Barnett,QB,34,27,376.7,2,0,6,0,0.0,0,0,0,0.0,0
48,A,James Madison,Marshall,Wayne Knight,Rusher,0,0,0.0,0,0,0,6,24.2,0,0,0,0.0,0
48,A,James Madison,Marshall,Matthew Sluka,Rusher,0,0,0.0,0,0,0,5,14.3,1,0,0,0.0,0
48,A,James Madison,Marshall,Ayo Adeyi,Rusher,0,0,0.0,0,0,0,10,48.9,0,0,0,0.0,0
48,A,James Madison,Marshall,Alonza Barnett,Rusher,0,0,0.0,0,0,0,3,20.6,1,0,0,0.0,0
48,A,James Madison,Marshall,Jordan Fuller,Rusher,0,0,0.0,0,0,0,4,8.8,0,0,0,0.0,0
48,A,James Madison,Marshall,George Pettaway,Rusher,0,0,0.0,0,0,0,5,10.3,1,0,0,0.0,0
48,A,James Madison,Marshall,Isaiah Alston,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,61.2,0
48,A,James Madison,Marshall,Landon Ellis,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,9,60.2,0
