sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,Miami,Syracuse,Carson Beck,QB,28,21,267.0,1,0,2,0,0.0,0,0,0,0.0,0
0,A,Miami,Syracuse,CharMar Brown,Rusher,0,0,0.0,0,0,0,14,51.1,2,0,0,0.0,0
0,A,Miami,Syracuse,Mark Fletcher Jr.,Rusher,0,0,0.0,0,0,0,20,83.4,2,0,0,0.0,0
0,A,Miami,Syracuse,Carson Beck,Rusher,0,0,0.0,0,0,0,1,7.4,0,0,0,0.0,0
0,A,Miami,Syracuse,Jordan Lyle,Rusher,0,0,0.0,0,0,0,2,11.7,0,0,0,0.0,0
0,A,Miami,Syracuse,Girard Pringle Jr.,Rusher,0,0,0.0,0,0,0,1,5.3,0,0,0,0.0,0
0,A,Miami,Syracuse,Alex Bauman,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,69.0,0
0,A,Miami,Syracuse,Malachi Toney,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,48.0,0
0,A,Miami,Syracuse,Joshua Moore,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,57.4,0
0,A,Miami,Syracuse,Tony Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
0,A,Miami,Syracuse,C.J. Daniels,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,27.8,1
0,A,Miami,Syracuse,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
0,A,Miami,Syracuse,Keelan Marion,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,8.9,0
0,A,Miami,Syracuse,Elija Lofton,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,39.6,0
0,A,Miami,Syracuse,Luka Gilbert,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,7.3,0
0,A,Miami,Syracuse,Nathaniel Joseph,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,8.9,0
0,A,Syracuse,Miami,Rickie Collins,QB,24,20,169.8,1,0,11,0,0.0,0,0,0,0.0,0
0,A,Syracuse,Miami,Rickie Collins,Rusher,0,0,0.0,0,0,0,2,7.8,0,0,0,0.0,0
0,A,Syracuse,Miami,Yasin Willis,Rusher,0,0,0.0,0,0,0,9,25.1,0,0,0,0.0,0
0,A,Syracuse,Miami,Will Nixon,Rusher,0,0,0.0,0,0,0,8,35.2,0,0,0,0.0,0
0,A,Syracuse,Miami,Steven Angeli,Rusher,0,0,0.0,0,0,0,3,2.4,0,0,0,0.0,0
0,A,Syracuse,Miami,Jaden Hart,Rusher,0,0,0.0,0,0,0,2,4.5,0,0,0,0.0,0
0,A,Syracuse,Miami,Darrell Gill Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,9,66.9,1
0,A,Syracuse,Miami,Justus Ross-Simmons,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,25.6,0
0,A,Syracuse,Miami,Johntay Cook II,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,11.0,0
0,A,Syracuse,Miami,Dan Villari,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,3.8,0
0,A,Syracuse,Miami,Emanuel Ross,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,39.5,0
0,A,Syracuse,Miami,Jamie Tremble,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,8.4,0
0,A,Syracuse,Miami,Tyshawn Russell,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
0,A,Syracuse,Miami,Jaylan Hornsby,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,14.6,0
1,B,Syracuse,Miami,Rickie Collins,QB,25,11,100.3,1,0,6,0,0.0,0,0,0,0.0,0
1,B,Syracuse,Miami,Yasin Willis,Rusher,0,0,0.0,0,0,0,9,49.8,0,0,0,0.0,0
