sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
16,A,Notre Dame,Navy,C.J. Carr,QB,28,23,229.3,1,0,4,0,0.0,0,0,0,0.0,0
16,A,Notre Dame,Navy,Jeremiyah Love,Rusher,0,0,0.0,0,0,0,19,72.7,1,0,0,0.0,0
16,A,Notre Dame,Navy,Jadarian Price,Rusher,0,0,0.0,0,0,0,9,22.6,1,0,0,0.0,0
16,A,Notre Dame,Navy,C.J. Carr,Rusher,0,0,0.0,0,0,0,4,40.5,0,0,0,0.0,0
16,A,Notre Dame,Navy,Eli Raridon,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,63.6,0
16,A,Notre Dame,Navy,Jordan Faison,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,6,55.4,0
16,A,Notre Dame,Navy,Will Pauling,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,37.2,1
16,A,Notre Dame,Navy,Micah Gilbert,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,28.0,0
16,A,Notre Dame,Navy,Malachi Fields,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,23.1,0
16,A,Notre Dame,Navy,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,14.7,0
16,A,Notre Dame,Navy,Jaden Greathouse,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,7.3,0
16,A,Navy,Notre Dame,Blake Horvath,QB,29,15,154.9,1,0,8,0,0.0,0,0,0,0.0,0
16,A,Navy,Notre Dame,Alex Tecza,Rusher,0,0,0.0,0,0,0,4,15.6,0,0,0,0.0,0
16,A,Navy,Notre Dame,Shane Reynolds,Rusher,0,0,0.0,0,0,0,1,0.2,0,0,0,0.0,0
16,A,Navy,Notre Dame,Blake Horvath,Rusher,0,0,0.0,0,0,0,4,25.6,0,0,0,0.0,0
16,A,Navy,Notre Dame,Braxton Woodson,Rusher,0,0,0.0,0,0,0,1,-4.0,0,0,0,0.0,0
16,A,Navy,Notre Dame,Other RB,Rusher,0,0,0.0,0,0,0,2,17.5,1,0,0,0.0,0
16,A,Navy,Notre Dame,Luke Hutchison,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,4.3,0
16,A,Navy,Notre Dame,Cody Howard,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,30.3,0
16,A,Navy,Notre Dame,Brandon Chatman,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,12.4,0
16,A,Navy,Notre Dame,Nathan Kent,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,47.1,0
16,A,Navy,Notre Dame,Eli Heidenreich,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,10,57.5,0
16,A,Navy,Notre Dame,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,3.3,1
16,A,Navy,Notre Dame,Joshua Guerin,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
16,A,Navy,Notre Dame,Charles Robinson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
17,B,Navy,Notre Dame,Blake Horvath,QB,16,12,143.7,0,0,5,0,0.0,0,0,0,0.0,0
17,B,Navy,Notre Dame,Alex Tecza,Rusher,0,0,0.0,0,0,0,11,65.5,1,0,0,0.0,0
17,B,Navy,Notre Dame,Other RB,Rusher,0,0,0.0,0,0,0,6,37.6,0,0,0,0.0,0
17,B,Navy,Notre Dame,Jackson Gutierrez,Rusher,0,0,0.0,0,0,0,5,25.3,0,0,0,0.0,0
17,B,Navy,Notre Dame,Blake Horvath,Rusher,0,0,0.0,0,0,0,8,32.9,1,0,0,0.0,0
17,B,Navy,Notre Dame,Braxton Woodson,Rusher,0,0,0.0,0,0,0,5,-1.9,0,0,0,0.0,0
17,B,Navy,Notre Dame,Joshua Guerin,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,28.0,0
17,B,Navy,Notre Dame,Nathan Kent,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,16.8,0
17,B,Navy,Notre Dame,Eli Heidenreich,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,42.1,0
17,B,Navy,Notre Dame,Luke Hutchison,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,29.8,0
17,B,Navy,Notre Dame,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,15.8,0
17,B,Navy,Notre Dame,Brandon Chatman,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,11.2,0
17,B,Notre Dame,Navy,C.J. Carr,QB,26,14,120.7,1,1,6,0,0.0,0,0,0,0.0,0
17,B,Notre Dame,Navy,Jeremiyah Love,Rusher,0,0,0.0,0,0,0,7,6.1,0,0,0,0.0,0
17,B,Notre Dame,Navy,Jadarian Price,Rusher,0,0,0.0,0,0,0,6,15.2,0,0,0,0.0,0
17,B,Notre Dame,Navy,C.J. Carr,Rusher,0,0,0.0,0,0,0,1,6.6,0,0,0,0.0,0
17,B,Notre Dame,Navy,Other RB,Rusher,0,0,0.0,0,0,0,2,16.6,0,0,0,0.0,0
17,B,Notre Dame,Navy,Jordan Faison,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,10,47.9,1
17,B,Notre Dame,Navy,KK Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
17,B,Notre Dame,Navy,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,29.6,0
