sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
16,A,UCF,Houston,Tayven Jackson,QB,25,17,235.4,0,0,7,0,0.0,0,0,0,0.0,0
16,A,UCF,Houston,Myles Montgomery,Rusher,0,0,0.0,0,0,0,8,50.8,2,0,0,0.0,0
16,A,UCF,Houston,Jacurri Brown,Rusher,0,0,0.0,0,0,0,5,15.5,0,0,0,0.0,0
16,A,UCF,Houston,Stacy Gage,Rusher,0,0,0.0,0,0,0,3,25.1,0,0,0,0.0,0
16,A,UCF,Houston,Cam Fancher,Rusher,0,0,0.0,0,0,0,5,33.2,1,0,0,0.0,0
16,A,UCF,Houston,Tayven Jackson,Rusher,0,0,0.0,0,0,0,5,7.9,0,0,0,0.0,0
16,A,UCF,Houston,Jaden Nixon,Rusher,0,0,0.0,0,0,0,1,1.1,0,0,0,0.0,0
16,A,UCF,Houston,Chris Domercant,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,17.4,0
16,A,UCF,Houston,Dylan Wade,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,38.4,0
16,A,UCF,Houston,Kylan Fox,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,19.0,0
16,A,UCF,Houston,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,80.2,0
16,A,UCF,Houston,Duane Thomas Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,8,49.1,0
16,A,UCF,Houston,DJ Black,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,14.3,0
16,A,UCF,Houston,Waden Charles,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,17.1,0
16,A,Houston,UCF,Conner Weigman,QB,22,15,215.6,3,0,3,0,0.0,0,0,0,0.0,0
16,A,Houston,UCF,J'Marion Burnette,Rusher,0,0,0.0,0,0,0,6,7.9,0,0,0,0.0,0
16,A,Houston,UCF,Stacy Sneed,Rusher,0,0,0.0,0,0,0,8,40.3,0,0,0,0.0,0
16,A,Houston,UCF,Conner Weigman,Rusher,0,0,0.0,0,0,0,7,24.4,0,0,0,0.0,0
16,A,Houston,UCF,Dean Connors,Rusher,0,0,0.0,0,0,0,12,56.8,0,0,0,0.0,0
16,A,Houston,UCF,DJ Butler,Rusher,0,0,0.0,0,0,0,2,5.6,0,0,0,0.0,0
16,A,Houston,UCF,Tanner Koziol,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,34.8,0
16,A,Houston,UCF,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,46.1,1
16,A,Houston,UCF,Koby Young,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,60.5,1
16,A,Houston,UCF,Amare Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,10.5,0
16,A,Houston,UCF,Harvey Broussard,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,30.6,1
16,A,Houston,UCF,Stephon Johnson Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,13.6,0
16,A,Houston,UCF,Luke Mcgary,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,19.6,0
17,B,Houston,UCF,Conner Weigman,QB,32,21,126.4,0,0,2,0,0.0,0,0,0,0.0,0
