sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Virginia,Wake Forest,Chandler Morris,QB,23,19,138.9,0,0,5,0,0.0,0,0,0,0.0,0
32,A,Virginia,Wake Forest,J'mari Taylor,Rusher,0,0,0.0,0,0,0,16,60.5,0,0,0,0.0,0
32,A,Virginia,Wake Forest,Noah Vaughn,Rusher,0,0,0.0,0,0,0,1,2.4,0,0,0,0.0,0
32,A,Virginia,Wake Forest,Chandler Morris,Rusher,0,0,0.0,0,0,0,4,31.1,1,0,0,0.0,0
32,A,Virginia,Wake Forest,Xavier Brown,Rusher,0,0,0.0,0,0,0,11,53.0,0,0,0,0.0,0
32,A,Virginia,Wake Forest,Harrison Waylee,Rusher,0,0,0.0,0,0,0,4,15.1,0,0,0,0.0,0
32,A,Virginia,Wake Forest,Trell Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,10.3,0
32,A,Virginia,Wake Forest,Cameron Ross,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,6,37.4,0
32,A,Virginia,Wake Forest,Josiah Abdullah,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,5.5,0
32,A,Virginia,Wake Forest,Dakota Twitty,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,39.3,0
32,A,Virginia,Wake Forest,John Rogers,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,17.8,0
32,A,Virginia,Wake Forest,Kameron Courtney,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
32,A,Virginia,Wake Forest,Isaiah Robinson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,15.0,0
32,A,Virginia,Wake Forest,Eli Wood,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
32,A,Virginia,Wake Forest,Dillon Newton-Short,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,13.6,0
32,A,Virginia,Wake Forest,Sage Ennis,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
32,A,Wake Forest,Virginia,Robby Ashford,QB,31,21,118.5,0,0,14,0,0.0,0,0,0,0.0,0
32,A,Wake Forest,Virginia,Demond Claiborne,Rusher,0,0,0.0,0,0,0,8,44.5,1,0,0,0.0,0
32,A,Wake Forest,Virginia,JaMario Clements,Rusher,0,0,0.0,0,0,0,4,15.0,0,0,0,0.0,0
32,A,Wake Forest,Virginia,Ty Clark III,Rusher,0,0,0.0,0,0,0,3,5.1,0,0,0,0.0,0
32,A,Wake Forest,Virginia,Robby Ashford,Rusher,0,0,0.0,0,0,0,6,6.6,0,0,0,0.0,0
32,A,Wake Forest,Virginia,Deshawn Purdie,Rusher,0,0,0.0,0,0,0,2,6.1,0,0,0,0.0,0
32,A,Wake Forest,Virginia,Eni Falayi,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,6.0,0
32,A,Wake Forest,Virginia,Carlos Hernandez,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,2.3,0
32,A,Wake Forest,Virginia,Chevy Brenson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,14.4,0
32,A,Wake Forest,Virginia,Jeremiah Melvin,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,12.4,0
32,A,Wake Forest,Virginia,Sterling Berkhalter,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,13.1,0
32,A,Wake Forest,Virginia,Micah Mays Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
32,A,Wake Forest,Virginia,Kamrean Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,32.6,0
32,A,Wake Forest,Virginia,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,12.9,0
32,A,Wake Forest,Virginia,Chris Barnes,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,24.7,0
33,B,Wake Forest,Virginia,Robby Ashford,QB,23,15,147.0,0,0,6,0,0.0,0,0,0,0.0,0
33,B,Wake Forest,Virginia,Robby Ashford,Rusher,0,0,0.0,0,0,0,12,104.7,2,0,0,0.0,0
33,B,Wake Forest,Virginia,Deshawn Purdie,Rusher,0,0,0.0,0,0,0,1,9.7,0,0,0,0.0,0
33,B,Wake Forest,Virginia,JaMario Clements,Rusher,0,0,0.0,0,0,0,8,53.8,2,0,0,0.0,0
33,B,Wake Forest,Virginia,Ty Clark III,Rusher,0,0,0.0,0,0,0,7,35.9,1,0,0,0.0,0
33,B,Wake Forest,Virginia,Demond Claiborne,Rusher,0,0,0.0,0,0,0,2,7.1,0,0,0,0.0,0
33,B,Wake Forest,Virginia,Micah Mays Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,10.9,0
33,B,Wake Forest,Virginia,Carlos Hernandez,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
33,B,Wake Forest,Virginia,Chris Barnes,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,43.3,0
33,B,Wake Forest,Virginia,Sawyer Racanelli,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,15.0,0
33,B,Wake Forest,Virginia,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,47.0,0
33,B,Wake Forest,Virginia,Kamrean Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
33,B,Wake Forest,Virginia,Eni Falayi,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,18.7,0
33,B,Wake Forest,Virginia,Sterling Berkhalter,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,12.1,0
33,B,Virginia,Wake Forest,Chandler Morris,QB,41,28,237.4,1,1,4,0,0.0,0,0,0,0.0,0
33,B,Virginia,Wake Forest,J'mari Taylor,Rusher,0,0,0.0,0,0,0,9,40.5,1,0,0,0.0,0
33,B,Virginia,Wake Forest,Noah Vaughn,Rusher,0,0,0.0,0,0,0,8,15.1,0,0,0,0.0,0
33,B,Virginia,Wake Forest,Harrison Waylee,Rusher,0,0,0.0,0,0,0,5,12.3,0,0,0,0.0,0
33,B,Virginia,Wake Forest,Chandler Morris,Rusher,0,0,0.0,0,0,0,7,35.0,1,0,0,0.0,0
33,B,Virginia,Wake Forest,Xavier Brown,Rusher,0,0,0.0,0,0,0,3,14.3,0,0,0,0.0,0
33,B,Virginia,Wake Forest,John Rogers,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,25.1,0
33,B,Virginia,Wake Forest,Dakota Twitty,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,4.8,0
33,B,Virginia,Wake Forest,Suderian Harrison,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,8.0,0
33,B,Virginia,Wake Forest,Cameron Ross,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,18.8,0
33,B,Virginia,Wake Forest,Eli Wood,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,29.1,0
33,B,Virginia,Wake Forest,Jayden Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,18.9,0
33,B,Virginia,Wake Forest,Jahmal Edrine,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,11,96.6,1
33,B,Virginia,Wake Forest,Josiah Abdullah,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,15.5,0
33,B,Virginia,Wake Forest,Trell Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,13.3,0
33,B,Virginia,Wake Forest,Dillon Newton-Short,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
33,B,Virginia,Wake Forest,Isaiah Robinson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
33,B,Virginia,Wake Forest,Sage Ennis,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,7.3,0
34,A,Virginia,Wake Forest,Chandler Morris,QB,29,20,261.9,2,0,0,0,0.0,0,0,0,0.0,0
34,A,Virginia,Wake Forest,Xavier Brown,Rusher,0,0,0.0,0,0,0,11,56.2,1,0,0,0.0,0
34,A,Virginia,Wake Forest,J'mari Taylor,Rusher,0,0,0.0,0,0,0,17,85.3,2,0,0,0.0,0
34,A,Virginia,Wake Forest,Harrison Waylee,Rusher,0,0,0.0,0,0,0,8,53.5,0,0,0,0.0,0
34,A,Virginia,Wake Forest,Noah Vaughn,Rusher,0,0,0.0,0,0,0,5,32.0,0,0,0,0.0,0
34,A,Virginia,Wake Forest,Daniel Kaelin,Rusher,0,0,0.0,0,0,0,2,1.3,0,0,0,0.0,0
34,A,Virginia,Wake Forest,Chandler Morris,Rusher,0,0,0.0,0,0,0,4,17.0,0,0,0,0.0,0
34,A,Virginia,Wake Forest,Isaiah Robinson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,17.2,0
34,A,Virginia,Wake Forest,John Rogers,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,18.0,0
34,A,Virginia,Wake Forest,Cameron Ross,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,25.4,0
34,A,Virginia,Wake Forest,Josiah Abdullah,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,38.0,0
34,A,Virginia,Wake Forest,Trell Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,6,76.6,1
34,A,Virginia,Wake Forest,Dakota Twitty,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,6.0,0
34,A,Virginia,Wake Forest,Eli Wood,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,5.0,0
34,A,Virginia,Wake Forest,Jahmal Edrine,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,43.5,0
34,A,Virginia,Wake Forest,Kameron Courtney,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,20.1,1
34,A,Virginia,Wake Forest,Sage Ennis,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,12.1,0
34,A,Wake Forest,Virginia,Robby Ashford,QB,28,21,205.8,1,0,6,0,0.0,0,0,0,0.0,0
34,A,Wake Forest,Virginia,Ty Clark III,Rusher,0,0,0.0,0,0,0,4,9.5,0,0,0,0.0,0
34,A,Wake Forest,Virginia,Robby Ashford,Rusher,0,0,0.0,0,0,0,10,23.1,0,0,0,0.0,0
34,A,Wake Forest,Virginia,JaMario Clements,Rusher,0,0,0.0,0,0,0,2,14.9,0,0,0,0.0,0
34,A,Wake Forest,Virginia,Demond Claiborne,Rusher,0,0,0.0,0,0,0,10,30.3,0,0,0,0.0,0
34,A,Wake Forest,Virginia,Deshawn Purdie,Rusher,0,0,0.0,0,0,0,1,0.0,0,0,0,0.0,0
34,A,Wake Forest,Virginia,Sterling Berkhalter,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,5.1,0
34,A,Wake Forest,Virginia,Kamrean Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.5,0
34,A,Wake Forest,Virginia,Chevy Brenson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
34,A,Wake Forest,Virginia,Chris Barnes,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,67.7,1
34,A,Wake Forest,Virginia,Eni Falayi,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,7.6,0
34,A,Wake Forest,Virginia,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,53.0,0
34,A,Wake Forest,Virginia,Micah Mays Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,31.6,0
