team,opp,pts,opp_pts,plays,opp_plays
Arkansas State,Southern Miss,21,10,64,74
Southern Miss,Arkansas State,14,17,74,62
Arkansas State,Southern Miss,14,26,63,78
Southern Miss,Arkansas State,10,20,83,60
Arkansas State,Southern Miss,3,42,61,82
Southern Miss,Arkansas State,28,14,69,76
Arkansas State,Southern Miss,10,30,67,75
Southern Miss,Arkansas State,9,20,78,60
Arkansas State,Southern Miss,17,41,71,68
Southern Miss,Arkansas State,28,6,62,78
Arkansas State,Southern Miss,33,7,82,61
Southern Miss,Arkansas State,23,10,76,66
Arkansas State,Southern Miss,31,21,76,70
Southern Miss,Arkansas State,16,0,79,54
Arkansas State,Southern Miss,37,13,76,66
Southern Miss,Arkansas State,20,17,89,65
Arkansas State,Southern Miss,0,24,79,62
Southern Miss,Arkansas State,20,14,75,63
Arkansas State,Southern Miss,23,10,65,75
Southern Miss,Arkansas State,27,20,65,79
Arkansas State,Southern Miss,31,10,79,67
Southern Miss,Arkansas State,15,17,80,63
Arkansas State,Southern Miss,10,10,71,62
Southern Miss,Arkansas State,13,10,74,70
Arkansas State,Southern Miss,17,21,75,69
Southern Miss,Arkansas State,14,3,72,68
Arkansas State,Southern Miss,21,16,64,83
Southern Miss,Arkansas State,20,20,76,65
Arkansas State,Southern Miss,20,31,73,69
Southern Miss,Arkansas State,24,9,71,76
Arkansas State,Southern Miss,34,14,83,60
Southern Miss,Arkansas State,14,41,59,75
Arkansas State,Southern Miss,13,10,73,72
Southern Miss,Arkansas State,13,35,69,72
Arkansas State,Southern Miss,24,7,73,71
Southern Miss,Arkansas State,34,7,71,76
Arkansas State,Southern Miss,38,10,80,62
Southern Miss,Arkansas State,28,0,80,64
Arkansas State,Southern Miss,30,13,66,75
Southern Miss,Arkansas State,14,7,69,68
Arkansas State,Southern Miss,6,30,61,83
Southern Miss,Arkansas State,20,24,85,64
Arkansas State,Southern Miss,10,34,59,78
Southern Miss,Arkansas State,20,3,76,64
Arkansas State,Southern Miss,20,17,72,68
Southern Miss,Arkansas State,20,35,68,69
Arkansas State,Southern Miss,7,33,64,82
Southern Miss,Arkansas State,24,10,75,66
Arkansas State,Southern Miss,30,24,79,63
Southern Miss,Arkansas State,34,3,87,62
Arkansas State,Southern Miss,7,23,71,72
Southern Miss,Arkansas State,24,17,69,73
Arkansas State,Southern Miss,10,10,72,71
Southern Miss,Arkansas State,34,10,76,74
Arkansas State,Southern Miss,7,10,78,65
Southern Miss,Arkansas State,27,14,80,66
Arkansas State,Southern Miss,13,17,82,65
Southern Miss,Arkansas State,30,7,81,60
Arkansas State,Southern Miss,10,24,79,73
Southern Miss,Arkansas State,17,28,74,68
Arkansas State,Southern Miss,14,38,63,83
Southern Miss,Arkansas State,17,20,68,73
Arkansas State,Southern Miss,28,41,82,68
Southern Miss,Arkansas State,7,30,62,75
Arkansas State,Southern Miss,14,23,62,74
Southern Miss,Arkansas State,24,20,84,65
Arkansas State,Southern Miss,35,10,75,71
Southern Miss,Arkansas State,21,10,70,76
Arkansas State,Southern Miss,13,17,69,74
Southern Miss,Arkansas State,13,23,75,68
Arkansas State,Southern Miss,20,27,82,60
Southern Miss,Arkansas State,13,7,75,67
Arkansas State,Southern Miss,28,14,80,63
Southern Miss,Arkansas State,19,7,70,66
Arkansas State,Southern Miss,7,49,68,74
Southern Miss,Arkansas State,28,24,68,76
Arkansas State,Southern Miss,17,21,78,65
Southern Miss,Arkansas State,20,23,67,80
Arkansas State,Southern Miss,15,21,83,59
Southern Miss,Arkansas State,13,14,84,63
Arkansas State,Southern Miss,34,19,70,71
Southern Miss,Arkansas State,30,7,82,59
Arkansas State,Southern Miss,17,41,63,81
Southern Miss,Arkansas State,31,10,75,58
Arkansas State,Southern Miss,17,31,72,73
Southern Miss,Arkansas State,34,20,78,60
Arkansas State,Southern Miss,20,31,82,71
Southern Miss,Arkansas State,19,14,83,67
Arkansas State,Southern Miss,0,33,63,86
Southern Miss,Arkansas State,24,24,79,69
Arkansas State,Southern Miss,6,24,74,65
Southern Miss,Arkansas State,23,14,73,79
Arkansas State,Southern Miss,3,47,55,90
Southern Miss,Arkansas State,14,31,64,74
Arkansas State,Southern Miss,7,30,55,82
Southern Miss,Arkansas State,27,14,79,56
Arkansas State,Southern Miss,28,35,70,68
Southern Miss,Arkansas State,14,0,76,67
Arkansas State,Southern Miss,17,42,77,64
Southern Miss,Arkansas State,14,23,67,73
Arkansas State,Southern Miss,31,21,65,75
Southern Miss,Arkansas State,20,24,78,62
Arkansas State,Southern Miss,13,41,64,81
Southern Miss,Arkansas State,17,20,68,71
Arkansas State,Southern Miss,3,28,68,72
Southern Miss,Arkansas State,23,38,76,75
Arkansas State,Southern Miss,14,47,60,85
Southern Miss,Arkansas State,21,21,70,73
Arkansas State,Southern Miss,13,23,61,81
Southern Miss,Arkansas State,45,10,95,54
Arkansas State,Southern Miss,21,7,80,73
Southern Miss,Arkansas State,30,14,73,65
Arkansas State,Southern Miss,23,13,67,70
Southern Miss,Arkansas State,37,7,79,70
Arkansas State,Southern Miss,13,38,73,62
Southern Miss,Arkansas State,24,21,69,79
Arkansas State,Southern Miss,13,37,61,80
Southern Miss,Arkansas State,38,7,80,71
Arkansas State,Southern Miss,17,17,74,63
Southern Miss,Arkansas State,34,20,78,69
