team,opp,pts,opp_pts,plays,opp_plays
Boston College,SMU,17,33,63,73
SMU,Boston College,52,10,74,59
Boston College,SMU,7,28,61,72
SMU,Boston College,30,14,79,57
Boston College,SMU,13,26,64,72
SMU,Boston College,31,14,73,67
Boston College,SMU,0,52,57,71
SMU,Boston College,31,17,73,56
Boston College,SMU,17,24,72,59
SMU,Boston College,37,17,70,63
Boston College,SMU,31,14,80,54
SMU,Boston College,10,7,68,61
Boston College,SMU,17,28,74,60
SMU,Boston College,45,14,68,65
Boston College,SMU,24,38,67,63
SMU,Boston College,38,20,82,52
Boston College,SMU,7,45,66,67
SMU,Boston College,27,20,72,68
Boston College,SMU,7,33,62,72
SMU,Boston College,16,10,64,65
Boston College,SMU,24,20,73,66
SMU,Boston College,35,10,76,57
Boston College,SMU,7,48,55,81
SMU,Boston College,27,21,70,64
Boston College,SMU,10,24,68,69
SMU,Boston College,30,3,79,54
Boston College,SMU,34,17,75,56
SMU,Boston College,31,20,62,74
Boston College,SMU,17,28,70,64
SMU,Boston College,27,3,80,52
Boston College,SMU,21,17,63,70
SMU,Boston College,34,0,69,59
Boston College,SMU,21,49,58,67
SMU,Boston College,13,21,71,58
Boston College,SMU,13,30,68,68
SMU,Boston College,34,7,69,61
Boston College,SMU,7,31,66,70
SMU,Boston College,44,16,76,58
Boston College,SMU,7,17,65,68
SMU,Boston College,45,17,75,59
Boston College,SMU,27,16,77,63
SMU,Boston College,27,21,79,53
Boston College,SMU,13,49,69,73
SMU,Boston College,35,17,71,66
Boston College,SMU,14,41,63,75
SMU,Boston College,31,17,72,58
Boston College,SMU,17,20,72,61
SMU,Boston College,34,14,60,68
Boston College,SMU,14,38,58,81
SMU,Boston College,37,3,74,64
Boston College,SMU,13,23,56,79
SMU,Boston College,48,0,76,63
Boston College,SMU,13,56,68,70
SMU,Boston College,27,26,58,78
Boston College,SMU,17,27,66,63
SMU,Boston College,35,10,71,66
Boston College,SMU,20,38,73,64
SMU,Boston College,24,21,76,54
Boston College,SMU,7,41,60,71
SMU,Boston College,41,10,69,64
Boston College,SMU,6,17,76,59
SMU,Boston College,31,31,72,63
Boston College,SMU,17,23,68,66
SMU,Boston College,35,17,72,63
Boston College,SMU,7,19,73,63
SMU,Boston College,42,0,70,61
Boston College,SMU,13,38,68,66
SMU,Boston College,27,9,59,73
Boston College,SMU,13,34,70,63
SMU,Boston College,24,20,55,81
Boston College,SMU,16,34,56,69
SMU,Boston College,42,14,71,57
Boston College,SMU,14,20,72,54
SMU,Boston College,37,28,66,67
Boston College,SMU,7,38,55,73
SMU,Boston College,35,6,70,64
Boston College,SMU,7,21,65,68
SMU,Boston College,37,13,78,52
Boston College,SMU,21,31,65,67
SMU,Boston College,31,21,74,63
