team,opp,pts,opp_pts,plays,opp_plays
East Carolina,Charlotte,56,10,79,51
Charlotte,East Carolina,17,56,69,73
East Carolina,Charlotte,20,14,62,64
Charlotte,East Carolina,3,42,70,64
East Carolina,Charlotte,31,10,73,60
Charlotte,East Carolina,0,48,66,69
East Carolina,Charlotte,44,0,77,61
Charlotte,East Carolina,7,43,61,76
East Carolina,Charlotte,52,13,67,70
Charlotte,East Carolina,10,37,73,71
East Carolina,Charlotte,31,17,76,71
Charlotte,East Carolina,7,37,60,68
East Carolina,Charlotte,26,10,68,63
Charlotte,East Carolina,7,31,65,70
East Carolina,Charlotte,43,3,83,61
Charlotte,East Carolina,0,42,63,73
East Carolina,Charlotte,38,17,77,63
Charlotte,East Carolina,13,31,76,60
East Carolina,Charlotte,27,3,65,70
Charlotte,East Carolina,17,45,64,82
East Carolina,Charlotte,52,28,77,59
Charlotte,East Carolina,21,48,64,73
East Carolina,Charlotte,58,10,85,55
Charlotte,East Carolina,7,34,70,70
East Carolina,Charlotte,38,14,69,69
Charlotte,East Carolina,3,38,64,66
East Carolina,Charlotte,31,3,69,61
Charlotte,East Carolina,7,31,75,68
East Carolina,Charlotte,27,10,69,61
Charlotte,East Carolina,3,30,62,69
East Carolina,Charlotte,38,3,75,57
Charlotte,East Carolina,14,63,63,80
East Carolina,Charlotte,52,3,86,58
Charlotte,East Carolina,17,41,64,72
East Carolina,Charlotte,33,7,74,58
Charlotte,East Carolina,3,35,64,78
East Carolina,Charlotte,45,16,75,58
Charlotte,East Carolina,16,31,80,58
East Carolina,Charlotte,31,7,79,62
Charlotte,East Carolina,10,31,60,71
East Carolina,Charlotte,28,10,66,69
Charlotte,East Carolina,13,28,77,61
East Carolina,Charlotte,35,13,71,61
Charlotte,East Carolina,0,41,51,85
East Carolina,Charlotte,20,10,72,63
Charlotte,East Carolina,6,55,58,83
East Carolina,Charlotte,41,10,71,66
Charlotte,East Carolina,10,19,74,67
East Carolina,Charlotte,24,6,87,55
Charlotte,East Carolina,7,41,70,82
East Carolina,Charlotte,20,3,75,63
Charlotte,East Carolina,7,41,67,70
East Carolina,Charlotte,34,10,71,60
Charlotte,East Carolina,17,34,74,63
East Carolina,Charlotte,21,17,67,71
Charlotte,East Carolina,10,34,55,81
East Carolina,Charlotte,24,27,55,74
Charlotte,East Carolina,0,48,61,67
East Carolina,Charlotte,28,24,76,70
Charlotte,East Carolina,12,38,75,74
East Carolina,Charlotte,48,10,89,46
Charlotte,East Carolina,21,41,74,65
East Carolina,Charlotte,54,14,80,60
Charlotte,East Carolina,3,23,60,70
East Carolina,Charlotte,13,3,63,69
Charlotte,East Carolina,14,38,62,77
East Carolina,Charlotte,19,13,66,72
Charlotte,East Carolina,10,59,57,73
East Carolina,Charlotte,17,17,54,72
Charlotte,East Carolina,6,45,67,67
East Carolina,Charlotte,31,3,77,57
Charlotte,East Carolina,7,41,62,74
East Carolina,Charlotte,42,17,70,66
Charlotte,East Carolina,0,34,77,61
East Carolina,Charlotte,52,17,84,54
Charlotte,East Carolina,0,42,64,74
East Carolina,Charlotte,42,3,68,68
Charlotte,East Carolina,7,38,63,67
East Carolina,Charlotte,41,6,78,56
Charlotte,East Carolina,27,24,76,62
East Carolina,Charlotte,51,0,80,53
Charlotte,East Carolina,27,35,83,60
East Carolina,Charlotte,14,3,70,59
Charlotte,East Carolina,3,56,64,73
East Carolina,Charlotte,49,14,69,68
Charlotte,East Carolina,19,52,66,80
East Carolina,Charlotte,33,10,73,61
Charlotte,East Carolina,21,48,70,69
East Carolina,Charlotte,31,14,71,58
Charlotte,East Carolina,13,24,72,58
East Carolina,Charlotte,31,17,72,62
Charlotte,East Carolina,28,34,62,78
East Carolina,Charlotte,38,10,71,66
Charlotte,East Carolina,14,24,67,62
East Carolina,Charlotte,45,14,72,58
Charlotte,East Carolina,3,55,69,68
East Carolina,Charlotte,34,10,71,67
Charlotte,East Carolina,31,31,68,66
East Carolina,Charlotte,50,3,79,64
Charlotte,East Carolina,13,20,66,67
East Carolina,Charlotte,35,6,79,59
Charlotte,East Carolina,10,35,66,75
East Carolina,Charlotte,24,14,79,56
Charlotte,East Carolina,7,70,51,87
East Carolina,Charlotte,48,10,78,61
Charlotte,East Carolina,7,41,66,68
East Carolina,Charlotte,38,6,84,50
Charlotte,East Carolina,24,28,66,69
East Carolina,Charlotte,28,3,65,71
Charlotte,East Carolina,21,38,72,67
East Carolina,Charlotte,38,7,76,67
Charlotte,East Carolina,10,37,67,65
East Carolina,Charlotte,27,31,66,73
Charlotte,East Carolina,28,45,74,69
East Carolina,Charlotte,14,6,62,72
Charlotte,East Carolina,14,34,61,76
East Carolina,Charlotte,35,6,71,66
Charlotte,East Carolina,7,34,68,78
East Carolina,Charlotte,24,6,60,68
Charlotte,East Carolina,10,42,71,67
East Carolina,Charlotte,55,7,73,61
Charlotte,East Carolina,3,55,59,84
East Carolina,Charlotte,55,0,78,67
Charlotte,East Carolina,6,33,61,68
East Carolina,Charlotte,38,3,71,74
Charlotte,East Carolina,17,41,61,75
East Carolina,Charlotte,55,0,78,52
Charlotte,East Carolina,3,35,70,65
East Carolina,Charlotte,31,7,67,70
Charlotte,East Carolina,7,35,63,71
East Carolina,Charlotte,34,9,72,70
Charlotte,East Carolina,10,20,77,55
East Carolina,Charlotte,31,7,64,67
Charlotte,East Carolina,20,42,72,66
East Carolina,Charlotte,48,23,75,61
Charlotte,East Carolina,13,31,65,71
East Carolina,Charlotte,34,14,72,61
Charlotte,East Carolina,0,63,58,81
East Carolina,Charlotte,34,14,73,67
Charlotte,East Carolina,3,41,65,80
East Carolina,Charlotte,55,0,77,56
Charlotte,East Carolina,10,31,70,63
East Carolina,Charlotte,36,7,79,57
Charlotte,East Carolina,9,42,62,74
East Carolina,Charlotte,41,17,65,75
Charlotte,East Carolina,13,24,76,60
East Carolina,Charlotte,65,7,79,58
Charlotte,East Carolina,6,42,76,60
East Carolina,Charlotte,20,14,80,61
Charlotte,East Carolina,6,41,63,83
East Carolina,Charlotte,31,6,74,60
Charlotte,East Carolina,7,33,59,74
East Carolina,Charlotte,17,17,65,69
Charlotte,East Carolina,7,34,70,67
East Carolina,Charlotte,45,7,67,66
Charlotte,East Carolina,3,20,60,79
East Carolina,Charlotte,38,17,77,65
Charlotte,East Carolina,0,44,60,77
East Carolina,Charlotte,35,6,58,74
Charlotte,East Carolina,0,42,59,80
East Carolina,Charlotte,31,7,72,59
Charlotte,East Carolina,10,38,59,71
East Carolina,Charlotte,63,16,75,57
Charlotte,East Carolina,7,31,65,67
East Carolina,Charlotte,38,17,80,60
Charlotte,East Carolina,7,37,67,73
East Carolina,Charlotte,28,10,77,66
Charlotte,East Carolina,17,28,80,51
East Carolina,Charlotte,38,3,72,66
Charlotte,East Carolina,24,48,71,63
East Carolina,Charlotte,51,7,78,56
Charlotte,East Carolina,3,34,69,77
East Carolina,Charlotte,52,0,79,59
Charlotte,East Carolina,0,40,71,74
East Carolina,Charlotte,28,6,66,79
Charlotte,East Carolina,9,41,68,71
East Carolina,Charlotte,52,21,76,58
Charlotte,East Carolina,3,38,57,78
East Carolina,Charlotte,21,7,64,63
Charlotte,East Carolina,0,45,63,66
East Carolina,Charlotte,36,3,78,68
Charlotte,East Carolina,10,28,75,70
East Carolina,Charlotte,47,21,76,67
Charlotte,East Carolina,10,23,69,63
East Carolina,Charlotte,45,13,78,69
Charlotte,East Carolina,17,55,61,84
East Carolina,Charlotte,42,13,68,74
Charlotte,East Carolina,7,45,56,80
East Carolina,Charlotte,38,6,72,66
Charlotte,East Carolina,10,63,72,70
East Carolina,Charlotte,45,3,77,55
Charlotte,East Carolina,7,35,70,60
East Carolina,Charlotte,38,3,75,60
Charlotte,East Carolina,9,28,73,57
East Carolina,Charlotte,28,17,63,75
Charlotte,East Carolina,3,51,49,88
East Carolina,Charlotte,59,17,74,68
Charlotte,East Carolina,17,42,80,61
East Carolina,Charlotte,48,10,73,66
Charlotte,East Carolina,10,35,69,66
East Carolina,Charlotte,30,14,79,62
Charlotte,East Carolina,3,38,62,70
East Carolina,Charlotte,49,0,83,59
Charlotte,East Carolina,0,27,62,71
East Carolina,Charlotte,52,3,92,48
Charlotte,East Carolina,16,21,72,63
East Carolina,Charlotte,38,6,78,53
Charlotte,East Carolina,0,44,59,76
East Carolina,Charlotte,31,31,66,68
Charlotte,East Carolina,10,20,66,69
East Carolina,Charlotte,44,0,79,57
Charlotte,East Carolina,0,55,45,90
East Carolina,Charlotte,38,7,84,59
Charlotte,East Carolina,13,38,70,73
East Carolina,Charlotte,45,14,72,66
Charlotte,East Carolina,0,41,53,78
East Carolina,Charlotte,27,20,75,64
Charlotte,East Carolina,17,0,73,61
East Carolina,Charlotte,48,7,77,59
Charlotte,East Carolina,17,37,67,63
East Carolina,Charlotte,27,7,71,55
Charlotte,East Carolina,7,51,69,65
East Carolina,Charlotte,59,10,85,62
Charlotte,East Carolina,17,20,67,62
East Carolina,Charlotte,52,10,83,58
Charlotte,East Carolina,10,23,58,81
East Carolina,Charlotte,26,7,76,56
Charlotte,East Carolina,3,34,66,70
East Carolina,Charlotte,52,0,82,51
Charlotte,East Carolina,13,52,61,70
East Carolina,Charlotte,45,14,77,65
Charlotte,East Carolina,10,38,60,72
East Carolina,Charlotte,56,20,73,64
Charlotte,East Carolina,21,34,73,65
East Carolina,Charlotte,13,0,62,64
Charlotte,East Carolina,6,24,67,68
East Carolina,Charlotte,45,10,83,60
Charlotte,East Carolina,14,34,67,64
East Carolina,Charlotte,31,10,74,66
Charlotte,East Carolina,6,21,65,73
East Carolina,Charlotte,45,3,70,68
Charlotte,East Carolina,6,41,70,65
East Carolina,Charlotte,41,16,56,79
Charlotte,East Carolina,3,48,59,78
East Carolina,Charlotte,38,13,60,80
Charlotte,East Carolina,6,27,56,77
East Carolina,Charlotte,31,10,66,69
Charlotte,East Carolina,10,31,67,69
East Carolina,Charlotte,27,10,68,59
Charlotte,East Carolina,6,45,60,80
East Carolina,Charlotte,38,7,79,54
Charlotte,East Carolina,10,42,62,76
East Carolina,Charlotte,31,21,63,70
Charlotte,East Carolina,3,59,58,81
East Carolina,Charlotte,38,21,76,56
Charlotte,East Carolina,3,43,59,75
East Carolina,Charlotte,35,10,76,62
Charlotte,East Carolina,6,21,73,61
East Carolina,Charlotte,55,0,81,61
Charlotte,East Carolina,7,49,61,77
East Carolina,Charlotte,48,10,72,65
Charlotte,East Carolina,17,38,69,64
East Carolina,Charlotte,34,10,80,54
Charlotte,East Carolina,14,35,69,65
East Carolina,Charlotte,45,14,71,65
Charlotte,East Carolina,3,55,63,75
East Carolina,Charlotte,31,6,72,58
Charlotte,East Carolina,13,31,53,77
East Carolina,Charlotte,28,28,66,64
Charlotte,East Carolina,10,37,70,71
East Carolina,Charlotte,34,10,76,54
Charlotte,East Carolina,3,44,57,79
East Carolina,Charlotte,42,14,75,63
Charlotte,East Carolina,10,37,76,67
East Carolina,Charlotte,35,0,73,68
