team,opp,pts,opp_pts,plays,opp_plays
Eastern Michigan,Bowling Green,3,7,73,56
Bowling Green,Eastern Michigan,14,31,63,69
Eastern Michigan,Bowling Green,17,14,65,66
Bowling Green,Eastern Michigan,27,21,69,50
Eastern Michigan,Bowling Green,13,34,69,61
Bowling Green,Eastern Michigan,0,24,55,66
Eastern Michigan,Bowling Green,38,28,68,58
Bowling Green,Eastern Michigan,13,10,64,64
Eastern Michigan,Bowling Green,7,13,51,73
Bowling Green,Eastern Michigan,10,7,56,74
Eastern Michigan,Bowling Green,10,31,54,67
Bowling Green,Eastern Michigan,14,10,63,60
Eastern Michigan,Bowling Green,23,9,70,59
Bowling Green,Eastern Michigan,20,13,56,69
Eastern Michigan,Bowling Green,7,10,66,60
Bowling Green,Eastern Michigan,10,14,60,58
Eastern Michigan,Bowling Green,24,24,67,64
Bowling Green,Eastern Michigan,26,6,63,64
Eastern Michigan,Bowling Green,13,19,65,71
Bowling Green,Eastern Michigan,7,24,62,65
Eastern Michigan,Bowling Green,17,14,70,58
Bowling Green,Eastern Michigan,12,17,68,58
Eastern Michigan,Bowling Green,9,13,61,62
Bowling Green,Eastern Michigan,17,45,55,70
Eastern Michigan,Bowling Green,16,13,65,63
Bowling Green,Eastern Michigan,0,27,56,69
Eastern Michigan,Bowling Green,27,14,64,65
Bowling Green,Eastern Michigan,7,31,67,61
Eastern Michigan,Bowling Green,9,27,67,66
Bowling Green,Eastern Michigan,27,21,69,53
Eastern Michigan,Bowling Green,20,17,63,67
Bowling Green,Eastern Michigan,17,21,67,58
Eastern Michigan,Bowling Green,3,27,46,74
Bowling Green,Eastern Michigan,20,0,76,45
Eastern Michigan,Bowling Green,24,13,52,69
Bowling Green,Eastern Michigan,7,24,67,63
Eastern Michigan,Bowling Green,45,23,71,52
Bowling Green,Eastern Michigan,16,0,65,55
Eastern Michigan,Bowling Green,17,21,79,58
Bowling Green,Eastern Michigan,10,17,66,56
Eastern Michigan,Bowling Green,10,16,70,54
Bowling Green,Eastern Michigan,17,14,62,65
Eastern Michigan,Bowling Green,7,14,60,67
Bowling Green,Eastern Michigan,17,41,62,68
Eastern Michigan,Bowling Green,21,35,67,64
Bowling Green,Eastern Michigan,45,14,68,48
Eastern Michigan,Bowling Green,24,21,57,73
Bowling Green,Eastern Michigan,13,14,66,64
Eastern Michigan,Bowling Green,17,10,62,59
Bowling Green,Eastern Michigan,13,17,81,47
Eastern Michigan,Bowling Green,28,20,70,56
Bowling Green,Eastern Michigan,13,21,62,67
Eastern Michigan,Bowling Green,31,10,64,60
Bowling Green,Eastern Michigan,20,17,61,67
Eastern Michigan,Bowling Green,13,7,54,76
Bowling Green,Eastern Michigan,17,10,57,69
Eastern Michigan,Bowling Green,21,28,60,63
Bowling Green,Eastern Michigan,7,23,56,70
Eastern Michigan,Bowling Green,14,34,61,64
Bowling Green,Eastern Michigan,12,27,67,59
Eastern Michigan,Bowling Green,19,7,73,58
Bowling Green,Eastern Michigan,20,14,58,61
Eastern Michigan,Bowling Green,27,20,77,50
Bowling Green,Eastern Michigan,27,24,73,60
Eastern Michigan,Bowling Green,13,19,57,69
Bowling Green,Eastern Michigan,28,23,64,64
Eastern Michigan,Bowling Green,10,21,75,53
Bowling Green,Eastern Michigan,23,0,72,52
Eastern Michigan,Bowling Green,27,10,73,51
Bowling Green,Eastern Michigan,14,24,63,66
Eastern Michigan,Bowling Green,24,3,70,59
Bowling Green,Eastern Michigan,20,7,66,54
Eastern Michigan,Bowling Green,17,21,72,51
Bowling Green,Eastern Michigan,20,13,69,58
Eastern Michigan,Bowling Green,10,22,59,70
Bowling Green,Eastern Michigan,0,41,50,73
Eastern Michigan,Bowling Green,19,14,73,54
Bowling Green,Eastern Michigan,13,27,63,57
Eastern Michigan,Bowling Green,3,17,63,60
Bowling Green,Eastern Michigan,17,20,60,65
Eastern Michigan,Bowling Green,7,31,50,79
Bowling Green,Eastern Michigan,20,21,74,51
Eastern Michigan,Bowling Green,20,21,78,57
Bowling Green,Eastern Michigan,21,37,56,71
Eastern Michigan,Bowling Green,28,17,61,62
Bowling Green,Eastern Michigan,35,10,69,54
Eastern Michigan,Bowling Green,17,10,73,59
Bowling Green,Eastern Michigan,31,3,64,62
Eastern Michigan,Bowling Green,38,10,75,53
Bowling Green,Eastern Michigan,31,17,76,58
Eastern Michigan,Bowling Green,31,13,70,59
Bowling Green,Eastern Michigan,16,17,80,41
Eastern Michigan,Bowling Green,13,24,67,59
Bowling Green,Eastern Michigan,20,24,70,54
Eastern Michigan,Bowling Green,41,3,85,49
Bowling Green,Eastern Michigan,31,10,78,54
Eastern Michigan,Bowling Green,24,3,71,58
Bowling Green,Eastern Michigan,19,10,73,50
Eastern Michigan,Bowling Green,21,21,84,54
Bowling Green,Eastern Michigan,17,3,71,53
Eastern Michigan,Bowling Green,14,21,61,63
Bowling Green,Eastern Michigan,35,14,60,61
Eastern Michigan,Bowling Green,28,27,62,63
Bowling Green,Eastern Michigan,21,10,70,62
Eastern Michigan,Bowling Green,20,0,66,55
Bowling Green,Eastern Michigan,20,7,71,57
Eastern Michigan,Bowling Green,27,14,69,53
Bowling Green,Eastern Michigan,31,10,66,62
Eastern Michigan,Bowling Green,10,3,67,61
Bowling Green,Eastern Michigan,23,14,69,59
Eastern Michigan,Bowling Green,10,0,66,60
Bowling Green,Eastern Michigan,3,20,66,57
Eastern Michigan,Bowling Green,24,21,57,67
Bowling Green,Eastern Michigan,24,13,65,62
Eastern Michigan,Bowling Green,24,28,82,52
Bowling Green,Eastern Michigan,19,17,70,57
Eastern Michigan,Bowling Green,31,14,72,66
Bowling Green,Eastern Michigan,17,31,65,62
Eastern Michigan,Bowling Green,24,24,66,65
Bowling Green,Eastern Michigan,20,14,67,60
Eastern Michigan,Bowling Green,7,38,54,73
Bowling Green,Eastern Michigan,17,13,63,62
Eastern Michigan,Bowling Green,20,17,61,70
Bowling Green,Eastern Michigan,20,24,67,60
Eastern Michigan,Bowling Green,23,14,69,57
Bowling Green,Eastern Michigan,10,17,56,62
Eastern Michigan,Bowling Green,26,14,71,52
Bowling Green,Eastern Michigan,24,10,63,59
Eastern Michigan,Bowling Green,42,10,69,50
Bowling Green,Eastern Michigan,14,20,69,59
Eastern Michigan,Bowling Green,35,20,57,70
Bowling Green,Eastern Michigan,13,21,58,64
Eastern Michigan,Bowling Green,3,10,47,72
Bowling Green,Eastern Michigan,21,6,69,57
Eastern Michigan,Bowling Green,6,21,53,71
Bowling Green,Eastern Michigan,13,45,78,59
Eastern Michigan,Bowling Green,21,17,79,53
Bowling Green,Eastern Michigan,45,13,71,61
Eastern Michigan,Bowling Green,7,20,62,57
Bowling Green,Eastern Michigan,12,14,71,48
Eastern Michigan,Bowling Green,34,28,59,65
Bowling Green,Eastern Michigan,28,24,46,86
Eastern Michigan,Bowling Green,17,28,60,69
Bowling Green,Eastern Michigan,24,10,71,56
Eastern Michigan,Bowling Green,7,27,57,72
Bowling Green,Eastern Michigan,27,10,79,47
Eastern Michigan,Bowling Green,28,13,76,61
Bowling Green,Eastern Michigan,14,10,68,52
Eastern Michigan,Bowling Green,10,27,66,64
Bowling Green,Eastern Michigan,14,17,60,62
Eastern Michigan,Bowling Green,35,10,73,53
Bowling Green,Eastern Michigan,16,13,63,63
Eastern Michigan,Bowling Green,21,21,68,60
Bowling Green,Eastern Michigan,27,7,63,65
Eastern Michigan,Bowling Green,13,17,78,47
Bowling Green,Eastern Michigan,24,20,70,58
Eastern Michigan,Bowling Green,13,10,63,59
Bowling Green,Eastern Michigan,10,14,71,50
Eastern Michigan,Bowling Green,0,27,59,69
Bowling Green,Eastern Michigan,3,35,60,63
Eastern Michigan,Bowling Green,24,13,49,73
Bowling Green,Eastern Michigan,27,31,61,71
Eastern Michigan,Bowling Green,21,28,54,65
Bowling Green,Eastern Michigan,16,24,66,58
Eastern Michigan,Bowling Green,17,16,62,64
Bowling Green,Eastern Michigan,27,10,73,54
Eastern Michigan,Bowling Green,20,13,67,63
Bowling Green,Eastern Michigan,14,10,56,71
