team,opp,pts,opp_pts,plays,opp_plays
Iowa,Oregon,9,7,54,54
Oregon,Iowa,7,31,42,64
Iowa,Oregon,17,3,60,56
Oregon,Iowa,7,34,46,63
Iowa,Oregon,28,17,58,55
Oregon,Iowa,14,17,57,54
Iowa,Oregon,14,23,52,62
Oregon,Iowa,0,17,60,58
Iowa,Oregon,6,14,57,53
Oregon,Iowa,28,14,62,53
Iowa,Oregon,0,21,50,61
Oregon,Iowa,17,7,53,59
Iowa,Oregon,23,7,59,62
Oregon,Iowa,17,21,68,52
Iowa,Oregon,17,20,76,46
Oregon,Iowa,33,10,67,53
Iowa,Oregon,24,6,60,59
Oregon,Iowa,10,7,64,50
Iowa,Oregon,7,14,51,64
Oregon,Iowa,33,3,71,44
Iowa,Oregon,29,21,54,52
Oregon,Iowa,24,28,63,52
Iowa,Oregon,28,7,55,60
Oregon,Iowa,14,13,57,58
Iowa,Oregon,6,10,61,45
Oregon,Iowa,21,17,55,58
Iowa,Oregon,27,6,62,56
Oregon,Iowa,3,10,64,51
Iowa,Oregon,7,19,49,64
Oregon,Iowa,28,14,53,58
Iowa,Oregon,17,17,58,57
Oregon,Iowa,14,24,51,62
Iowa,Oregon,23,14,62,50
Oregon,Iowa,24,0,55,56
Iowa,Oregon,14,27,61,66
Oregon,Iowa,27,10,65,52
Iowa,Oregon,3,23,53,63
Oregon,Iowa,17,28,56,58
Iowa,Oregon,10,20,58,57
Oregon,Iowa,10,16,58,61
Iowa,Oregon,14,3,52,68
Oregon,Iowa,0,21,60,56
Iowa,Oregon,14,21,68,53
Oregon,Iowa,17,17,62,61
Iowa,Oregon,14,0,54,52
Oregon,Iowa,28,12,59,54
Iowa,Oregon,3,14,59,47
Oregon,Iowa,3,17,56,57
Iowa,Oregon,10,7,63,52
Oregon,Iowa,13,20,63,54
Iowa,Oregon,7,10,53,61
Oregon,Iowa,22,3,67,47
Iowa,Oregon,20,6,61,57
Oregon,Iowa,28,0,70,50
Iowa,Oregon,14,28,51,65
Oregon,Iowa,20,13,62,59
Iowa,Oregon,14,24,57,60
Oregon,Iowa,17,0,64,48
Iowa,Oregon,14,17,53,66
Oregon,Iowa,13,10,62,63
Iowa,Oregon,9,17,62,52
Oregon,Iowa,24,17,60,57
Iowa,Oregon,7,27,49,72
Oregon,Iowa,16,21,62,56
Iowa,Oregon,7,7,60,53
Oregon,Iowa,19,17,67,51
Iowa,Oregon,10,14,58,55
Oregon,Iowa,10,6,52,58
Iowa,Oregon,0,31,40,74
Oregon,Iowa,33,3,74,48
Iowa,Oregon,13,3,59,54
Oregon,Iowa,17,3,60,52
Iowa,Oregon,17,30,62,53
Oregon,Iowa,7,24,59,56
Iowa,Oregon,0,21,60,52
Oregon,Iowa,14,7,59,52
Iowa,Oregon,24,10,60,52
Oregon,Iowa,16,6,58,56
Iowa,Oregon,10,16,57,52
Oregon,Iowa,16,3,56,57
Iowa,Oregon,21,13,55,59
Oregon,Iowa,24,13,62,53
Iowa,Oregon,7,3,60,46
Oregon,Iowa,7,21,65,53
Iowa,Oregon,21,20,52,65
Oregon,Iowa,7,21,50,62
Iowa,Oregon,3,21,52,65
Oregon,Iowa,7,6,48,60
Iowa,Oregon,10,10,55,56
Oregon,Iowa,16,0,55,58
Iowa,Oregon,35,14,58,58
Oregon,Iowa,17,10,50,58
Iowa,Oregon,3,24,60,55
Oregon,Iowa,13,7,60,49
Iowa,Oregon,13,24,52,61
Oregon,Iowa,23,10,62,59
Iowa,Oregon,10,7,57,54
Oregon,Iowa,38,6,69,47
Iowa,Oregon,17,13,64,49
Oregon,Iowa,20,14,58,56
Iowa,Oregon,14,14,47,62
Oregon,Iowa,17,14,52,64
Iowa,Oregon,14,28,57,57
Oregon,Iowa,21,0,62,51
Iowa,Oregon,14,17,55,59
Oregon,Iowa,14,17,62,54
Iowa,Oregon,14,14,61,51
Oregon,Iowa,13,14,53,58
Iowa,Oregon,3,21,62,50
Oregon,Iowa,10,20,63,52
Iowa,Oregon,6,13,54,55
Oregon,Iowa,31,3,65,53
Iowa,Oregon,7,20,56,64
Oregon,Iowa,16,28,59,61
Iowa,Oregon,10,17,60,46
Oregon,Iowa,24,7,56,59
Iowa,Oregon,17,17,67,48
Oregon,Iowa,20,3,59,56
Iowa,Oregon,17,14,54,60
Oregon,Iowa,6,17,60,57
Iowa,Oregon,21,31,55,61
Oregon,Iowa,31,20,62,57
Iowa,Oregon,17,7,59,50
Oregon,Iowa,6,17,60,58
Iowa,Oregon,17,16,47,78
Oregon,Iowa,13,10,62,54
Iowa,Oregon,14,20,53,63
Oregon,Iowa,3,17,69,46
Iowa,Oregon,3,13,55,61
Oregon,Iowa,10,14,64,51
Iowa,Oregon,24,31,62,56
Oregon,Iowa,17,17,53,59
Iowa,Oregon,10,17,62,53
Oregon,Iowa,20,0,66,50
Iowa,Oregon,13,3,61,47
Oregon,Iowa,18,14,71,47
Iowa,Oregon,27,3,63,51
Oregon,Iowa,3,13,53,59
Iowa,Oregon,38,0,66,49
Oregon,Iowa,27,3,59,57
Iowa,Oregon,7,16,45,73
Oregon,Iowa,17,17,58,60
Iowa,Oregon,3,3,51,59
Oregon,Iowa,14,17,52,60
Iowa,Oregon,17,14,56,54
Oregon,Iowa,7,28,57,61
Iowa,Oregon,3,28,59,54
Oregon,Iowa,16,7,70,55
Iowa,Oregon,21,24,55,61
Oregon,Iowa,17,21,66,53
Iowa,Oregon,16,3,58,58
Oregon,Iowa,7,7,49,62
Iowa,Oregon,31,17,69,53
Oregon,Iowa,6,3,59,56
Iowa,Oregon,17,10,64,51
Oregon,Iowa,24,10,55,60
Iowa,Oregon,10,24,71,44
Oregon,Iowa,17,10,65,52
Iowa,Oregon,0,20,53,67
Oregon,Iowa,13,16,67,53
Iowa,Oregon,24,7,72,40
Oregon,Iowa,27,0,61,54
Iowa,Oregon,10,14,64,53
Oregon,Iowa,30,0,69,52
Iowa,Oregon,14,13,55,63
Oregon,Iowa,17,0,54,58
Iowa,Oregon,27,7,70,47
Oregon,Iowa,21,17,51,61
Iowa,Oregon,7,38,54,60
Oregon,Iowa,10,10,61,54
Iowa,Oregon,7,9,58,52
