team,opp,pts,opp_pts,plays,opp_plays
North Carolina,Stanford,13,3,62,54
Stanford,North Carolina,9,14,80,45
North Carolina,Stanford,6,3,59,56
Stanford,North Carolina,10,20,56,62
North Carolina,Stanford,14,24,62,59
Stanford,North Carolina,0,23,51,63
North Carolina,Stanford,23,3,65,55
Stanford,North Carolina,3,23,65,55
North Carolina,Stanford,17,13,61,56
Stanford,North Carolina,10,7,47,68
North Carolina,Stanford,17,10,60,63
Stanford,North Carolina,27,30,63,58
North Carolina,Stanford,14,30,54,77
Stanford,North Carolina,14,17,53,63
North Carolina,Stanford,23,7,70,48
Stanford,North Carolina,10,35,56,65
North Carolina,Stanford,16,7,67,51
Stanford,North Carolina,3,3,59,55
North Carolina,Stanford,21,21,63,65
Stanford,North Carolina,13,3,66,54
North Carolina,Stanford,7,21,54,64
Stanford,North Carolina,10,20,64,55
North Carolina,Stanford,14,35,58,65
Stanford,North Carolina,7,17,50,67
North Carolina,Stanford,35,3,65,50
Stanford,North Carolina,24,13,63,57
North Carolina,Stanford,14,21,57,57
Stanford,North Carolina,17,14,60,60
North Carolina,Stanford,36,3,67,53
Stanford,North Carolina,7,20,59,63
North Carolina,Stanford,14,6,57,59
Stanford,North Carolina,7,21,59,56
North Carolina,Stanford,20,3,67,48
Stanford,North Carolina,3,10,71,63
North Carolina,Stanford,10,13,63,55
Stanford,North Carolina,3,30,62,61
North Carolina,Stanford,27,21,59,64
Stanford,North Carolina,7,10,60,57
North Carolina,Stanford,23,17,70,54
Stanford,North Carolina,6,31,58,55
North Carolina,Stanford,24,3,66,60
Stanford,North Carolina,21,10,60,62
North Carolina,Stanford,27,21,55,73
Stanford,North Carolina,10,17,56,63
North Carolina,Stanford,14,10,56,58
Stanford,North Carolina,10,42,65,64
North Carolina,Stanford,14,0,68,57
Stanford,North Carolina,17,17,67,54
North Carolina,Stanford,13,24,59,70
Stanford,North Carolina,27,10,60,57
North Carolina,Stanford,13,22,59,62
Stanford,North Carolina,13,10,55,71
North Carolina,Stanford,24,10,48,72
Stanford,North Carolina,21,17,57,68
North Carolina,Stanford,31,0,70,50
Stanford,North Carolina,3,10,61,59
North Carolina,Stanford,13,7,69,52
Stanford,North Carolina,13,21,56,68
North Carolina,Stanford,31,13,65,59
Stanford,North Carolina,17,24,48,77
North Carolina,Stanford,7,10,57,66
Stanford,North Carolina,17,28,59,63
North Carolina,Stanford,14,6,54,71
Stanford,North Carolina,7,14,54,57
North Carolina,Stanford,10,10,59,58
Stanford,North Carolina,6,3,64,49
North Carolina,Stanford,6,20,57,69
Stanford,North Carolina,9,20,61,61
North Carolina,Stanford,24,13,64,59
Stanford,North Carolina,14,34,52,63
North Carolina,Stanford,21,0,71,44
Stanford,North Carolina,0,28,62,59
North Carolina,Stanford,10,10,59,56
Stanford,North Carolina,14,10,53,60
North Carolina,Stanford,30,10,63,64
Stanford,North Carolina,6,34,58,60
North Carolina,Stanford,6,10,58,63
Stanford,North Carolina,10,13,63,60
North Carolina,Stanford,6,10,60,56
Stanford,North Carolina,17,27,55,65
North Carolina,Stanford,17,7,67,50
Stanford,North Carolina,7,10,66,56
North Carolina,Stanford,13,20,57,60
Stanford,North Carolina,14,20,65,59
North Carolina,Stanford,24,10,58,59
Stanford,North Carolina,3,31,60,69
North Carolina,Stanford,23,21,63,59
Stanford,North Carolina,24,14,63,52
North Carolina,Stanford,17,3,60,65
Stanford,North Carolina,7,28,51,69
North Carolina,Stanford,7,16,60,58
Stanford,North Carolina,17,7,69,56
North Carolina,Stanford,16,14,72,43
Stanford,North Carolina,3,10,59,61
North Carolina,Stanford,7,3,62,68
Stanford,North Carolina,10,14,49,64
North Carolina,Stanford,17,24,59,65
Stanford,North Carolina,0,17,49,64
North Carolina,Stanford,10,17,67,56
Stanford,North Carolina,7,27,56,63
North Carolina,Stanford,7,0,64,59
Stanford,North Carolina,14,14,59,60
North Carolina,Stanford,10,6,59,62
Stanford,North Carolina,17,13,57,66
North Carolina,Stanford,3,27,57,63
Stanford,North Carolina,3,27,55,66
North Carolina,Stanford,14,27,59,61
Stanford,North Carolina,3,24,63,58
North Carolina,Stanford,28,10,66,50
Stanford,North Carolina,10,13,52,62
North Carolina,Stanford,31,14,56,58
Stanford,North Carolina,10,14,69,56
North Carolina,Stanford,27,17,69,62
Stanford,North Carolina,7,28,57,64
North Carolina,Stanford,0,7,62,55
Stanford,North Carolina,31,6,59,66
North Carolina,Stanford,10,3,61,60
Stanford,North Carolina,27,7,70,50
North Carolina,Stanford,21,21,61,67
Stanford,North Carolina,10,34,57,68
North Carolina,Stanford,14,14,53,69
Stanford,North Carolina,10,27,49,73
North Carolina,Stanford,10,14,61,51
Stanford,North Carolina,10,30,59,67
North Carolina,Stanford,21,7,66,49
Stanford,North Carolina,10,10,58,62
North Carolina,Stanford,10,17,50,68
Stanford,North Carolina,21,14,74,54
North Carolina,Stanford,31,10,70,48
Stanford,North Carolina,14,14,60,56
North Carolina,Stanford,17,17,59,54
Stanford,North Carolina,0,24,45,69
North Carolina,Stanford,3,10,66,46
Stanford,North Carolina,13,10,50,64
North Carolina,Stanford,16,10,54,68
Stanford,North Carolina,17,3,60,57
North Carolina,Stanford,23,0,65,53
Stanford,North Carolina,16,17,70,53
North Carolina,Stanford,17,7,61,55
Stanford,North Carolina,7,28,54,60
North Carolina,Stanford,10,10,57,64
Stanford,North Carolina,7,34,53,67
North Carolina,Stanford,21,21,62,60
Stanford,North Carolina,3,45,48,67
North Carolina,Stanford,14,10,51,73
Stanford,North Carolina,3,13,59,61
North Carolina,Stanford,24,3,72,49
Stanford,North Carolina,17,3,58,68
North Carolina,Stanford,30,10,62,52
Stanford,North Carolina,14,9,63,66
North Carolina,Stanford,24,16,61,67
Stanford,North Carolina,10,21,60,61
North Carolina,Stanford,14,23,56,67
Stanford,North Carolina,7,30,50,65
North Carolina,Stanford,10,31,64,57
Stanford,North Carolina,9,17,70,49
North Carolina,Stanford,24,17,66,60
Stanford,North Carolina,3,38,54,64
North Carolina,Stanford,9,9,63,63
Stanford,North Carolina,14,24,56,62
North Carolina,Stanford,20,7,63,58
Stanford,North Carolina,17,3,64,55
North Carolina,Stanford,17,13,59,64
Stanford,North Carolina,17,27,70,52
North Carolina,Stanford,16,7,62,62
Stanford,North Carolina,17,6,63,56
North Carolina,Stanford,10,9,52,66
Stanford,North Carolina,3,16,56,68
North Carolina,Stanford,22,7,70,50
Stanford,North Carolina,0,20,51,70
North Carolina,Stanford,31,3,65,57
Stanford,North Carolina,14,6,60,59
North Carolina,Stanford,35,7,65,55
Stanford,North Carolina,6,7,67,50
North Carolina,Stanford,10,21,66,54
Stanford,North Carolina,0,20,55,66
North Carolina,Stanford,7,13,67,57
Stanford,North Carolina,7,28,59,66
North Carolina,Stanford,24,17,70,53
Stanford,North Carolina,13,13,64,57
North Carolina,Stanford,20,7,67,54
Stanford,North Carolina,0,13,62,56
North Carolina,Stanford,9,14,79,43
Stanford,North Carolina,3,31,61,55
North Carolina,Stanford,21,0,68,47
Stanford,North Carolina,14,14,62,61
North Carolina,Stanford,24,16,68,60
Stanford,North Carolina,12,20,67,64
North Carolina,Stanford,21,6,61,62
Stanford,North Carolina,14,17,77,51
North Carolina,Stanford,3,10,62,60
Stanford,North Carolina,14,20,58,71
North Carolina,Stanford,17,13,63,66
Stanford,North Carolina,7,17,58,57
North Carolina,Stanford,9,20,62,57
Stanford,North Carolina,10,24,57,65
North Carolina,Stanford,21,6,54,72
Stanford,North Carolina,6,20,58,67
North Carolina,Stanford,6,10,72,49
Stanford,North Carolina,6,23,60,58
North Carolina,Stanford,17,20,51,69
Stanford,North Carolina,10,20,58,61
North Carolina,Stanford,17,3,70,43
Stanford,North Carolina,27,7,68,56
North Carolina,Stanford,27,17,59,58
Stanford,North Carolina,20,20,69,52
North Carolina,Stanford,24,3,56,59
Stanford,North Carolina,3,21,57,64
North Carolina,Stanford,0,17,51,69
Stanford,North Carolina,10,21,49,70
North Carolina,Stanford,16,10,68,54
Stanford,North Carolina,13,10,57,58
North Carolina,Stanford,6,20,55,67
Stanford,North Carolina,13,9,64,63
North Carolina,Stanford,21,3,74,52
Stanford,North Carolina,13,6,65,61
North Carolina,Stanford,17,17,68,55
Stanford,North Carolina,10,28,65,55
North Carolina,Stanford,34,6,69,53
Stanford,North Carolina,3,13,52,60
North Carolina,Stanford,7,10,60,60
Stanford,North Carolina,31,0,66,66
North Carolina,Stanford,7,7,67,46
Stanford,North Carolina,17,23,60,62
North Carolina,Stanford,9,16,60,58
Stanford,North Carolina,7,24,62,64
North Carolina,Stanford,7,21,61,59
Stanford,North Carolina,23,7,64,49
North Carolina,Stanford,21,13,65,57
Stanford,North Carolina,24,10,69,53
North Carolina,Stanford,13,3,59,65
Stanford,North Carolina,14,20,62,55
North Carolina,Stanford,10,3,57,63
Stanford,North Carolina,14,17,59,55
North Carolina,Stanford,17,3,66,51
Stanford,North Carolina,27,0,57,59
North Carolina,Stanford,13,3,64,53
Stanford,North Carolina,6,13,59,63
North Carolina,Stanford,16,7,65,55
Stanford,North Carolina,17,20,63,61
North Carolina,Stanford,24,7,70,53
Stanford,North Carolina,14,13,60,65
North Carolina,Stanford,13,10,61,56
Stanford,North Carolina,24,0,74,48
North Carolina,Stanford,10,21,62,55
Stanford,North Carolina,10,27,71,61
North Carolina,Stanford,10,28,64,51
Stanford,North Carolina,14,16,56,65
North Carolina,Stanford,17,14,74,51
Stanford,North Carolina,20,14,58,63
North Carolina,Stanford,31,6,58,60
Stanford,North Carolina,13,17,68,48
North Carolina,Stanford,13,12,61,60
Stanford,North Carolina,7,14,64,52
North Carolina,Stanford,34,6,65,55
Stanford,North Carolina,14,10,59,62
North Carolina,Stanford,14,10,54,64
Stanford,North Carolina,23,10,62,65
North Carolina,Stanford,31,3,68,53
Stanford,North Carolina,10,13,60,62
North Carolina,Stanford,21,7,63,61
Stanford,North Carolina,10,14,64,54
North Carolina,Stanford,20,17,62,57
Stanford,North Carolina,17,31,55,69
North Carolina,Stanford,28,3,71,46
Stanford,North Carolina,3,17,61,62
North Carolina,Stanford,24,13,70,48
Stanford,North Carolina,6,27,59,57
North Carolina,Stanford,14,21,53,66
Stanford,North Carolina,24,6,59,60
North Carolina,Stanford,17,17,67,53
Stanford,North Carolina,28,17,57,65
North Carolina,Stanford,21,7,65,52
Stanford,North Carolina,27,24,52,69
North Carolina,Stanford,13,17,60,64
Stanford,North Carolina,41,0,76,47
North Carolina,Stanford,0,13,45,75
Stanford,North Carolina,24,7,73,47
North Carolina,Stanford,20,7,62,57
Stanford,North Carolina,17,10,61,58
North Carolina,Stanford,9,6,52,69
Stanford,North Carolina,21,14,62,58
North Carolina,Stanford,17,10,63,52
Stanford,North Carolina,9,3,62,54
North Carolina,Stanford,20,3,62,49
Stanford,North Carolina,17,14,58,65
North Carolina,Stanford,13,7,67,48
Stanford,North Carolina,0,13,51,66
North Carolina,Stanford,16,3,75,43
Stanford,North Carolina,20,0,69,50
North Carolina,Stanford,3,24,55,66
Stanford,North Carolina,24,7,65,61
North Carolina,Stanford,28,13,66,57
Stanford,North Carolina,27,21,73,57
North Carolina,Stanford,10,0,66,57
Stanford,North Carolina,14,35,54,64
North Carolina,Stanford,27,0,62,55
Stanford,North Carolina,6,31,65,64
North Carolina,Stanford,7,13,60,64
Stanford,North Carolina,0,10,65,60
North Carolina,Stanford,44,0,66,53
Stanford,North Carolina,7,31,54,67
North Carolina,Stanford,14,10,64,57
Stanford,North Carolina,3,34,49,73
North Carolina,Stanford,17,17,61,53
Stanford,North Carolina,13,6,55,66
North Carolina,Stanford,31,0,61,59
Stanford,North Carolina,7,17,54,68
North Carolina,Stanford,28,7,70,48
Stanford,North Carolina,3,17,62,63
North Carolina,Stanford,7,3,55,59
Stanford,North Carolina,14,20,52,67
North Carolina,Stanford,28,16,60,66
Stanford,North Carolina,20,3,68,56
North Carolina,Stanford,17,10,64,57
Stanford,North Carolina,0,14,61,61
North Carolina,Stanford,34,10,66,59
Stanford,North Carolina,3,31,59,61
North Carolina,Stanford,24,7,72,56
Stanford,North Carolina,7,27,56,63
North Carolina,Stanford,10,14,57,63
Stanford,North Carolina,14,10,61,62
North Carolina,Stanford,16,0,64,56
Stanford,North Carolina,0,26,53,64
North Carolina,Stanford,38,3,72,49
Stanford,North Carolina,10,10,64,58
North Carolina,Stanford,17,3,64,60
Stanford,North Carolina,6,17,59,63
North Carolina,Stanford,17,24,60,63
Stanford,North Carolina,6,34,62,62
North Carolina,Stanford,12,3,69,50
Stanford,North Carolina,17,13,74,49
North Carolina,Stanford,17,30,61,68
Stanford,North Carolina,20,0,61,57
North Carolina,Stanford,10,14,68,47
Stanford,North Carolina,9,21,65,59
North Carolina,Stanford,31,10,68,55
Stanford,North Carolina,3,28,65,59
North Carolina,Stanford,14,6,55,60
Stanford,North Carolina,17,17,59,58
North Carolina,Stanford,27,3,63,58
Stanford,North Carolina,3,14,76,57
North Carolina,Stanford,13,0,64,55
Stanford,North Carolina,7,38,62,70
North Carolina,Stanford,17,0,68,45
Stanford,North Carolina,0,36,54,64
North Carolina,Stanford,31,3,66,49
Stanford,North Carolina,21,6,52,65
North Carolina,Stanford,14,17,56,58
Stanford,North Carolina,7,16,59,64
North Carolina,Stanford,38,10,68,50
Stanford,North Carolina,28,3,59,65
North Carolina,Stanford,42,0,72,50
Stanford,North Carolina,14,14,62,54
North Carolina,Stanford,34,0,64,52
Stanford,North Carolina,3,0,63,54
North Carolina,Stanford,20,14,58,64
Stanford,North Carolina,21,14,56,66
North Carolina,Stanford,28,20,58,62
Stanford,North Carolina,10,13,64,61
North Carolina,Stanford,3,16,53,62
Stanford,North Carolina,0,20,42,71
North Carolina,Stanford,21,7,61,56
Stanford,North Carolina,24,21,64,59
North Carolina,Stanford,21,17,73,48
Stanford,North Carolina,0,30,50,72
North Carolina,Stanford,14,6,44,75
Stanford,North Carolina,3,14,51,59
North Carolina,Stanford,14,14,62,63
Stanford,North Carolina,3,13,59,61
North Carolina,Stanford,20,6,54,69
Stanford,North Carolina,17,24,55,68
North Carolina,Stanford,13,14,67,54
Stanford,North Carolina,13,30,70,52
North Carolina,Stanford,13,13,65,57
Stanford,North Carolina,17,37,51,72
North Carolina,Stanford,13,17,65,51
Stanford,North Carolina,7,24,69,58
North Carolina,Stanford,23,9,66,57
Stanford,North Carolina,7,20,47,69
North Carolina,Stanford,6,10,61,59
Stanford,North Carolina,27,14,60,62
North Carolina,Stanford,30,3,67,49
Stanford,North Carolina,3,24,56,64
North Carolina,Stanford,14,7,59,54
Stanford,North Carolina,7,23,50,66
North Carolina,Stanford,10,3,55,60
Stanford,North Carolina,7,13,62,61
North Carolina,Stanford,14,14,58,64
Stanford,North Carolina,30,0,68,47
North Carolina,Stanford,3,17,63,57
Stanford,North Carolina,17,7,58,60
North Carolina,Stanford,10,10,63,48
Stanford,North Carolina,7,10,55,68
North Carolina,Stanford,35,13,65,55
Stanford,North Carolina,10,31,68,51
North Carolina,Stanford,24,16,51,67
Stanford,North Carolina,10,31,54,65
North Carolina,Stanford,20,13,66,55
Stanford,North Carolina,10,14,61,60
North Carolina,Stanford,16,3,64,55
Stanford,North Carolina,14,35,52,70
North Carolina,Stanford,28,34,59,67
Stanford,North Carolina,0,31,49,70
North Carolina,Stanford,14,3,64,48
Stanford,North Carolina,20,17,76,50
North Carolina,Stanford,48,0,74,43
