team,opp,pts,opp_pts,plays,opp_plays
Oregon State,Sam Houston,41,7,81,34
Sam Houston,Oregon State,17,27,62,58
Oregon State,Sam Houston,24,14,73,50
Sam Houston,Oregon State,10,35,43,73
Oregon State,Sam Houston,23,27,64,60
Sam Houston,Oregon State,24,3,66,64
Oregon State,Sam Houston,23,17,57,70
Sam Houston,Oregon State,14,24,72,52
Oregon State,Sam Houston,17,7,53,65
Sam Houston,Oregon State,20,24,66,60
Oregon State,Sam Houston,34,10,64,53
Sam Houston,Oregon State,14,17,60,59
Oregon State,Sam Houston,24,14,67,51
Sam Houston,Oregon State,16,17,70,51
Oregon State,Sam Houston,20,14,74,49
Sam Houston,Oregon State,14,24,65,60
Oregon State,Sam Houston,29,0,66,61
Sam Houston,Oregon State,7,52,68,63
Oregon State,Sam Houston,27,17,67,49
Sam Houston,Oregon State,20,21,73,57
Oregon State,Sam Houston,24,7,62,54
Sam Houston,Oregon State,21,17,59,63
Oregon State,Sam Houston,38,13,57,65
Sam Houston,Oregon State,27,24,68,58
Oregon State,Sam Houston,28,3,70,51
Sam Houston,Oregon State,13,41,63,62
Oregon State,Sam Houston,23,6,62,58
Sam Houston,Oregon State,14,20,61,57
Oregon State,Sam Houston,34,10,74,49
Sam Houston,Oregon State,13,31,52,65
Oregon State,Sam Houston,41,10,67,55
Sam Houston,Oregon State,9,20,64,54
Oregon State,Sam Houston,20,20,58,65
Sam Houston,Oregon State,10,16,62,64
Oregon State,Sam Houston,38,10,70,54
Sam Houston,Oregon State,3,27,53,69
Oregon State,Sam Houston,13,14,69,55
Sam Houston,Oregon State,13,23,63,57
Oregon State,Sam Houston,28,27,68,68
Sam Houston,Oregon State,7,21,54,66
Oregon State,Sam Houston,19,10,66,59
Sam Houston,Oregon State,7,35,57,61
Oregon State,Sam Houston,28,14,67,57
Sam Houston,Oregon State,9,10,68,56
Oregon State,Sam Houston,34,17,66,62
Sam Houston,Oregon State,21,17,71,63
Oregon State,Sam Houston,20,24,61,59
Sam Houston,Oregon State,9,24,61,61
Oregon State,Sam Houston,31,20,58,67
Sam Houston,Oregon State,10,21,53,63
Oregon State,Sam Houston,21,13,64,48
Sam Houston,Oregon State,17,17,63,56
Oregon State,Sam Houston,31,14,66,57
Sam Houston,Oregon State,14,28,53,62
Oregon State,Sam Houston,21,14,60,66
Sam Houston,Oregon State,10,34,46,70
Oregon State,Sam Houston,35,7,60,61
Sam Houston,Oregon State,13,24,67,57
Oregon State,Sam Houston,34,14,71,57
Sam Houston,Oregon State,28,20,56,69
Oregon State,Sam Houston,31,9,57,67
Sam Houston,Oregon State,17,17,61,61
Oregon State,Sam Houston,17,14,61,62
Sam Houston,Oregon State,16,20,67,53
Oregon State,Sam Houston,41,17,62,58
Sam Houston,Oregon State,0,10,54,62
Oregon State,Sam Houston,30,7,62,60
Sam Houston,Oregon State,3,24,50,62
Oregon State,Sam Houston,31,21,59,72
Sam Houston,Oregon State,10,42,49,70
