team,opp,pts,opp_pts,plays,opp_plays
Rice,UAB,10,24,58,62
UAB,Rice,31,0,75,45
Rice,UAB,7,37,61,67
UAB,Rice,9,17,64,60
Rice,UAB,10,24,54,63
UAB,Rice,10,31,59,61
Rice,UAB,3,13,55,67
UAB,Rice,17,24,61,60
Rice,UAB,28,16,64,58
UAB,Rice,17,24,72,51
Rice,UAB,6,21,61,58
UAB,Rice,16,20,63,54
Rice,UAB,10,10,62,61
UAB,Rice,17,17,65,59
Rice,UAB,13,6,58,62
UAB,Rice,7,28,61,59
Rice,UAB,13,13,58,61
UAB,Rice,3,10,62,60
Rice,UAB,31,31,56,71
UAB,Rice,27,14,63,57
Rice,UAB,20,13,64,56
UAB,Rice,20,10,70,49
Rice,UAB,38,10,60,64
UAB,Rice,10,28,65,55
Rice,UAB,24,24,59,65
UAB,Rice,7,16,64,62
Rice,UAB,28,6,57,62
UAB,Rice,21,28,56,64
Rice,UAB,7,34,57,70
UAB,Rice,21,14,63,54
Rice,UAB,17,17,70,54
UAB,Rice,17,20,58,65
Rice,UAB,20,24,71,57
UAB,Rice,6,7,63,51
Rice,UAB,21,17,53,63
UAB,Rice,24,14,61,62
Rice,UAB,20,10,64,55
UAB,Rice,7,17,58,64
Rice,UAB,24,21,69,46
UAB,Rice,24,20,58,67
Rice,UAB,17,21,67,53
UAB,Rice,13,14,69,50
Rice,UAB,17,3,68,58
UAB,Rice,41,20,72,53
Rice,UAB,10,31,60,59
UAB,Rice,35,28,74,51
Rice,UAB,13,30,61,65
UAB,Rice,14,20,68,58
Rice,UAB,28,10,60,60
UAB,Rice,24,31,59,60
Rice,UAB,20,14,58,64
UAB,Rice,23,21,68,60
Rice,UAB,35,21,61,60
UAB,Rice,31,17,60,60
Rice,UAB,24,24,66,56
UAB,Rice,16,31,68,51
Rice,UAB,10,16,61,58
UAB,Rice,0,6,50,66
Rice,UAB,13,30,61,63
UAB,Rice,10,16,64,59
Rice,UAB,27,14,53,71
UAB,Rice,24,17,53,61
Rice,UAB,14,38,54,65
UAB,Rice,24,12,63,62
Rice,UAB,17,20,64,56
UAB,Rice,30,21,55,60
Rice,UAB,17,10,59,59
UAB,Rice,13,17,64,57
Rice,UAB,24,24,48,74
UAB,Rice,14,20,46,70
Rice,UAB,21,31,57,69
UAB,Rice,14,27,56,59
Rice,UAB,28,3,61,53
UAB,Rice,10,24,57,64
Rice,UAB,7,13,63,56
UAB,Rice,14,13,70,54
Rice,UAB,17,10,54,65
UAB,Rice,13,27,73,55
Rice,UAB,24,14,58,64
UAB,Rice,24,13,64,54
Rice,UAB,6,28,63,61
UAB,Rice,28,7,72,53
Rice,UAB,14,31,54,68
UAB,Rice,10,24,54,64
Rice,UAB,24,17,58,61
UAB,Rice,14,0,61,55
Rice,UAB,17,14,65,57
UAB,Rice,21,35,58,66
Rice,UAB,27,3,70,41
UAB,Rice,17,23,51,69
Rice,UAB,14,3,60,61
UAB,Rice,6,17,53,66
Rice,UAB,17,24,54,61
UAB,Rice,16,21,65,57
Rice,UAB,37,13,71,57
UAB,Rice,10,17,63,53
Rice,UAB,31,13,75,49
UAB,Rice,17,13,58,66
Rice,UAB,13,17,64,57
UAB,Rice,31,24,62,62
Rice,UAB,3,42,52,69
UAB,Rice,13,6,64,58
Rice,UAB,14,23,62,58
UAB,Rice,27,17,63,57
Rice,UAB,19,10,63,57
UAB,Rice,27,3,75,49
Rice,UAB,7,17,65,51
UAB,Rice,10,13,61,63
Rice,UAB,31,10,63,51
UAB,Rice,9,28,63,52
Rice,UAB,17,20,63,57
UAB,Rice,21,21,60,63
Rice,UAB,14,6,52,69
UAB,Rice,13,17,62,64
Rice,UAB,6,7,60,56
UAB,Rice,24,17,56,64
Rice,UAB,24,13,60,66
UAB,Rice,14,7,60,58
Rice,UAB,14,33,69,61
UAB,Rice,10,21,59,61
Rice,UAB,6,24,74,49
UAB,Rice,35,27,66,63
Rice,UAB,24,10,56,62
UAB,Rice,21,13,51,68
Rice,UAB,20,21,76,48
UAB,Rice,21,23,60,61
Rice,UAB,6,14,62,55
UAB,Rice,14,20,66,51
Rice,UAB,21,14,61,57
UAB,Rice,21,24,60,64
Rice,UAB,34,17,69,45
UAB,Rice,44,3,71,51
Rice,UAB,16,24,54,64
UAB,Rice,16,24,59,59
Rice,UAB,35,24,69,56
UAB,Rice,37,0,80,42
Rice,UAB,14,21,65,60
UAB,Rice,3,24,63,58
Rice,UAB,14,31,62,57
UAB,Rice,7,21,62,57
Rice,UAB,10,20,55,67
UAB,Rice,17,14,59,62
Rice,UAB,0,31,52,68
UAB,Rice,14,20,60,63
Rice,UAB,14,13,64,63
UAB,Rice,20,10,60,56
Rice,UAB,28,24,64,59
UAB,Rice,6,17,61,56
Rice,UAB,35,3,67,56
UAB,Rice,13,14,79,44
Rice,UAB,7,30,59,66
UAB,Rice,17,16,58,61
Rice,UAB,24,24,69,47
UAB,Rice,17,38,58,62
Rice,UAB,14,10,67,60
UAB,Rice,34,7,65,54
Rice,UAB,21,27,58,63
UAB,Rice,17,17,58,63
Rice,UAB,3,16,68,49
UAB,Rice,9,27,69,58
Rice,UAB,24,20,72,56
UAB,Rice,16,14,70,48
Rice,UAB,27,9,62,54
UAB,Rice,7,13,66,56
Rice,UAB,7,34,60,66
UAB,Rice,14,17,69,52
Rice,UAB,21,27,64,59
UAB,Rice,24,9,63,60
Rice,UAB,20,10,61,58
UAB,Rice,23,21,62,65
Rice,UAB,14,13,71,54
UAB,Rice,20,21,71,54
Rice,UAB,38,3,70,51
UAB,Rice,35,14,65,58
Rice,UAB,14,24,65,55
UAB,Rice,3,13,59,58
Rice,UAB,21,17,63,63
UAB,Rice,13,21,61,56
Rice,UAB,20,27,69,57
UAB,Rice,26,13,66,59
Rice,UAB,20,10,69,63
UAB,Rice,17,17,67,57
Rice,UAB,3,31,60,63
UAB,Rice,14,24,65,58
Rice,UAB,27,20,64,61
UAB,Rice,17,17,61,58
Rice,UAB,10,20,48,66
UAB,Rice,17,14,54,61
Rice,UAB,7,17,59,63
UAB,Rice,14,21,58,59
Rice,UAB,17,28,57,62
UAB,Rice,31,17,63,56
Rice,UAB,21,7,57,59
UAB,Rice,35,24,66,60
Rice,UAB,10,27,55,67
UAB,Rice,14,20,52,70
Rice,UAB,17,17,63,56
UAB,Rice,16,20,61,61
Rice,UAB,20,6,60,58
UAB,Rice,9,34,66,59
Rice,UAB,20,3,58,56
UAB,Rice,17,27,58,65
Rice,UAB,21,14,59,61
UAB,Rice,17,7,68,57
Rice,UAB,10,34,54,70
UAB,Rice,7,20,74,53
Rice,UAB,10,42,62,62
UAB,Rice,13,21,62,58
Rice,UAB,17,14,59,62
UAB,Rice,17,7,64,57
Rice,UAB,14,28,66,59
UAB,Rice,34,24,59,61
Rice,UAB,17,31,61,67
UAB,Rice,28,27,55,67
Rice,UAB,17,24,62,58
UAB,Rice,7,21,51,66
Rice,UAB,17,3,62,61
UAB,Rice,6,31,56,70
Rice,UAB,10,9,60,59
UAB,Rice,24,17,56,62
Rice,UAB,34,28,79,50
UAB,Rice,31,24,63,61
Rice,UAB,17,28,61,60
