team,opp,pts,opp_pts,plays,opp_plays
TCU,Iowa State,28,13,66,61
Iowa State,TCU,17,28,68,57
TCU,Iowa State,23,14,72,59
Iowa State,TCU,3,17,64,68
TCU,Iowa State,31,24,67,63
Iowa State,TCU,28,14,74,64
TCU,Iowa State,14,14,78,51
Iowa State,TCU,63,10,70,58
TCU,Iowa State,27,24,84,55
Iowa State,TCU,28,10,68,64
TCU,Iowa State,14,34,47,74
Iowa State,TCU,17,30,74,59
TCU,Iowa State,9,14,68,59
Iowa State,TCU,10,20,63,70
TCU,Iowa State,13,26,54,74
Iowa State,TCU,14,26,62,68
TCU,Iowa State,17,28,53,74
Iowa State,TCU,21,17,66,73
TCU,Iowa State,24,13,70,57
Iowa State,TCU,35,28,70,59
TCU,Iowa State,31,13,72,56
Iowa State,TCU,17,14,74,53
TCU,Iowa State,13,42,60,74
Iowa State,TCU,42,17,69,61
TCU,Iowa State,35,34,63,68
Iowa State,TCU,27,7,84,45
TCU,Iowa State,14,16,68,62
Iowa State,TCU,27,21,66,74
TCU,Iowa State,31,24,65,64
Iowa State,TCU,19,35,65,64
TCU,Iowa State,10,17,68,72
Iowa State,TCU,31,34,63,72
TCU,Iowa State,16,28,72,65
Iowa State,TCU,24,31,62,69
TCU,Iowa State,28,17,64,71
Iowa State,TCU,30,28,65,63
TCU,Iowa State,7,30,61,63
Iowa State,TCU,31,41,69,62
TCU,Iowa State,10,45,62,67
Iowa State,TCU,30,17,77,60
TCU,Iowa State,24,17,77,60
Iowa State,TCU,31,27,54,74
TCU,Iowa State,24,21,72,58
Iowa State,TCU,26,21,73,63
TCU,Iowa State,24,17,66,61
Iowa State,TCU,24,14,72,58
TCU,Iowa State,17,13,58,63
Iowa State,TCU,24,17,70,61
TCU,Iowa State,31,3,78,50
Iowa State,TCU,27,21,74,55
TCU,Iowa State,16,31,74,62
Iowa State,TCU,13,38,65,71
TCU,Iowa State,17,21,61,67
Iowa State,TCU,17,10,70,58
TCU,Iowa State,35,35,66,65
Iowa State,TCU,21,23,71,60
TCU,Iowa State,24,31,86,56
Iowa State,TCU,30,17,60,68
TCU,Iowa State,21,17,55,74
Iowa State,TCU,6,41,61,68
TCU,Iowa State,24,35,67,63
Iowa State,TCU,7,23,58,67
TCU,Iowa State,30,28,75,64
Iowa State,TCU,24,24,65,62
TCU,Iowa State,42,20,71,68
Iowa State,TCU,12,17,76,61
TCU,Iowa State,7,24,50,75
Iowa State,TCU,17,6,73,54
TCU,Iowa State,31,31,60,70
Iowa State,TCU,10,14,74,54
TCU,Iowa State,20,7,65,63
Iowa State,TCU,21,3,69,57
TCU,Iowa State,20,17,70,58
Iowa State,TCU,24,31,67,62
TCU,Iowa State,31,24,54,78
Iowa State,TCU,30,21,83,60
TCU,Iowa State,21,24,66,72
Iowa State,TCU,14,13,64,62
TCU,Iowa State,30,24,63,67
Iowa State,TCU,14,24,57,67
TCU,Iowa State,0,24,50,77
Iowa State,TCU,35,31,62,78
TCU,Iowa State,45,13,71,60
Iowa State,TCU,24,28,71,53
TCU,Iowa State,34,27,63,78
Iowa State,TCU,21,14,62,65
TCU,Iowa State,10,21,64,62
Iowa State,TCU,24,20,68,64
TCU,Iowa State,14,21,71,62
Iowa State,TCU,31,7,70,55
TCU,Iowa State,13,24,68,62
Iowa State,TCU,24,24,63,68
TCU,Iowa State,28,23,78,63
Iowa State,TCU,17,21,66,62
TCU,Iowa State,24,27,59,66
Iowa State,TCU,13,13,68,60
TCU,Iowa State,17,9,59,74
Iowa State,TCU,27,21,66,58
TCU,Iowa State,34,28,65,69
Iowa State,TCU,31,21,68,60
TCU,Iowa State,13,35,69,65
Iowa State,TCU,10,24,54,76
TCU,Iowa State,27,7,69,69
Iowa State,TCU,17,30,61,67
TCU,Iowa State,16,31,62,72
Iowa State,TCU,28,35,62,62
TCU,Iowa State,28,10,75,52
Iowa State,TCU,37,21,76,52
TCU,Iowa State,20,24,68,73
Iowa State,TCU,20,28,74,55
TCU,Iowa State,21,24,61,66
Iowa State,TCU,40,0,82,42
TCU,Iowa State,13,49,67,63
Iowa State,TCU,21,38,60,73
TCU,Iowa State,30,14,74,64
Iowa State,TCU,28,31,67,68
TCU,Iowa State,17,17,73,58
Iowa State,TCU,31,13,72,57
TCU,Iowa State,9,13,80,56
Iowa State,TCU,10,31,72,59
TCU,Iowa State,17,21,77,54
Iowa State,TCU,34,14,67,61
TCU,Iowa State,6,31,63,68
Iowa State,TCU,45,7,79,55
TCU,Iowa State,34,10,68,65
Iowa State,TCU,28,38,66,69
TCU,Iowa State,20,21,78,50
Iowa State,TCU,20,20,66,65
TCU,Iowa State,27,21,84,50
Iowa State,TCU,16,20,66,63
TCU,Iowa State,14,31,68,61
Iowa State,TCU,35,17,71,56
TCU,Iowa State,34,13,75,60
Iowa State,TCU,34,21,79,52
TCU,Iowa State,28,20,57,64
Iowa State,TCU,17,27,63,62
TCU,Iowa State,33,17,77,61
Iowa State,TCU,13,41,76,56
TCU,Iowa State,31,3,65,63
Iowa State,TCU,14,24,71,60
TCU,Iowa State,17,21,58,75
Iowa State,TCU,27,20,75,47
TCU,Iowa State,16,30,69,65
Iowa State,TCU,20,20,63,68
TCU,Iowa State,24,28,70,59
Iowa State,TCU,27,9,70,60
TCU,Iowa State,17,17,68,56
Iowa State,TCU,13,16,69,60
TCU,Iowa State,31,27,60,70
Iowa State,TCU,3,17,54,75
TCU,Iowa State,16,30,61,69
Iowa State,TCU,17,17,64,63
TCU,Iowa State,20,28,73,62
Iowa State,TCU,17,27,68,62
TCU,Iowa State,28,17,69,61
Iowa State,TCU,10,23,66,63
TCU,Iowa State,20,13,69,61
Iowa State,TCU,17,7,66,57
TCU,Iowa State,17,29,61,74
Iowa State,TCU,34,24,66,69
TCU,Iowa State,21,17,69,58
Iowa State,TCU,17,26,65,67
TCU,Iowa State,27,35,64,66
Iowa State,TCU,34,20,79,56
TCU,Iowa State,20,17,73,58
Iowa State,TCU,31,16,67,63
TCU,Iowa State,17,24,54,70
Iowa State,TCU,13,28,75,67
TCU,Iowa State,21,38,63,75
Iowa State,TCU,28,34,63,65
TCU,Iowa State,17,21,66,61
Iowa State,TCU,21,21,62,62
TCU,Iowa State,17,21,70,60
Iowa State,TCU,24,17,74,55
TCU,Iowa State,24,31,66,65
Iowa State,TCU,3,17,80,54
TCU,Iowa State,17,17,73,60
Iowa State,TCU,52,20,75,61
TCU,Iowa State,21,17,72,59
Iowa State,TCU,13,14,64,69
TCU,Iowa State,10,20,72,64
Iowa State,TCU,30,20,71,60
TCU,Iowa State,28,3,64,68
Iowa State,TCU,13,28,69,60
TCU,Iowa State,21,13,63,63
Iowa State,TCU,24,31,72,54
TCU,Iowa State,24,17,74,52
Iowa State,TCU,41,0,92,38
TCU,Iowa State,14,7,65,65
Iowa State,TCU,27,24,69,70
TCU,Iowa State,27,24,67,66
Iowa State,TCU,14,34,56,75
TCU,Iowa State,34,24,75,60
Iowa State,TCU,19,21,71,57
TCU,Iowa State,17,14,57,67
Iowa State,TCU,31,6,74,52
TCU,Iowa State,3,20,55,71
Iowa State,TCU,34,20,71,60
TCU,Iowa State,34,16,78,56
Iowa State,TCU,34,16,72,56
TCU,Iowa State,31,10,64,59
Iowa State,TCU,31,10,67,65
TCU,Iowa State,10,17,69,61
Iowa State,TCU,17,13,70,58
TCU,Iowa State,20,14,71,56
Iowa State,TCU,10,27,72,62
TCU,Iowa State,38,10,68,62
Iowa State,TCU,14,27,62,67
TCU,Iowa State,14,13,64,63
Iowa State,TCU,6,20,78,57
TCU,Iowa State,21,17,69,63
Iowa State,TCU,16,31,80,63
TCU,Iowa State,24,13,67,66
Iowa State,TCU,34,23,69,69
TCU,Iowa State,17,7,71,58
Iowa State,TCU,24,27,60,72
TCU,Iowa State,7,35,57,68
Iowa State,TCU,17,21,81,50
TCU,Iowa State,20,35,74,60
Iowa State,TCU,10,35,64,59
TCU,Iowa State,14,27,71,63
Iowa State,TCU,24,13,65,57
TCU,Iowa State,10,21,65,61
Iowa State,TCU,28,14,71,63
TCU,Iowa State,21,17,68,66
Iowa State,TCU,24,24,72,53
TCU,Iowa State,23,21,71,55
Iowa State,TCU,23,28,73,65
TCU,Iowa State,7,48,40,85
Iowa State,TCU,21,21,66,59
TCU,Iowa State,21,30,56,70
Iowa State,TCU,28,31,63,74
TCU,Iowa State,9,17,72,58
Iowa State,TCU,21,6,63,65
TCU,Iowa State,23,17,73,54
Iowa State,TCU,35,27,64,65
TCU,Iowa State,31,17,70,61
Iowa State,TCU,17,24,77,62
TCU,Iowa State,24,24,58,64
Iowa State,TCU,28,14,65,62
TCU,Iowa State,17,17,64,64
Iowa State,TCU,24,20,68,62
TCU,Iowa State,28,10,65,56
Iowa State,TCU,31,17,78,51
TCU,Iowa State,20,27,68,65
Iowa State,TCU,13,14,71,62
TCU,Iowa State,38,24,72,65
Iowa State,TCU,42,6,74,52
TCU,Iowa State,0,13,61,66
Iowa State,TCU,27,35,69,61
TCU,Iowa State,37,31,70,67
Iowa State,TCU,10,27,55,73
TCU,Iowa State,21,22,65,65
Iowa State,TCU,14,13,66,57
TCU,Iowa State,13,17,76,54
Iowa State,TCU,14,14,64,66
TCU,Iowa State,21,41,52,76
Iowa State,TCU,16,24,64,62
TCU,Iowa State,21,17,59,74
Iowa State,TCU,17,35,52,81
TCU,Iowa State,24,7,69,67
Iowa State,TCU,20,28,64,63
TCU,Iowa State,24,14,75,59
Iowa State,TCU,10,17,61,63
TCU,Iowa State,20,20,73,58
Iowa State,TCU,30,14,71,57
TCU,Iowa State,44,7,86,48
Iowa State,TCU,28,14,72,53
TCU,Iowa State,24,17,77,61
Iowa State,TCU,10,38,58,72
TCU,Iowa State,17,24,59,70
Iowa State,TCU,21,17,62,79
TCU,Iowa State,28,14,73,58
Iowa State,TCU,31,20,68,57
TCU,Iowa State,17,17,73,59
Iowa State,TCU,30,6,75,57
TCU,Iowa State,20,21,66,62
Iowa State,TCU,28,35,68,65
TCU,Iowa State,33,27,65,71
Iowa State,TCU,14,17,68,68
TCU,Iowa State,31,17,65,73
Iowa State,TCU,16,7,69,61
TCU,Iowa State,10,31,56,76
Iowa State,TCU,17,28,66,60
TCU,Iowa State,16,21,81,59
Iowa State,TCU,13,23,62,67
TCU,Iowa State,27,27,80,56
Iowa State,TCU,24,13,67,62
TCU,Iowa State,21,30,63,65
Iowa State,TCU,24,20,63,72
TCU,Iowa State,14,17,72,62
Iowa State,TCU,14,51,47,86
TCU,Iowa State,24,27,74,59
Iowa State,TCU,17,27,71,60
TCU,Iowa State,21,10,66,60
Iowa State,TCU,28,27,72,64
TCU,Iowa State,27,27,75,57
Iowa State,TCU,28,21,70,57
TCU,Iowa State,20,17,68,67
Iowa State,TCU,13,17,64,65
TCU,Iowa State,24,17,64,67
Iowa State,TCU,10,38,45,79
TCU,Iowa State,38,7,66,57
Iowa State,TCU,14,27,61,70
TCU,Iowa State,13,17,86,57
Iowa State,TCU,30,24,76,58
TCU,Iowa State,21,41,70,71
Iowa State,TCU,31,24,66,76
TCU,Iowa State,49,21,76,55
Iowa State,TCU,14,17,76,53
TCU,Iowa State,3,17,51,75
Iowa State,TCU,17,28,71,57
TCU,Iowa State,21,24,75,55
Iowa State,TCU,31,10,67,59
TCU,Iowa State,17,17,68,66
Iowa State,TCU,21,20,66,75
TCU,Iowa State,10,3,67,67
Iowa State,TCU,28,33,64,78
TCU,Iowa State,28,28,76,57
Iowa State,TCU,34,13,78,50
TCU,Iowa State,17,14,69,67
Iowa State,TCU,21,13,60,66
TCU,Iowa State,27,7,81,48
Iowa State,TCU,35,27,67,61
TCU,Iowa State,31,34,67,67
Iowa State,TCU,28,17,77,52
TCU,Iowa State,14,10,59,71
Iowa State,TCU,14,20,67,64
TCU,Iowa State,31,24,75,61
Iowa State,TCU,22,3,71,57
TCU,Iowa State,24,20,58,75
Iowa State,TCU,20,10,66,63
TCU,Iowa State,20,14,80,58
Iowa State,TCU,14,17,69,64
TCU,Iowa State,30,14,69,61
Iowa State,TCU,28,3,73,59
TCU,Iowa State,30,20,66,67
Iowa State,TCU,16,27,73,62
TCU,Iowa State,31,35,72,63
Iowa State,TCU,38,24,64,70
TCU,Iowa State,24,23,64,70
Iowa State,TCU,28,30,67,69
TCU,Iowa State,37,14,66,65
Iowa State,TCU,13,30,63,67
TCU,Iowa State,31,24,65,69
Iowa State,TCU,27,13,68,58
TCU,Iowa State,10,34,68,65
Iowa State,TCU,24,19,62,70
TCU,Iowa State,20,7,70,56
Iowa State,TCU,34,24,64,66
TCU,Iowa State,6,24,71,58
Iowa State,TCU,7,41,55,73
TCU,Iowa State,13,23,69,60
Iowa State,TCU,24,21,67,64
TCU,Iowa State,20,17,74,57
Iowa State,TCU,17,6,66,65
TCU,Iowa State,17,30,62,68
Iowa State,TCU,31,7,71,62
TCU,Iowa State,24,31,69,64
Iowa State,TCU,24,28,65,68
TCU,Iowa State,21,13,61,64
Iowa State,TCU,24,24,73,60
