team,opp,pts,opp_pts,plays,opp_plays
Texas Tech,BYU,24,20,63,67
BYU,Texas Tech,28,7,67,58
Texas Tech,BYU,14,38,71,61
BYU,Texas Tech,14,17,67,58
Texas Tech,BYU,33,17,70,59
BYU,Texas Tech,20,7,76,50
Texas Tech,BYU,17,21,76,57
BYU,Texas Tech,14,38,57,71
Texas Tech,BYU,21,14,56,65
BYU,Texas Tech,28,13,65,65
Texas Tech,BYU,28,28,64,64
BYU,Texas Tech,27,24,61,71
Texas Tech,BYU,24,14,65,67
BYU,Texas Tech,13,10,62,63
Texas Tech,BYU,31,10,66,62
BYU,Texas Tech,10,34,66,65
Texas Tech,BYU,41,21,83,54
BYU,Texas Tech,10,23,74,60
Texas Tech,BYU,34,14,71,54
BYU,Texas Tech,13,34,52,74
Texas Tech,BYU,31,7,75,53
BYU,Texas Tech,3,41,60,70
Texas Tech,BYU,10,24,53,70
BYU,Texas Tech,52,10,75,54
Texas Tech,BYU,38,20,68,63
BYU,Texas Tech,10,30,64,66
Texas Tech,BYU,34,14,64,65
BYU,Texas Tech,13,10,70,54
Texas Tech,BYU,35,21,68,64
BYU,Texas Tech,21,17,65,61
Texas Tech,BYU,38,13,79,57
BYU,Texas Tech,17,21,71,62
Texas Tech,BYU,17,13,71,57
BYU,Texas Tech,10,24,58,64
Texas Tech,BYU,7,24,69,64
BYU,Texas Tech,24,30,64,66
Texas Tech,BYU,14,35,69,61
BYU,Texas Tech,10,21,55,70
Texas Tech,BYU,26,10,69,61
BYU,Texas Tech,27,20,59,68
Texas Tech,BYU,27,34,56,71
BYU,Texas Tech,12,28,71,57
Texas Tech,BYU,42,10,78,58
BYU,Texas Tech,24,21,74,52
Texas Tech,BYU,30,7,75,47
BYU,Texas Tech,31,16,68,74
Texas Tech,BYU,28,28,65,64
BYU,Texas Tech,14,16,60,70
Texas Tech,BYU,17,14,63,70
BYU,Texas Tech,24,21,69,55
Texas Tech,BYU,45,7,75,58
BYU,Texas Tech,10,23,59,68
Texas Tech,BYU,38,3,75,56
BYU,Texas Tech,3,49,53,78
Texas Tech,BYU,22,21,78,56
BYU,Texas Tech,13,14,75,51
Texas Tech,BYU,21,13,59,75
BYU,Texas Tech,23,7,66,55
Texas Tech,BYU,21,31,61,66
BYU,Texas Tech,10,14,64,62
Texas Tech,BYU,48,38,79,61
BYU,Texas Tech,13,30,73,59
Texas Tech,BYU,31,10,66,61
BYU,Texas Tech,7,21,55,74
Texas Tech,BYU,10,20,63,62
BYU,Texas Tech,20,13,63,64
Texas Tech,BYU,21,10,66,61
BYU,Texas Tech,14,20,61,69
Texas Tech,BYU,3,10,72,57
BYU,Texas Tech,17,24,66,64
Texas Tech,BYU,7,17,60,69
BYU,Texas Tech,19,27,78,52
Texas Tech,BYU,19,31,67,61
BYU,Texas Tech,7,17,70,63
Texas Tech,BYU,42,10,72,56
BYU,Texas Tech,17,21,70,54
Texas Tech,BYU,28,17,73,58
BYU,Texas Tech,0,24,70,56
Texas Tech,BYU,31,14,72,56
BYU,Texas Tech,26,10,69,58
Texas Tech,BYU,45,24,78,62
BYU,Texas Tech,14,23,63,69
Texas Tech,BYU,31,14,65,67
BYU,Texas Tech,38,7,71,55
Texas Tech,BYU,7,38,67,65
BYU,Texas Tech,10,17,56,70
Texas Tech,BYU,21,6,63,62
BYU,Texas Tech,20,38,68,64
Texas Tech,BYU,3,31,54,67
BYU,Texas Tech,17,31,67,62
Texas Tech,BYU,41,10,78,51
BYU,Texas Tech,13,27,62,67
Texas Tech,BYU,27,17,69,62
BYU,Texas Tech,0,35,64,59
Texas Tech,BYU,31,10,75,60
BYU,Texas Tech,10,21,71,54
Texas Tech,BYU,27,31,68,61
BYU,Texas Tech,0,45,61,70
Texas Tech,BYU,14,20,66,67
BYU,Texas Tech,21,10,60,72
Texas Tech,BYU,28,10,66,65
BYU,Texas Tech,14,24,55,73
Texas Tech,BYU,3,10,67,64
BYU,Texas Tech,31,20,65,60
Texas Tech,BYU,28,10,68,63
BYU,Texas Tech,17,16,66,62
Texas Tech,BYU,31,10,72,59
BYU,Texas Tech,14,26,49,77
Texas Tech,BYU,21,21,68,68
BYU,Texas Tech,7,3,73,49
Texas Tech,BYU,35,7,67,62
BYU,Texas Tech,17,35,66,60
Texas Tech,BYU,37,14,63,68
BYU,Texas Tech,10,23,63,64
Texas Tech,BYU,34,14,76,60
BYU,Texas Tech,7,14,60,68
Texas Tech,BYU,31,3,77,55
BYU,Texas Tech,13,41,60,68
Texas Tech,BYU,24,16,49,76
BYU,Texas Tech,10,38,56,79
Texas Tech,BYU,10,31,48,74
BYU,Texas Tech,7,31,67,63
Texas Tech,BYU,30,21,66,66
BYU,Texas Tech,31,16,62,69
Texas Tech,BYU,24,14,66,68
BYU,Texas Tech,30,7,65,58
Texas Tech,BYU,34,28,69,62
BYU,Texas Tech,21,24,59,73
Texas Tech,BYU,17,17,65,58
BYU,Texas Tech,24,16,56,81
Texas Tech,BYU,17,31,57,65
BYU,Texas Tech,10,10,61,69
Texas Tech,BYU,30,13,61,61
BYU,Texas Tech,10,41,62,75
Texas Tech,BYU,38,7,68,60
BYU,Texas Tech,17,24,72,58
Texas Tech,BYU,35,24,61,67
BYU,Texas Tech,20,24,71,63
