team,opp,pts,opp_pts,plays,opp_plays
USC,Northwestern,49,3,70,45
Northwestern,USC,17,30,63,60
USC,Northwestern,24,10,55,70
Northwestern,USC,10,24,52,62
USC,Northwestern,9,21,55,60
Northwestern,USC,10,42,50,66
USC,Northwestern,38,10,61,54
Northwestern,USC,3,52,49,73
USC,Northwestern,38,13,62,50
Northwestern,USC,9,42,71,56
USC,Northwestern,45,10,69,51
Northwestern,USC,9,7,68,47
USC,Northwestern,41,24,63,67
Northwestern,USC,13,14,70,61
USC,Northwestern,24,3,60,47
Northwestern,USC,7,27,58,56
USC,Northwestern,35,17,72,52
Northwestern,USC,17,17,70,50
USC,Northwestern,21,7,68,47
Northwestern,USC,13,31,56,66
USC,Northwestern,23,17,72,52
Northwestern,USC,0,41,58,66
USC,Northwestern,24,17,66,52
Northwestern,USC,7,38,60,66
USC,Northwestern,35,24,69,58
Northwestern,USC,10,28,58,50
USC,Northwestern,45,21,62,57
Northwestern,USC,14,20,62,50
USC,Northwestern,28,7,69,49
Northwestern,USC,0,38,45,74
USC,Northwestern,6,21,60,58
Northwestern,USC,23,24,68,56
USC,Northwestern,52,13,69,47
Northwestern,USC,10,21,60,54
USC,Northwestern,35,17,63,58
Northwestern,USC,9,35,55,64
USC,Northwestern,23,9,67,59
Northwestern,USC,9,21,73,49
USC,Northwestern,24,3,61,61
Northwestern,USC,10,31,62,61
USC,Northwestern,48,0,76,41
Northwestern,USC,7,21,67,57
USC,Northwestern,41,17,66,56
Northwestern,USC,13,31,59,61
USC,Northwestern,38,14,65,55
Northwestern,USC,20,28,67,51
USC,Northwestern,45,21,57,60
Northwestern,USC,17,24,64,55
USC,Northwestern,31,7,64,52
Northwestern,USC,14,16,54,64
USC,Northwestern,23,13,70,58
Northwestern,USC,10,23,64,55
USC,Northwestern,34,17,64,59
Northwestern,USC,3,21,56,64
USC,Northwestern,45,9,66,58
Northwestern,USC,16,34,57,65
USC,Northwestern,31,6,55,69
Northwestern,USC,24,27,74,49
USC,Northwestern,45,7,80,50
Northwestern,USC,10,14,64,58
USC,Northwestern,45,13,60,62
Northwestern,USC,10,17,65,56
USC,Northwestern,16,10,61,59
Northwestern,USC,27,24,65,59
USC,Northwestern,35,7,61,54
Northwestern,USC,17,31,71,51
USC,Northwestern,24,3,57,59
Northwestern,USC,3,17,59,59
USC,Northwestern,52,10,73,47
Northwestern,USC,14,14,63,53
USC,Northwestern,20,3,72,53
Northwestern,USC,10,10,54,59
USC,Northwestern,21,24,64,51
Northwestern,USC,20,21,72,51
USC,Northwestern,24,6,67,46
Northwestern,USC,3,17,58,59
USC,Northwestern,24,9,64,52
Northwestern,USC,14,10,68,52
USC,Northwestern,21,0,64,49
Northwestern,USC,3,21,69,51
USC,Northwestern,27,10,64,65
Northwestern,USC,0,27,50,58
USC,Northwestern,27,14,61,61
Northwestern,USC,3,28,64,53
USC,Northwestern,23,10,68,47
Northwestern,USC,6,48,51,72
USC,Northwestern,28,0,53,51
Northwestern,USC,21,35,57,62
USC,Northwestern,24,10,56,55
Northwestern,USC,3,34,49,65
USC,Northwestern,17,0,71,49
Northwestern,USC,21,21,58,54
USC,Northwestern,38,6,62,57
Northwestern,USC,7,37,46,72
USC,Northwestern,12,17,49,59
Northwestern,USC,24,34,47,63
USC,Northwestern,24,31,55,63
Northwestern,USC,7,37,49,68
USC,Northwestern,34,7,62,59
Northwestern,USC,0,34,46,76
USC,Northwestern,24,21,58,58
Northwestern,USC,7,38,54,63
USC,Northwestern,24,14,59,64
Northwestern,USC,14,17,69,53
USC,Northwestern,47,7,68,46
Northwestern,USC,10,28,61,60
USC,Northwestern,24,7,72,44
Northwestern,USC,14,24,58,61
USC,Northwestern,21,17,64,58
Northwestern,USC,0,27,53,63
USC,Northwestern,41,13,67,55
Northwestern,USC,14,35,57,60
USC,Northwestern,31,6,64,55
Northwestern,USC,7,31,58,59
USC,Northwestern,31,3,69,49
Northwestern,USC,9,31,55,62
USC,Northwestern,28,24,53,67
Northwestern,USC,14,28,57,60
USC,Northwestern,31,14,57,67
Northwestern,USC,14,34,60,61
USC,Northwestern,35,14,66,59
Northwestern,USC,10,14,64,61
USC,Northwestern,20,16,58,66
Northwestern,USC,17,24,76,50
USC,Northwestern,24,10,62,54
Northwestern,USC,14,35,54,61
USC,Northwestern,10,16,48,68
Northwestern,USC,17,41,66,55
USC,Northwestern,24,14,63,53
Northwestern,USC,7,28,50,67
USC,Northwestern,45,10,69,51
Northwestern,USC,10,28,63,52
USC,Northwestern,10,6,65,45
Northwestern,USC,7,31,55,63
USC,Northwestern,28,6,61,60
Northwestern,USC,7,24,60,55
USC,Northwestern,41,7,64,57
Northwestern,USC,7,45,50,71
USC,Northwestern,31,3,69,51
Northwestern,USC,13,31,65,53
USC,Northwestern,42,10,67,51
Northwestern,USC,20,28,64,57
USC,Northwestern,56,3,66,50
Northwestern,USC,3,56,51,70
USC,Northwestern,45,21,66,61
Northwestern,USC,13,23,69,51
USC,Northwestern,20,13,54,64
Northwestern,USC,28,6,68,52
USC,Northwestern,27,17,61,61
Northwestern,USC,14,14,61,60
USC,Northwestern,23,10,66,49
Northwestern,USC,10,38,58,62
USC,Northwestern,45,14,67,51
Northwestern,USC,6,31,61,58
USC,Northwestern,35,24,62,54
Northwestern,USC,0,34,58,69
USC,Northwestern,21,6,62,50
Northwestern,USC,3,24,62,56
USC,Northwestern,24,20,56,58
Northwestern,USC,9,30,63,57
USC,Northwestern,31,17,62,57
Northwestern,USC,7,48,55,61
USC,Northwestern,31,7,68,55
Northwestern,USC,3,42,57,62
USC,Northwestern,28,28,55,70
Northwestern,USC,0,28,38,76
USC,Northwestern,31,21,55,61
Northwestern,USC,6,28,60,50
USC,Northwestern,27,17,63,56
Northwestern,USC,10,45,53,65
USC,Northwestern,20,9,71,50
Northwestern,USC,13,21,74,49
USC,Northwestern,20,9,50,65
Northwestern,USC,13,17,64,48
USC,Northwestern,49,17,66,53
Northwestern,USC,17,24,53,71
USC,Northwestern,24,24,55,71
Northwestern,USC,7,24,63,56
USC,Northwestern,7,13,52,67
Northwestern,USC,3,45,63,67
USC,Northwestern,35,13,58,65
Northwestern,USC,10,34,56,58
USC,Northwestern,21,13,67,53
Northwestern,USC,7,28,62,59
USC,Northwestern,20,24,57,55
Northwestern,USC,0,34,45,69
USC,Northwestern,24,7,69,43
Northwestern,USC,6,26,62,56
USC,Northwestern,38,10,71,60
Northwestern,USC,20,24,67,57
USC,Northwestern,31,10,52,61
Northwestern,USC,21,45,59,63
USC,Northwestern,27,3,67,42
Northwestern,USC,24,27,59,59
USC,Northwestern,14,7,69,58
Northwestern,USC,17,28,67,52
USC,Northwestern,14,17,59,59
Northwestern,USC,14,35,49,67
USC,Northwestern,27,7,80,40
Northwestern,USC,7,27,58,61
USC,Northwestern,24,27,60,62
Northwestern,USC,14,23,65,65
USC,Northwestern,13,17,55,63
Northwestern,USC,16,21,69,59
USC,Northwestern,34,17,58,66
Northwestern,USC,6,42,57,63
