team,opp,pts,opp_pts,plays,opp_plays
UTEP,Jacksonville State,17,23,74,75
Jacksonville State,UTEP,10,27,66,72
UTEP,Jacksonville State,20,16,68,80
Jacksonville State,UTEP,23,17,73,77
UTEP,Jacksonville State,10,31,72,71
Jacksonville State,UTEP,13,0,72,68
UTEP,Jacksonville State,6,23,68,76
Jacksonville State,UTEP,20,7,75,77
UTEP,Jacksonville State,6,20,77,69
Jacksonville State,UTEP,20,10,71,76
UTEP,Jacksonville State,14,38,78,73
Jacksonville State,UTEP,24,7,82,71
UTEP,Jacksonville State,0,31,63,85
Jacksonville State,UTEP,12,14,84,70
UTEP,Jacksonville State,17,14,75,70
Jacksonville State,UTEP,20,20,71,71
UTEP,Jacksonville State,19,37,86,67
Jacksonville State,UTEP,30,20,83,67
UTEP,Jacksonville State,31,23,76,78
Jacksonville State,UTEP,17,6,74,80
UTEP,Jacksonville State,3,24,66,79
Jacksonville State,UTEP,26,14,78,77
UTEP,Jacksonville State,9,31,76,73
Jacksonville State,UTEP,27,14,77,71
UTEP,Jacksonville State,27,31,79,75
Jacksonville State,UTEP,51,21,90,63
UTEP,Jacksonville State,13,35,76,71
Jacksonville State,UTEP,17,24,72,84
UTEP,Jacksonville State,31,20,76,81
Jacksonville State,UTEP,31,6,91,62
UTEP,Jacksonville State,21,7,80,69
Jacksonville State,UTEP,23,20,75,69
UTEP,Jacksonville State,24,13,80,60
Jacksonville State,UTEP,33,21,88,71
UTEP,Jacksonville State,31,45,86,69
Jacksonville State,UTEP,48,14,92,70
UTEP,Jacksonville State,13,10,81,72
Jacksonville State,UTEP,13,26,84,66
UTEP,Jacksonville State,21,58,68,91
Jacksonville State,UTEP,31,10,81,68
UTEP,Jacksonville State,20,35,84,72
Jacksonville State,UTEP,17,31,68,81
UTEP,Jacksonville State,9,21,72,69
Jacksonville State,UTEP,34,14,73,80
UTEP,Jacksonville State,13,27,76,68
Jacksonville State,UTEP,31,14,78,63
UTEP,Jacksonville State,21,13,79,73
Jacksonville State,UTEP,59,13,92,65
UTEP,Jacksonville State,13,27,74,84
Jacksonville State,UTEP,38,17,86,69
UTEP,Jacksonville State,28,34,69,96
Jacksonville State,UTEP,21,17,60,74
UTEP,Jacksonville State,33,13,72,85
Jacksonville State,UTEP,24,9,68,86
UTEP,Jacksonville State,24,16,81,69
Jacksonville State,UTEP,52,10,93,65
UTEP,Jacksonville State,13,31,81,71
Jacksonville State,UTEP,23,14,80,72
UTEP,Jacksonville State,20,34,80,69
Jacksonville State,UTEP,21,27,85,72
UTEP,Jacksonville State,24,24,79,73
Jacksonville State,UTEP,21,10,75,78
UTEP,Jacksonville State,27,31,82,74
Jacksonville State,UTEP,16,20,81,67
UTEP,Jacksonville State,7,21,68,66
Jacksonville State,UTEP,27,10,87,61
UTEP,Jacksonville State,10,20,71,79
Jacksonville State,UTEP,14,34,65,82
UTEP,Jacksonville State,16,20,69,68
Jacksonville State,UTEP,24,6,86,75
UTEP,Jacksonville State,10,27,68,79
Jacksonville State,UTEP,14,20,68,75
UTEP,Jacksonville State,6,49,77,80
Jacksonville State,UTEP,20,23,73,85
UTEP,Jacksonville State,14,26,75,66
Jacksonville State,UTEP,34,14,78,73
UTEP,Jacksonville State,9,20,76,62
Jacksonville State,UTEP,24,35,82,79
UTEP,Jacksonville State,14,20,72,77
Jacksonville State,UTEP,3,24,61,89
UTEP,Jacksonville State,24,17,77,68
Jacksonville State,UTEP,27,24,79,71
UTEP,Jacksonville State,24,30,87,71
Jacksonville State,UTEP,16,30,81,67
UTEP,Jacksonville State,33,17,75,74
Jacksonville State,UTEP,9,10,88,56
UTEP,Jacksonville State,20,30,76,77
Jacksonville State,UTEP,24,6,72,77
UTEP,Jacksonville State,24,27,74,74
Jacksonville State,UTEP,31,17,80,71
UTEP,Jacksonville State,6,14,84,67
Jacksonville State,UTEP,0,17,81,67
UTEP,Jacksonville State,14,20,86,66
Jacksonville State,UTEP,17,6,71,74
UTEP,Jacksonville State,10,20,67,75
Jacksonville State,UTEP,31,7,89,68
UTEP,Jacksonville State,21,34,67,80
Jacksonville State,UTEP,34,6,86,70
UTEP,Jacksonville State,16,20,80,72
Jacksonville State,UTEP,6,33,73,80
UTEP,Jacksonville State,24,16,77,72
Jacksonville State,UTEP,21,13,74,81
UTEP,Jacksonville State,20,13,71,76
Jacksonville State,UTEP,38,17,93,57
UTEP,Jacksonville State,13,23,63,81
Jacksonville State,UTEP,27,7,81,73
UTEP,Jacksonville State,7,37,78,70
Jacksonville State,UTEP,34,3,89,69
UTEP,Jacksonville State,17,35,76,75
Jacksonville State,UTEP,27,10,71,90
UTEP,Jacksonville State,7,31,71,71
Jacksonville State,UTEP,30,7,86,59
UTEP,Jacksonville State,9,24,74,79
Jacksonville State,UTEP,34,14,85,71
UTEP,Jacksonville State,21,35,78,68
Jacksonville State,UTEP,16,27,69,73
UTEP,Jacksonville State,23,13,78,74
Jacksonville State,UTEP,26,10,73,72
UTEP,Jacksonville State,16,45,76,74
Jacksonville State,UTEP,44,17,86,68
UTEP,Jacksonville State,27,14,77,59
Jacksonville State,UTEP,24,31,68,77
UTEP,Jacksonville State,14,41,68,91
Jacksonville State,UTEP,17,34,71,79
UTEP,Jacksonville State,17,49,70,86
Jacksonville State,UTEP,20,30,69,77
UTEP,Jacksonville State,31,20,73,78
Jacksonville State,UTEP,19,14,74,83
UTEP,Jacksonville State,30,21,83,60
Jacksonville State,UTEP,7,28,64,79
UTEP,Jacksonville State,7,31,73,72
Jacksonville State,UTEP,23,6,91,65
UTEP,Jacksonville State,13,17,76,70
Jacksonville State,UTEP,17,17,80,70
UTEP,Jacksonville State,7,38,81,76
Jacksonville State,UTEP,24,13,75,75
UTEP,Jacksonville State,23,13,84,59
Jacksonville State,UTEP,34,24,86,72
UTEP,Jacksonville State,6,27,73,74
Jacksonville State,UTEP,34,0,76,72
UTEP,Jacksonville State,24,30,83,70
Jacksonville State,UTEP,38,14,80,72
UTEP,Jacksonville State,27,14,93,51
Jacksonville State,UTEP,20,20,75,73
UTEP,Jacksonville State,13,40,70,84
Jacksonville State,UTEP,28,19,58,86
UTEP,Jacksonville State,31,3,83,70
Jacksonville State,UTEP,20,7,78,79
UTEP,Jacksonville State,10,31,67,79
Jacksonville State,UTEP,23,23,77,66
UTEP,Jacksonville State,27,10,87,61
Jacksonville State,UTEP,20,34,63,84
UTEP,Jacksonville State,21,31,78,65
Jacksonville State,UTEP,24,24,79,71
UTEP,Jacksonville State,17,38,74,81
Jacksonville State,UTEP,13,24,71,76
UTEP,Jacksonville State,23,21,70,78
Jacksonville State,UTEP,16,17,74,68
UTEP,Jacksonville State,24,20,88,72
Jacksonville State,UTEP,16,20,64,82
UTEP,Jacksonville State,24,38,73,83
Jacksonville State,UTEP,42,10,74,83
UTEP,Jacksonville State,13,24,88,65
Jacksonville State,UTEP,24,17,75,72
UTEP,Jacksonville State,19,13,79,66
Jacksonville State,UTEP,26,0,84,63
UTEP,Jacksonville State,10,31,85,62
Jacksonville State,UTEP,48,14,89,60
UTEP,Jacksonville State,6,42,73,70
Jacksonville State,UTEP,45,0,92,65
UTEP,Jacksonville State,10,37,66,88
Jacksonville State,UTEP,30,27,67,88
UTEP,Jacksonville State,27,7,75,62
Jacksonville State,UTEP,23,7,79,67
UTEP,Jacksonville State,17,20,80,77
Jacksonville State,UTEP,10,31,79,68
UTEP,Jacksonville State,7,23,66,77
Jacksonville State,UTEP,17,16,68,81
UTEP,Jacksonville State,31,10,73,74
Jacksonville State,UTEP,31,13,81,73
UTEP,Jacksonville State,14,34,66,76
Jacksonville State,UTEP,42,20,81,67
UTEP,Jacksonville State,24,17,92,53
Jacksonville State,UTEP,17,14,94,61
UTEP,Jacksonville State,14,38,66,78
Jacksonville State,UTEP,27,45,77,79
UTEP,Jacksonville State,17,38,63,84
Jacksonville State,UTEP,16,17,85,57
UTEP,Jacksonville State,10,16,80,79
Jacksonville State,UTEP,13,16,60,80
