sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
48,A,Akron,Kent State,Ben Finley,QB,35,19,135.5,1,0,4,0,0.0,0,0,0,0.0,0
48,A,Akron,Kent State,Ben Finley,Rusher,0,0,0.0,0,0,0,7,35.0,0,0,0,0.0,0
48,A,Akron,Kent State,Sean Patrick,Rusher,0,0,0.0,0,0,0,9,47.3,0,0,0,0.0,0
48,A,Akron,Kent State,Marquese Williams,Rusher,0,0,0.0,0,0,0,6,-6.6,0,0,0,0.0,0
48,A,Akron,Kent State,Jordan Gant,Rusher,0,0,0.0,0,0,0,6,14.1,1,0,0,0.0,0
48,A,Akron,Kent State,Cameron Monteiro,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,24.5,0
48,A,Akron,Kent State,Marcel Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,2.7,0
48,A,Akron,Kent State,Tim Grear Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,23.1,1
48,A,Akron,Kent State,Myles Walker,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,27.0,0
48,A,Akron,Kent State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,0.0,0
48,A,Akron,Kent State,Israel Polk,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,9.6,0
48,A,Akron,Kent State,Connor Cravaack,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,20.7,0
48,A,Akron,Kent State,Kyan Mason,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,18.9,0
48,A,Akron,Kent State,Jacob Newell,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,8.9,0
48,A,Kent State,Akron,CJ Montes,QB,20,13,159.9,1,0,3,0,0.0,0,0,0,0.0,0
48,A,Kent State,Akron,Cade Wolford,Rusher,0,0,0.0,0,0,0,2,2.2,0,0,0,0.0,0
48,A,Kent State,Akron,Gavin Garcia,Rusher,0,0,0.0,0,0,0,19,49.9,0,0,0,0.0,0
48,A,Kent State,Akron,Donovan Delaney,Rusher,0,0,0.0,0,0,0,4,6.4,0,0,0,0.0,0
48,A,Kent State,Akron,Jahzae Kimbrough,Rusher,0,0,0.0,0,0,0,8,7.9,0,0,0,0.0,0
48,A,Kent State,Akron,Dru Deshields,Rusher,0,0,0.0,0,0,0,2,29.0,1,0,0,0.0,0
48,A,Kent State,Akron,CJ Montes,Rusher,0,0,0.0,0,0,0,5,14.8,0,0,0,0.0,0
48,A,Kent State,Akron,Terik Mulder,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,27.8,1
48,A,Kent State,Akron,Jay Jay Etheridge,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,59.9,0
48,A,Kent State,Akron,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,23.8,0
48,A,Kent State,Akron,Wayne Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,27.4,0
48,A,Kent State,Akron,Christian Berry,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
48,A,Kent State,Akron,Sebastian Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,7.5,0
48,A,Kent State,Akron,Dashawn Martin,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,13.6,0
48,A,Kent State,Akron,Ardell Banks,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
48,A,Kent State,Akron,Da'Realyst Clark,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
49,B,Kent State,Akron,CJ Montes,QB,24,17,211.8,1,0,6,0,0.0,0,0,0,0.0,0
49,B,Kent State,Akron,Donovan Delaney,Rusher,0,0,0.0,0,0,0,4,30.9,2,0,0,0.0,0
49,B,Kent State,Akron,Gavin Garcia,Rusher,0,0,0.0,0,0,0,19,115.1,0,0,0,0.0,0
49,B,Kent State,Akron,Jahzae Kimbrough,Rusher,0,0,0.0,0,0,0,9,50.3,1,0,0,0.0,0
49,B,Kent State,Akron,CJ Montes,Rusher,0,0,0.0,0,0,0,3,-4.6,0,0,0,0.0,0
49,B,Kent State,Akron,Dru Deshields,Rusher,0,0,0.0,0,0,0,1,10.1,0,0,0,0.0,0
49,B,Kent State,Akron,Cade Wolford,Rusher,0,0,0.0,0,0,0,2,-2.1,0,0,0,0.0,0
49,B,Kent State,Akron,Jay Jay Etheridge,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,42.2,0
49,B,Kent State,Akron,Hunter Hopperton,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,33.7,1
49,B,Kent State,Akron,Sebastian Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
49,B,Kent State,Akron,Terik Mulder,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,33.4,0
49,B,Kent State,Akron,Wayne Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,63.9,0
49,B,Kent State,Akron,Dashawn Martin,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,5.7,0
49,B,Kent State,Akron,Ardell Banks,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
49,B,Kent State,Akron,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,33.0,0
49,B,Akron,Kent State,Ben Finley,QB,25,15,168.8,1,0,6,0,0.0,0,0,0,0.0,0
49,B,Akron,Kent State,Jordan Gant,Rusher,0,0,0.0,0,0,0,11,42.2,1,0,0,0.0,0
49,B,Akron,Kent State,Sean Patrick,Rusher,0,0,0.0,0,0,0,6,23.0,0,0,0,0.0,0
49,B,Akron,Kent State,Ben Finley,Rusher,0,0,0.0,0,0,0,4,0.1,0,0,0,0.0,0
49,B,Akron,Kent State,Marquese Williams,Rusher,0,0,0.0,0,0,0,3,17.7,0,0,0,0.0,0
49,B,Akron,Kent State,Tim Grear Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,6,24.5,0
49,B,Akron,Kent State,Israel Polk,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,34.9,0
49,B,Akron,Kent State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,23.4,0
49,B,Akron,Kent State,Kyan Mason,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,6,49.3,0
49,B,Akron,Kent State,Marcel Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,23.2,1
