sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
16,A,Arizona State,West Virginia,Sam Leavitt,QB,23,19,194.3,2,0,6,0,0.0,0,0,0,0.0,0
16,A,Arizona State,West Virginia,Kanye Udoh,Rusher,0,0,0.0,0,0,0,11,83.1,0,0,0,0.0,0
16,A,Arizona State,West Virginia,Sam Leavitt,Rusher,0,0,0.0,0,0,0,5,33.6,1,0,0,0.0,0
16,A,Arizona State,West Virginia,Demarius Robinson,Rusher,0,0,0.0,0,0,0,7,17.6,0,0,0,0.0,0
16,A,Arizona State,West Virginia,Raleek Brown,Rusher,0,0,0.0,0,0,0,15,62.9,0,0,0,0.0,0
16,A,Arizona State,West Virginia,Jeff Sims,Rusher,0,0,0.0,0,0,0,1,10.2,0,0,0,0.0,0
16,A,Arizona State,West Virginia,Kyson Brown,Rusher,0,0,0.0,0,0,0,4,33.3,0,0,0,0.0,0
16,A,Arizona State,West Virginia,Malik McClain,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,0.0,0
16,A,Arizona State,West Virginia,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,57.5,1
16,A,Arizona State,West Virginia,Chamon Metayer,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,36.8,0
16,A,Arizona State,West Virginia,Khamari Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,28.3,0
16,A,Arizona State,West Virginia,Jordyn Tyson,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,54.0,1
16,A,Arizona State,West Virginia,Cameron Harpole,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
16,A,Arizona State,West Virginia,Jaren Hamilton,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,17.6,0
16,A,Arizona State,West Virginia,Derek Eusebio,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
16,A,West Virginia,Arizona State,Nicco Marchiol,QB,27,19,145.6,0,0,6,0,0.0,0,0,0,0.0,0
16,A,West Virginia,Arizona State,Nicco Marchiol,Rusher,0,0,0.0,0,0,0,3,22.6,0,0,0,0.0,0
16,A,West Virginia,Arizona State,Tye Edwards,Rusher,0,0,0.0,0,0,0,8,19.4,0,0,0,0.0,0
16,A,West Virginia,Arizona State,Scotty Fox Jr.,Rusher,0,0,0.0,0,0,0,3,11.2,0,0,0,0.0,0
16,A,West Virginia,Arizona State,Jaylen Henderson,Rusher,0,0,0.0,0,0,0,2,10.7,0,0,0,0.0,0
16,A,West Virginia,Arizona State,Diore Hubbard,Rusher,0,0,0.0,0,0,0,1,-0.4,0,0,0,0.0,0
16,A,West Virginia,Arizona State,Jahiem White,Rusher,0,0,0.0,0,0,0,8,35.9,0,0,0,0.0,0
16,A,West Virginia,Arizona State,Tyler Jacklich,Rusher,0,0,0.0,0,0,0,1,-2.5,0,0,0,0.0,0
16,A,West Virginia,Arizona State,Cyncir Bowers,Rusher,0,0,0.0,0,0,0,2,13.7,0,0,0,0.0,0
16,A,West Virginia,Arizona State,Clay Ash,Rusher,0,0,0.0,0,0,0,1,-2.6,0,0,0,0.0,0
16,A,West Virginia,Arizona State,Grayson Barnes,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
16,A,West Virginia,Arizona State,Justin Smith-Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,1.3,0
16,A,West Virginia,Arizona State,Cam Vaughn,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,30.1,0
16,A,West Virginia,Arizona State,Jeff Weimer,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,23.8,0
16,A,West Virginia,Arizona State,Jarod Bowie,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,48.6,0
16,A,West Virginia,Arizona State,Rodney Gallagher,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,28.4,0
16,A,West Virginia,Arizona State,Oran Singleton Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
16,A,West Virginia,Arizona State,Jaden Bray,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,13.4,0
16,A,West Virginia,Arizona State,Ryan Ward,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
17,B,West Virginia,Arizona State,Nicco Marchiol,QB,25,17,193.1,2,0,4,0,0.0,0,0,0,0.0,0
17,B,West Virginia,Arizona State,Clay Ash,Rusher,0,0,0.0,0,0,0,5,28.3,0,0,0,0.0,0
17,B,West Virginia,Arizona State,Jahiem White,Rusher,0,0,0.0,0,0,0,17,53.6,0,0,0,0.0,0
17,B,West Virginia,Arizona State,Tye Edwards,Rusher,0,0,0.0,0,0,0,4,20.3,0,0,0,0.0,0
17,B,West Virginia,Arizona State,Nicco Marchiol,Rusher,0,0,0.0,0,0,0,5,14.3,1,0,0,0.0,0
17,B,West Virginia,Arizona State,Diore Hubbard,Rusher,0,0,0.0,0,0,0,3,0.8,0,0,0,0.0,0
17,B,West Virginia,Arizona State,Tyler Jacklich,Rusher,0,0,0.0,0,0,0,2,-0.0,0,0,0,0.0,0
17,B,West Virginia,Arizona State,Jaylen Henderson,Rusher,0,0,0.0,0,0,0,2,3.6,0,0,0,0.0,0
17,B,West Virginia,Arizona State,Scotty Fox Jr.,Rusher,0,0,0.0,0,0,0,1,4.6,0,0,0,0.0,0
17,B,West Virginia,Arizona State,Grayson Barnes,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,35.6,0
17,B,West Virginia,Arizona State,Rodney Gallagher,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,17.1,0
17,B,West Virginia,Arizona State,Jeff Weimer,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,32.7,0
17,B,West Virginia,Arizona State,Cam Vaughn,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,61.6,1
17,B,West Virginia,Arizona State,Jarod Bowie,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,17.1,1
17,B,West Virginia,Arizona State,Jaden Bray,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,0.0,0
17,B,West Virginia,Arizona State,Ryan Ward,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,10.5,0
17,B,West Virginia,Arizona State,Oran Singleton Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,18.5,0
17,B,Arizona State,West Virginia,Sam Leavitt,QB,29,16,223.3,1,0,16,0,0.0,0,0,0,0.0,0
17,B,Arizona State,West Virginia,Raleek Brown,Rusher,0,0,0.0,0,0,0,10,65.8,1,0,0,0.0,0
17,B,Arizona State,West Virginia,Jeff Sims,Rusher,0,0,0.0,0,0,0,2,-5.2,0,0,0,0.0,0
17,B,Arizona State,West Virginia,Demarius Robinson,Rusher,0,0,0.0,0,0,0,3,14.9,0,0,0,0.0,0
17,B,Arizona State,West Virginia,Sam Leavitt,Rusher,0,0,0.0,0,0,0,6,5.9,0,0,0,0.0,0
17,B,Arizona State,West Virginia,Kyson Brown,Rusher,0,0,0.0,0,0,0,1,-1.6,0,0,0,0.0,0
17,B,Arizona State,West Virginia,Kanye Udoh,Rusher,0,0,0.0,0,0,0,1,16.4,0,0,0,0.0,0
17,B,Arizona State,West Virginia,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,67.7,1
17,B,Arizona State,West Virginia,Malik McClain,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,8.6,0
17,B,Arizona State,West Virginia,Jordyn Tyson,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,9,70.0,0
17,B,Arizona State,West Virginia,Derek Eusebio,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,26.6,0
17,B,Arizona State,West Virginia,Khamari Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,6.2,0
17,B,Arizona State,West Virginia,Chamon Metayer,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,36.7,0
17,B,Arizona State,West Virginia,Jaren Hamilton,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,7.6,0
17,B,Arizona State,West Virginia,Cameron Harpole,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,0.0,0
18,A,Arizona State,West Virginia,Sam Leavitt,QB,35,24,298.0,2,0,2,0,0.0,0,0,0,0.0,0
18,A,Arizona State,West Virginia,Jeff Sims,Rusher,0,0,0.0,0,0,0,1,-1.4,0,0,0,0.0,0
18,A,Arizona State,West Virginia,Kanye Udoh,Rusher,0,0,0.0,0,0,0,9,37.7,0,0,0,0.0,0
18,A,Arizona State,West Virginia,Demarius Robinson,Rusher,0,0,0.0,0,0,0,3,23.4,0,0,0,0.0,0
18,A,Arizona State,West Virginia,Kyson Brown,Rusher,0,0,0.0,0,0,0,4,34.1,0,0,0,0.0,0
18,A,Arizona State,West Virginia,Sam Leavitt,Rusher,0,0,0.0,0,0,0,8,56.2,1,0,0,0.0,0
18,A,Arizona State,West Virginia,Raleek Brown,Rusher,0,0,0.0,0,0,0,15,72.4,1,0,0,0.0,0
18,A,Arizona State,West Virginia,Khamari Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,3.9,0
18,A,Arizona State,West Virginia,Jordyn Tyson,Receiver,0,0,0.0,0,0,0,0,0.0,0,9,16,66.1,1
18,A,Arizona State,West Virginia,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,48.9,1
18,A,Arizona State,West Virginia,Derek Eusebio,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,20.6,0
18,A,Arizona State,West Virginia,Chamon Metayer,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,7,108.4,0
18,A,Arizona State,West Virginia,Jaren Hamilton,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,31.3,0
18,A,Arizona State,West Virginia,Malik McClain,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,18.8,0
18,A,West Virginia,Arizona State,Nicco Marchiol,QB,35,18,185.6,0,0,4,0,0.0,0,0,0,0.0,0
18,A,West Virginia,Arizona State,Nicco Marchiol,Rusher,0,0,0.0,0,0,0,1,6.7,0,0,0,0.0,0
18,A,West Virginia,Arizona State,Jaylen Henderson,Rusher,0,0,0.0,0,0,0,1,7.9,0,0,0,0.0,0
18,A,West Virginia,Arizona State,Diore Hubbard,Rusher,0,0,0.0,0,0,0,6,14.0,0,0,0,0.0,0
18,A,West Virginia,Arizona State,Tye Edwards,Rusher,0,0,0.0,0,0,0,7,28.1,0,0,0,0.0,0
18,A,West Virginia,Arizona State,Scotty Fox Jr.,Rusher,0,0,0.0,0,0,0,6,43.8,1,0,0,0.0,0
18,A,West Virginia,Arizona State,Clay Ash,Rusher,0,0,0.0,0,0,0,3,15.3,0,0,0,0.0,0
18,A,West Virginia,Arizona State,Jahiem White,Rusher,0,0,0.0,0,0,0,3,-5.4,0,0,0,0.0,0
18,A,West Virginia,Arizona State,Cyncir Bowers,Rusher,0,0,0.0,0,0,0,2,23.2,0,0,0,0.0,0
18,A,West Virginia,Arizona State,Jeff Weimer,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,10.9,0
18,A,West Virginia,Arizona State,Cam Vaughn,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,8,41.8,0
18,A,West Virginia,Arizona State,Jarod Bowie,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,42.5,0
18,A,West Virginia,Arizona State,Jacob Barrick,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,25.7,0
18,A,West Virginia,Arizona State,Rodney Gallagher,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,14.6,0
18,A,West Virginia,Arizona State,Grayson Barnes,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,4,0.0,0
18,A,West Virginia,Arizona State,Ryan Ward,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
18,A,West Virginia,Arizona State,Oran Singleton Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,22.4,0
18,A,West Virginia,Arizona State,Preston Fox,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,13.7,0
18,A,West Virginia,Arizona State,Jaden Bray,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,14.0,0
19,B,West Virginia,Arizona State,Nicco Marchiol,QB,42,22,196.2,0,0,7,0,0.0,0,0,0,0.0,0
19,B,West Virginia,Arizona State,Tye Edwards,Rusher,0,0,0.0,0,0,0,9,35.1,0,0,0,0.0,0
19,B,West Virginia,Arizona State,Clay Ash,Rusher,0,0,0.0,0,0,0,5,18.2,0,0,0,0.0,0
19,B,West Virginia,Arizona State,Cyncir Bowers,Rusher,0,0,0.0,0,0,0,3,20.7,0,0,0,0.0,0
19,B,West Virginia,Arizona State,Diore Hubbard,Rusher,0,0,0.0,0,0,0,2,3.8,0,0,0,0.0,0
19,B,West Virginia,Arizona State,Nicco Marchiol,Rusher,0,0,0.0,0,0,0,1,-3.8,0,0,0,0.0,0
19,B,West Virginia,Arizona State,Jahiem White,Rusher,0,0,0.0,0,0,0,3,14.6,0,0,0,0.0,0
19,B,West Virginia,Arizona State,Jaylen Henderson,Rusher,0,0,0.0,0,0,0,2,6.4,0,0,0,0.0,0
19,B,West Virginia,Arizona State,Tyler Jacklich,Rusher,0,0,0.0,0,0,0,1,-0.1,0,0,0,0.0,0
19,B,West Virginia,Arizona State,Jarod Bowie,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,35.2,0
19,B,West Virginia,Arizona State,Grayson Barnes,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,51.7,0
19,B,West Virginia,Arizona State,Cam Vaughn,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,8,7.9,0
19,B,West Virginia,Arizona State,Ryan Ward,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,13.7,0
19,B,West Virginia,Arizona State,Jeff Weimer,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,28.0,0
19,B,West Virginia,Arizona State,Rodney Gallagher,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,5,16.9,0
19,B,West Virginia,Arizona State,Preston Fox,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,7.7,0
19,B,West Virginia,Arizona State,Jacob Barrick,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
