sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,Fresno State,Wyoming,E.J. Warner,QB,36,23,290.7,0,0,4,0,0.0,0,0,0,0.0,0
0,A,Fresno State,Wyoming,Elijah Gilliam,Rusher,0,0,0.0,0,0,0,4,29.0,1,0,0,0.0,0
0,A,Fresno State,Wyoming,Brandon Ramirez,Rusher,0,0,0.0,0,0,0,4,25.5,0,0,0,0.0,0
0,A,Fresno State,Wyoming,Bryson Donelson,Rusher,0,0,0.0,0,0,0,13,47.4,0,0,0,0.0,0
0,A,Fresno State,Wyoming,Rayshon Luke,Rusher,0,0,0.0,0,0,0,10,60.3,3,0,0,0.0,0
0,A,Fresno State,Wyoming,Johnathan Arceneaux,Rusher,0,0,0.0,0,0,0,3,18.4,0,0,0,0.0,0
0,A,Fresno State,Wyoming,E.J. Warner,Rusher,0,0,0.0,0,0,0,1,7.3,0,0,0,0.0,0
0,A,Fresno State,Wyoming,Richie Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,20.6,0
0,A,Fresno State,Wyoming,Jake Tarwater,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,14.9,0
0,A,Fresno State,Wyoming,Jordan Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,20.7,0
0,A,Fresno State,Wyoming,Kamron Beachem,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,75.6,0
0,A,Fresno State,Wyoming,Jahlil McClain,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,3.7,0
0,A,Fresno State,Wyoming,Josiah Freeman,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,35.0,0
0,A,Fresno State,Wyoming,Jayon Farrar,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,38.3,0
0,A,Fresno State,Wyoming,Brock Lium,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
0,A,Fresno State,Wyoming,Ezekiel Avit,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,13.1,0
0,A,Fresno State,Wyoming,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,46.2,0
0,A,Fresno State,Wyoming,Harold Duvall,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
0,A,Fresno State,Wyoming,Jordan Malau'ulu,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,22.5,0
0,A,Wyoming,Fresno State,Kaden Anderson,QB,27,18,172.1,0,0,8,0,0.0,0,0,0,0.0,0
0,A,Wyoming,Fresno State,Kaden Anderson,Rusher,0,0,0.0,0,0,0,5,25.1,1,0,0,0.0,0
0,A,Wyoming,Fresno State,Terron Kellman,Rusher,0,0,0.0,0,0,0,4,13.6,1,0,0,0.0,0
0,A,Wyoming,Fresno State,Other RB,Rusher,0,0,0.0,0,0,0,3,12.7,0,0,0,0.0,0
0,A,Wyoming,Fresno State,Max White,Rusher,0,0,0.0,0,0,0,1,9.6,0,0,0,0.0,0
0,A,Wyoming,Fresno State,Sam Scott,Rusher,0,0,0.0,0,0,0,12,47.7,0,0,0,0.0,0
0,A,Wyoming,Fresno State,Samuel Harris,Rusher,0,0,0.0,0,0,0,5,8.8,0,0,0,0.0,0
0,A,Wyoming,Fresno State,Landon Sims,Rusher,0,0,0.0,0,0,0,1,8.5,0,0,0,0.0,0
0,A,Wyoming,Fresno State,Eric Richardson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,12.3,0
0,A,Wyoming,Fresno State,Bricen Brantley,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,29.4,0
0,A,Wyoming,Fresno State,Johnmichael Gyllenborg,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,9.2,0
0,A,Wyoming,Fresno State,Jackson Holman,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.9,0
0,A,Wyoming,Fresno State,Chris Durr Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,65.4,0
0,A,Wyoming,Fresno State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,33.8,0
0,A,Wyoming,Fresno State,Jaylan Bean,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
0,A,Wyoming,Fresno State,Clay Nanke,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
0,A,Wyoming,Fresno State,Charlie Coenen,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,13.2,0
0,A,Wyoming,Fresno State,Justin Erb,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,7.9,0
1,B,Wyoming,Fresno State,Kaden Anderson,QB,33,18,168.1,0,0,9,0,0.0,0,0,0,0.0,0
1,B,Wyoming,Fresno State,Sam Scott,Rusher,0,0,0.0,0,0,0,11,49.5,0,0,0,0.0,0
1,B,Wyoming,Fresno State,Kaden Anderson,Rusher,0,0,0.0,0,0,0,2,8.5,0,0,0,0.0,0
1,B,Wyoming,Fresno State,Terron Kellman,Rusher,0,0,0.0,0,0,0,6,35.1,1,0,0,0.0,0
1,B,Wyoming,Fresno State,Samuel Harris,Rusher,0,0,0.0,0,0,0,5,3.0,0,0,0,0.0,0
1,B,Wyoming,Fresno State,Other RB,Rusher,0,0,0.0,0,0,0,1,0.3,0,0,0,0.0,0
1,B,Wyoming,Fresno State,Landon Sims,Rusher,0,0,0.0,0,0,0,4,14.7,0,0,0,0.0,0
1,B,Wyoming,Fresno State,Johnmichael Gyllenborg,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,17.7,0
1,B,Wyoming,Fresno State,Eric Richardson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,25.5,0
1,B,Wyoming,Fresno State,Justin Erb,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,3.3,0
1,B,Wyoming,Fresno State,Chris Durr Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,9,55.9,0
1,B,Wyoming,Fresno State,Charlie Coenen,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.7,0
1,B,Wyoming,Fresno State,Jackson Holman,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
1,B,Wyoming,Fresno State,Jaylan Bean,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,30.0,0
1,B,Wyoming,Fresno State,Evan Svoboda,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
1,B,Wyoming,Fresno State,Bricen Brantley,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,17.4,0
1,B,Wyoming,Fresno State,Clay Nanke,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,17.6,0
1,B,Wyoming,Fresno State,Jaylen Sargent,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
1,B,Wyoming,Fresno State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
1,B,Fresno State,Wyoming,E.J. Warner,QB,24,14,182.4,3,0,6,0,0.0,0,0,0,0.0,0
1,B,Fresno State,Wyoming,Bryson Donelson,Rusher,0,0,0.0,0,0,0,17,84.6,0,0,0,0.0,0
1,B,Fresno State,Wyoming,Rayshon Luke,Rusher,0,0,0.0,0,0,0,10,43.9,0,0,0,0.0,0
1,B,Fresno State,Wyoming,Brandon Ramirez,Rusher,0,0,0.0,0,0,0,4,8.7,0,0,0,0.0,0
1,B,Fresno State,Wyoming,Elijah Gilliam,Rusher,0,0,0.0,0,0,0,2,9.2,0,0,0,0.0,0
1,B,Fresno State,Wyoming,E.J. Warner,Rusher,0,0,0.0,0,0,0,2,9.1,0,0,0,0.0,0
