sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Georgia,Texas,Gunner Stockton,QB,12,10,52.6,0,0,4,0,0.0,0,0,0,0.0,0
32,A,Georgia,Texas,Chauncey Bowens,Rusher,0,0,0.0,0,0,0,8,0.2,0,0,0,0.0,0
32,A,Georgia,Texas,Gunner Stockton,Rusher,0,0,0.0,0,0,0,10,39.6,1,0,0,0.0,0
32,A,Georgia,Texas,Nate Frazier,Rusher,0,0,0.0,0,0,0,12,81.5,0,0,0,0.0,0
32,A,Georgia,Texas,Cash Jones,Rusher,0,0,0.0,0,0,0,1,4.5,0,0,0,0.0,0
32,A,Georgia,Texas,Joshua McCray,Rusher,0,0,0.0,0,0,0,7,53.9,2,0,0,0.0,0
32,A,Georgia,Texas,Dwight Phillips Jr.,Rusher,0,0,0.0,0,0,0,3,11.7,0,0,0,0.0,0
32,A,Georgia,Texas,Other RB,Rusher,0,0,0.0,0,0,0,1,8.5,0,0,0,0.0,0
32,A,Georgia,Texas,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,20.6,0
32,A,Georgia,Texas,Colbie Young,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,19.0,0
32,A,Georgia,Texas,Noah Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
32,A,Georgia,Texas,London Humphreys,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
32,A,Georgia,Texas,Talyn Taylor,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,11.1,0
32,A,Georgia,Texas,Sacovie White,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
32,A,Georgia,Texas,Zachariah Branch,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
32,A,Georgia,Texas,Lawson Luckie,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,1.8,0
32,A,Texas,Georgia,Arch Manning,QB,19,11,84.4,1,0,7,0,0.0,0,0,0,0.0,0
32,A,Texas,Georgia,Arch Manning,Rusher,0,0,0.0,0,0,0,2,10.9,0,0,0,0.0,0
32,A,Texas,Georgia,CJ Baxter Jr.,Rusher,0,0,0.0,0,0,0,3,13.8,0,0,0,0.0,0
32,A,Texas,Georgia,Christian Clark,Rusher,0,0,0.0,0,0,0,7,13.2,0,0,0,0.0,0
32,A,Texas,Georgia,Tre Wisner,Rusher,0,0,0.0,0,0,0,5,28.2,1,0,0,0.0,0
32,A,Texas,Georgia,Jerrick Gibson,Rusher,0,0,0.0,0,0,0,4,18.2,0,0,0,0.0,0
32,A,Texas,Georgia,James Simon,Rusher,0,0,0.0,0,0,0,9,33.5,0,0,0,0.0,0
32,A,Texas,Georgia,Daylan Mccutcheon,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
32,A,Texas,Georgia,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,38.8,0
32,A,Texas,Georgia,Ryan Wingo,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,24.8,0
32,A,Texas,Georgia,Parker Livingstone,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,20.9,1
32,A,Texas,Georgia,Jack Endries,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
32,A,Texas,Georgia,DeAndre Moore Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
32,A,Texas,Georgia,Jordan Washington,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
33,B,Texas,Georgia,Arch Manning,QB,29,21,169.3,0,0,3,0,0.0,0,0,0,0.0,0
33,B,Texas,Georgia,CJ Baxter Jr.,Rusher,0,0,0.0,0,0,0,6,14.0,0,0,0,0.0,0
33,B,Texas,Georgia,James Simon,Rusher,0,0,0.0,0,0,0,4,35.3,0,0,0,0.0,0
33,B,Texas,Georgia,Christian Clark,Rusher,0,0,0.0,0,0,0,5,19.8,0,0,0,0.0,0
33,B,Texas,Georgia,Tre Wisner,Rusher,0,0,0.0,0,0,0,8,29.4,1,0,0,0.0,0
33,B,Texas,Georgia,Jerrick Gibson,Rusher,0,0,0.0,0,0,0,1,-0.1,0,0,0,0.0,0
33,B,Texas,Georgia,Arch Manning,Rusher,0,0,0.0,0,0,0,2,17.3,0,0,0,0.0,0
33,B,Texas,Georgia,DeAndre Moore Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,38.8,0
33,B,Texas,Georgia,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,9,75.0,0
33,B,Texas,Georgia,Jordan Washington,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,4.5,0
33,B,Texas,Georgia,Jack Endries,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,0.0,0
33,B,Texas,Georgia,Ryan Wingo,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,29.8,0
33,B,Texas,Georgia,Parker Livingstone,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,21.2,0
33,B,Georgia,Texas,Gunner Stockton,QB,24,16,162.0,1,0,2,0,0.0,0,0,0,0.0,0
33,B,Georgia,Texas,Nate Frazier,Rusher,0,0,0.0,0,0,0,17,58.9,0,0,0,0.0,0
33,B,Georgia,Texas,Chauncey Bowens,Rusher,0,0,0.0,0,0,0,7,27.3,0,0,0,0.0,0
33,B,Georgia,Texas,Gunner Stockton,Rusher,0,0,0.0,0,0,0,10,44.0,0,0,0,0.0,0
33,B,Georgia,Texas,Joshua McCray,Rusher,0,0,0.0,0,0,0,3,5.3,0,0,0,0.0,0
33,B,Georgia,Texas,Dwight Phillips Jr.,Rusher,0,0,0.0,0,0,0,1,4.5,0,0,0,0.0,0
33,B,Georgia,Texas,Zachariah Branch,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,9.9,0
33,B,Georgia,Texas,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,21.9,0
33,B,Georgia,Texas,Talyn Taylor,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
33,B,Georgia,Texas,Sacovie White,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,29.6,1
33,B,Georgia,Texas,Dillon Bell,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,9.8,0
33,B,Georgia,Texas,Lawson Luckie,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,40.6,0
33,B,Georgia,Texas,Colbie Young,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,20.9,0
33,B,Georgia,Texas,Noah Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,9.4,0
33,B,Georgia,Texas,London Humphreys,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,20.0,0
34,A,Georgia,Texas,Gunner Stockton,QB,28,21,223.5,1,0,5,0,0.0,0,0,0,0.0,0
34,A,Georgia,Texas,Gunner Stockton,Rusher,0,0,0.0,0,0,0,4,8.4,0,0,0,0.0,0
34,A,Georgia,Texas,Chauncey Bowens,Rusher,0,0,0.0,0,0,0,9,29.9,0,0,0,0.0,0
34,A,Georgia,Texas,Nate Frazier,Rusher,0,0,0.0,0,0,0,5,31.1,0,0,0,0.0,0
34,A,Georgia,Texas,Cash Jones,Rusher,0,0,0.0,0,0,0,1,-3.2,0,0,0,0.0,0
34,A,Georgia,Texas,Joshua McCray,Rusher,0,0,0.0,0,0,0,6,27.7,1,0,0,0.0,0
34,A,Georgia,Texas,Other RB,Rusher,0,0,0.0,0,0,0,1,7.7,0,0,0,0.0,0
34,A,Georgia,Texas,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,50.9,0
34,A,Georgia,Texas,Zachariah Branch,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,9,72.5,0
34,A,Georgia,Texas,Sacovie White,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
34,A,Georgia,Texas,Colbie Young,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,9.0,0
34,A,Georgia,Texas,Lawson Luckie,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
34,A,Georgia,Texas,Dillon Bell,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,47.3,1
34,A,Georgia,Texas,Noah Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,38.8,0
