sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,Navy,South Florida,Blake Horvath,QB,24,16,197.5,1,0,14,0,0.0,0,0,0,0.0,0
0,A,Navy,South Florida,Blake Horvath,Rusher,0,0,0.0,0,0,0,5,36.6,0,0,0,0.0,0
0,A,Navy,South Florida,Jackson Gutierrez,Rusher,0,0,0.0,0,0,0,2,14.7,0,0,0,0.0,0
0,A,Navy,South Florida,Shane Reynolds,Rusher,0,0,0.0,0,0,0,2,5.5,0,0,0,0.0,0
0,A,Navy,South Florida,Alex Tecza,Rusher,0,0,0.0,0,0,0,7,11.2,0,0,0,0.0,0
0,A,Navy,South Florida,Other RB,Rusher,0,0,0.0,0,0,0,7,18.1,0,0,0,0.0,0
0,A,Navy,South Florida,Cody Howard,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,28.0,0
0,A,Navy,South Florida,Joshua Guerin,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,35.6,0
0,A,Navy,South Florida,Eli Heidenreich,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,47.4,0
0,A,Navy,South Florida,Luke Hutchison,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,31.4,0
0,A,Navy,South Florida,Nathan Kent,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,19.2,0
0,A,Navy,South Florida,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,23.2,1
0,A,Navy,South Florida,Brandon Chatman,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,12.7,0
0,A,South Florida,Navy,Byrum Brown,QB,19,15,189.6,1,0,5,0,0.0,0,0,0,0.0,0
0,A,South Florida,Navy,Nykahi Davenport,Rusher,0,0,0.0,0,0,0,3,33.6,0,0,0,0.0,0
0,A,South Florida,Navy,Cartevious Norton,Rusher,0,0,0.0,0,0,0,9,57.5,0,0,0,0.0,0
0,A,South Florida,Navy,Byrum Brown,Rusher,0,0,0.0,0,0,0,17,69.1,3,0,0,0.0,0
0,A,South Florida,Navy,Sam Franklin,Rusher,0,0,0.0,0,0,0,4,23.3,0,0,0,0.0,0
0,A,South Florida,Navy,Alvon Isaac,Rusher,0,0,0.0,0,0,0,3,22.0,1,0,0,0.0,0
0,A,South Florida,Navy,Wyatt Sullivan,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,18.6,0
0,A,South Florida,Navy,Joshua Porter,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,45.2,1
0,A,South Florida,Navy,Mudia Reuben,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,20.0,0
0,A,South Florida,Navy,Jonathan Echols,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,9.1,0
0,A,South Florida,Navy,Christian Neptune,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,45.0,0
0,A,South Florida,Navy,Chas Nimrod,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,50.7,0
0,A,South Florida,Navy,Keshaun Singleton,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,1.0,0
1,B,South Florida,Navy,Byrum Brown,QB,27,20,235.8,3,0,3,0,0.0,0,0,0,0.0,0
1,B,South Florida,Navy,Byrum Brown,Rusher,0,0,0.0,0,0,0,19,134.5,1,0,0,0.0,0
1,B,South Florida,Navy,Cartevious Norton,Rusher,0,0,0.0,0,0,0,6,52.1,0,0,0,0.0,0
1,B,South Florida,Navy,Sam Franklin,Rusher,0,0,0.0,0,0,0,4,27.1,0,0,0,0.0,0
1,B,South Florida,Navy,Alvon Isaac,Rusher,0,0,0.0,0,0,0,5,7.1,0,0,0,0.0,0
1,B,South Florida,Navy,Mudia Reuben,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,8,68.4,2
1,B,South Florida,Navy,Christian Neptune,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,43.4,0
1,B,South Florida,Navy,Keshaun Singleton,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,52.1,1
1,B,South Florida,Navy,Chas Nimrod,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,60.3,0
1,B,South Florida,Navy,Wyatt Sullivan,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,11.6,0
1,B,South Florida,Navy,Joshua Porter,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
1,B,Navy,South Florida,Blake Horvath,QB,38,23,245.5,1,0,0,0,0.0,0,0,0,0.0,0
