sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Southern Miss,Texas State,Braylon Braxton,QB,35,24,226.9,1,0,4,0,0.0,0,0,0,0.0,0
32,A,Southern Miss,Texas State,Braylon Braxton,Rusher,0,0,0.0,0,0,0,9,26.2,0,0,0,0.0,0
32,A,Southern Miss,Texas State,Jeffery Pittman,Rusher,0,0,0.0,0,0,0,21,75.2,1,0,0,0.0,0
32,A,Southern Miss,Texas State,Matt Jones,Rusher,0,0,0.0,0,0,0,7,15.9,0,0,0,0.0,0
32,A,Southern Miss,Texas State,Robert Briggs,Rusher,0,0,0.0,0,0,0,5,21.2,0,0,0,0.0,0
32,A,Southern Miss,Texas State,Carl Chester,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,54.0,0
32,A,Southern Miss,Texas State,Jermane Hayes,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,5.7,0
32,A,Southern Miss,Texas State,Kadinn Morris,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,20.7,1
32,A,Southern Miss,Texas State,TJ Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,3.6,0
32,A,Southern Miss,Texas State,Bralon Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,6.3,0
32,A,Southern Miss,Texas State,Elijah Metcalf,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,38.0,0
32,A,Southern Miss,Texas State,Tychaun Chapman,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,11.3,0
32,A,Southern Miss,Texas State,Davis Dalton,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,10.0,0
32,A,Southern Miss,Texas State,Kyirin Heath,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,55.1,0
32,A,Southern Miss,Texas State,Charles Montgomery,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
32,A,Southern Miss,Texas State,Micah Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
32,A,Southern Miss,Texas State,Jaylin Carter,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
32,A,Southern Miss,Texas State,Cace Reed,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,22.2,0
32,A,Texas State,Southern Miss,Brad Jackson,QB,30,18,223.4,0,0,4,0,0.0,0,0,0,0.0,0
32,A,Texas State,Southern Miss,Jaylen Jenkins,Rusher,0,0,0.0,0,0,0,5,21.8,0,0,0,0.0,0
32,A,Texas State,Southern Miss,Lincoln Pare,Rusher,0,0,0.0,0,0,0,17,104.0,2,0,0,0.0,0
32,A,Texas State,Southern Miss,Greg Burrell,Rusher,0,0,0.0,0,0,0,6,-8.5,0,0,0,0.0,0
32,A,Texas State,Southern Miss,Torrance Burgess Jr.,Rusher,0,0,0.0,0,0,0,8,43.2,1,0,0,0.0,0
32,A,Texas State,Southern Miss,Brad Jackson,Rusher,0,0,0.0,0,0,0,10,3.3,0,0,0,0.0,0
32,A,Texas State,Southern Miss,Kylen Evans,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,25.8,0
